,company,headline,date,overall_rating,author_position,pros,cons
0,Zopper,Worst company to work with !,2022-04-07,1.0,Software Engineer,No Pros to work there,"1) Alternate saturday working
2) reach office by 10 or get your salary deducted
3) Listen to manager and leaders otherwise get fired 
4) No growth 
5) Unprofessional leaders and management"
1,Zopper,Bad management,2022-02-15,2.0,Software Engineer,Work environment is awesome and very friendly. Company has its own product and very upscale market pricing.,Team support is very poor. Higher management is permanent and not at all interested in employee's health.
2,Zopper,Great company to work,2021-11-25,5.0,Anonymous Employee,You get good opportunities to work,No Cons found during my tenure
3,Zopper,Over all good company,2021-10-23,4.0,Senior Zonal Manager,Good working environment in zopper.,No cons as of now in zopper
4,Zopper,Nice place to kick start your career,2021-10-06,4.0,Software Engineer,"lovely work environment
Nice co-workers and management
Lot of scope for growth","No proper work life balance
Don't expect extra ordinary hikes"
5,Zopper,Company to disrupt the insurance broking space,2021-09-16,5.0,Senior Manager,"- Open culture
- Focus on delivery and targets",- Working Saturdays ( alternative)
6,Zopper,Great company to work in,2021-09-09,5.0,Anonymous Employee,Great opportunity for learning as a software engineer.,Alternate Saturdays were working days.
7,Zopper,Good company to work with,2021-09-02,5.0,Key Account Manager,Higher Management is helpful and work friendly company,Should have done more advertising for the same
8,Zopper,Its a good company to work with.,2021-08-23,3.0,Software Engineer,Friendly and challenging environment to work with.,sometimes you can be stressed out with work.
9,Zopper,Good company if you are looking for a  short period of time,2021-06-29,5.0,Executive Customer Advocasy,One can enjoy while working as salary came on time,It will take a long go for one who wants a rapid growth
10,Zopper,Experience,2021-06-28,4.0,Associate Software Engineer,Good experience all at zopper.,nothing to say about anything.
11,Zopper,Good working envoriment,2021-03-23,5.0,Customer Service Representative,good growth and good envoriment.,"No advice , good culture for good envoirment for work."
12,Zopper,Good,2021-03-22,4.0,Regional Sales Director,"Good place to work, good team and management","No work life balance, hectic travel schedules"
13,Zopper,Good,2021-03-07,5.0,I Would Prefer Not Reveal,"Work culture, management, flexible timings","Not paying much, sometimes long hours"
14,Zopper,Small team with quite decent of opportunities  and learning,2021-03-03,4.0,Software Engineer,"Independent tasks get assigned to even new employees.
Startup work culture.
Helpful and knowledgeable employees.","Workspace, chairs and cafeteria could have been better."
15,Zopper,Good team,2021-02-25,4.0,Anonymous Employee,Good founder. Stable vision and niche business proposition,Insurance industry is difficult to aggregate
16,Zopper,great,2021-01-31,5.0,Senior Operations Executive,great company with great envoirment,no cons . only company employ strength is low
17,Zopper,GREAT PALACE TO WORK AND LEARN,2020-07-15,5.0,Operations Supervisor,Best management and friendly environment,There are no cons yet
18,Zopper,Great place to work,2020-07-15,5.0,Area Service Manager,All management having good behavior and they are very much help full for all Zopper employees,By entering into a sudden work from home situation with the right mindset knowing you may actually be putting in more effort than before you can do a great job and enjoy the benefits that go along with it.
19,Zopper,Great Work Culture,2020-07-07,5.0,Anonymous Employee,"Flexible and Open work culture 
Good learning platform","Not as such, no cons"
20,Zopper,"Great Place to Work, learn & Grow",2020-07-06,5.0,Human Resources Manager,"Great Work Culture, Ample Learning Opportunities, Great Leaders","Not able to find any,"
21,Zopper,Great Place to work,2020-06-30,5.0,Management Trainee,"Provide ladder to success.

Excellent work atmosphere

Impeccable & easy to approach Leadership

Allow to you to share your ideas & gives you an encouraging environment

Believes in team work

Good Pay Master",No any such cons to share
22,Zopper,Great Place to work and learn,2020-06-30,5.0,Territory Sales Manager,"Good Products and Service .
Much human interaction. You get to interact with different people on a regular basis. 
you get a rich industry experience when your interacting with clients. we can develop some of the most important skill like communication skills.","Identifying good leads.
There will extensive travelling which can be exhausting."
23,Zopper,GREAT PLACE TO WORK  AND  HAVE FRIENDLY ENVIRONMENT,2020-06-30,5.0,Service Executive,"Great support from Manager and Team 
 
Free lunch facility.

Stress free environment",No downsides of working at Zopper
24,Zopper,Good Company,2020-06-30,3.0,Software Engineer,"Free lunch for employees, Games like pool, carrom, table tennis, chess and foosball",First and Last Saturdays are working
25,Zopper,company review,2020-06-20,3.0,Senior,"-free lunch, nice mates, good environment","- No cons, still looking for them"
26,Zopper,I have been working at zopper full time less than a year,2020-06-19,5.0,UI/User Experience Designer,"- Great place to work & learn
- Awesome people
- Free lunch
- Gaming zone
- work from home policy",No cons as such ..
