,company,headline,date,overall_rating,author_position,pros,cons
0,foodpanda,Friendly company,2022-04-08,5.0,Content Executive,"Provide many benefits such as comporate account with voucher, and badminton tournament.",Workload is quite high sometimes.
1,foodpanda,Really Good Workplace with Amazing Team!,2022-04-04,4.0,Campaign Manager,"- Working Hour Flexibility
- Regional Exposure
- Very Structed","- Performance Evaluation Process
- Increment
- Performance Bonus"
2,foodpanda,Great Opportunity,2022-04-04,4.0,Team Leader,Perks and benefits plus co workers,Senior management and crisis management
3,foodpanda,Bad,2022-04-03,1.0,Fraud and Risk Analyst,"Company culture is good
Provide us with good benefits","Bad team
Manager has 0 knowledge 
No guidance / training provided"
4,foodpanda,Vere nice,2022-04-02,5.0,Senior Financial Analyst,Management is nice here yeah,Food is nice here yeah
5,foodpanda,Great place to work,2022-04-02,5.0,Anonymous Employee,"- Young team
- fast paced industry 
- unlimited paid holiday",- can be stressful / long hours
6,foodpanda,Best place to learn and deliver,2022-04-01,4.0,Account Manager,Lot of opportunity to grow as individual,Work Life balance is a challenge
7,foodpanda,Review,2022-03-31,3.0,Account Manager,"- good company culture 
- fun & dynamic","- not much room for growth 
- loooooooow salary"
8,foodpanda,-,2022-03-31,3.0,Corporate Customer Service,All staffs are very young and energetic,The company culture is not good
9,foodpanda,Growth Opportunities,2022-03-31,4.0,Project Manager,There are good growth opportunities in some departments,You have to be in the right departments to be exposed to growth opportunities
10,foodpanda,Good environment,2022-03-30,5.0,Fleet Management Executive,"Best team.
Responsive
Flexibilities
Diversity
Work life balance
Better training facility",I don't see any cons
11,foodpanda,An ocean of learning,2022-03-30,5.0,Cluster Lead,There is immense data available to improve our performance,There is nothing bad about this company
12,foodpanda,Review,2022-03-30,5.0,Rider,Decent pay and flexible working hours,No room for improvement and expose to road accident
13,foodpanda,It's good for earning money,2022-03-30,5.0,Bike Rider,Because you are independent i mean its upto you how much hours you want to work in a day,Sorry i don't have any word's
14,foodpanda,Rider experience,2022-03-28,4.0,Food Delivery Rider,Great ways to have income,Order not consistent everyday. So sometimes you need to work extra hours to achieve your target
15,foodpanda,goodd,2022-03-28,4.0,Anonymous Employee,good good good good good,no cons currently with them
16,foodpanda,Growing Company,2022-03-28,3.0,Account Manager,"- Good Management
- Flexible hours","- ecommerce, fast pace
- workload"
17,foodpanda,H,2022-03-28,5.0,Rider,"Good, Independent, Fair, Nice, Great",Low peak hour pay per order
18,foodpanda,Salary,2022-03-27,1.0,Partner Care Specialist,You learn a lot with this organisation.,Not competitive salary. They should give value to their entry level employees
19,foodpanda,Leypak,2022-03-27,3.0,Rider,Own time n flexible eork,Payment still low n stress
20,foodpanda,Business development,2022-03-24,3.0,Sales BDM,Office culture and supportive peers,Unrealistic expectations of hitting KPIs
21,foodpanda,Partner Care Manager,2022-03-24,5.0,Account Manager,"Competitive salary and benefits, friendly employees and management.","Increasing targets, but helps my KPI."
22,foodpanda,Great place to work,2022-03-24,5.0,Intern,Great company for holistic growth,None that I can think of
23,foodpanda,would be good experience if you've never worked with different nationality,2022-03-23,3.0,Designer,working with international peeps and getting discounts at grocery,not everyone can be given the opportunity
24,foodpanda,Lots of perks,2022-03-23,5.0,Assistant Manager,great! work life balance! people are nice,growth is quite slow for a tech industry
25,foodpanda,Great place to work at,2022-03-22,5.0,Assistant Manager,"Good compensation and benefits; 
Relatively young culture;
Fast paced;
Opportunities for growth",Fast paced - you need to be quick in adapting how thing work in the organisation
26,foodpanda,Best workplace,2022-03-22,5.0,Senior Business Development Manager,"Work environment
Flexible hours for employees","Sales is demanding job
Always require your 24/7 presence"
27,foodpanda,good place to work,2022-03-21,4.0,Senior Product Manager,overall culture is good and work environment is friendly,people services are really bad
28,foodpanda,Rider,2022-03-21,5.0,Foodpanda Rider,Flexible working schedule to work,Impossible to achieve higher tier incentive for walker/bicycle
29,foodpanda,Flexible and attractive incentive,2022-03-21,5.0,Rider,Flexibility to choose your working shifts. Amazing payouts and incentive,"have to be extra careful when on the road, and the weather might not always be on ur side"
30,foodpanda,Mostly bad,2022-03-20,1.0,Business Intelligence Analyst,"Free pantry
Free food vouchers
Relocation support","Work culture but I feel that is mostly location based
Messed up work life balance
Lack of appreciation"
31,foodpanda,"Fun culture, not so sure about industry growth",2022-03-20,4.0,Senior Manager,"Fun, young culture
Startup but big enough to span different countries",Food delivery industry is generally not profitable. Not sure if there is a lot of growth.
32,foodpanda,Salary,2022-03-18,4.0,Delivery Driver,"Work harder, earn more money",Unbreakable income ceiling after a certain level
33,foodpanda,Good Experience,2022-03-18,5.0,ALC Manager,Need improvement for more successful,Not equal employee opportunity here
34,foodpanda,10 months with role change,2022-03-18,4.0,Workforce Management Supervisor,"Good culture, supportive managers, free ice cream on wednesday, fully stocked pantry","Lack of good mental health support, not much festival celebration, not much of equality awareness activities, back in probation if you get transferred, with potential of termination"
35,foodpanda,1,2022-03-16,4.0,Internship,employers are very friendly and nice,it is not so convenient
36,foodpanda,Good,2022-03-16,5.0,Warehouse Executive,There is not good worker,No one can respect you
37,foodpanda,Very poor work environment in Bangladesh,2022-03-16,1.0,Business Intelligence Analyst,Brand value and work location. Data culture.,"Toxic work culture.
Poor compensation.
Poor top management."
38,foodpanda,Account Manager,2022-03-15,5.0,Account Manager,Account Manager Pakistan ( Peshawar) KPK,"Everything was fine, learned a lot!"
39,foodpanda,Great & Agile Team,2022-03-14,5.0,Business Development Manager,"Team is young, passionate, driven. Entire organisation has great career development and L&D opportunities.",Reviews and appraisals are a yearly process
40,foodpanda,Need Proper Check and Balance.,2022-03-12,5.0,Picker/Packer,"reasons is that i want join in this company 
because i need betterpostion according to my education but their is a strange situation at foodpanda. everyone is unrelated to his work.",Marketing team for panda marts is effective for future if immediately work on it.
41,foodpanda,Shipwreck,2022-03-12,1.0,Anonymous Employee,"Thursday food credit;
rest is basic and mediocre compared to others.","1: Departments working in silos.
2: Unreasonable Workloads With Additional Stress and Fatigue
3: Lack of Vision & Organisational Leadership"
