,company,headline,date,overall_rating,author_position,pros,cons
0,redBus India,working Condition.,2022-04-05,5.0,SPOC I,"Good Work culture.

attrition

work life balance

Nice

good","No cons

No cons

No cons

No cons
No cons
No cons
No consNo cons"
1,redBus India,Good,2022-04-04,5.0,Sales Officer,Good experience with redbus. Good management,It's wonderful organisation. Best platform.
2,redBus India,Senior Business Developer,2022-03-29,4.0,Senior Business Developer,Cool work Culture and work life balance.,Late support/response from the higher employees.
3,redBus India,Good,2022-03-11,4.0,,"Culture is very good 
No restriction of dress code
All the people at redbus are good
FriendlyEnvironment
All work at the same floor, no separate cubicles for each of the employee",As of now no cons
4,redBus India,Amazing experience,2022-03-11,5.0,,"The company provides a very good environment to learn, upskill ourselves. It has a very good culture. I would say that I experienced very friendly environment beyond my expectations. This is a very good company for a Software Engineer to work.",I didn't experience any problem as such.
5,redBus India,Great place to work,2022-03-11,5.0,Software Engineer,"The enthusiasm and energy of the people here is great. 
The culture at redBus motivates one to learn.
Lots of opportunity to learn.",No cons about working in redBus
6,redBus India,Good company to work.,2022-03-11,5.0,,Very good culture.. Friendly Environment. Company supports it's Emplacee and it's a very good place to work,As per now not that much difficult in job
7,redBus India,Work culture,2022-03-11,5.0,Software Engineer,"Amazing orientation program 
Everybody are friendly and approachable and welcoming 
Amazing culture and I'm sure this would be a great start to my career",There's nothing as of now.
8,redBus India,Very nice environment to start a career,2022-03-11,5.0,Software Engineer,"Very nice environment 
Lots to learn
Flexible team members and great culture",No cons. I don't believe in cons at redBus
9,redBus India,Life at redBus,2022-03-11,5.0,Software Engineer,"An awesome place to work
Amazing induction program
Amazing people to work with, friendly environment
Better you everyday as promised",No cons as such as of now
10,redBus India,Great work experience and environment,2022-03-11,4.0,Intern,"Good work environment
Great work force",None that I have found yet
11,redBus India,its a good company nice work culture,2022-03-11,5.0,Inside Sales Representative,very good work enviroment and work culture,nothing as such as its a big organisation
12,redBus India,"Amazing company, best culture and lots of learning",2022-03-04,5.0,Senior Human Resources Specialist,"Leadership is very good and focused on growth, work culture is one of the best, lots of learning & growth opportunities to work on, People and manager are good, work life balance is good",Can focus on compensation benchmarking
13,redBus India,Good company,2022-03-01,5.0,Software Engineer,Great policy and lots of holidays,Low base pay compared to industry
14,redBus India,The Most Humanist Company I ever experienced,2022-02-24,5.0,Senior Business Manager,"Management is very respectful to employee, redBus DO giving time for the joiner to learn and understand the system before expecting the team to perform, employees are encouraged to have personal time and not being distracted during the holiday. work live balance is a real deal in this company.",pandemic is a tough time for bus industry (but the management always keep us feeling secure working in this company)
15,redBus India,test,2022-02-22,4.0,Senior Data Analyst,It was a good company,Promotion was little late. Had to strive hard for promotion.
