,company,headline,date,overall_rating,author_position,pros,cons
0,udaan.com,Fast paced. Environment. Avg work life balance. Team environment can get toxic,2022-04-09,2.0,Business Analyst,"Higher pay
Fast paced learning
Wfh available","Toxic team environment
Bad work life balance
Redundant work"
1,udaan.com,"Unique role cutting across Product, Business and Tech",2022-04-08,4.0,Product Engineer,"1. Best in class industry experience.
2. Work with a strong understanding of what and why you are building something.
3. Have a good shot at influencing impactful decisions in the product.","1. A lack of clarity about the future of Product Engineering roles for tenured engineers.
2. Udaan's approach to Product Engineering is not an industry practice and its not completely relevant for future employment."
2,udaan.com,Ideal place to work and understand a fast paced growing organization,2022-04-08,4.0,Human Resources,"Accessibility to leadership team
Numerous opportunities to learn and grow","Not much, its a good place to work overall"
3,udaan.com,Best team,2022-04-07,5.0,BDE,Always supportable love to work there,Nothing everything was ok love it
4,udaan.com,Sales executive,2022-04-06,3.0,Business Development Executive,Company promise and service both are strong,Forget Personal life and don't spend time with family
5,udaan.com,good,2022-04-06,5.0,Supply Lead,Alignment with management chasing same dream,. . . . . . . .. . .
6,udaan.com,Excellent,2022-04-05,4.0,Category Manager,"Startup environment, Quick and hustle culture",Demand team new leadership is very autocratic. Avoid Demand roles.
7,udaan.com,Great Learning Opportunity,2022-04-04,5.0,Applications Developer,Great people to work with,Sometimes hard to meet work life balance
8,udaan.com,Good,2022-04-03,3.0,Operations Manager,Nothing can be mentioned like,"Nothing can be mentioned like,"
9,udaan.com,Great Company to work with,2022-04-03,5.0,Senior MIS Executive,Should be a smart worker,No compromise with the work
10,udaan.com,NA,2022-04-01,4.0,Manager,"Good work culture, ownership of work",Fewer opportunities within the firm
11,udaan.com,Great,2022-03-31,4.0,Business Development Executive,Getting salary on time at end of the month,Not get any diwali bonus
12,udaan.com,Life at Udaan,2022-03-30,4.0,Applications Developer II,"Very good culture, Good work, overall work life balance is good.",Nothing for me as of now.
13,udaan.com,Growing & learning,2022-03-30,4.0,Business Development Executive,"- Task based work
- High chances of growth
- Great learning opportunity
- Working under high pressure environment.",The working pattern and experience all depends on the reporting manager as well as in the category one works (in sales and business development profile atleast). This may not be a con but working culture varies from manager to manager.
14,udaan.com,leading the employees,2022-03-30,3.0,Hub Operations,The atmosphere is good to work with colleague,The hike is too low.
15,udaan.com,"Lots of learning, very talented folks",2022-03-30,5.0,Anonymous Employee,"I have been with Udaan from last 3 years. I work with amazing people, it’s difficult to find these type of people in other start ups. ESOPs are given generously. The target market is huge. The problem area is complex.",Few things change very fast so you will have to have mindset where it doesn’t affect you/ your work.
16,udaan.com,Initials,2022-03-27,3.0,Portfolio Lead,"- Work Life Balance
- Good pay
- Good company policies","- Huge gap between top management & Mid management
- System is more reactive 
- Growth is very slow"
17,udaan.com,Strongly recommend,2022-03-24,4.0,Applications Development Manager,"The opportunities are endless.
Flat hierarchy.
No micromanagement.
Peers are very helpful for you to be successful.",With endless opportunities the onus is on you to derive the plan for your growth. Sometimes you get perplexed on your responsibilities.
18,udaan.com,Good place to learn,2022-03-23,4.0,MIS Analyst,Good place to learn with no restrictions.,I don't see anything for now.
19,udaan.com,Overall experience is good,2022-03-23,4.0,Systems Engineer,Environment is good and team also very supportive,Work pressure is more and time management is hard
20,udaan.com,Company feedback,2022-03-22,4.0,Category Development Manager,Great place to work if someone is interested in building 0 to 1,Tech development is slow which affects business development
21,udaan.com,good company,2022-03-22,4.0,"Civil Engineer, Site Engineer","office is good, work environment is also good","less salary hike, work is high"
22,udaan.com,Company review,2022-03-21,4.0,Credit and Collections Analyst,Good culture and work life balance,Internal politics is very prominent
23,udaan.com,Manager,2022-03-21,4.0,Manager,"Good company cluture , interaction is god",Bad for stress clarity of future
24,udaan.com,Dont not join if you want to grow as an engineer.,2022-03-19,1.0,Product Engineer,"Freedom to work on your own time. 

No product managers and engineers decide what the product should be based on metrics and discussions with the customers.","Really bad codebase, things break all the time. Needs a complete rewrite noone can fix this mess.

Mass hiring average engineers which has destroyed the product. Handfull of talented engineers everybody else is below avg. 

Bad code review practises, no one even looks at the code just approves. 

Backend engineers writing frontend code and frontend engineers writing backend code."
25,udaan.com,Good place to work,2022-03-17,5.0,Software Development Engineer,"1. Culture.
2. People are knowledgeable and will be a good exposure as well as learning.
3. Flat hierarchy and ownership. You come to point where you are given ownership which eventually makes you more knowledgeable around the services.","1. None, as of now."
26,udaan.com,Work life balance,2022-03-17,3.0,Associate Process Manager,Startup culture so more growth,Worklife balance seems fine too
27,udaan.com,Job,2022-03-16,4.0,Anonymous Employee,Good Company nice work atmosphere,No corns to say it's good Company
28,udaan.com,Great company to work at,2022-03-16,5.0,Software Engineer,Everything is amazing here to work at,"Work pressure and ambiguity

Could be more diverse"
29,udaan.com,Business development executive,2022-03-15,2.0,Business Development Executive,On time salary and leave,U had to work under heavy pressure all time
30,udaan.com,Udaan -  one of the best Indian tech startups to work!,2022-03-15,5.0,Product Engineer,"At a company level: 
- focus on business fundamentals 
- long term vision 
- experiments at speed and feedback is immediate 
- transparent about company focus for every quarter 

At a role level:
- growth on both personal and professional level 
- decent tech systems 
- total comp is fair compared to market
- ESOPs are generous but need to wait for the real value 
- good insurance policy","- clarity about role keeps changing for instance clarity of the role is provided at the moment but not sure for how long it will stay
- marketing for tech is weak due to which it doesn't attract great talent, keep pushing on this front"
31,udaan.com,One of the best place to work in India,2022-03-15,5.0,Product Analyst,"Excellent work culture.
A lot of learning Opportunities.
Flat organisational structure.
Technology and Data driven.
Good perks and salary
ESOPS",Nothing so far for me .
32,udaan.com,Good company to work,2022-03-15,5.0,Applications Developer,"Good company original product good
Good team structure and work culture
Salary on time and best support from manager
Fast & Demanding work environment
Very experienced team",No cons just long working hours
33,udaan.com,Best b2b startup,2022-03-13,5.0,Key Account Manager,"Business, Profit and loss undertaking, Fundamentals","Adaptiveness, Appraisal, Work culture and Processes"
34,udaan.com,Great place to work at.,2022-03-12,4.0,Applications Developer,"- Good and open employee culture. Everyone is very friendly.
- Excellent compensation.
- Great Learning opportunities.
- Flexible working hours.",- Hierarchy is not structured which might be a hurdle for some people.
35,udaan.com,Decent company to start,2022-03-11,4.0,Business Analyst,"Fortunate if good people are around you.
Good audience in terms of stakeholders.",Ego among different teams within Udaan
36,udaan.com,Great place work,2022-03-08,5.0,Facilities Manager,There is great place of work,Nothing to share as a cons
37,udaan.com,Udaan is good company,2022-03-08,5.0,Team Leader,Good environment is in udaan,The company is Best company
38,udaan.com,Company is very good performance,2022-03-05,5.0,Sales Executive,Working is very high is very important hard,Clothes and footwear very good
39,udaan.com,Nice startup,2022-03-04,4.0,Manager,"Challenging work, young people, nice pay","Hefty work culture, too much pressure"
40,udaan.com,One of the best Tech start-up to work for,2022-03-04,5.0,Software Engineer,"-- Company is growing very well.
-- The benefits are really good.
-- Some teams show the clear ladder of growth.",Work Life Balance might go for a toss
41,udaan.com,Good company to work with,2022-03-04,5.0,Area Operations Manager,"Good leadership
Clear vision
Great team to work with",Work life balance can be improved
42,udaan.com,Good Company,2022-02-28,4.0,Business Finance,Open to your ideas in discussions,"No cons as such, good environmnet to work"
43,udaan.com,The biggest company in B2B eCommerce,2022-02-27,5.0,Anonymous Employee,"udaan's culture is very open, fast paced and mission oriented.",Work Life Balance gets impacted at times owing to the fast pace.
44,udaan.com,Great place to work and learn,2022-02-27,5.0,Product Engineer,"In my short time here, I have seen examples of good work culture, a sense of shared ownership regardless of seniority and an inherent urgency to solve complex problems. Support is given wherever asked for and management's acknowledgement of success is provided. There are regular outreach programmes conducted by management on constant improvements to processes and employee satisfaction.","Since the organisation and teams have gotten quite big, finding the right person to seek help can sometimes become a challenge especially for new hires."
45,udaan.com,Review,2022-02-25,4.0,Senior Program Manager,Good management at the company,Not applicable at the moment
46,udaan.com,Full of opportunities,2022-02-24,4.0,Applications Developer,Full of opportunities to learn & grow.,Cannot think of any right now.
47,udaan.com,Udaan for Software Engineering,2022-02-24,5.0,Software Engineer,"Work culture is quite good.
Competitive salary as per market",Haven't seen any for now
48,udaan.com,Excellent,2022-02-24,4.0,Software Engineer,"Wonderful Colleagues,
Good Salary,
Friendly Culture,
Good work life balance",Cannot think any con as of now
49,udaan.com,Great place to work and learn,2022-02-24,5.0,Applications Developer,"- Lot of opportunities
- Many things to learn
- Engaging people and getting deeper understanding of product and problem area we are working","Till now i did not see any Cons, will update in future if i feel any"
50,udaan.com,Life of Application Developer,2022-02-24,5.0,Applications Developer,"1) Good at work
2) New learning
3) Flexible at everything",1) I dont see any cons here
51,udaan.com,Don't waste your time here,2022-02-24,1.0,Anonymous Employee,Growth if you're clever and pay,They will fire you at their whim. Top level management and their vision are crap.
52,udaan.com,Great place to learn and grow,2022-02-24,5.0,Progamme Manager,"- Work with a team of super talented people. 
- Highly organised.
- Sense of purpose and clarity of vision.
- Complex problem solving.","- No frills 
- Low on extra curricular activities."
53,udaan.com,Udaan's USP of B2B eCommerce aligns well with Indian sellers & buyers,2022-02-24,4.0,Software Engineer,"- Udaan's USP of B2B eCommerce aligns well with Indian sellers & buyers
- Work life balance is OK for an eCommerce player",- Too early to comment on cons
54,udaan.com,High Growth Culture | Talented Peers | Flexible Culture,2022-02-24,5.0,Software Engineer,"1. Complete flexibility in location, timings, leaves, etc as long as deliverables are completed on time.
2. High ownership culture
3. High exposure to the most latest tech-stack
4. Freedom to experiment
5. Talented and motivated co-workers
6. Best in class compensation. Better than FAANG for freshers actually.","1. Processes need to be in place
2. Define clear objectives for tasks"
55,udaan.com,Awesome,2022-02-24,5.0,Software Engineer,"1. Flexibility
2. Great deal of exposure
3. Ownership
4. The start-up culture you want",Work-life balance is one thing
56,udaan.com,Good Environment,2022-02-24,5.0,Talent Acquisition,"- Job satisfaction
- Career Growth
- Salary on time
- Brand value
- Comfort job","Noting as such, just want to increase team so that we can fulfil our teams requirement without taking any vendors help."
57,udaan.com,Okay,2022-02-22,3.0,Demand Lead,Get to learn stuff here.,Have to be a workaholic to work here.
58,udaan.com,Excellent,2022-02-21,5.0,"Senior Manager, Operations",Good salary as per industry norms,Culture is not up to the mark
59,udaan.com,regional logistics manager for Maharashtra and Gujrat,2022-02-21,4.0,Regional Logistics Manager,"good company ,good working atmosphere",no holiday in a month we need to work 27x7 for 30 days
60,udaan.com,Good company to work with,2022-02-18,5.0,Sourcing Officer,Timely salery friendly culture all,I am satisfied with my Udaan.com
61,udaan.com,I have the good experience in the Udaan Platform,2022-02-17,5.0,Team Lead,It was given more learning in my career,We have meet regularly for EOD Performance
62,udaan.com,Poor management in enterprise Dept,2022-02-17,1.0,Anonymous Employee,"Awesome work culture 
Good learning for career growth","Make sure you into the enterprise team l
Only this dept was not properly managed by the management."
63,udaan.com,Good place to learn,2022-02-15,4.0,Manager,"For bachelor best , good learnings",No personal life balance .
64,udaan.com,Excellent place to work,2022-02-15,5.0,Senior Graphic Designer,"Excellent company system, culture & career development etc..,",I personally don't see any cons in this company.
65,udaan.com,Good learning,2022-02-15,4.0,Human Resources,Good atmosphere to upskill and take ownership of work,Work life balance can be a bit challenging to maintain
66,udaan.com,Indian Startup culture,2022-02-14,3.0,Data Analyst,Salary good perks are good as well,0 skill management and no work Life balance.
67,udaan.com,Good community,2022-02-14,4.0,Sales and Marketing,"It's working very nice and  salary, incentives are paying correct company also very good",But our vegetables business lose so closed udaan vegetable department but other department it's well.....
68,udaan.com,Salary,2022-02-14,3.0,Key Account Manager KAM,Good work life balance & Learning,Work timings & quality of work
69,udaan.com,Great place to work,2022-02-13,3.0,Category Manager,"Highly motivating people
Learning curve
Leadership is great",Work life balance is not that great
70,udaan.com,Salary,2022-02-12,4.0,Category Manager,Work Culture is okay. Mostly people are understanding except in demand and FMCG categories.,They don't pay well. Their increments are not upto expectations.
71,udaan.com,I am tacking care all Punjab resin for all IT related issues.,2022-02-12,5.0,Systems Engineer,I have a good punctual,Not any very big so i thing so
72,udaan.com,SCM/B2B LOGISTICS and OPERATIONS,2022-02-12,1.0,Hub In Charge,Senior Managers are very helpful.,Manage the fleet vehicles daily basis
73,udaan.com,Review,2022-02-12,4.0,Management Trainee,"Good pay, nice team and Growth opportunity",No structured process and established procedures
