,company,headline,date,overall_rating,author_position,pros,cons
0,,"Great Team, Culture, Leadership, Momentum",2022-05-12,5.0,Investment Professional,"Excellent leadership; strong commitment to values, DEI etc.
Fast-paced work environment presenting a lot of growth and personal development
Strong business momentum.
Excellent benefits",Typical issues around scaling and managing growth
1,,Fund Accounting,2022-04-12,5.0,Anonymous Employee,"Highly respected firm.
Great benefits.
Responsible work hours.","""Boys club culture.""
Repetitive tasks.
Teams are pretty segregated."
2,,Learning Opp,2022-03-12,5.0,Associate,Opportunity to learn a lot quickly,Work life balance and demanding job
3,,Some of the nicer people to work with in PE,2022-02-22,5.0,Anonymous Employee,"- good team
 - great deal access
 - good pay",- team dynamics that could sometimes get weird
4,,Good plc,2022-02-16,5.0,Administrative Assistant,Good pls to work with good benefits,Good place to work no cons
5,,Nice place,2022-01-25,4.0,MBA Student,"Great place, good culture, great pay","Long working hours, but that is the standard in the industry"
6,,Good Place to Work,2021-12-15,4.0,Anonymous Employee,"- Strong compensation
- Good benefits
- Growing and successful firm","- Demanding hours
- Different groups have different cultures"
7,,investment professional,2021-10-03,5.0,Anonymous Employee,great culture and track record,hours can be long on deals
8,,Best-in-class PE firm with great people and culture of excellence,2021-09-30,5.0,Investment Professional,"- Best-in-class PE firm. You'll work on the largest, highest-profile deals. Advent's track record speaks for itself, they're amazing at what they do
- Lots of really smart and driven people
- Strong culture that's focused on driving strong investment performance and highly collaborative across the firm","- Lifestyle isn't great but that's to be expected in PE
- Comp is good but there's PE firms out there that pay more"
9,,Great place to work,2021-09-27,5.0,Anonymous Employee,Super collaborative; committee process is transparent,It's based in Boston; so not as convenient to attract talent; but that's what makes it special too
10,,Great place to work!,2021-09-21,5.0,Anonymous Employee,"Great learning environment, good people",I did not have any cons
11,,Best culture & investment approach in the industry,2021-09-04,5.0,Team Member,"Culture of collegiality & respect that permeates how people work internally, with management teams and with 3rd parties. Truth-seeking commitment to a disciplined style of investment in high quality companies.","Variable and at times long hours, consistent with the industry"
12,,Really smart people,2021-06-24,5.0,Anonymous Employee,Everyone is extremely driven and intelligent. A great place to learn.,Deal team hours can be long and unpredictable
13,,Typical PE,2021-06-11,3.0,Corporate,"Compensation, benefits, perks, working with intelligent & driven people","Work/life balance, hierarchical culture, politics"
