,company,headline,date,overall_rating,author_position,pros,cons
0,,Great Work Environment,2022-03-17,4.0,Senior Treasury Analyst,"Great office space
Nice People
Free lunch and dinner","Long hours at the end of the month, quarter, and year"
1,,Amazing company and culture,2022-03-09,5.0,Anonymous Employee,"Very nice culture. Cares about employees and at the same time, can deliver good investment results.",A bit conservative on AUM growth.
2,,Great Culture,2022-02-04,5.0,Senior Human Resources Business Partner,"Great culture, smart and driven colleagues.",Workplace technology could be improved
3,,Great Company,2022-01-21,4.0,Analyst,"Low egos, smart people, no office politics, meal comp","Below market pay, long hours"
4,,Top,2021-10-22,5.0,Line Cook,Love working in the state,No down working in there
5,,Great company,2021-10-21,4.0,Associate,"- lots of ownership
- work with smart people
- great culture
- room for growth
- great benefits","- lots of pressure
- not the best comp"
6,,Nice culture,2021-10-09,5.0,Anonymous Employee,"Free lunch 
People 
Got pay",Old school style with stagnant aum
7,,Great for high school kids,2021-10-07,1.0,Anonymous Employee,Discounted meals and Co workers were nice,"Constantly on your feet, short staffed and underpaid"
8,,Good part time job,2021-08-17,3.0,Server/Waiter,Flexible hours. Good if youre in school. They close earlier for a restaurant.,Customer service is hit or miss. Most customers are respectful some are not. Management was okay. Servers forced to tip out on every bill.
9,,Miserable Management,2021-07-22,3.0,Hostess,Good food and fun coworkers,Managers at these establishments are clearly overrun and underpaid. They take it out on employees and are not respectful of our personal lives.
10,,"laid back, low stress, high pay",2021-07-11,4.0,Anonymous Employee,"Most teams were laid paid and fairly high paid for relatively little stress. (There are one or two teams that are a big exception, though)",Subpar technology. Sometimes felt like management wasn't directing well.
11,,Amazing company,2021-06-09,5.0,Associate,Great learning and place to grow as a professional,"Limited growth opportunities, depending on group"
12,,Loved it,2021-05-06,5.0,Delivery Driver,Very good food. Love customer,Bad management. Can get very hectic
13,,"Great culture, lots of perks",2021-04-23,5.0,Administrative Assistant,"The people are incredible, intelligent, hard working, and kind!",Salaries and bonus lower than other firms
14,,Okay,2021-04-23,3.0,Server/Waiter,"coworkers, schedule flexibility, awesome if you are studying for college",pay system. the chefs are the restaurants main priority
15,,serving job,2021-04-20,3.0,Server/Waitress,They're always busy so theres plenty of work,people dont tip well and alot of people try to get discounts
16,,Server,2021-04-13,3.0,Server/Waiter,Short hours with included tups.,Management was not ran properly.
17,,Culture,2021-03-09,5.0,Senior Associate,Amazing culture - network of professional and educated individuals who are looking to succeed and create an inclusive work environment,Nothing material to share for cons
18,,very good culture,2021-03-01,5.0,Vice President,people here are decent and cordial,there are some office politics
19,,Analyst,2021-02-10,4.0,Analyst,"good vacation/benefits, good salary and bonus potential",long hours for junior staff members
20,,Investor Relations,2021-02-06,5.0,Investor Relations,Great work culture and smart/driven team,No cons to mention currently
21,,Great company,2021-02-05,5.0,Director,"Have really enjoyed being a part of the firm. Good culture, smart people, competitive pay.",More interaction between groups would be helpful.
22,,Not Diverse enough,2021-02-02,2.0,Administrative Assistant,None to speak of right now,Company culture not diverse and inclusiveve
23,,Good depending on team,2020-12-31,4.0,Engineer,"Good pay, great benefits, most teams were generally friendly and laid-back (though there are a few exceptions).","Formal dress code (including ties) when I was there (although I've heard that's relaxed now). 
Software infrastructure was average , at best."
24,,It's a good place to work.,2020-05-26,5.0,Senior Trader,Many of professionals have worked together.,You always have a lot of work.
25,,"Great Company, Great Culture",2020-05-08,4.0,Anonymous Employee,Most managers seem to really care about their employees.,Some parts of firm are stuffy and rigid. Depends a lot on who your manager is.
26,,Stuffy Culture with lack.if clear direction,2019-11-10,1.0,Senior Associate,Great perks and benefits with free lunch,Workforce needs to diverse and you get ahead if your apart of an office clique
27,,Joining AG was the best decision I have ever made!,2019-03-11,5.0,Vice President,"Culture is unlike any hedge fund, PE shop, or bank. Family feel, zero egos, open door policy, and everyone is happy to teach/learn from one another.",Would be great to have more formalized mentor program.
28,,Intern,2018-11-16,5.0,,"Great perks, incredibly friendly people",There are no cons of working here
