,company,headline,date,overall_rating,author_position,pros,cons
0,Apollo Global Management,Think before joining,2022-04-21,3.0,Associate,"Good package, free snacks, insurance coverage","Work life balance nil, non professional behaviour"
1,Apollo Global Management,Ugh,2022-04-19,1.0,Principal,They pay but work you hard,Horrible culture and very political
2,Apollo Global Management,great opportunities,2022-04-14,4.0,Associate Vice President,ability to work on senior projects,can frequently have challenging personalities
3,Apollo Global Management,Apollo in India,2022-04-10,3.0,Office Manager,Great team and employee benefits,Not great pay masters and have started becoming bureaucratic
4,Apollo Global Management,overall great place to work,2022-04-07,3.0,General Counsel,"challenging environment, growth, optionality,  diversity",lack of communication; have and have nots
5,Apollo Global Management,Good,2022-04-07,4.0,Analyst,"Good bonus, good pay, good culture","Work life balance, long hours"
6,Apollo Global Management,Great Place To Work,2022-04-04,5.0,Executive Administrative Assistant,"Excellent people, challenging, fast paced","None, Much room for growth"
7,Apollo Global Management,Goood,2022-04-01,4.0,Associate Director,Good place to learn and,Bad place to raise a family
8,Apollo Global Management,Not so good,2022-03-12,3.0,Associate Director,Company offers good salary and year end bonus.,"Management do not care about employees carrier growth.
No policy/process in place to keep good employee and recognize them.
HR is passive and Annual Performance review is just a joke.
I wish that the annual performance review had some meaning other wise it's unfair to good hardworking employees. Managers are busy to get promoted to him/her self instead recognize his/her employee. Most of work will be dumped on good and hard working employee and one who doesn't do good work will enjoy simply not doing anything."
9,Apollo Global Management,Long Hours,2022-03-10,3.0,Associate,Good exit opps and good pay,Horrible hours and bad work life balance
10,Apollo Global Management,"Good Paycheck, Bad Work/Life Balance",2022-02-24,2.0,Investment Accounting Analyst,The overtime really makes for a nice paycheck,The work is incredibly tedious.
11,Apollo Global Management,"GOOD FIRM, Good pay and great offices, but also great workload",2022-02-24,4.0,Finance,"All the people around you are top performers and they push you to the limit to reach your full potential. 

Salaries are good and office environment is top notch",It can be stressful sometimes and the hours tend to be long.
12,Apollo Global Management,Great company to work for,2022-02-18,5.0,Anonymous Employee,Great company to work for.,No downside to the company.
13,Apollo Global Management,Associate,2022-02-05,3.0,Associate,Hardworking culture and success driven,Change in business model towards low return lending
14,Apollo Global Management,Excellent company,2022-02-03,5.0,Anonymous Employee,"Excellent company to work with, good pay, good bonus",There is no cons for this company
15,Apollo Global Management,Fine of you're committed to the culture,2022-01-06,3.0,Associate Director,"The firm has a good name. If you don't mind working a lot, there's definitely room to advance your career, just takes a lot of work and commitment to the culture.","It's expected that everyone work a lot. Nobody really questions it, it can be tiring."
16,Apollo Global Management,ISG,2022-01-01,5.0,Associate,Great culture which incentivizes you to work hard,Long hours and demanding with minimal work life balance
17,Apollo Global Management,Forced to leave because of bad manager,2021-12-31,1.0,Associate,Better not to say anything. The HR convinces you with 30 - 40% raise and then they switch your teams.,"A messy work place
Not well defined roles and responsibilities
If you are a CA or joined from Deutsche Bank you will only survive here.
You can not have a different opinion about process as it hurts ego of manager
They threaten to put me on PIP without any valid points and the management was supportive about it. Finally I decided to leave this place. I am very happy leaving this place and will encourage my friends not to join here."
18,Apollo Global Management,Forcing Employees to return to office,2021-12-28,1.0,Analyst,"Bonus, provident fund, health insurance, free snacks","Managers and leads have zero knowledge about the process.
Nepotism and partiality
Very very long working hours
Managers say if you do not work long hours, please find a job and leave"
19,Apollo Global Management,"Great place to work, challenges your work and ample of opportunities to grow",2021-12-16,5.0,Anonymous Employee,"Lots of perks, Good bonuses and Salaries, Knowledgeable people","Lots of manual work, Long working hours"
20,Apollo Global Management,Great culture,2021-12-03,5.0,Associate,"Culture of firm has changed - now modern, exciting, innovative. Mentorship at all levels. Flat organizational structure.","24/7 mentality, work/life balance challenging."
21,Apollo Global Management,Not a good place,2021-11-28,1.0,Analyst,Nothing. Just a normal organisation with some benefits which is not worth of working so long hours,"Highly dependent on US and UK managers
Monthly and quarterly reporting are manual
Seems all are busy here
Arrogant and useless rude managers.
God knows how these AD/Directors were hired when they do not know ABC of the process."
22,Apollo Global Management,Alternative Asset Manager,2021-11-18,5.0,Partner,Growing dynamic company changing the alternative asset management world,Demanding job that requires total commitment
23,Apollo Global Management,Good Place to Learn,2021-11-12,3.0,Associate,"Challenging, good pay, good place to grow","limited work life balance, large turn over"
24,Apollo Global Management,Stay Away,2021-11-11,2.0,Associate,"Great name on your resume. Good healthcare, free lunch.",Huge disconnect from management. Incredibly understaffed. Flat comp besides continuous record-breaking quarters.
25,Apollo Global Management,Apollo provides boundless opportunity,2021-09-28,5.0,Director,"I have found my experience at Apollo so far to be the most rewarding in my career. The firm’s culture is intense and fast-paced yet collaborative and collegial. As a relatively new employee, everyone has been so helpful and open to new ideas. Under Marc’s leadership, there is a clear vision for the firm and where we want to go. Despite significant growth, the firm still runs lean, allowing you to be entrepreneurial and try new things. 

I would also be remiss if I didn’t mention the free coffee (and cookies) and the beautiful new gym.","I think the biggest con is the misperception that people have of Apollo. It is is the most authentic place I’ve worked. Yes, we work hard and can be tireless in our pursuits, but you’re also provided the chance to work with some of the brightest minds in the industry who also happen to be really nice people. 

Hours can be long, as with all alternative firms, but the flexible hybrid working model (3/2) and “dress for your day” policies have made provided more of a balance."
26,Apollo Global Management,So far I love it,2021-09-20,4.0,Anonymous Employee,People are very nice and appreciative of your work. There are a lot of positive changes going on. Apollo had a work life balance issue which they are working hard to fix. They are growing fast so there are growing pains that will level out once everyone is hired. I feel lucky to work here and see the changes happening especially with Diversity. This is a major focus for them,Non as of yet but I will update once I see anything worth while
27,Apollo Global Management,Good place to work,2021-09-14,4.0,Associate Director,"Smart people, firm on the up, good vibe in office, free lunches",Chaotic and a lot of technology investment needed.
28,Apollo Global Management,Wouldn't recommend,2021-09-13,1.0,Anonymous Employee,Basic salary/comp is high for the industry,"Terrible culture for anyone in support roles.
US-centric without appreciation for cultural differences
Standards/ways of working/values need work
Executive/Senior management treat ONLY money makers well
Company values intellectual acumen, but they haven't evolved to embrace inclusive thinking. 
Managers aren't held to account."
29,Apollo Global Management,"Smart people, pleasure to work with",2021-09-09,5.0,Investment Accountant,"Work is stimulating, team is always cooperative","Will on occasion work late night, but few and far between."
30,Apollo Global Management,Good place to work,2021-08-29,4.0,Associate,"Growth Opportunities and employee engagement,",Work and life balance issue
31,Apollo Global Management,Everything is Not OK here,2021-08-26,1.0,Director,"Pay package, ESOP, free snacks, decent bonus.","A lot of manual work and outdated applications. This organization is 10 years behind other peers in terms of infrastructure and technology.
New processes and new establishment may not be suitable for many.
Working hours is not employee friendly, more of a late night shift 12 mid night is normal here."
32,Apollo Global Management,Great place to work,2021-08-19,5.0,Associate,"If you want to grow and learn then you should join Apollo. Top Management knows how to recognise your talent and give you platform for the same. 

Great benefit, company care about employee gives all facilities and support when required specifically They have done tremendous job in pandemic time","Nothing to mention, you should talk to people who are actually working with Apollo they will always give you positive review"
33,Apollo Global Management,Toxic Environment- Stay Away,2021-08-16,1.0,Associate Director,Salary and Bonus is all that is good.,"Management are clueless as how things are run. Extreme toxic culture where they put you down. Either you know it or not, no mentorship or appreciation. Work like crazy and sacrifice social life. CEO resigns because of his link to Epstein shows the credibility of the firm."
34,Apollo Global Management,Terrible place and useless managers,2021-08-06,1.0,Analyst,Nothing is so great about this place. Few useless directors and few blind followers. Free to leave or get fired anytime.,"Loss of mental peace
Health issues are faced by 70% of the employees because of very long hours and high pressure job
None listens to India managers"
35,Apollo Global Management,Get your bonus and leave,2021-08-03,1.0,Anonymous Employee,"Money
Great bonus 
High quality food and snacks in office","Antiquated business model 
Resistance to new technology 
Controlling bosses
No diversity: investment team / people in power are very rich white men and give help to others who look like them 
Bottom-heavy team: people are overqualified for their roles and cannot grow"
36,Apollo Global Management,No growth and No Hope,2021-07-26,1.0,Analyst,"Medi Claim, Provident Fund, Bonus",Such a bad place and worst managers.
37,Apollo Global Management,"Such a bad workplace, will encourage people to do a proper research before joining here",2021-07-15,1.0,Associate,Joined recently and I find this place even worst than my previous organisation.,"You might end up with neglecting your family as working hours goes beyond 11 to 17 hours 
Very difficult to manage as so many unnecessary meetings during night time.
Just recovered from corona, not fully fit still working long hours.
No personal life, employee burnouts, attrition is new normal here"
38,Apollo Global Management,"BPO culture, high attrition, very stressful workplace",2021-07-15,1.0,Associate,"Other than Total compensation, I do not see any thing positive here","The list is endless.
1. Hiring process is not transparent, unless you are referred by an Apollo employee, they do not consider the profile. Most of the leads are hired from DB and are females. Attrition rate is much higher in teams where the Deut guys are leads.
2. Work life balance goes for a toss from the very first day of joining in this organisation
3. So many employees have left during this trying times. Either they were fired or got better opportunities outside
4. Directors are hired here to conduct Friday fun, Tuesday Trivia
5. Full of arrogant, mannerless managers
6. Politics at its best, right hand man of AD/Directors takes all the credit
7. The IT and infrastructure sucks here. Outdated platforms and full of manual work
8. 9 hours of job is a dream, working till mid night and over Weekends on Month - End is normal
9. I have never been to office, but heard colleagues talking about, how the culture was before and how the culture is now.
10. Such shameless are managers, asking to work when someone is sick"
