,company,headline,date,overall_rating,author_position,pros,cons
0,Bain Capital,Great reputation and training but a bit behind the times,2022-04-23,4.0,Vice President,Great historic reputation with a rigorous approach to investing. Full of incredibly smart people.,Can be too academic and a bit stuck in the old days of investing
1,Bain Capital,Experience,2022-04-20,5.0,IT Senior Operations Engineer,"Professional, welcoming, family orientated, training, full of talent.","Decision making, too much control from head office, processes, career growth in certain departments."
2,Bain Capital,Avoid,2022-04-14,2.0,Anonymous Employee,Highly paid (like the industry),They take their pound of flesh
3,Bain Capital,Very healthy atmosphere,2022-04-13,5.0,Helpdesk Support Engineer,"Good pay, intelligent colleagues, very nice environment",To say it’s busy is an understatement. Few breaks.
4,Bain Capital,Good!,2022-03-26,4.0,Associate,"Nice People, strong work ethic","long hours, standard for the industry"
5,Bain Capital,Bain review,2022-03-26,4.0,Treasury Manager,"Cushy offices, smart front office",Back office is so disorganized
6,Bain Capital,Great firm,2022-02-23,5.0,Anonymous Employee,Takes care of its employees with supportive workplace culture.,None that I can think of.
7,Bain Capital,Awesome company,2022-02-13,5.0,Associate,Amazing company . Truly care about the development of their employees.,No cons I can think of.
8,Bain Capital,Great Workplace!,2022-02-10,5.0,Anonymous Employee,"- great people
- great office
- important work",- hard to move up latter
9,Bain Capital,Would not recommend,2022-02-03,1.0,Portfolio Operations Associate,"The office is very nice
The work is challenging and can be rewarding","Portfolio operations associates were incredibly overworked, with just too much work to go around and not enough employees
There was a constant shifting of roles due to high turnover, so just as you began to feel comfortable in your role you start back at square one on a new team. This really affected productivity and moral of the team.
Management was threatening and often just rude during meetings, making fun of other workers behind their back. It was not a learning environment that was advertised, it was sink or swim with little support from management."
10,Bain Capital,great firm,2022-01-29,5.0,Anonymous Employee,great place to learn. smart people,can be too process oriented
11,Bain Capital,Money and Work,2022-01-27,3.0,Financial Analyst,Money is good money money,Work is work work work
12,Bain Capital,Not a great place,2022-01-25,3.0,Anonymous Employee,Good salary and decent policies,"No work ethics, can’t have personal time even during holidays"
13,Bain Capital,Great place to have worked straight out of college.,2022-01-10,5.0,Associate,"Significant responsiblity over the investment process.
Generalist experience across various sectors.
Competitive associate salary.
Good career progression.","Success is very manager dependent, some invest in your growth more than others."
14,Bain Capital,Great place to work,2021-12-17,5.0,Investor Relations Operations Associate,"Great salaries, great smart people, good work life balance and benefits",no bad things to say
15,Bain Capital,Not Bad,2021-12-16,4.0,Senior Finance Associate,profit sharing was fantastic and work life balance,micro management by upper management
16,Bain Capital,"(Fund Accounting) Great Pay, Smart People, but look elsewhere for a 9-5",2021-12-09,5.0,Senior Finance Associate,"-Excellent pay, bonuses, benefits. Raises are fair. 
-Very smart people. Colleagues are nice and mostly competent
-Boston office is insanely nice (views of Public Garden/Harbor, chef kitchen, free breakfast/coffee/snacks)
-Never been denied vacation, used all my days off
-Young, energetic teams (similar to Big 4 culture)","-Gets busy (better than public accounting, but not a 9-5)
-Work is not meaningful (fund accounting)
-Deals can pop up and fall through on a day’s notice. You can unexpectedly have a 12-hour day
-Training is nonexistent. Learn as you go/sink-or-swim
-Working for rude/demanding MDs is exhausting. But that’s PE. At least the accountants are nice."
17,Bain Capital,Amazing,2021-11-29,5.0,Associate,"incredible people, environment, platform, mentorship",cant think of any - love it.
18,Bain Capital,Great firm,2021-11-27,4.0,Manager,"Great leadership, vison and benefits",The structure could be more lean to improve productivity
19,Bain Capital,Good place to work,2021-11-16,5.0,Private Equity Analyst,"Great people- hard-working, but also care.",Long hours and stressful moments are common
20,Bain Capital,Great place to work,2021-11-15,4.0,Director,"Competitive compensation (base, bonus, profit sharing) 
Good benefits
Lots of opportunities for growth and development
Beautiful office with gym and dining room (Boston office)",Work life balance not always great - had its ups and downs
21,Bain Capital,Great company with wonderful opportunities,2021-11-10,5.0,Associate,"Intelligent people, hard working culture, and very supportive.",Can’t think of any cons
22,Bain Capital,Sales,2021-10-27,1.0,Sales,Timing delegation and experiences for new comers,Paying lesser than job scope
23,Bain Capital,Great company,2021-10-15,5.0,Anonymous Employee,"Lots of perks, the company really looks after you and put you in the best position to do your job effectively.","Long hours, but in this industry it's a given."
24,Bain Capital,Fine Company,2021-10-12,4.0,Senior Analyst,Smart Talented People who are engaged,Long hours and complex structure
25,Bain Capital,Meat Grinder,2021-10-05,2.0,Senior Director,"Surrounded by intelligent, capable people",Who are unconvincing as human beings
26,Bain Capital,"Great Compensation, bad reputation",2021-10-04,4.0,Managing Director,"As an early leader at Bain I did many deals. My compensation ended up creating generational wealth that I am very thankful for. I got to work with many smart, talented people.","Unfortunately when I transitioned to a more PR sensitive industry, common PE practices (right sizing, alternative sourcing) became an issue in an extensive interview for an executive government role."
27,Bain Capital,flexible,2021-10-03,3.0,Executive Assistant,"flexible hours 
good pay 
work culture",location is not close to home
28,Bain Capital,Co-op,2021-10-03,5.0,Anonymous Employee,They have nice colleagues. They are hard-working and helpful.,No cons. Great work environment. Would recommend
29,Bain Capital,Great people,2021-09-28,5.0,Associate,Great people. Train. Teach. Opportunity to learn across the deal structure,Long hours and high expectations
30,Bain Capital,Robert Balis is the reason this company works,2021-09-22,3.0,Junior Trader,Bob is a man of his word,Bob dose not miss alex anymore
31,Bain Capital,"Seriously, don't bother.",2021-08-20,1.0,Anonymous Employee,Great food and the kitchen staff is really nice.,"Really, don't do it. Garbage company and HR is horrible and ineffective. Not worth it. Also, zero work life balance. Live your life, work somewhere else. This company doesn't care."
32,Bain Capital,Great People,2021-08-18,5.0,Finance Associate,Great people to work with,Hours can sometimes be long and stressful
33,Bain Capital,Good company.,2021-08-18,4.0,Associate,Challenging place to work and constantly pushing you to learn and improve. Great people and awesome work environment when in the office.,The work life balance can certainly be improved. Work load and expectations can often exceed what is possible and it can become very overwhelming very fast.
34,Bain Capital,Great,2021-07-26,5.0,Analyst,Great culture and people and it is very intellectual and interesting work; Have enjoyed it,"I do not have any cons for bain capital, it has really been great overall"
35,Bain Capital,Great benefits,2021-07-20,4.0,Program Manager,Job security due to only hiring head count,Lower salary but overall compensation is great. Turnover.
36,Bain Capital,Good firm,2021-07-20,4.0,Associate,"Smart people, strong investing track record","Hierarchical, at times fairly bureaucratic and political"
37,Bain Capital,Great stable company,2021-06-23,3.0,Manager,good leadership in North America,"stagnant salaries, global drives projects"
38,Bain Capital,x,2021-06-22,5.0,Associate,It was very great and would recommend,Not much work life balance
39,Bain Capital,Assistant Manager,2021-05-29,4.0,Anonymous Employee,Very good company with many opportunities,Not that I can remember but workload can be adviced.
40,Bain Capital,Reinventing the wheel,2021-05-28,2.0,Director of Operations,Their compensation package is competitive,Way too many analysts who recommends processes that were already being performed before the buy-out
41,Bain Capital,Nice Job,2021-05-24,5.0,Senior Associate,The leadership at the firm is great,Work hours are sometimes not flexible
42,Bain Capital,Great firm,2021-05-19,5.0,Intern,"1. Great mentorship
2. Great comp
3. Upward mobility",Upside more than compensates for this
43,Bain Capital,Horrible,2021-05-17,1.0,Executive Assistant,subsidized lunch and gym with a nice view,You have zero value on some teams. No consistency across departments for Admin standards.
44,Bain Capital,Great company,2021-04-15,5.0,Vice President,"Great people, interesting work, great pay","Intense, fast paced work. Have to live in Boston"
45,Bain Capital,Great firm,2021-02-24,5.0,Intern,"Great company, great employees, and values",No cons that I can think of
46,Bain Capital,Good company with good pay and benefits but work hard needed,2021-02-17,4.0,Finance Associate,"Money, benefits, reputation of company","Hours, work/life balance, flexibility (with wfh especially pre COVID)"
47,Bain Capital,"Decent salary and benefits, little else to be excited by",2021-02-16,3.0,Marketing,"Good salary, comparable benefits, the ability to work with smart people across the organization and externally.","Poor management, especially in my BU, a culture that is very self-starting, but to a fault. New hires should not be expected to onboard themselves or have no sense of mentorship/people to turn to within the company."
48,Bain Capital,Associate,2021-02-14,3.0,Anonymous Employee,Great environment and great people.,Long hours and stuffy environment
49,Bain Capital,Good company,2021-02-03,5.0,Research Assistant,Great coworkers and loved the neighborhood.,I have nothing negative to say about my experience.
50,Bain Capital,Great perks,2021-01-19,3.0,Executive Assistant,"Perks, free food, holidays, bonuses",Upper management can treat staff below them poorly
51,Bain Capital,Good company to work with,2021-01-13,4.0,Manager,"you learn a lot
you get to work with people
from different places
good pay
you learn a lot of things in finance","busy
other than pay and bonus ( limited health insurance plan) no other distinct appealing benefit"
52,Bain Capital,great firm,2021-01-12,5.0,Private Equity Associate,smart/analytical people; thoughtful and considerate (particularly for finance),PE is a lot of work. can be overly precise
53,Bain Capital,good opportunity,2021-01-08,4.0,Analyst,good benefits and learning opportunities,"limited locations, work life balance"
54,Bain Capital,great,2021-01-07,5.0,Student,"culture, pay, learning, mentorship, exit opportunities, support","work life, no diversity, homogenous culture, boys club"
55,Bain Capital,Great training,2020-12-29,5.0,Associate,"Great training, sharp colleagues, considerate leadership","Long hours, unpredictable expectations, degree of frat culture"
56,Bain Capital,Great culture and environment,2020-11-05,5.0,Analyst,Fantastic team members and challenging work,Office closed for covid 19
57,Bain Capital,One of the best consulting firm,2020-10-27,5.0,Associate,"Good money, very smart people",Work-life balance can be tough depending on cases
58,Bain Capital,Best Place to Work,2020-10-24,5.0,Vice President,"Highly-educated, intellectual yet down-to-earth people with integrity",Culture is a bit political
59,Bain Capital,Great company to work for.,2020-10-23,5.0,Administrative Assistant,Great team spirit. Supportive environment,Sometimes can be long hours.
60,Bain Capital,Excellent,2020-10-17,5.0,Associate,Great reputation and brand name is deserved,Culture can be tough at times
61,Bain Capital,Great place to work,2020-09-24,5.0,Analyst,"Culture, coworkers, research, good compensation",long hours but that is normal for the industry
62,Bain Capital,Great experience,2020-09-22,5.0,Vice President,"- Create opportunities for you if you are able to establish yourself in the system
- Great team 
- Ability to drive real impact",- Work life balance can be tough to maintain (unless you push for it strongly)
63,Bain Capital,Great Place to Work,2020-09-22,5.0,Financial Analyst Intern,Driven and Intelligent Coworkers who want to see you do well,five word Minimum - No Cons
64,Bain Capital,Solid culture,2020-09-14,4.0,Financial Analyst,Great learning and growth oriented,High pressure and old boys club
65,Bain Capital,High quality firm,2020-09-05,3.0,Investment Analyst,High quality diligence and portfolio management,"Hard work, lots of politics"
66,Bain Capital,Terrible people management,2020-08-30,1.0,Administrative,The in-house benefits were good,It’s hard to find any positives with this firm
67,Bain Capital,Couldn’t be happier,2020-08-06,5.0,Anonymous Employee,"Unparalleled culture, wonderful people personally and professionally, transparency and communication, constructive feedback in real time, growth and learning opportunities, work/life balance.",Many (zoom) meetings in a day.
68,Bain Capital,Rewarding experience,2020-08-03,5.0,Anonymous Employee,"Good people, good food, great environment overall",Occasional workplace tensions but that's pretty normal
69,Bain Capital,definitely great place to work,2020-08-01,5.0,Associate,"the people are fantastic, culture is great",none that really come to mind
70,Bain Capital,Great People and Great Benefits,2020-06-22,5.0,Finance Associate,"The people are so smart and so friendly, I have yet to meet someone who isn't ready and willing to help with any task or question. Great benefits including profit sharing and cash bonus, office facilities have snacks and drinks stocked, barista on staff, and cafeteria is excellent. Great work-life balance, team is always encouraging people to take time off and leave the office on time.",Technology could be a little more integrated/advanced but they're constantly updating and looking to improve. But the IT department was able to get the whole office set up to work remotely in under a month when the COVID-19 WFH order started
71,Bain Capital,Good firm,2020-05-21,4.0,Vice President,High repuration and good team members,"Hirarechal, and too analytical sometimes."
72,Bain Capital,Good learning place,2020-04-28,4.0,Associate,"Deep biz did experience
Stable organization","Too large organization
Relatively low compensation
Too much internalized work"
73,Bain Capital,Excellent Opportunities for growth,2020-02-21,4.0,Senior Project Manager,Good care by Management For Staff,"Burnout, Lack of Time to rest"
74,Bain Capital,A great place to work,2020-01-18,5.0,Managing Director,"Results driven culture
High performance environment
Exceptional people",Can be stressful at times
75,Bain Capital,"Great people, supportive culture and good learning environment",2020-01-02,5.0,Analyst,"- Smart and motivated colleagues
- Partnership culture: people are supportive and care about you
- Great place to start in investment: they are used to hiring junior people so they know how to work with them and train them (on the job and through specific sessions)
- Very strong brand that opens doors","- Large organization now: progression is slow and structured, political
- Demanding work but you would expect that in the industry
- Not very responsive to employee's development desires: used where you are needed instead of where you want / it would make sense for your development"
76,Bain Capital,Great place to grow and learn,2019-12-03,4.0,Manager,"It is an incredibly intelligent environment. People with great values and qualities all around, often felt like a family. Great perks.","Room for improvement in giving employees a voice, clear distinction between deal staff and support services, no work life balance and they basically own you."
77,Bain Capital,Long hours and little reward,2019-11-22,1.0,Portfolio Operations Associate,"There are a lot of really driven and hard working people. Perks include: free breakfast, onsite gym, and an annual service day.","The hours are unreasonable for the pay. Expect to work until 10 or 11 pm the first three weeks of every quarter and the first three business days of the month. You have to work on 4th of July, New Year's day, and other holidays. That is not an option, its an expectation. Long hours and hard work do not get rewarded, rather management chooses to promote their favorites. Management treats the operations team like sheep not people. Work life balance is not respected whatsoever. This obviously varies team by team so do your homework."
78,Bain Capital,Very enjoyable work environment,2019-11-19,5.0,Vice President,Very thoughtful and collegial environment,There are some people who are not pulling their weight.
79,Bain Capital,Great Company!,2019-10-31,5.0,Associate,"Competitive pay , bonus and profit sharing. Top class facilities. Fulfilling work and endless opportunities to grow and develop.",Nothing comes to mind.
80,Bain Capital,Professional environment,2019-10-07,4.0,Operations,"Good people, professional processes, great perks",Can be a bit more innovative / entrepreneurial
81,Bain Capital,Wonderful company to work for.,2019-07-18,5.0,Executive Assistant,Colleagues were wonderful; excellent benefits; free breakfast.,Long hours; always expected to be reachable via blackberry.
82,Bain Capital,"It's yes, sir....coming sir!  Or you won't last long.",2019-06-24,1.0,Manager,Nice facilities and the food is terrific.,Zero work/life balance.  Culture of fear.  Keep your head down or it'll get lopped off.  I can't wait to get out and do something worthwhile.
83,Bain Capital,Excellent Place to Start Your Career,2019-05-30,5.0,Analyst,"Huge focus on professional development. Senior members of the deal staff spend significant time providing feedback and advice. Ideal place for first job out of college,","As with all investing, there are long hours. Still good work-life balance relative to other megacaps."
84,Bain Capital,Good company,2019-05-22,4.0,Anonymous Employee,Good company to work for,Work life balance might be difficult at times
85,Bain Capital,"Excellent culture, but below market comp",2019-04-30,4.0,Anonymous Employee,"Great culture, good perks, great people",Below market for comp.
86,Bain Capital,Harvard Club,2019-04-20,5.0,Anonymous Employee,"intelligent people, collaborative, great network, excellent benefits, & pay",no work life balance at all
87,Bain Capital,Great investment firm,2019-02-21,5.0,Principal,Great culture and competitive compensation,Work life balance can be variable
