,company,headline,date,overall_rating,author_position,pros,cons
0,,amazing company but wish culture was just a tad better,2022-04-08,5.0,Trader,"incredible ambition, energy, sky is the limit. Nothing would stop people to get things done. I learnt an incredible amount and felt I was pushed beyond what I thought I could ever do. Whilst I decided to leave to pursue an opportunity elsewhere I do miss the determination I had there. I am a diverse individual and I never felt discriminated against or heard of anything like that. However, it is mostly white males around, I would recommend the diverse folks to look past this because you will end up seeing the entire differently after you work there!","People are incentivised to work for themselves only and not as part of a team in general. Some people at the top could do with learning how to communicate politely and to control their own emotions. I also found a lot of people tried to discourage new joiners I suppose to make them scared or something like that, pretty poor of those people, but I now know who they are and will make sure to warn people I know against them wherever they go as I don't think this is what Ken Griffin wants his people to do. It is still worth working for Citadel for the sheer amount of abilities you discover you had untapped.
the other downside is that don't even think about moving internally...it s a lot easier to get the next job you want elsewhere with the citadel on your cv than to waste your time trying to move internally."
1,,Great Company,2022-04-06,4.0,Trader,Good pay and top notch benefits,Company is top heavy making it tough to climb the corporate ladder
2,,Great place to work,2022-04-04,5.0,Analyst,"Incredibly smart colleagues, performance-driven and meritocratic culture","High pressure, sometimes toxic personalities survive due to having alpha generating capability"
3,,Harsh environment,2022-04-04,3.0,Software Engineer,Full autonomy and lot of room to grow. Good compensation.,Stressful office culture and frequent oncalls
4,,Get to work with great people and have a large impact. Always learning,2022-04-02,5.0,Anonymous Employee,Great people. Big impact. Always learning.,None that come to mind.
5,,"Smart people, toxic culture",2022-03-31,3.0,Quantitative Trader,very smart peers you couldn't find in most of other tech firms,"very toxic culture, they can fire you immediately without pip period"
6,,Gets old,2022-03-30,3.0,Diatary Aid,Stable work environment and nice staff,Old building that need to be maintained
7,,Really good pay,2022-03-19,5.0,Production Support,Comp; intelligent coworkers; amazing perks,Very fast paced environment; a lot of turn around
8,,Good,2022-03-19,5.0,Software Engineer,Good salary in the company.,Too much work in the company.
9,,Great place to get good,2022-03-14,5.0,Quant Researcher,Awesome people. Great training. Hard problems.,Can get very competitive. Not for the faint of heart.
10,,Financial and Accounting Intern,2022-03-14,5.0,Financial Reporting Intern,Flexibility with work and school,None. Working here so far has been amazing
11,,bad culture,2022-03-01,3.0,Quant Researcher,"good pay, that is, if you made it","very long hours, cutting throad environment"
12,,High performance environment,2022-03-01,5.0,Quantitative Researcher,Motivated smart people. Outcome oriented.,"Can be intense, need to commit."
13,,Great place to learn,2022-03-01,4.0,Citadel Investment Group,"- Super talented people
- Great perks",Aggressive to achieve goals which is not a con at all
14,,Great Place to work,2022-02-24,3.0,Senior Software Engineer,Smart people Fast Pace Great Perks,Too much work Unorganized teams
15,,Review,2022-02-22,5.0,Receptionist,"Everything is fine, nice atmosphere, good job","Nothing to say , nothing cons."
16,,Archaic company,2022-02-18,1.0,Senior Software Engineer,The salary was pretty much the only good part of it,Pretty much everything else sucked
17,,Great if you like the work (Asset Management),2022-02-12,5.0,Quantitative Developer,Huge opportunity to learn from and work with the best traders and developers. Citadel will do everything (within reason) to help you be effective. I haven't stressed out about feeding myself in ages.,"Not strictly a con, but a generally less mature infrastructure compared to tech companies or CitSec is unpleasant to work with and is not for everyone. However, if you are able to improve it, then you will be recognized for your efforts."
18,,Revolving door,2022-02-11,3.0,Quantitative Researcher,"Good benefits, that is it.","No WLB, no respect, no job security"
19,,Not recommend,2022-02-10,2.0,Analyst,"Resources (access to management, broker, third party research, high frequency data)","Cut throat culture 
High stress 
High turnover"
20,,A good place to work if you are tech savvy,2022-01-24,4.0,Shipping Analyst,"Good culture, employees are respectful incentivized to outperform.
Internal promotions are encouraged.",Management regularly postpones meeting while you are waiting for them to join. Its expected rather than exception.
21,,Great place to grow and learn,2022-01-20,4.0,Quantitative Researcher,"People are very talented, dedicated and nice to work with. Things evolve fast with little red tape",Little emphasis on work life balance
