,company,headline,date,overall_rating,author_position,pros,cons
0,,Awesome place,2022-04-16,5.0,Anonymous Employee,"Great people, great benefits, management cares.",Mid town Manhattan isn't for everyone.
1,,it's a good opportunity,2022-04-09,3.0,Finance,I see this opportunity as a way contribute to an exciting and I feel I can do so with my hard work I feel my skills are particularly well suited to this position,be specific about why they were challenges
2,,Amazing company,2022-03-24,5.0,Analyst,Really good people culture and benefits,"Lower than market comp, long hours, hard to get a promotion"
3,,"Seems like a great place, but if not top lead investor on a product there are better places to work",2022-03-16,2.0,Anonymous Employee,"Pays well if on the investment side and leading a team/group
Operationally really well run (see below for strategy) 
Great benefits including gym, free food, etc.","Pays below market for non-revenue generative roles and for non 'PM' level investment jobs 
Non-innovative place 
Management mistakes are significant with no repercussions - see handling of Dan Michalow and non-compete implementation 
Often focused on the minutiae 
Lots of talk about the importance of diversity and inclusion without any real progress 
Academic snobs 
Real succession problem that is glossed over by having an executive committee even though David Shaw still owns a large chunk of the firm"
4,,great,2022-03-08,5.0,Anonymous Employee,best company to start your career,at times it becomes very hectic and a lot of pressure
5,,Amazing place,2022-02-17,5.0,Anonymous Employee,"Smart coworkers, principled leadership, stimulating work","Sometimes too many back-end processes, but nothing that significant"
6,,Amazing,2022-02-13,4.0,SVP-Technology,Smart people and strong culture,Sometimes it’s too political and not meritocratic
7,,Best company,2022-02-07,5.0,Graphic Designer,Timing shifts is reliable and training is super,Salary is allowable and timing also comfortable
8,,Great overall,2021-12-16,5.0,Analyst,Great culture and people overall,Long hours but expected in the industry
9,,Great company,2021-11-27,4.0,Email Marketing Specialist,great work culture and good pay,Work quality could be improved upon
10,,Good place,2021-11-21,5.0,Programmer Analyst,Good place. Greatpay and work environment,None to speak of really
11,,Mast,2021-10-27,5.0,Electrical Engineer,Very nice apps is advance.,Disadvantage is very poor thing in your life.
12,,Decent,2021-10-10,4.0,Finance Associate,"Decent to work, good CTC","Difficult to get into, MNC struggles"
13,,Great,2021-09-17,5.0,Internship,Great 💰happy experience like this place,Could not find any bad side
14,,Great Firm,2021-09-09,5.0,Senior Financial Analyst,"Great work culture, employee benefits and engagement",Quality of work can be improved
15,,Work Culture,2021-09-07,5.0,Member Technical,"Flexible work hours, ownership for critical projects from starting",Less exposure to technologies and practices in the field of Software
16,,Great,2021-09-04,5.0,Developer,"It's great here, no downsides","None to speak of, honestly"
17,,Good,2021-08-05,5.0,Associate,Best nothing to Sat it is wonderful beautiful I am speechless grateful to work there what a place my god,Worst nothing to Sat it is wonderful beautiful I am speechless grateful to work there what a place my god
18,,Good,2021-08-05,5.0,Quantitative Trader,Well great income and ye,Stressful super stressful sleepless night
19,,Great,2021-07-15,4.0,Trainee,"Great team , great place to work and grow",Lack of order in work
20,,Chill Environment Hedge Fund,2021-07-11,4.0,Receptionist,"Diverse environment, room for growth.","Promises growth, unwilling to match with compensation."
21,,Great firm,2021-05-21,5.0,Trader,"- Lots of responsibility from the get-go
- Great benefits/salary and work-life balance
- Very chill culture with respectful and hard-working colleagues
- Very big hedge fund with lots of resources",- A bit bureaucratic by being a large firm
22,,Good,2021-05-16,5.0,Associate Software Engineer,Good better best effort experience,Nothing now sir we will
23,,Was okay,2021-04-21,3.0,Intern,"smart people and
some cool projects","long hours
intellectual burnout
lack of mentorship"
24,,D.E. Shaw is a good place to work.,2021-04-21,4.0,Administration,The company has great perks and is not as formal as other finance firms.,Difficult to get a raise.
25,,good company,2021-04-07,3.0,Investment Analyst,this is a great company with good benefits and nice co workers,i cant think of anything really besides the fact that the office building seems old
26,,"Great pay, great perks, average tech",2021-04-04,4.0,Senior Member Technical Staff (Software Engineer),"1. Top of the line compensation
2. Best perks (cab, free food, firmwide/team parties and outings are very common)
3. Very employee friendly, they care about their employees","1. Average (slightly outdated) tech stack
2. No room for technical growth"
27,,great,2021-04-03,5.0,Coder,great place to work really,there are no cons really
28,,DE Shaw,2021-03-30,4.0,Associate Finance Analyst,"Nice working culture, Employee friendly environment of company",Difference between CTC and Base pay my CTC was 19LPA and base pay was 7.5LPA
29,,Nice place to work at times,2021-03-23,3.0,Executive Assistant,"Great cold brew and snacks, office space is wonderful","Difficult for upward growth, lack of communication regarding comp, DEI efforts can be much stronger"
30,,Good,2021-03-22,5.0,Anonymous Employee,Good environment and work culture,Nothing much to say about all good
31,,Trader at DEShaw,2021-03-14,5.0,Trader,"very smart coworker, working hours are relatively short compared to other banks",nothing really as I know
32,,Good,2021-02-20,5.0,Financial Services Representative,It is the best firm to work at,No such cons I faced
33,,Great culture and compensation,2021-01-10,5.0,Analyst,"Really interesting work 
High performing yet down-to-earth culture 
Very competitive compensation","Can sometimes feel bureaucratic, upward mobility seems very dependent upon a spot being available via turnover"
34,,great company,2020-11-18,3.0,Senior Analyst,Company with good pay and culture !,Work life balance can be an issue
35,,It's a great company to lookupto for freshers,2020-10-28,5.0,Anonymous Employee,"Great package, amazing career growth and work culture",Maybe the hiring process it's little tough
36,,nice firm,2020-09-20,5.0,Analyst,a very good company indeed,i feel sometimes stressful working here
37,,very good,2020-08-16,4.0,Anonymous Employee,I loved the environment there,Couldn't find any con except it can be stressful sometimes
38,,Great perks,2020-07-21,4.0,Financial Research Associate,"Lots of parties and fun
Unlimited sick leaves
Employee friendly",Work may or may not be good depending on the team
39,,Excellent working environment,2020-07-20,5.0,Anonymous Employee,"Smart, ethical, and hard-working co-workers.

Company invests in their employees in the long term.

Top of the industry.",Your work does not have a direct impact on the world.
40,,"Smart and generally kind people, pretty meaningless work",2020-06-17,4.0,Investment Professional,"Relaxed work environment for an investment firm
Staff are bright, interesting and generally kind people 
Pay is very generous relative to most industries (not sure about relative to other hedge funds)","Work is pretty meaningless - if you seek a sense of purpose in your work, this probably isn't your industry
As of a few years ago, investment in diversity, equity, and inclusion was poor
Perspective of leadership was over-focused on finding ""smart"" people rather than developing people and team"
41,,best company to work at,2020-04-25,5.0,Research Engineer,Your cow worker will be very kind and supportive.,"There will be times when the work is tough,but remember to stay focused"
42,,Good Experience,2020-03-01,4.0,Financial Research Analyst,"Great working environment 
if you work hard, your effort will be rewarded",work life balance is not that great
43,,Analyst,2020-02-16,5.0,Analyst,Good Company and good people to work with,Limited resource which makes work life little hectic
44,,Best company to work for,2019-11-03,5.0,Anonymous Employee,Amazing infrastructure and work culture.,Mostly will be working on the same project for longer time.
45,,Great firm smart people,2019-07-22,5.0,Anonymous Employee,"Intelligent people, nice office, nice perks (nap pods, treadmill desks, etc)

Great culture and food offerings",Pay is slightly below market
46,,An unconventional HF,2019-06-15,4.0,Anonymous Employee,Unique longevity and awesome culture of learning.,Reward mechanism is very normalised thus is not as gratifying for performance and not harsh for non performers
47,,D. E. Shaw & Co. - Investment Firm Review,2019-04-21,5.0,Quantitative Research Analyst,"Good salary, great benefits but greater people.","None specificly, I am satisfied."
48,,Everything is awesome except the work quality,2019-04-13,4.0,Senior Member of Technical Staff,"- Competitive pay
- Awesome people","- An environment which promotes staying extended hours in office.
- Poor work quality."
49,,Sinking boat,2018-11-30,1.0,Quant,Good culture. Flexible working hours and good people.,The return of portfolio is not good compared with competitors. Too much advertisement while new people comes in only to find limited job duty and lower pay compared with competitors. Many people leave.
50,,prestigious company,2018-09-28,4.0,,very good salary and intelligent people,high expectations and steep learning curve
51,,"Great, positive place to work",2018-09-16,5.0,Human Resources Coordinator,Great collegiate environment with interesting work and caring coworkers.  A firm culture of excellence pushes you to be the best you can be.,"Depending on the position, work hours can be lengthy and not as structured as a 9-6 position. Most people are very work focused and can be seen as workaholics."
