,company,headline,date,overall_rating,author_position,pros,cons
0,Ally Financial,Good Company/Benefits,2022-04-23,5.0,Data Analyst II,Good Company/Benefits. Laid back place to work for the most part.,Work somewhat repetitive. Management lacking sometimes.
1,Ally Financial,ugh- great paycheck,2022-04-23,3.0,Customer Service Representative,"good benefits, fair pay for the area.","expect to be treated like a robot. forget that you are human once walking through the door. understand you are on your own. 
very toxic 'we are a family' environment"
2,Ally Financial,Fall in line,2022-04-21,1.0,Manager,"Banking industry, good benefits, tries somewhat to care about diversity, pto is good.","They say the return to office is for the culture, but after returning to office, I am reminded after 5 years here that they really put the cult in culture. The company communications are filled propaganda. Meetings are filled with toxic positivity while the issues are ignored. Leaders use the same fake corporate speak repeatedly to try and force you to conform. They don’t value true contributions, learning differences, differing personalities etc… Fall in line like a robot or else. 

Leaders frequently use brainwashing cult language such as assimilate, dedicated, better together, etc…. The leaders in my department are all sexist men who don’t treat female employees equally. We don’t want to return to the corporate brainwashing office where we experience sexism, microaggressions, micromanaging, forced distracting socialization, no personal boundaries, constant disrespect, and classism/elitism. Stop stealing our time with forced commutes. The pay at Ally isn’t even that good. They always say they are an industry leading employer but that is far from true. Their pay is middle of the road, their flexibility with remote work is tight compared to industry competitors and other major employers, they only promote based on cliques and you will not get ahead if you don’t brow nose, become personal friends with a senior leader, work 60-hour weeks, become a mindless corporate drone, or are a white male. Leaders do not respect those beneath them and do not speak to us with respect. The old GMAC culture shines through. They try and force this young, hip, and inclusive culture but that is just surface level. They are the same outdated GMAC they always were in how they treat their employees."
3,Ally Financial,Best company to work for,2022-04-21,5.0,Compliance Analyst,Everything from benefits to culture to people,None that I can think of
4,Ally Financial,Great Company. Bad Department,2022-04-21,4.0,Sr insurance specialist,Great Company. amazing benefits. Can move to great positions to other departments,Insurance Property & Causality team is horrible. Old Boys club of insurance. Managers have no idea what employees do. Management is in micro managing and doesn't care about producers.
5,Ally Financial,Great Working Environment!,2022-04-17,5.0,Manager,Truly the most friendly and collaborative working environment I've experienced in two decades.,There are none yet - in over a year of employment here.
6,Ally Financial,Great,2022-04-16,5.0,Customer Solutions Supervisor,Great company and great culture,None at the moment right now
7,Ally Financial,Good starting place to work,2022-04-16,3.0,Customer Solutions Representative,"Great benefits, good pay depending on your sales experience for commission.",Management is a hit or a miss.
8,Ally Financial,Working environment,2022-04-13,5.0,Software Engineer(Internship),Good working environment with professional people,It provides loads of work
9,Ally Financial,the reviews are true!,2022-04-12,5.0,Human Resources,"Great company, cares about their employees, and their community",interview process can take time
10,Ally Financial,They care about you,2022-04-12,5.0,Anonymous Employee,A company that actually cares about their people!,Pay may be a little less than some other banks
11,Ally Financial,Good benefits,2022-04-11,4.0,Cybersecurity Manager,Ally pays well and offers good benefits.,It is not always easy to move laterally to learn more and you could become siloed.
12,Ally Financial,Do It Right Culture,2022-04-11,5.0,Supervisor,"Benefits, Culture and Career Growth Opportunity.",None at the moment. Great company.
13,Ally Financial,Collections,2022-04-07,4.0,Customer Service Representative,"Relatively easy job. Follow the rules and laws learned during training. Do your job the way it is expected. You will do well. Room for advancement within the company, work from home available, bonuses based off your performance.","Dealing with rude, disrespectful clients. Being in teams that don’t work well together to meet the team goals. Moves happen monthly sometime, never constant."
14,Ally Financial,A company that cares,2022-04-07,5.0,Customer Solutions,Great Benefits. Great pay. Stepped up tremendously during the pandemic.,Only thing I will say is we can continue to WFH and affect business productivity.
15,Ally Financial,Awesome job,2022-04-07,5.0,Associate Specialist,Very supportive. Can work from home. Learn a lot about options and margin.,May be difficult to advance.
16,Ally Financial,Biased,2022-04-06,1.0,Anonymous Employee,"Overall, the company tries to encourage diversity and inclusion however, sadly the miss the mark.","The company tries to live by their diversity principles but they fall short in the operation department, especially outside of the Charlotte office. The Operations department is rampant with sexism and favoritism. Most operations employees are women however, women don't have a leadership voice and are not given the opportunity to advance. All Operations leadership are men.

In Jacksonville all leaders are men. They were far more qualified women who applied for those positions but it is well known they only promote men. They are regularly dismissive and condescending to women in meetings. They give female employees administrative duties far below their position. They are more harsh with write ups for women. They make condescending comments about women's abilities in the workplace. Women's work and ideas are taken credit for by men. It is an unwelcoming and uncomfortable environment for female employees knowing this department has no respect for women. The Weaverville office is the same. 

Even in my department, all of the men on the team were allowed to stay remote while the women were forced back into office when we are more tenured, higher performing, and made it clear we did not want to return to office. They treat women like they need babysitting and can't function without constant direction and supervision while they give men autonomy."
17,Ally Financial,Great Place,2022-04-05,5.0,Investment Analyst,Great benefits the best benefits,There are no cons to this
18,Ally Financial,Great company to work for,2022-04-05,5.0,Senior Analyst,"Great benefits including PTO, tuition reimbursement, health insurance, volunteer hours.",Limited room for growth within each location.
19,Ally Financial,"Great culture & benefits, pay & perks could be better",2022-04-04,5.0,Credit Associate,"Good benefits
Middle management is great, inclusive, and flexible
Coworkers are kind
Comfortable work environment
Work life balance is emphasized","Compensation isn't great
No company happy hours"
20,Ally Financial,Ally Invest,2022-04-03,4.0,Client Service Specialist,"Full Remote
Growth Opportunities if applicable 
Laidback management","Laidback management
Weak structure of client communication
Constant IT problems which impact Invest team"
21,Ally Financial,Has Potential,2022-04-01,3.0,Remarketing Specialist,Allow to be self-directed. Good benefits;,Not much structure and organized training. Promotions are political with much nepotism. The salary is not competitive
22,Ally Financial,Love,2022-04-01,5.0,Analyst,This company has great benefits,Depending on who you work under can be stressful
23,Ally Financial,Good overall,2022-03-31,4.0,Supervisor,Benefits and growth along with 401k,Leadership needs some improvement in morale.
24,Ally Financial,Sr Management is phony . Nice/Nasty. Mr Brown need to look deep into why such a High turnover,2022-03-29,3.0,Consultant,"Benefits are great, pto,insurance, etc...","(Clicks, ) depend on the Supervisor"
25,Ally Financial,"Missing the mark on ""Doing it Right""",2022-03-28,1.0,Principal Data Analyst,"Good PTO, 401K match, and good people within many of the business units.","""Doing it Right"" and ""We are all in this together"" are slogans meant to make you feel better, but the truth is, no one at the top actually cares about you. 
 What do they care about, you ask? Power. They care about you falling in line and doing what you are told. ""Safety protocols"" like masks, don't apply to everyone. This is why executives, including the CEO broke the rules while the commoners wore masks at their desks when the mandates were in place in Charlotte. They care about money. Kickbacks from local, state, and federal governments to implement certain protocols. The return-to-office is much more about real-estate not sitting empty than it is about ""safety"". Wait until the ""hybrid"" model goes away."
26,Ally Financial,"Lots of valuable experience and great culture, but compensation over time compared to workload is lacking",2022-03-24,3.0,Senior Analyst,"- Good work/life balance depending on team
- Relatively good benefits (401k matching , HSA imbursement, etc.)
- Great group of coworkers and company culture
- Lots of interesting learning opportunities
- Growing company that is making relatively good moves for the future","- Compensation year over year are relatively lacking, saw multiple top performers only get a base pay increase a only a few percentage points above the cost of living increase, both severely less than inflation in 2022
- Growth is outpacing the number of analysts and seeing significant increases in workload
- Move back into office recently required 
- Too many different systems and data sources that are hidden behind specific permissions or outputting not cleaned data"
27,Ally Financial,Amazing company to work for!,2022-03-24,5.0,Strategy Analyst,"- Competitive Salary
 - Great upper management
 - Opportunity to climb up the ladder",- Returning back to office/remote not offered for a few roles
28,Ally Financial,Don't Believe the Hype,2022-03-24,3.0,Treasury Director,"Good Benefits, not better than any other large corporation, but good enough","The Kool-Aid the executives force you to drink is ridiculous- its no better than a BofA - certainly as much politics which is terrible to have to endure. Executives do not care - REPEAT, Executives do not care irregardless of what they are saying in the public eye - primary exec focus is themselves. Period. Recommend looking elsewhere for a long term employer."
29,Ally Financial,Hostile Work Environment,2022-03-24,3.0,Intake Coordinator,"Decent pay, Nice Location, DRAMA only in management.","WAH ruined this place, I'm FREEEE"
30,Ally Financial,Fine but boring,2022-03-23,3.0,Accounting,It was not for me,"Culty, clicky, non welcoming, and boring"
31,Ally Financial,Wonderful Company that Truly Cares,2022-03-22,5.0,Remarketing Representative,"Work-life balance, employee benefits, PTO, culture, career advancement.",None that I've noticed thus far.
32,Ally Financial,SE (Software Engineer),2022-03-21,5.0,SE (Software Engineer),- Great place to work at,- There are no current cons
33,Ally Financial,Good,2022-03-21,5.0,Anonymous Employee,Good review till the end of the process,hybrid work model when specified want full remote
34,Ally Financial,Loving this place,2022-03-21,5.0,Director,Onboarding experience was simple and easy; great communication from HR team; outstanding benefits; strong leadership; fun place to work and grow my career,"Haven't been able to come up with many yet, except maybe my commute (but it's only a few days a week, so not really worthy of a complaint)."
35,Ally Financial,Solution Architecture,2022-03-20,3.0,Director,"Being a mid-sized bank, less regulatory pressure",Not a place for career growth! Limited learning opportunities.
36,Ally Financial,Good company,2022-03-18,4.0,Solution Architect,Great culture and good work environment.,"Ally wants people in house, and offers some flexibility depending on position."
37,Ally Financial,Best company I have worked at!,2022-03-18,5.0,Audit Manager,"Great culture, great benefits, healthy company",none that I can think of
38,Ally Financial,Stuck,2022-03-17,1.0,Senior Claims Adjuster,"Benefits are good, though they don’t start right away","Resistant to change
Seriously understaffed
No formal training 
Extremely outdated technology, one tool is DOS based
Pay is not competitive
No where to go"
39,Ally Financial,They're okay,2022-03-17,4.0,Senior Software Engineer,"They paid an alright salary
I could work remotely sometimes
Free food sometimes
I liked my coworkers
If you like being in Detroit, it's in Detroit","It's in downtown Detroit, and they did want people to come into the office (pre pandemic) even though I lived 45 min away, and they claim to be a ""remote-first"" organization.

It's a bank

It's a big corporation with lots of bureaucracy and red tape. Makes it difficult to get things done sometimes."
40,Ally Financial,Great company!,2022-03-15,5.0,Anonymous Employee,"Awesome culture, super competitive benefits, very flexible.",Not many offices all over the country.
41,Ally Financial,Great Company!,2022-03-15,5.0,Anonymous Employee,Great hours and work life balance,"None at the moment, love the company"
42,Ally Financial,Good Place to Work,2022-03-13,4.0,Financial Analyst II,"Great benefits; cool office, fast-growing company","Slower progression, relatively lower pay than competitors; middling work/life balance"
43,Ally Financial,Can be monotonous,2022-03-13,4.0,Senior Credit Analyst,"Benefits are good as well as pay, long hours though","Long hours
Lots of people that don’t like change"
44,Ally Financial,Great job security/ high turnover,2022-03-13,1.0,Team Lead,"Job security is descent, they never fire unless you have done something really bad and unethical.","Diversity issues. Company takes advantage of POC talent for the benefit of white talent. Lots of turnover due to employee burnout and not valuing talent. Pay on the lower end for a financial institution and upward mobility lacking depending on where you live. The most diverse site is Charlotte,NC. Also, if you put in your two weeks even if you left ok good terms leadership take it personal and will not rehire you. This didn’t happen to me, but I have witness leadership not rehiring talent bc “they left us”"
45,Ally Financial,Excellent place to work,2022-03-12,5.0,Marketing Director,"Innovative
Amazing office 
Lots of room for advancement
Family friendly",Likely pay less than the industry
46,Ally Financial,Great Benefits,2022-03-11,5.0,Credit Administrator,You get great benefits. The company also has diversity and inclusion groups which add a great community feeling.,"I was moved around a lot, as far as my role. Ended up in a department that wasn’t right for me."
47,Ally Financial,Great Company,2022-03-10,5.0,Analyst,Love working at Ally because they care about their employees and customers. Managers also support movement within the company so if you want to change teams or do something new you should be able to!,None that I can think of
48,Ally Financial,Balanced,2022-03-10,4.0,Marketing Director,Strong culture that talks about people first,"The company is designed to make money - obviously - however they have leaned pretty woke lately, so ""diversity"" is not always ""diverse"" and leaves out your average joe."
49,Ally Financial,Diversity and Inclusion and career path,2022-03-09,4.0,Learning and Development,They advocate joining diversity and inclusion groups. Great for networking and professional growth. They support developing a career path within the company and look for ways to assist.,Ability to give employee option to remain working remote.
50,Ally Financial,Good Company,2022-03-09,4.0,Senior Analyst Business Systems,"Good Benefits, one of the better employers in Charlotte.",Work Life Balance has been off with the remote work. I've been working longer hours.
51,Ally Financial,Grear,2022-03-09,5.0,Anonymous Employee,Good benefits nice place to work,Late night 11-8 one day out week
52,Ally Financial,Fantastic company,2022-03-08,5.0,Insurance Portfolio Lead,Great company with opportunities  for growth.,"You’ll start off as a small fish in a large pond, but will have the chance to develop and grow"
53,Ally Financial,Best to apply elsewhere,2022-03-07,2.0,Premier Account Analyst,"Good benefits, was work from home",Upper management is out of touch with lower level employees. Company promised my team a raise and it took over 4 months for the raise to happy with no back pay. Wages are low in comparison to what the market is offering in the area. Company will have you do additional work that was not part of your original job description with no additional pay.
54,Ally Financial,Great place,2022-03-07,4.0,Registered CXR Representative,The people and coworkers were all amazing,"Technology was not great, could use improvement"
55,Ally Financial,Good,2022-03-06,3.0,Anonymous Employee,Good overall culture with hybrid work,Nothing really just needed a change
56,Ally Financial,Good company to work for,2022-03-05,5.0,Anonymous Employee,"Great culture, technology sasvy bank","Can be long hours, accrued PTO can take a while to accrue"
57,Ally Financial,Rewarding,2022-03-05,5.0,Peer Mentor,The reward of helping others sharpen their skills as they build their career.,No complaints at this time.
58,Ally Financial,Ok,2022-03-04,3.0,Senior Consultant,Nothing really since new director,I do not have any cons to give
59,Ally Financial,Great Employer,2022-03-04,5.0,Risk Analyst II,"Excellent teammates, culture, and benefits. Rapidly growing business with lots of opportunities.",Not always given the resources needed to excel in role.
60,Ally Financial,Great company,2022-03-04,5.0,Senior Underwriter III,"Great company, superior benefits and PTO","Terrible hours, weekends, micromanagement and tied to phone"
61,Ally Financial,Confusing,2022-03-04,2.0,Manager,Great resume builder for young professionals. Diverse company that promotes from within and makes sure minorities are well represented in leadership positions.,"Weird vibe and culture and sometimes I feel like stepford wives or a corporate drone. Senior leadership know we don't want to go back in office but they keep on sugar coating and glossing over our concerns. I am getting really tired of the toxic positivity surrounding it. They won't allow us actual flexibility and are not remote friendly in the least but they want to force us to smile about the return to office we don't want. They know we are concerned about burnout, commutes, health and safety in the office, and distractions. They then turn around and tell us we will get through it and then be grateful to get to see our coworkers in person everyday."
62,Ally Financial,No growth,2022-03-03,1.0,Operations,"Pay, diversity, casual and friendly environment","Not remote friendly, poor communication about job functions, overworked department leadership."
63,Ally Financial,Average and could make improvements,2022-03-03,2.0,Manager,"Pay
Okay Benefits
Welcoming
Diverse
The Charlotte office is beautiful.","Managers are overworked and have a hard time giving time to their teams.
No remote work ops. 
In office full time soon. 
Long commutes and hectic daily office environment. 
Execs reach out alot to ask our viewpoints but they never really implement the change from our feedback."
64,Ally Financial,Mostly good,2022-03-03,3.0,Consultant,"The training was really great. After we were done with training, we have great support documents to help us do our jobs. The pay and benefits are okay.",Some supervisors are very unapproachable and not willing to assist. Other supervisors are great and always willing to assist. No work from home options.
65,Ally Financial,Job Description,2022-03-02,2.0,Senior Consultant,Work from home (at the moment),"You are reeled in with a job description and once they have you they put more on you than was is in your contract under the guise of ""constantly changing environment"" whilst not providing enough resources to be the best you can be. Asking questions for clarity is looked down upon. Every day was stressful."
66,Ally Financial,No,2022-03-02,1.0,Manager,Good on your resume. Great to stay a year or two to build your career.,"Only so so pay
No work from home options at all for bank employees
Only a tiny bit of flexibility for auto or IT employees
Outdated/stuffy CEO and execs
Not as upfront with employees as they seem
Employees are not able to make their own decisions"
67,Ally Financial,Not for me,2022-03-02,1.0,Project Manager,Can't think of a ton really,No remote options or flexibility
68,Ally Financial,Not for the people,2022-03-02,1.0,Manager,"Easy to start your career, stepping stone",Little boxes made of ticky tack. No work from home options.
69,Ally Financial,Hamster Wheel,2022-03-02,1.0,Manager,Possible career progress and benefits,Run of the mill souless company who tries to fake otherwise. I left for a remote friendly company that offers actual work life balance instead of just talking about it.
70,Ally Financial,Looking elsewhere,2022-03-02,1.0,Specialist,I like my team enough,Won't allow any remote work at all even though I am a long term employee with a proven performance. I can't stay motivated and invested in my company or work knowing they don't trust me and want to micromanage. I am looking elsewhere and going to another company.
71,Ally Financial,Office work,2022-03-02,1.0,Analyst,"Benefits, some room for growth","No remote or hybrid options, unprofessional co workers, overbearing managers."
72,Ally Financial,No balance,2022-03-02,1.0,Manager,Friendly managers. Talented and competent teams.,"Pay is not competitive, fake culture, no work from home options. I am not sure why there are so many positive reviews in here saying Ally is flexible and offers work from home because that isn't correct. There may be some work from home options for a small percent of auto workers, but non at all in banking, especially for CC&E. I have a position where I work mostly alone all day. None of my team is at my site. I will still be in zoom meeting with people in other locations all day. 90% of my work is behind the scenes and done completely alone. They are still making me come back to a building and lose and personal time 5 days a week. There goes my balanced personal life and pretty much all of my job satisfaction. I have started looking at other jobs immediately. If you are interviewing with Ally, realize they are completely intolerant towards working from home AT ALL. Very outdated environment and expectations."
