,company,headline,date,overall_rating,author_position,pros,cons
0,Ardian,Good Company,2022-05-03,4.0,Analyst,Work culture is superb and compensation matches market standards,"European culture, which is changing however"
1,Ardian,Good benefits,2022-04-14,4.0,Anonymous Employee,Work-life balance & Good Salary,It’s hard to move internally
2,Ardian,Great workplace,2021-12-25,5.0,Investor Relations Manager,"Various missions, good teams, nice office",Almost nothing to report really
3,Ardian,Salary,2021-09-12,3.0,Associate,"Big name, leader of the fund of funds space","Management could be better, opportunities to progress are limited"
4,Ardian,"Great company, 1st class compensation",2021-04-20,5.0,Analyst,The work was extremely stimulating and challenging,The culture of a French company can be overwhelming at times.
5,Ardian,Leading company,2021-02-18,5.0,Anonymous Employee,"Great and real values, good reputation and culture",At times transparency towards its own employees could be better
6,Ardian,Great place,2020-11-21,5.0,Finance Officer,Everything about them is great,Nothing is really wrong at all
7,Ardian,"Great investment house, great people, very successful",2020-10-20,5.0,Analyst,Very supportive and ethical employer. Always want to grow and lots of opportunities for career development.,Somewhat siloed based on groups. Not much viability into what is going on in other offices and with organization globally.
8,Ardian,Analyst,2020-09-27,5.0,Analyst,Nice and interesting people and jobs,Nothing very negative to say
9,Ardian,Hard work but good exposure,2019-11-26,5.0,Intern Analyst,"Good exposure to intelligent, hardworking people","Have to work hard
Long hours"
10,Ardian,Terrible work ethic & culture,2019-11-01,1.0,Portfolio Assistant,"- paid well
- good name on CV","- no growth or development
- negative culture
- no team morale
- no work life balance"
11,Ardian,Positive Experience,2019-10-14,4.0,Intern,Generally social and friendly company,Highly cliquey firm dominated by french
12,Ardian,Great!,2019-10-09,5.0,Anonymous Employee,Hard working in great environment. Good location.,No real negative point to mention
13,Ardian,Great experience,2019-09-27,5.0,Anonymous Employee,Great atmosphere and wonderful people,Not much to say here
14,Ardian,Great Company,2019-09-03,5.0,Support,"- Great exposure and learning opportunities 
- Genuine environment that sets employees up for success
- Benefits are extremely generous
- Management has done a great job managing large growth of the US offices",-  No cons to share at this time.
15,Ardian,Ardian Rocked my world for a good 5 years. Encore Une Fois ;),2019-03-05,5.0,Anonymous Employee,"I grew up here.  I felt part of a big family, and had the best years. The family feel of the office, the premises , the treatment of employees , benefits, bonus and the general day to day was always somewhere I looked forward to walking into. I saw the company grow from 10 people to over 150 , and 1 floor to 5 floors in London.  Lots of lovely, hard working people here. I had a blast!  Dominique Senequier is an absolute inspiration of a woman and has helped the lives of hundreds of very fortunate employees. She helped mine and I am eternally grateful. There are many people I would like to mention but best not but you know who you are :)","I cannot really fault this place , even if there were politics, I found it always very entertaining, and would be nice I guess if sometimes smaller voices were given more of a chance and true entrepreneurial spirit were picked up and built on."
16,Ardian,Great Place,2018-12-19,5.0,Internship,"Clear responsibilities, supportive senior staff letting you work on deals and fiving credit, opportunity to improve some models, cross-branch exchange",Nothing that is not inherent to most temporary internships
17,Ardian,Investor,2018-10-31,5.0,Anonymous Employee,"- Growing firm with great culture, nice but hardworking people, doing interesting deals in PE, Infra, RE, and private credit
- Stellar reputation in Europe, newer one in North America
- Lean teams mean lots of good experience and interesting work to do
- Good track record in both direct investments and secondaries",- None at the moment but can be hard to get a full time offer
18,Ardian,"Positiv, enriching experience",2018-09-29,5.0,,"Nice team, sometimes busy, good learning experience 
Close work with team on deals",Not much to add here
19,Ardian,Not bad.,2018-01-05,4.0,Intern,"- high salary
- relaxed atmosphere & reasonable hours (work-life balance)
- friendly colleagues
- responsibility
- female friendly culture","- not a very structured training programme.
- tend to extend internships rather than offer full-time
- very French company still - mainly French people in the office.
- hierarchical/ not an open culture - juniors afraid of management"
