,company,headline,date,overall_rating,author_position,pros,cons
0,,Good Place,2022-04-17,4.0,Receptionist,The pay is great for the role,Can be Unorganized at times in the office
1,,Worst Experience,2022-04-16,1.0,,"Employee Insurance Benefits
Free Snacks","I would suggest people to not to join this organization as its not good for anyone career.

There is no Work life balance, no fixed working hours, always need to stretch, also the work quality is really poor, there is no such good projects going only support kind of work is happening using all 3rd party tools.

-Office location is worst, heavily crowded, dirty and most expensive. So always think thrice before joining as commute time is really high.
-This is not a good brand and still 3 months of notice however while hiring they prefer to hire people of max 1 month notice
- They have started office with 3 days working in a week and they will force to call you office every week as senior management also wants the same
- Work is really pathetic. No good projects. No learning.
- Compensation is also not so good as per current market standards and yearly appraisal is also bad.
- They do give variable once a year wih the name of bonus. They don't even know the definition of bonus.

overall this organization is only a trap....people will be good to you till your probation and then real problem will get started...so don't get stuck into it....if you will then it will be difficult for you to come out because of 3 months notice"
2,,Growing firm with natural growing pains yet a phenomenal place to work!,2022-04-12,5.0,Current Anonymous Employee,Everyone is kind and eager to help you. Benefits/Compensation package is amazing—best of its peers. Work life balance is a priority. Supportive of family lifestyles. Return to office post mask mandate has been handled amazingly with much flexibility and trust in employees’ ability to continue performing at top levels.,"There are no core competencies for performance standards which seemingly makes it challenging for an employee to forge their path for promotion.

The organization has grown substantially in a short amount of time. As a result, there are various pain points as systems and processes are very manual. If you are willing to roll up your sleeves, though, there is lots of good work to be done."
3,,Great Company with people centric processes.,2022-04-10,2.0,Senior Associate,"1. Perks
2. Employee Friendly Policies
3. Cultural Openness","1. Too much dependency on people.
2. Management style varies a lot between teams.
3. You experience is solely based on the team you join.
4. Don't trust the JD, it changes every month.
5. Toothless HR process."
4,,Great team and environment,2022-04-10,5.0,Executive Assistant,"Organized, structured, respectful and friendly environment",It's a small office around 15 people so it's quiet sometimes
5,,Company is good overall. Bad IT management,2022-04-08,3.0,Senior Developer,Good benefits. Good work life balance.,IT management has no vision. No career planning or growth.
6,,Benefits,2022-04-05,4.0,Vice President,"Good benefits package across medical, dental, etc. No cost to employee below Principal level and decent 401k match.",Firm does not provide carry below the Principal level.
7,,Fantastic place to work,2022-03-31,5.0,Partner,"Career advancement, fulfilment, changing the landscape of finance.",Sometimes the coffee runs out.
8,,Great Company,2022-03-30,5.0,Tax Manager,"Great company, they care for employees",N/A I have no bad things to say a great place to work
9,,A nice place to work,2022-03-17,4.0,Anonymous Employee,Great colleagues; Beautiful offices; Pays well,Fast pace environment; Culture comes from the top down.
10,,Great pay and benefits but lacking in management skills,2022-03-11,3.0,Salesforce Architect,* above average compensation + bonus structure,"* male dominant within the technical departments
* management lacked empathy"
11,,Great work life balance,2022-02-28,5.0,Vice President,Great work life balance. High performers are rewarded.,Nothing major to note. Perhaps overly led by US head office .
12,,Seriously great place to work,2022-02-26,5.0,Vice President,"- Very competitive pay
- Best benefits package I've seen in Financial Services",- Rapidly growing firm which can pose challenges for work-life balance
13,,Great place and great people,2022-02-25,5.0,Vice President,Wonderful blend of company success and strong culture.,No cons come to mind
14,,Ares has a strong culture and great Senior Management,2022-02-24,5.0,Associate Human Resources,Company culture is unrivaled at Ares. Senior Management is very in touch with the employees and navigating through the obstacles of the pandemic to make decisions that help the company succeed as well as create a balance for employees.,None that I can think of.
15,,Great place to work!,2022-02-23,5.0,Anonymous Employee,"You receive the resources of working for an established and reputable firm with a strong brand, while maintaining a small shop/entrepreneurial feel within immediate teams. People want to help each other; truly a familial culture with lots of mentorship opportunities.

Leadership is approachable and transparent.

Collective and thoughtful efforts towards DEI strategy and creating a more diverse and inclusive working environment.

Excellent benefits - strong medical coverage, generous 401k match, PTO, lunch stipend, etc.","Ares is experiencing a lot of growth and there's great energy behind it but experiencing some growing pains along the way as any company would (ex. long hours, lean teams). Staffing accordingly/to scale would be a significant help and will positively impact work/life balance."
16,,Great place to be!,2022-02-23,5.0,Assistant Vice President,"-Management is very hands on
-Competitive salary and benefits package
-Growing
-Flexibility 
-Lean teams
-Your coworkers are very smart and hard working
-Strong focus on culture
-clear career paths
-Positive and quick response during the pandemic including multiple firmwide townhalls","-Hours can be long due to rapid growth
-Although HR is working on a correction, internal mobility can be limited"
17,,Entrepreneurialism is Encouraged,2022-02-22,5.0,Anonymous Employee,"Employees are driven, self-starters who work collaboratively. Thinking differently is encouraged as is learning from ""failure.""",Long-hours; the company is growing quickly and the processes and systems are catching up to the employee needs.
18,,Great place to be,2022-01-28,5.0,Receptionist/Executive Assistant,"-Great accessible management
-Very self-directed work, no one breathing down your neck as long as you are proactive
-Hefty bonuses and promotion opportunities if you work hard
-Flexible schedule if your position allows
-Free parking
-Onsite breakfast and lunch everyday
-Fully stocked kitchen
-Cool ERG programs and volunteer opportunities
-Free stuff all the time
-Cool parties and happy hours, lots of employee bonding opportunities","-Traditional management, although they are trying to be more progressive
-Typical rich people vibes, can be intimidating
-Raises aren't in line with current market trends, if you want something you have to ask for it"
19,,Positive experience at the junior level,2022-01-20,5.0,Credit Officer,"very friendly people, bright team and good work life balance, learning opportunity",slightly underpaid as expected in credit vs equity
20,,Top credit fund,2022-01-19,3.0,Senior Associate,"Leading credit house
Smart people
Strong dealflow
Nice offices","Slow career progression, they make you ""do time"" at each level
London office culture is somewhat old fashioned / hierarchical
Pay could be better. You get ""experience working in a top firm"" vs ""great pay""
Work life balance is poor on junior and mid-senior level"
21,,Amazing Firm to work with for experienced folks,2022-01-12,5.0,Senior Associate,"Good salary and Perk
Company Is very supportive for employees. Good culture at workplace",Haven't faced any issues in tenure
22,,Great Company,2022-01-09,4.0,Devops Engineer,Takes care of employees very well,"Stock intraday trading restriction, prior approval for buying stocks and minimum hold for 30 days"
23,,company,2022-01-06,4.0,Analyst,solid company to work for,Not real cons read pros
24,,"Great workplace, management cares",2021-12-10,4.0,Senior Associate,"The company policies are one of its kind and super employee friendly. They value the human resources and Hierarchy is just for smooth running of business, otherwise it has a very open culture and friendly employees. Employee benefits are great as well.",Workforce is scattered and the style of work is not uniform across the table. US and India team need to cooperate better.
25,,"Great people, work hard and long working hours",2021-12-08,4.0,Senior Associate,Very smart employees with sound knowledge in their fields.,"Not the most competitive of benefits within our market, i.e Pension, medical insurance, all below our competitors."
26,,Great place to work,2021-12-01,5.0,Summer Analyst,"Great culture, work on large deals.","Long hours, hard work life balance"
27,,Great culture,2021-12-01,5.0,Anonymous Employee,"Good benefits for employees, good salary, nice culture",Long working hours. No defined working hours.
28,,Handling COVID/Return to work poorly,2021-10-23,2.0,Administrative,"Compensation is good, nice offices, was good before COVID, I hope they get back",They have handled return to work very poorly. There have been outbreaks in the office but we are still expected to come in. Anti-vaxxers are allowed to work remotely. Some teams are working remotely and some have to come to work- it seems pretty arbitrary who has to come back. During quarantine we were told that there would be a new work model with more flexibility and to hang on- but what we got was 4 days in the office 1 day remote. Very little compared to the overpromising. Employees are expected to volunteer extra time to sit on 'groups' to handle issues like diversity instead of the company hiring people.
29,,October review,2021-10-21,1.0,Senior Associate,Forward thinking investment team with emphasis on rapid growth,"IT feedback 

Manipulative leadership style 
Continuous turnover 
Mismanaged teams 
Minimal accountability"
30,,Senior Associate,2021-09-27,5.0,Audit Senior Associate,Good work life balance. Best in class work culture.,Micro management by local managers.
31,,Good culture and interesting investment strategies,2021-09-25,4.0,Analyst,Small collaborative team. Exposure to multiple investment strategies with different risk profiles,Not that I can think of
32,,"Engaging work, great colleagues, free food",2021-09-24,5.0,Analyst,"Engaging work, great colleagues, free food
Finance tends to be a bit old school but at Ares they tend to be more progressive than peers.",High pay means hard work. But you definitely learn fast.
33,,Awesome place,2021-09-23,5.0,Senior Associate,Leading firm with a great work environment,Hard to make partner like other leading financial firms
34,,It was nice,2021-09-15,5.0,Analyst,Fight for what you want and you’ll be okay.,Watch your back and know how to play the game.
35,,"Could be great, could be terrible",2021-09-03,4.0,Executive Assistant,"Great benefits, catered lunches, lots of employee perks. Ares really makes an effort to treat their employees well. 

Awesome experience whenever I was working with a good group. Upper management were all respectful.","Lots of cliques, a lot of unfair treatment. Definitely a lot of favoritism and COO did not try to cover it up at all. Also, EA management structure was weird. You weren’t managed by the team you worked for but by the head of EA’s. 

No one around to train or help you if you’re new. Better figure it all out yourself and quick!"
36,,Great benefits,2021-08-19,3.0,AVP-Operations,"ARES had one of the best benefit packages in the financial industries. They paid for cellphone, fitness, 401(K), continued education",I do not have any negative feed back on the compensation package. All in all one of the best benefits I had ever
37,,Depressing and Toxic Workspace Culture,2021-08-18,1.0,Anonymous Employee,Above average compensation. CEO is amazing and well respected within the company. Corporate management and HR have done amazing job with benifits and communication during the pandemic.,Ares IT is a toxic workplace as several reviews have made clear. IT leaders have no vision and take no accountability for their failures to develop a cohesive team environment and culture. Employees approach leaders with complaints that are laughed off let alone acknowledged. Some managers are promoted not because they are good leaders but because they are specialists. These managers are not ready to lead a team but they are part of the inner circle and not held accountable for their actions that are reprehensible and can lead to psychological damage to employees. Career path and promotion criteria is highly inconsistent. There is broken trust between management and employees. There was a mass exit in IT and another one is on the horizon. Several employees have left recently and more employees will leave this toxic workplace until management reflects internally and decides to make changes at the highest level.
38,,Great place to work,2021-08-13,5.0,Vice President,Fast growing and a lot of opportunities to learn. Flexible schedule.,Not a normal 8 to 5 job. Can be challenging but expect to be recognized and rewarded if perform well.
