,company,headline,date,overall_rating,author_position,pros,cons
0,IronFX,Good to start with,2022-04-11,3.0,Product Manager,"work with many people, fast-paced","Not well organized, no strategy"
1,IronFX,office manneger,2022-03-01,5.0,Anonymous Employee,great people and intresting work,not greate transportation to workplace
2,IronFX,Established company,2022-01-13,4.0,Marketing Assistant,"Nice environment , great colleagues","Not well paid, ok salary"
3,IronFX,Great company to work for!,2021-10-14,5.0,Anonymous Employee,"- Pleasant environment
- Can learn a lot
- Opportunities to progress 
- Management trusts you
- Great people
- Good salary
- Good work-life balance",Not easy to find parking space at one of the offices.
4,IronFX,Bad working conditions at ironfx,2021-10-03,1.0,Senior Manager,Remote working conditions less contact for now die to covid19,Bad working environment leadership is arrogant and so full of themselves
5,IronFX,Work,2021-07-11,4.0,Account Manager,"Nice environment, and also
Friendly people","Hard to think of any. 
Overall good experience"
6,IronFX,Leading Forex Company,2021-07-07,4.0,Customer Support,One of the best sides of the Company is the diversity of cultures.,The salary is not as expected
7,IronFX,Till time to grow and shine,2021-05-28,3.0,Customer Support Agent,"You get a lot of experience in Forex
You have free meal (just the morning shift), afternoon shift come to late for lunch .
Good people","Low salary
Everything except water and coffee(and lunch) you have to pay, prices are good, but reallyt they should offer snacks and juice/tea for free.
After the onboarding they forget about you as employee, they are not motivating the employees enough .
Lunch is a low to medium quality, sometimes with out taste.(anybody can cook better meals by themselves )"
8,IronFX,"Code Review, Architecture planning, Development",2021-05-19,5.0,Senior Mobile Applications Developer,"IT Based Forex company, Team members are the best, Professional team",Nothing to add because all is good in company
9,IronFX,Average,2021-05-15,3.0,Software Engineer,Have Gained Good working experience,Don't really care about employees
10,IronFX,good company,2021-04-28,2.0,Sales,"good people , good work place",eveyting is good nice people
11,IronFX,good,2021-03-23,3.0,Accounts Payable,friendly nice moderate open culture,good location local culture nice
12,IronFX,Everything is good,2021-03-22,5.0,Anonymous Employee,"All is well, colleagues are fun",Nothing to complain about this company
13,IronFX,Review,2021-01-09,4.0,Acc Manager,"Good colleagues, big office, free milk","toxic culture, long hour work"
14,IronFX,I worked at IronFX full-time for 1 year,2020-11-19,5.0,Former Employee,Friendly team. and good support,Very Very demanding environment s
15,IronFX,I worked at IronFX full-time for 6 years,2020-11-19,5.0,Former Employee- Sales,"Busy and vibrant environement, dynamic and always something happenning, keeping busy",I was very sad to leave as I moved in another country.
16,IronFX,I have been working at IronFX full time for 4 years,2020-11-10,5.0,Sales,"Welcoming team, like a family. Company health insurance options.","Location is far for me as I live 1 hour away,"
17,IronFX,"""Good company to work for.""",2020-11-09,5.0,Former Employee,Good company and staff culture.,High intensity and sometimes stressful.
18,IronFX,"""Strong company.""",2020-11-09,5.0,Former Employee,Great people and fun environment,"sometimes it can be stressful, but that's part of any job"
19,IronFX,I worked at IronFX full-time,2020-11-05,5.0,Former Employee,"Great people, and fun environment","Poor management, feel sorry for traders losing money"
20,IronFX,I worked at IronFX full-time for 1 year,2020-11-05,5.0,Former Employee,Encouraging company culture and good service .,Cross department communi cation thats it
21,IronFX,I have been working at IronFX full-time for 6 months,2020-11-03,5.0,Current Employee,Friendly team and Good Support.,Can sometimes be difficult to complete tasks.
22,IronFX,I have been working at IronFX full-time for 2 years,2020-11-02,5.0,Current Employee,Free lunch provided for staff.,Some times long hours .
23,IronFX,I worked at IronFX part-time for 1 year,2020-11-01,5.0,Former Employee,Good office location for commuting,Demanding role but enjoyable challenge.
24,IronFX,Positive outlook,2020-10-29,5.0,Former Employee,I worked at IronFX full-time for more than a year. Its a place where you can work comfortably with a great work ethic and teamwork.,"Nothing too serious, hard work but rewarding"
25,IronFX,Current Employee,2020-10-26,5.0,Manager,"Positive Outlook
-Excellent Career progression. -Understanding Management and Supervisors",not cons found for my exp.
26,IronFX,I have been working at IronFX for more than a year,2020-10-26,5.0,Marketer,"Excellent office and atmosphere, feels like a family",It's natural for a Job/company to have cons. Nothing major though
