,company,headline,date,overall_rating,author_position,pros,cons
0,Evercore Partners,Best Analyst Program,2022-04-05,5.0,Anonymous Employee,Great training. Great compensation. Great exits.,Long hours but better than peers.
1,Evercore Partners,Great,2022-04-04,5.0,Anonymous Employee,Great firm and culture; good people,"None; everything was great, but they got rid of free breakfast"
2,Evercore Partners,Great place to work at,2022-03-31,5.0,Investment Banking Analyst,"Great hours, work life balance and exit opportunities",Culture is really group dependent and class sizes have bloated
3,Evercore Partners,"Long hours, but great deal experience",2022-03-28,5.0,Analyst,"Great deal experience, closed >10 deals in O&G","No personal life, 100+ hour weeks for entire first year"
4,Evercore Partners,Great,2022-03-23,5.0,Analyst,It is a wonderful environment which has a real apprenticeship model.,There is alot of growth which is also a benefit
5,Evercore Partners,Brutal Hours / Culture,2022-03-17,3.0,Analyst,A lot of deal flow,Long hours late into the night every day
6,Evercore Partners,Not what it used to be,2022-03-16,2.0,Anonymous Employee,People are pretty great. Comp is okay (as long as you’re not corporate). Ralph has been a great CEO & I think John will follow suit.,Just saw another view about the culture shifting - couldn’t agree more. Hours are long & remote work has definitely led to a lack of boundaries. Comp for certain groups is definitely below average.
7,Evercore Partners,Good brand name,2022-03-15,3.0,Senior Associate,Brand name + good hires,Work life balance can be bad
8,Evercore Partners,Culture is shifting,2022-03-15,3.0,Anonymous Employee,"Good Pay
Solid Benefits
Nice Offices
Good company name for future roles",Trying to become Goldman Sachs
9,Evercore Partners,eh,2022-03-13,2.0,Business Analyst,long hours and lack of chance to move jobs,lack of promotions for entry level
10,Evercore Partners,Great company,2022-02-28,5.0,Analyst,"Compensation, exposure, mentorship, benefits, and training",No major cons outside of general challenges throughout banking
11,Evercore Partners,It's good,2022-02-19,3.0,Anonymous Employee,It is a good place to work at.,Long hours to work sadly.
12,Evercore Partners,EVR Analyst,2022-02-13,5.0,Analyst,"Fast paced, lean teams, good experience",sometimes long hours or tight deadlines
13,Evercore Partners,"Good company, need to make sure you are in right channels",2022-02-03,4.0,Research Associate,"Incredible culture and great coworkers, small, motivating","Opaque comp process, prof development needs to be chased down"
14,Evercore Partners,Good environment,2022-02-01,5.0,Anonymous Employee,i liked it there and people were really nice and happy,sometimes it was just stressful
15,Evercore Partners,Great company!,2022-01-20,5.0,Executive Assistant,Great people and culture overall,Lots of layers in hierarchy
16,Evercore Partners,good,2022-01-19,5.0,Anonymous Employee,good job evercore was fun,evercore was great lots of fn
17,Evercore Partners,Good,2022-01-12,5.0,Investment Banking Analyst,"Fun and engaging 
Pay is very high","Long hours
Culture can be stressful"
18,Evercore Partners,Solid,2021-12-21,4.0,Analyst,Great experience. Lean teams. Exposure to senior employees.,Work life balance is tough.
19,Evercore Partners,Pretty Good Place to Work,2021-12-20,4.0,Administrative Assistant,"People are very nice, professional. Great work environment. Everyone is willing to help. We try to excel in customer service and going the extra miles for our clients.",Pay could be better. PTO is nonexistent. Minneapolis is small so less room to grow/be promoted to. It is pretty good but definitely has downside: low pay/10 days off a year. :-(
20,Evercore Partners,Total Grind,2021-12-06,3.0,Senior Associate,Very Educational and great exposure.,Highly political not worth it long term
21,Evercore Partners,Treated Well,2021-11-26,4.0,Executive Assistant,Look after staff and pay them well.,Some of the bosses can be nasty.
22,Evercore Partners,Taking pride in excellence,2021-11-06,5.0,Equity ResearchAt Evercore ISI,Work alongside some of the smartest analysts on the street. People take a lot of pride in their work compared to other firms and really care.,Typically hire top analysts at other firms so not a lot of room to move up internally
23,Evercore Partners,Great culture,2021-11-05,5.0,Analyst,"Best investment bank in terms of pay, culture, work-life balance and deal experience","At times, hours can be long but that's to be expected"
24,Evercore Partners,Great place to work,2021-11-05,5.0,Executive Assistant,"Work to life balance, management, culture, people benefits & bonus.",Cannot fault them honestly! Struggling to find a con.
25,Evercore Partners,Solid spot to work at,2021-10-26,5.0,Analyst,Really enjoyed my time there,No thing material outside of long hours standard with industry
26,Evercore Partners,Great culture,2021-10-21,5.0,Analyst,"good culture, smart people, interesting work","Long hours, but to be expected"
27,Evercore Partners,Amazing Culture,2021-10-12,5.0,Research Analyst,"Amazing culture
Challenged to think independently
Flat hierarchy with access to company leadership","Long hours 
Very competitive
Lack of clear path for career progression"
28,Evercore Partners,Great culture and well-respected firm,2021-09-25,5.0,Equity Research Associate,"Decent comp, bright people, good firm culture, great brand name",Long hours and lower pay than IBD
29,Evercore Partners,Great place to start career,2021-09-19,5.0,Anonymous Employee,"Career development, culture, people, etc",Very few besides the standard industry working hours
30,Evercore Partners,Great Firm,2021-09-08,5.0,Investment Banking Associate,Great company and wonderful culture.,No Cons at all here
31,Evercore Partners,Work around the clock,2021-08-24,1.0,Executive Assistant,Health benefits are decent. Pay is average. Pizza fridays when in office.,"Overtime was pulled during covid even tho we still work it around the clock and have no work life balance. This decision set a lot of people back during covid. Since many other types of employees got a wfh budget and weekly groceries, this felt like a big dissapointment. Many admins feeling devalued and burnt out."
32,Evercore Partners,"Great people, culture, and management",2021-08-20,5.0,Managing Director,"* Great people to work with most of whom are very smart, supportive, and respectful. More of a tight-knit feel than the bulge brackets;

* Strong senior management who are constantly engaged and visible. They genuinely care and support their employees;
 
* Above industry compensation;","* company lacks diversity in the upper echelon of management (company is actively working to improve that);

* the strive for excellence and being ""elite"" creates a demanding and intense work environment (typical of any Wall Street firm);

* Upward mobility gets tougher as you climb the ladder given the company's preference to recruit top senior talent than promote from within."
33,Evercore Partners,Great place to do banking,2021-08-19,4.0,Analyst,"Great deal experience, nice people",Increasingly “corporate” workplace culture I’ve noticed
34,Evercore Partners,N/A,2021-08-12,5.0,Summer Intern,It was a basic experience,"I think the hours were tough, but that comes with the job."
35,Evercore Partners,Very long hours but relatively good company culture for the industry,2021-08-12,3.0,Analyst III,Relatively good company culture for the industry,Really long working hours and weekend work
36,Evercore Partners,Poor work-life balance,2021-08-07,1.0,Executive Assistant,Decent salary and benefits. The office space is very nice.,"TERRIBLE work-life balance, no more paid overtime although we’re still expected to work it and be reachable 24/7. Asked to do personal favors. Poor overall company culture. Pressured to return to the office during Covid after being told it was voluntary and most senior management remained remote."
37,Evercore Partners,"Used to be Great, not so Good Anymore",2021-08-05,3.0,Executive Assistant,"Standard benefits and bonus package - on par with other investment banks. Job security. Some partners are great to work for, there are a few who are the usual tyrant type.","Pre-covid pulled all OT - even though you are expected, and still do, 5-10 hours a week at a minimum. They do hang on to under and non-performing executive assistants creating a poor image for the EAs who do work hard and contribute to the success of the business. EAs all receive the same yearly bonus based on tenure, not on performance."
38,Evercore Partners,Okayy,2021-08-02,3.0,Associate,Smart people but crazy long hours and OK pay d,Long hours and sometimes not so great recognition d d
