,company,headline,date,overall_rating,author_position,pros,cons
0,,Not for the faint of heart,2022-05-20,3.0,Vice President,"Learned a lot, met some great people","Work is life, be prepared to advocate for yourself for any kind of promotion and know the right people"
1,,Guggenheim Partners,2022-05-19,3.0,Information Technology,"Great Team, Great Employees. I really enjoyed working there.",I don't have many cons to list.
2,,Great work culture,2022-05-17,4.0,Anonymous Employee,"- Many talented teammates
- Interesting work
- Easy to communicate with any team and glean knowledge","- Sometimes hierarchal 
- advancement opps can be dependent on turnover"
3,,Avoid,2022-05-16,1.0,Analyst,Not much to like here over the past year. Lots of good coworkers have left recently,It will be a return to the office for a large majority of the staff. Don't say you weren't forewarned
4,,Work at guggenheim,2022-05-04,5.0,Anonymous Employee,"Really great environment, productive colleagues",Not a ton of free time outside work
5,,Boutique IB,2022-04-30,4.0,Investment Banking Analyst,"Great pay, interesting deal flow",Brutal classic investment banking hours
6,,"Great culture, good projects, constructive mentorship",2022-04-24,4.0,Analyst,"Excellent group culture, much more casual and candid than I expected. Very hands on associates and VPs which has been good for learning.","Decent bit of weekend work. Depending on the team, you can get emails on, say, 9PM on a Friday and expected to report back with something Saturday afternoon. Doesn't happen often but we don't have protected Saturday like other shops."
7,,Find a good boss,2022-04-21,4.0,Vice President,"Lots of smart people across the firm who are easy to work with. Relatively low turnover

If you're a performer, you are compensated very well with big bonuses and given a lot of leeway. Poor performers are set to the side/chased out quickly

Cool office building, flexible with WFH/in office options","Comically bad communication from management. We still don't know our future work location plans and got next to no updates during the pandemic. We never know when we are getting bonuses and raises.

Upward mobility is tough, a lot of people with senior management positions who have been there for years, many of which like to hoard information"
8,,Great Opportunity in Atlanta,2022-04-08,5.0,Investment Banking Analyst,"- open and easy access to leadership team
- great learning experience
- great analyst training program and opportunity to make meaningful impact from day 1","- Atlanta-based office
- minimal volunteer opportunities"
9,,Great Company,2022-03-31,5.0,Vice President,Great work/life balance and learning experience.,There's not much room to grow.
10,,Great people,2022-03-30,5.0,Investment Banking Analyst,Very good culture and supportive junior team,Hours can be bad but that's banking everywhere
11,,Good,2022-03-15,5.0,Anonymous Employee,Good good good good good,There are no download sides all good
12,,Great benefits,2022-03-11,5.0,Equity Research Analyst,"Good and strong management, great benefits,",Work like balance is lacking
13,,Great culture,2022-03-08,5.0,Associate Analyst,"Amazing work culture , lots of training and development for employees, value big on corporate social responsibility.","long hours, small boutique with smaller name recognition"
14,,Good learning curve,2022-02-24,3.0,Senior Legal Counsel,Good learning curve and flexibility to WFH some days a week,Little opportunity to grow. Bonuses are paid very later in the year
15,,Growing team and company,2022-02-22,5.0,Administrative Assistant,"Collaborative, growing team in a fast paced environment",Obvious separation from administrative support team and the bankers.
16,,Great Pay but a Grind,2022-02-18,5.0,Anonymous Employee,Great pay and decent lifestyle,Can be a grind at times
17,,Glass Ceiling,2022-02-16,4.0,Director,Hybrid work scheduling allowing WFH as well as in person in office,Total compensation maxes out at different levels dependent on Title
18,,Good Place,2022-02-12,5.0,Senior Vice President,Great place for those with initiative,Not a lot of individual support
19,,Company review,2022-02-06,4.0,Anonymous Employee,"Great people, supportive environment that encourages growth",The culture promotes Long work hours
20,,"Decent experience, problems are fixable",2022-01-26,4.0,Investment Banking Analyst,"Top quartile comp for IB analysts
Lean deal teams
Good culture at the analyst level
Easy to be promoted A2A","Few support resources (e.g., research, graphics, printing teams)
Mediocre deal flow outside of top groups (TMT, HC)
Challenging to recruit to top buyside roles (but this is changing slowly)"
21,,Counting Days,2022-01-25,2.0,Anonymous Employee,Pay is competitive but not worth the stress.,LOT of turnover on the Operations side. Working 11-14 hr days due to a lot of teams being very lean. They will go back to work from office.
22,,Great Benefits,2022-01-16,5.0,Anonymous Employee,Good benefits and lax vacation policy,Not many to think of
