,company,headline,date,overall_rating,author_position,pros,cons
0,Lazard,"Good place, Normal bank",2022-04-18,5.0,Analyst,- Good pay with strong experience,- Long hours and a hierarchical structure
1,Lazard,Great firm,2022-04-09,5.0,Investment Banking Associate,"Compensation, career opportunities, work-life balance","Bureaucracy, elitist, old-fashioned, Peter Orszag"
2,Lazard,N/A,2022-04-02,3.0,Data Engineer,Good work and life balance and environment,The salary is not good.
3,Lazard,Lazard of Bethany - You will rise from the dead,2022-03-31,5.0,Analyst,"- High profile projects
- Direct MD interaction
- Technical complexity
- Great Exit Opportunities","- Long hours
- Politics become increasingly important as you rise
- Challenging work-life-balance
- Low client interaction"
4,Lazard,Great culture,2022-03-25,5.0,Vice President,Growth opportunities for future growth,Needs modernization of offices and systems in the US
5,Lazard,Decent company,2022-03-24,3.0,Data Scientist,"- Good insurance
- Nicer culture than most banks","- No work life balance
- Not mature enough tech"
6,Lazard,good job,2022-03-21,4.0,Analyst,"good job, smart people, tough hiring process",some megafunds prefer Bulge bracket
7,Lazard,Great Company,2022-03-14,5.0,Associate,Amazing Company with great benefits,no as of right now
8,Lazard,"Good experience and learning, but intense hours",2022-03-12,4.0,Investment Banking Associate,"Great environment to learn and gain experience early in your career. 
Some interesting and high profile transactions.   
Some great people.","Long hours: expect 70-90 hours per week as an Analyst / Associate, with some over 100 hour weeks, weekend and holiday work etc. 
Your experience is determined by the people in your team - if you get unlucky, you can be stuck working long hours with difficult people."
9,Lazard,Sales,2022-03-10,3.0,"Senior Vice President, Business Development & Sales",Good Work life balance for sales,Cannot think of any at the moment
10,Lazard,Good,2022-03-02,4.0,Account Executive,Good to work here in a long time,Nothing to say or comment
11,Lazard,Tough Hours,2022-03-01,4.0,Analyst,Compensation is good and team members are extremely talented,Brutal work hours and culture is very dependent on group
12,Lazard,Good experience,2022-02-20,5.0,Anonymous Employee,Decent culture all things considered,Hierarchical structure as to be expected
13,Lazard,Intern,2022-02-17,4.0,Internship,"Big name, big learning curve",Working hours are pretty harsh
14,Lazard,They're trying hard!,2022-02-16,4.0,CEO-Founder,Mindset has shifted towards creating a better analyst experience. They've done a great job making a demonstrated effort to create a more comfortable and accommodating work environment.,"Although upper management is super concerned with making the junior experience better, some specific IB groups lag behind. That will change over time (I hope)."
15,Lazard,Great Exposure,2022-02-04,4.0,Anonymous Employee,"Exposure inside and outside the firm
High profile deals
Career opportunities","Long hours
Good salary, but below peers"
16,Lazard,Great firm,2022-02-01,5.0,Associate,"Culture, learning, opportunity, people, flexibility, positive focus on diversity","Hours can be tough, compensation now catching up"
17,Lazard,Great place to work,2022-01-18,5.0,Analytics,Young and smart people; Responsive and helpful senior bankers,limited business type compared with BB
18,Lazard,Great place to work,2022-01-14,4.0,Associate,"Smart and driven people, interesting work","long hours, no work life balance"
19,Lazard,Weird place,2022-01-04,1.0,Associate,None to speak of tbh,Weird tribal culture and generally unhappy people
20,Lazard,Great,2022-01-04,5.0,Human Resources Coordinator (HR Coordinator),-Supportive and enjoyable work here,long hours at some points
21,Lazard,Excellent learning environment for junior staff,2022-01-02,4.0,Senior Managing Director,Opportunity for junior hires to learn investment banking thoroughly,Hours can be long and work is demanding
22,Lazard,Great experience,2021-12-21,4.0,Analyst,Good job stint! fun and enticing,Too demanding and stressful but okay
23,Lazard,Very good training ground,2021-12-09,5.0,Anonymous Employee,Good culture and smart people,Mainly long working hours -
24,Lazard,analyst program,2021-12-03,4.0,Analyst,great place to do IB training,"lots of work, more than most IB"
25,Lazard,Innovative advisory firm,2021-12-01,5.0,Director,"- Challenging work
- Heavy deal flow
- Innovating into new and lucrative areas
- Great colleagues to learn from","- Work/life imbalance
- Hard to assert agency"
26,Lazard,spring week,2021-11-22,4.0,Spring Week Intern,"great experience, very very insightful","none at all, was great"
27,Lazard,Great place to work,2021-11-22,4.0,Anonymous Employee,"Great teamwork, super brand, everyone matters",Sometimes have long working hours
28,Lazard,Great placev,2021-11-18,5.0,Anonymous Employee,I’ve worked at lazard for 7 years. It’s a great place to work.!,Some managers are a bit to hard
29,Lazard,good learning environs for a new analyst,2021-11-15,5.0,Analyst,Good comp and learning environment for a new analyst,"Hours, lack of sleep and deadlines"
30,Lazard,"Good benefits, expect a lot from you",2021-11-09,3.0,Desktop Support Analyst,"good benefits
good compensation
great location
great team","expect a lot from you
add more to your plate if you are able to handle current tasks"
31,Lazard,Great place,2021-11-02,4.0,Anonymous Employee,Great office and knowledgeable people,Not too many cons here
32,Lazard,Intern,2021-10-24,4.0,Intern,Learned a lot from very good people,"Very long hours 
Hard work"
33,Lazard,Great place to pursue a career in M&A,2021-10-20,4.0,Associate,Small organisation by number of people but with a strong pedigree and history. Some terrific people and lots of opportunity to learn,"Like all investment banks one's experience is highly dependent on the individuals you work with, experiences vary considerably across teams"
34,Lazard,Amazing Learning,2021-10-19,5.0,Analyst,Amazing learning and team environment,No major cons at all
35,Lazard,Good Work Culture,2021-10-11,4.0,Anonymous Employee,Excellent Staff. Everyone is friendly,Typically long hours and high burnout chances
36,Lazard,Work Life Balance,2021-10-09,3.0,IT Support Analyst,Pays well given it's an 'entry' position.,'Unlimited overtime'. Most people regularly stay 2 or more hours after their shift ends to get their work done.
37,Lazard,Too much politics,2021-10-07,3.0,Reporting Analyst,Decent compensation for low end of 3-5 year experience band,"6+ hours of meetings per day
Politics makes succeeding difficult"
38,Lazard,Executive Assistant,2021-10-05,5.0,Executive Assistant,Great benefits and excellent pay.,I don’t have any cons.
39,Lazard,Overall Great Experience,2021-09-29,3.0,Analyst,"Motivated people, good location, interesting work","Very long hours, Hard to WfH, Weekend Work"
40,Lazard,great place,2021-09-25,3.0,Full Time Analyst,best shop on the street,"its ib - brutal , rewarding, brutal"
41,Lazard,Great firm to work for,2021-09-24,5.0,Associate,"Entrepreneurial firm, working with some of the best bankers in their field.
Lean deal teams","Like every bank, working hours can be tough"
42,Lazard,Good place to work,2021-09-21,5.0,Anonymous Employee,"Good learning opportunity, friendly people","Long hours, comp needs to be adjusted"
43,Lazard,Cool,2021-09-20,4.0,Investment Banking Analyst,Lean deal teams and global knowledge base,Long hours and tight deadlines
44,Lazard,great start,2021-09-11,4.0,Investment Banking Analyst,"smart people, culture of curiousity","some rude people, variable experience dep on office"
45,Lazard,Investment Banking Associate,2021-09-09,3.0,Associate,Strong deal experience working on complex transactions with loyal clients,Poor work life balance particularly around live deals (which were many)
46,Lazard,Lack of professional growth for women,2021-08-26,3.0,Vice President,Good brand to have.on resume.,Poor management with very little motivation.
47,Lazard,Best place for Junior Bankers,2021-08-25,4.0,Investment Banking Analyst,You will get the best exposure in the industry,Challenging work and long hours
48,Lazard,A place to grow,2021-08-13,4.0,Associate,"Entrepreneurial, can make a positive difference if put in the work, not hierarchical, positive inclusive culture",sometimes long hours but manageable
49,Lazard,Top Caliber,2021-08-11,5.0,Anonymous Employee,"Smart people, Great clients, Good culture","Expect to work hard, but be rewarded"
50,Lazard,Solid,2021-08-06,5.0,Senior Vice President,"The people and the benefits (health, wellness, etc.)",The hours can be long.
51,Lazard,Great company,2021-07-16,5.0,Receptionist,Amazing benefits and room for self development,None that I can think of.
52,Lazard,Trade-off between life and career,2021-06-12,2.0,Investment Banking Analyst,Lot of opportunities; analysts are expected to cover responsibilities of Associates,Absolutely no life at all.
53,Lazard,great place,2021-06-10,4.0,Technology Lead (US),great atmosphere at this place,resistant to change is everpresent
54,Lazard,Great Company,2021-06-03,4.0,Business Analyst,great place to work and start career,there are no cons for this company
55,Lazard,Instructive but hard culture,2021-05-27,3.0,Investment Banking Analyst,The company has a strong brand name and a great deal flow. Working at Lazard is the opportunity to learn a lot and to develop your network.,"Hard culture
Work life balance
Interactions
Senior Management
Location"
56,Lazard,Great firm,2021-05-22,4.0,Associate,"Smart people, potential wfh days","No peloton, long work hours"
57,Lazard,Great place to work,2021-05-20,5.0,Anonymous Employee,Huge demand and perfection at work. Team very attentive to your growth,Very demanding schedules that do not reconcile with personal life
58,Lazard,Good place to learn,2021-05-17,5.0,Associate,high standard of co-workers. Lots of good deal flow,the hours can be tough. Outdated culture for juniros
59,Lazard,Great analyst program,2021-05-03,5.0,IB Analyst,"excellent deal experience, brand name, great exit opps",none but can be too traditional at times
60,Lazard,"Challenging Job, Good Team",2021-04-24,5.0,Analyst,"- Challenging job
- A lot of interaction with clients and seniors (the office in Chile is way smaller than in the U.S.)
- Good work environment
-Skilful teammates
- Good leadership",- There are not many opportunities to grow in the industry in Chile in general because the market is so small
61,Lazard,Analyst,2021-04-11,3.0,Analyst,Good pay / Good Exits,Poor Corporate Culture and Management
62,Lazard,Great team,2021-04-07,5.0,Sovereign Analyst,"Brand recognition, exposure to high-level clients",Too narrowed sovereign Advisory industry
63,Lazard,EA in Investment Banking,2021-03-31,3.0,Executive Assistant,Work life balance and flexibility is a plus,No career growth or advancement in this position
64,Lazard,"The best bank for M&A, Restructuring and Cap Mkts Advisory",2021-03-29,5.0,Associate,Unparalleled reputation and intellectual rigor of senior bankers. Ability to work closely with senior leaders. Fantastic learning environment.,Work hours can be long.
65,Lazard,Great Place but legacy issues,2021-03-26,4.0,Analyst,"Good people, collegiate, lots of tradition and great client mandates","old school, legacy MD structure, british"
66,Lazard,Skip and move on,2021-03-19,1.0,Vice President,Nice environment. Some nice people.,Incompetent management - insecure and got rid of all the good people.
67,Lazard,Great IB,2021-03-15,5.0,Vice President,"+ Exposure to best clients
+ Truly global",- Some MDs can be volatile
68,Lazard,Good Culture & People,2021-03-15,5.0,Invest,Great people and culture there,No cons to list here
69,Lazard,Experience,2021-03-14,4.0,Analyst,Exposure to client and advisory work,Lack of work life balance
70,Lazard,Finance,2021-03-10,1.0,Finance,"Great culture, great benefits, friendly staff","Very low comp, very low annual increases"
71,Lazard,Great brand and great colleagues,2021-03-10,4.0,Anonymous Employee,"It is a very dynamic environment to work in, with many smart, hard-working and engaged people - whatever the circumstances of their departure, Lazard Alumni remain proud of that experience","Little management so it's better for people who are comfortable finding the ""keys"" of internal politics by themselves"
72,Lazard,Bad VPs,2021-03-01,1.0,Analyst,Good experience and solid modeling,A certain VP is clueless
73,Lazard,Fine,2021-03-01,3.0,Associate,Good brand name for boutique,"Deal flow is not great
Hierarchical"
74,Lazard,Underpaid,2021-02-25,1.0,Vice President,Smaller teams than other banks so you can stand out more than at other banks,Very Toxic work environment and not collaborative
75,Lazard,Strong company culture,2021-02-25,5.0,Analyst,Great environment to work in,"Working hours are inconsistent, long"
76,Lazard,Good company overall but low pay raise,2021-02-24,3.0,Vice President,"culture of inclusivity, many opportunities, strong leaders, develop relevant skillsets",Pay raise is low even when promoted
77,Lazard,Great place,2021-02-21,5.0,Associate,"Great team, compensation and work hours",nothing much to say here
78,Lazard,Good place to start a career,2021-02-21,4.0,Full Time Analyst Position At Lazard,"Good recognition, strong MDs, decent workflow","Lower pay than other boutiques, need to respect weekends"
79,Lazard,A truly special place under siege from upper management focused on short term profitability,2021-02-20,5.0,Vice President,"Work on interesting and high profile “bet the firm” M&A assignments for some of the most important organizations globally. Staff across all levels get a ton of responsibility upfront. Work with intelligent, demanding but collegial staff with a true international work culture.",Long hours and lots of travel expected. Unique culture of the firms has slowly been eroding since the company went public and new global leadership took charge.
