,company,headline,date,overall_rating,author_position,pros,cons
0,Legg Mason,Confused dying company,2022-04-21,2.0,Sales Associate,"Decent pay, free Snapple, next to train station","Confused management, frequently changing identity"
1,Legg Mason,Great company and culture.,2022-03-08,5.0,Software Engineer,Flat organization and have good managers. The comp is attractive and as per the market standards.,Legg Mason is a great company to work for.
2,Legg Mason,Meh,2022-02-17,3.0,AVP-Finance,Good work-life balance and low bar,Not a very inspiring place to work
3,Legg Mason,Manual outdated ways of doing things,2022-01-27,2.0,Compliance Officer,"Good people, large global exposure.","Poor culture, manual outdated processes,"
4,Legg Mason,"Great culture, but tenure-ocracy.",2022-01-14,3.0,Analyst,"Great flexibility, culture, and benefits, especially PTO.",The best talent isn't recognized quickly enough and so it predictably leaves to places where it is. Tenure is valued above talent.
5,Legg Mason,Great team and strong company culture,2022-01-11,5.0,Anonymous Employee,Great team and strong company culture,None I can think of
6,Legg Mason,Great place to work,2022-01-02,5.0,Salesforce Administrator,Great Place and Employee Friendly,Nothing as far as I know
7,Legg Mason,None,2021-11-15,3.0,Senior Financial Analyst,There were many great people to work with.,The company was been bought/
8,Legg Mason,Well rounded,2021-11-10,4.0,Senior Investment Risk Analyst,"Good company, great learning opportunity, lots of advancement opportunity.",Pay is low and competition is steep
9,Legg Mason,OK,2021-10-19,2.0,Paralegal,Work life balance is good,Bad management and lack of training
10,Legg Mason,Nice company to work with. Sad to see them close.,2021-09-25,5.0,Technician,Very nice company to work with,No complaints at all. I really enjoyed working for Legg Mason
11,Legg Mason,great,2021-09-17,4.0,Anonymous Employee,"great team, salary, people, hours","poor management, lack of transparency, no training"
12,Legg Mason,"Mostly positive, before the merger",2021-09-13,4.0,Data Analyst,The people were great and the work was decently varied,Changes were very slow to be enacted and strategy plans could be setback or completely abandoned when there was short term performance
13,Legg Mason,Terrible,2021-08-13,1.0,Anonymous Employee,sucking up will get your way in this place which is terrible,"Its a big shop of old white males. If you aint old, aint white and aint female sucking up to these old whites. good luck"
14,Legg Mason,Great Company,2021-05-14,5.0,Paralegal,Great place to learn and grow. Supportive teams.,Merged with Franklin Templeton as of July 2020
15,Legg Mason,Great Firm to work for,2021-04-27,4.0,Human Resources Business Partner HRBP,"Really lovely team in London and across the European offices, felt like a small firm but with Global clout. I had a really lovely manager who I considered a more of a mentor.
Great benefits",Sometimes a little bureaucratic - at the time I was leaving their was a push to get a lot of the HR work centralised in the US. In a small local HR team there was limited room to progress.
16,Legg Mason,Great Job,2021-04-23,5.0,Sales Associate,Great culture and everyone is willing to help,Low communication with employees about company
17,Legg Mason,"Great company, lean on resources",2021-04-19,4.0,Regional Director,"large AUM, name recognition for SMAs, powerful value add program","rotating manage, management with less field experience, unequal territory opportunities"
18,Legg Mason,poorly managed,2021-04-09,1.0,Internal Wholesaler,"coworkers were great, very friendly",management has no idea what they're doing. Most managers have little to no experience managing
19,Legg Mason,Friendly and professional culture with job satisfaction.,2021-04-07,4.0,Anonymous Employee,"Professional, friendly and supportive colleagues.",Acquired by Franklin Templeton which may change culture.
20,Legg Mason,Good Company,2021-04-01,4.0,Anonymous Employee,Good working culture and environment,"very lean structure, you will need to be all rounded"
21,Legg Mason,Great company to work for,2021-03-24,4.0,Accounting,"Transparent, good communication of goals to lower levels",Lack of career development opportunities within the company
22,Legg Mason,Great work life balance,2021-03-22,4.0,Accountant,Work life balance and nice working environment,The hierarchy is very flat so promotion opportunity is minimal
23,Legg Mason,Great experience,2021-03-21,4.0,Web Producer,"Small, productive teams.
Diverse group of employees.","Poor project planning.
Upper management unsure of daily operations."
24,Legg Mason,"Good company, bad politics",2021-03-06,4.0,Accountant,"- good training and support from the company
- good atmosphere 
- clever people 
- good work life balance
- good compensation and benefits","- highly political 
- career progression can be stuck and hindered if you don't play the game"
25,Legg Mason,Great work environment,2021-02-22,4.0,Senior Analyst,Compensation was low compared to competitors,The people were really great. Management provided opportunities for learning and development.
26,Legg Mason,"Good people, bad organization",2021-02-16,2.0,Portfolio Manager,Great people among the affiliates,Organization is unwieldy with too much overhead
27,Legg Mason,One Legacy joins another...,2021-02-11,3.0,Director,Flexibility and work from home options,The culture among employees was going downhill due to job security
28,Legg Mason,Sales and Marketing Associate,2021-02-03,3.0,Sales and Marketing Associate,Good benefits and great work life balance,Too much politics and not enough promoting from within
29,Legg Mason,Great!,2021-01-25,5.0,Analyst,Great company that cares about colleagues,None that I can think of
30,Legg Mason,Struggle to find its place,2021-01-20,3.0,Anonymous Employee,Good benefits and nice people,Management constantly struggling to find its way in how to structure the affiliate model.
31,Legg Mason,LM,2021-01-14,5.0,Analyst,Great benefits and culture at LM,Internal conflict between affiliates and corporate
32,Legg Mason,Great Place to Work,2021-01-13,5.0,AVP-Project Manager,Exposure to multiple projects and technology,Got sold to Franklin Templeton
33,Legg Mason,Close up shop,2021-01-12,1.0,Internal Wholesaler,Snacks were free and nice chairs,Smart people not encouraged here
34,Legg Mason,Good place to work,2021-01-11,4.0,Vice President,"Diverse culture, knowledgeable and helpful colleagues, collaborative environment",Workload can be overwhelming in a lean team
35,Legg Mason,Senior Analyst,2021-01-11,5.0,Senior Analyst,Good environment. Good local. Lean organization.,Not much growth opportunity at firm.
36,Legg Mason,Sadly acquired,2021-01-07,3.0,Anonymous Employee,"Work/ life balance exists unless you want to progress, average to above average benefits","Below par salaries, Lack of genuine diversity, toxic environments. Grow quickly & quietly with management in denial"
37,Legg Mason,Great Company,2021-01-07,4.0,Analyst,"Team spirit, long term growth",Not as innovative as competitors
38,Legg Mason,Good company,2020-12-29,4.0,Senior Auditor,Good benefits and good pay. Company performance lagged in the final years,Due to lagging company performance. Experience a few company job cuts to cut cost
39,Legg Mason,Great company,2020-12-28,4.0,Administrative Assistant,Grew professionally in my time there,Wish they had better talent management processes in place
