,company,headline,date,overall_rating,author_position,pros,cons
0,Millennium,Great!,2022-04-11,3.0,Anonymous Employee,"Work life balance, development in role",Management structure isn’t great internally
1,Millennium,Dysfunctional organisation,2022-04-11,2.0,Senior Data Engineer,"Lots of people with disparate, deep experience","Poor communication, poor coordination.  Didn't really adapt to remote work."
2,Millennium,nice,2022-04-08,4.0,Trader,good working atmosphere and lovely colleague,"heavy work flow, high threshold"
3,Millennium,"Average comp, stressful environment",2022-04-06,3.0,Analyst,"Good firm performance, doing well",Stressful and comp is average
4,Millennium,n/a,2022-03-30,4.0,Analyst,good culture within the firm,lack of upwards movement from analyst
5,Millennium,Risky job,2022-03-28,3.0,Equity Research Analyst,"Competitive salary.
Reputable company.
A great salary depends on performance.","No matter how good you are at your work, at the end of the day it's all depends on PM's performance. You should be aware that you can get fired within a few months after joining if the market crashes, and it's one of the platformers."
6,Millennium,Well oiled machine,2022-03-25,4.0,Anonymous Employee,Great infrastructure with professional management,Lack of camaraderie and teamwork
7,Millennium,just ok,2022-03-17,3.0,Quantitative Researcher,"good infrasture, a lot to learn",culture not good. very non collaborative
8,Millennium,Terrible place,2022-03-15,1.0,Analyst,Literally nothing to rave about,"Bad pay, don’t care about their people"
9,Millennium,Great place to work,2022-03-10,5.0,Software Engineer,Work life balance is great . Remuneration is great,Slow job progresssion in terms of roles/tech stack
10,Millennium,Software Engineer,2022-03-06,4.0,Software Engineer,"good work life balance, decent comp",need to work on old applications
11,Millennium,work,2022-03-01,4.0,Software Engineer,It has a stable working environment. work-life balance is ok. Everyone is nice.,The project management here is kind of messy.
12,Millennium,Great place,2022-02-24,5.0,Analyst,Great senior leadership and vision,Massive company with little entry level training
13,Millennium,Easy and chill job,2022-02-24,1.0,Software Engineer,"nothing much to do, high pay, long lunch breaks",occasional odd working hours but other than that very chill
14,Millennium,industry,2022-02-16,5.0,Auditoir,some of the most sophisticated tools and functions,"low time,low time,low time,low time"
15,Millennium,Good firm,2022-02-15,5.0,Anonymous Employee,"Good firm, culture varies by team, very efficient and clear cut structure",If working on a Pm team promotion path unclear
16,Millennium,Working in hell with worst HR,2022-02-14,1.0,Anonymous Employee,Nothing is good here but bug talk,Working in hell with the worst HR.
17,Millennium,Good firm,2022-02-09,5.0,Anonymous Employee,Good work culture and peers,Can’t think of anything as of now
18,Millennium,Pretty decent place to start,2022-02-07,5.0,Analyst,Was in back-office - pay is market rate and hours are good. Good name.,Hard to move into investment roles
19,Millennium,Good,2022-02-07,5.0,Quantitative Researcher Intern,"Good support, advantages and sponsorship",Not a lot of collaboration
20,Millennium,So so,2022-02-02,1.0,Anonymous Employee,Ok environment average work life bad comp,Bad compensation package for junior devs
21,Millennium,exhausting,2022-02-01,3.0,Anonymous Employee,pay is good especially on weekends and public holidays,"long hours of work, always under staff"
22,Millennium,Toxic Workplace,2022-02-01,1.0,Cleaner,Met some great people- Who unfortunately left the company.,"Misleading statements/ Policies.
 Toxic Management strategies. Favouritism & complete disregard for mental health."
23,Millennium,Good Work/Life Balance,2022-01-31,3.0,Anonymous Employee,"- Relatively stable and predictable working hours
- Pleasant environment",- Difficult to learn and navigate the firm
24,Millennium,Depends on team and manager,2022-01-21,3.0,IT Analyst,"decent money, small company, good location","No personal trading, micro-management, too serious and company politics"
