,company,headline,date,overall_rating,author_position,pros,cons
0,,Great firm to learn banking and develop LT career,2022-05-13,5.0,Investment Banking,"Learn best practices across all levels
Strong, principle-oriented, management team
-robust technical/analytical AND soft skills training.","Resource shortages;
Signficant turnover recently, including several senior level departures across bank"
1,,Well regarded firm,2022-04-22,4.0,Executive Director,Hard working but high rewards and good people,Typically work on smaller average deals than at bulge bracket
2,,No work / life balance,2022-04-21,1.0,Associate,Very good compensations and deals,Bad culture and balance for junior bankers
3,,Typical Investment Banking Job,2022-04-19,2.0,Investment Banking Analyst,"Great pay, great deal experience, great deal flow","awful work life balance, toxic work culture"
4,,"Great experience, little regard for development",2022-04-07,3.0,Associate,"Willing to give a lot of room to grow, able to take on a lot of responsibility normally reserved for VP / ED",Team building and work / life balance not considered
5,,Great,2022-04-07,5.0,Analyst,"Awesome culture, great people and chill",You are going to work a lot
6,,Analyst,2022-03-15,3.0,Student,Sweat Shop and pushes you to the max,Good deal flow but pretty bad culture
7,,Too much work,2022-02-06,1.0,Investment Banking Analyst,"Great exposure, nice deal flow, paid well","Too much, just too much"
8,,pay,2022-01-30,4.0,Investment Banking Analyst,"lean team, good deal exposure and senior team visibility",brutal hours and brutal hours
9,,Decent place to work in certain departments,2022-01-26,3.0,Conference Center Manager,A good opportunity to learn a lot and manage the trajectory of your career while working there.,The Company definitely favored banking roles over business administration roles. No diversity
10,,good place to work,2021-12-12,5.0,Banker,overall collaborative culture that works across teams,look to develop people internally
11,,"Good pay, hardwork",2021-11-17,4.0,Analyst,Good access to opportunities to grow,Very very very long hours
12,,"Some Very Good Group, Some Very Bad Groups",2021-11-16,5.0,Anonymous Employee,Good industry groups have smart people who are rewarding to work with,Bad reputation from certain industry groups
13,,What you'd expect,2021-10-29,2.0,Analyst,"Trampoline to decent buy-side opportunities, compensation","Culture, working hours, limited / ridiculous deal flow"
14,,Great,2021-10-21,5.0,Financial Analyst,Great opportunities to work on interesting projects,"As with all investment banks, it requires hard work"
15,,Typical banking experience,2021-10-20,3.0,Associate,"good deal flow, smaller teams so lots of work to be done, well-recognized brand","old-school banking personalities that haven't adapted to modern ways of working, ridiculous hours. Same as you'd get at any investment bank."
16,,-,2021-08-27,3.0,Investment Banking Analyst,good pay for entry juniors,very very long working hours
17,,Good,2021-08-23,5.0,Vice President,Great place to work at,Long hours but you can get through it
18,,fast pace,2021-08-09,2.0,Analyst,pay was hella sick. hours were tough. bonuses were big. bosses not nice. The founders care a lot about their reputation.,"you will burn out quick, also do not forget you will age way faster than most people your age, pay is out weighted by upper management breathing and screaming down your neck."
19,,Excellent place to work,2021-07-04,5.0,Vice President,"Senior management cares about its employees
Very entrepreneurial environment",Work load can get difficult sometimes
20,,Moelis,2021-06-28,4.0,Investment Banking Analyst,"Good pay, responsibility, and learning","Long hours, high stress, tight deadlines"
21,,Amazing,2021-06-25,5.0,Anonymous Employee,Hard working and smart team members,Work life balance is hard to come by
22,,Incredibly Inconsistent Experience,2021-06-25,2.0,Analyst,"Exits, Compensation, Rep, Peers, Training","Your experience is incredibly dependent on the teams/people you work for - some analysts have a pretty decent experience for banking while others get crushed and work in quite toxic environments. Certain groups have seen a ridiculous amount of turnover during COVID, especially at the associate level. Bonus range is also too wide."
23,,Need Diversity,2021-06-24,2.0,Vice President,The salary was fair compared to the market for the area,"Long hours, inexperience managers and lack of diversity"
24,,IB Analyst Review,2021-06-21,4.0,Investment Banking Analyst,Excellent learning experience but depends on deal flow / luck of the draw,"Long hours, difficult work/life balance"
25,,Friendly yet Political,2021-06-10,3.0,Investment Banking Analyst,"Lot to learn, and from intelligent people","Very competitive, and come sometimes be overwhelming for some."
26,,Typical Banking Experience,2021-05-28,2.0,Analyst,Good pay and entrepreneurial culture,"Extremely long work hours, pursues every opportunity in the market"
27,,Good experience,2021-05-10,4.0,Analyst,"Good people, meritocracy, opportunity to take on additional responsibility","Lifestyle, don't get rid of bad people quick enough"
28,,Entrepreneurial,2021-05-04,5.0,Anonymous Employee,Entrepreneurial culture and aggressive growth,Lots of work but you learn a lot
29,,Good firm but no work/life balance possible,2021-04-22,2.0,Financial Analyst,"Above average compensation, with year end bonus (usually 80-100% of base salary), strong exposure to many industries","No work life balance possible, with extremely long hours and work on the weekends"
30,,Brutal... abuse is not worth the pay,2021-04-19,1.0,Vice President,"Good pay, good deal flow",Absolutely no boundaries. No respect. Horrible work life balance. Consistent 8am-2am 7 days a week
31,,Great Place to Work,2021-04-11,5.0,IB Analyst,"If you want to be a coverage or product banker, Moelis is the cream of the crop. The firm is large enough with enough name recognition to bring in top-tier clients, but is small enough to change and adapt to the changing landscape and add new technologies/features that make employee lives better. Deal teams are very lean and the analyst experience is very good (long hours, but very interesting deals and working directly on the model).","Only con is hours. You won't have much of a work life balance here, but it really strongly depends which MDs you work under - some care less about work-life, but others are very sensitive to it and really try to make sure junior bankers don't burn out."
32,,"Strong Company, good tech",2021-04-05,3.0,Senior Systems Engineer,The company spends money on technology so you get to work with cutting edge systems and solutions.,IT is under-resourced in staff so you are very busy.
33,,Investment banking,2021-03-29,4.0,Analyst,"- Exposure to senior decision making from entry level
- Generally good culture and team members",- Long working hours (investment banking)
34,,IB Analyst Review,2021-03-24,3.0,Investment Banking Analyst,Good learning experience and decent pay,Brutal hours and not much respect for analysts' work life balance
