,company,headline,date,overall_rating,author_position,pros,cons
0,Oppenheimer Holdings,Poor Management,2022-04-19,1.0,Operations,"Work life balance, work can be low stress. Direct managers can be good depending on your branch.","Corporate support is non-existent. Awful structure of higher management. No opportunity for career advancement. Bad communication, outdated systems, very low compensation, high turnover."
1,Oppenheimer Holdings,Excellent place to start career in finance,2022-04-18,3.0,Client Services Associate,opens many doors in this sector,"firm is cheap, minimum perks"
2,Oppenheimer Holdings,Do Not Work Here,2022-03-29,1.0,Anonymous Employee,No pros to share unfortunately,"A toxic workplace with no company culture
Severely underpaid employees 
No salary increases even when the company experiences record years 
Ancient technology with no interest in advancing
No room for career growth
No remote work flexibility 

Avoid under any circumstances"
3,Oppenheimer Holdings,"Low stress, high autonomy culture",2022-03-19,4.0,Research Analyst,"Supportive department management, low stress environment, easy to work with colleagues","Slower progression, banking may not be strong depending on one's sector focus"
4,Oppenheimer Holdings,internal audit,2022-03-10,4.0,Internal Auditor,good place to work at,the pay isn't the best
5,Oppenheimer Holdings,Pros & Cons,2022-03-09,4.0,Finance Manager,Flexible schedule and good work-life balance.,"Little to no defined career paths, salary below market value"
6,Oppenheimer Holdings,Salary,2022-03-01,5.0,Client Service Associate,"laid back, small company, friendly","poor training, no instruction on access to resources"
7,Oppenheimer Holdings,"Poor salary, outdated system , mean and demanding management",2022-03-01,2.0,Director,good start for someone never has financial service background,the salary is lower than average. The manager will offer promotion without any raises but want you to do more. lack of training and you need to do other people's work when they quit!
8,Oppenheimer Holdings,Antiquated,2022-02-28,2.0,Client Service Associate,Job security and permanence. Bonus.,"Technology, culture, no professional development for the administrative roles."
9,Oppenheimer Holdings,Positive work experience,2022-02-25,5.0,Executive Director,Camraderie Trust Independence Pay Management,None None None None None
10,Oppenheimer Holdings,Good Experience,2022-02-25,4.0,Frontend Developer,Management has good priorities for moving forward with the technology/ platform. Most managers on the tech side have good historical experience with the tech and can understand technical challenges to a reasonable degree.,Tech stack definitely a little dated and the frontend system is a bit of a hybrid of frameworks. Some challenges in hiring/talent retention lately.
11,Oppenheimer Holdings,Not a Long term position to hold...,2022-02-19,3.0,Client Service Associate,Relaxed environment within specific offices,"No upside to make good money w/o support from management. Raises were specific to literal favorites - the company should be investigated for discrimination in pay. Nepotism wildly existent. Non experienced individuals (friends and family) hired with larger salaries than that of the experienced individuals salary. If you luck up with a respectable team than it is a different situation, but never depend on the company itself for acknowledgement or advancement financially."
12,Oppenheimer Holdings,company culture,2022-02-17,1.0,Anonymous Employee,"beautiful and clean office to work at, good working hours.","office politics is insane, not suitable for anyone not enjoys small talk!"
13,Oppenheimer Holdings,Worst company,2022-02-14,2.0,Tech Support,Nothing to share on postive side,Where do we start on this topic
14,Oppenheimer Holdings,Not professional,2022-02-09,1.0,Administrative Assistant,Could slack on your work,Nepotism at its finest. Nobody knows what they are doing
15,Oppenheimer Holdings,Great culture,2022-02-07,5.0,Analyst,Everyone is nice for the most part,Diversity is almost laughable it's so non-existent
16,Oppenheimer Holdings,CSA Oppenheimer,2022-02-01,2.0,Client Service Associate,"Reputable company
Small team atmosphere 
work/life balance","underpays
no 401k match
poor communication between branches"
17,Oppenheimer Holdings,Good place for beginning and end of a career,2022-01-15,3.0,Director,Work life balance is unmatched,"Wish they would pay market rate, far below it."
18,Oppenheimer Holdings,Good starting point,2022-01-14,4.0,Analyst,"People, Collaboration, Flexibility, Learning Opportunities, Market Analysis","Salary, Growth opportunities, Promotion timeline, Bonuses, Repetivitness"
19,Oppenheimer Holdings,Review,2022-01-06,5.0,Investment Banking Analyst,"great culture, hardworking people, lean deal teaems",Can't think of any at this moment
20,Oppenheimer Holdings,Oppenheimer Review,2022-01-06,4.0,Branch Examiner,Overall great place to work and good culture.,Employees are not compensated fairly for their dedication and hard work.
21,Oppenheimer Holdings,Great firm!,2022-01-05,5.0,Analyst,+Hands on learning and training,+Downtown Manhattan might be far for some to reach day to day
22,Oppenheimer Holdings,"No Room for growth, no raises",2022-01-02,2.0,AML Associate,"Good learning opportunity, but much else","Terrible benefits, no pay increase (not even inflation adjustment), cheap management"
23,Oppenheimer Holdings,"Committed people do well, typical finance culture",2021-12-15,4.0,Senior Director,"Managers, people, charitable involvement, finance culture","Compensation, advancement opportunities, professional challenges and growth, low opportunities for remote work"
24,Oppenheimer Holdings,Good Place To Work,2021-12-11,5.0,Executive Director,"Good people, access to highest levels of the firm, and a real sense of autonomy.","Technology is weak, and there is a very conservative approach to compliance."
25,Oppenheimer Holdings,Internal Auditor,2021-12-08,4.0,Internal Auditor,"Boss is great, NYSE holidays off","Never gets pay increases, not remote work"
26,Oppenheimer Holdings,Great place to get experience,2021-11-30,3.0,Administrative Assistant,Great people to learn from and grow in the financial industry,Does not give raises and lots of overtime.
27,Oppenheimer Holdings,Compliance,2021-11-29,1.0,Compliance,Good place for a beginner to learn and move on.,Salary is horrible. Management isn’t knowledgeable enough in the industry. Some members of managment treat workplace like high school.
28,Oppenheimer Holdings,Good starter,2021-11-19,3.0,AML Analyst,My first job in the industry. It was a great way to be introduced into the industry and learn. They had a decent AML program and ran things adequately,The pay was terrible and benefits even worse. No such thing as a raise.
29,Oppenheimer Holdings,Great People Need Better Training,2021-11-10,5.0,Client Services Associate,Really great team of people who all collaborate together to foster a positive work environment.,Needs a better training program
30,Oppenheimer Holdings,Worst place to work,2021-10-20,1.0,Associate Financial Advisor,I have nothing not one pro I can list,"Terrible pay and benefits, no on boarding process, rude environment"
31,Oppenheimer Holdings,401K,2021-10-20,4.0,Client Service Associate,Good work atmosphere and generous people,HR is difficult to get ahold of. They only have a few people for such a big business. They also are not on the same page as far as policy and procedures.
32,Oppenheimer Holdings,Growing investment bank,2021-10-04,3.0,Executive Director,Focus on VC-backed companies looking to raise capital. Opportunities to interact with very innovative start-ups.,Still going through growing pains - many areas still need to catch up to industry standards.
33,Oppenheimer Holdings,Just Ok. not great but not bad either,2021-09-30,3.0,Senior Director,Great work-life balance and not a hard job at all,"No raise, no upward movement, benefits not very good"
34,Oppenheimer Holdings,Depends where you are in company and who you work for,2021-09-23,4.0,Associate Financial Advisor,"Entrepreneurial place. If you have a network of wealth families to manage their money, its a good place.",Opco's reputation is trash relative to other brokerages/RIAs
35,Oppenheimer Holdings,Good Company,2021-09-23,3.0,PORTFOLIO ADMINISTRATOR’S ASSISTANT,Fast paced and challenging work,Long hours on some days
36,Oppenheimer Holdings,Average,2021-09-20,3.0,Manager,Work life balance is good,"Too structured, not much growth"
37,Oppenheimer Holdings,Great Entrepreneurial Firm,2021-09-15,4.0,Executive Director,"Entrepreneurial, family-like culture, NICE people work here.","CEO holds tight strings, platform good but not as broad as the major wirehouses."
38,Oppenheimer Holdings,Great culture,2021-09-12,4.0,Equity Research Associate,"Company helps you grow internally, great culture","Long hours, minimal perks, lower salary than bulge brackets"
39,Oppenheimer Holdings,Good Company,2021-09-09,4.0,Program Manager,Balance work life and home life,Low pay and not much upward mobility
40,Oppenheimer Holdings,family friendly company,2021-09-07,4.0,Registered Client Service Associate,"benefits are good, paid time off. Team approach, good training",Increases in salary are not frequent
41,Oppenheimer Holdings,Lacks Training,2021-08-31,2.0,Associate Financial Professional,"- Salary
- Flexible schedule
- Licenses paid for
- Solid information on financial markets","- Training program is nonexistent.
- No direction given unless assigned a committed team.
- No idea of what is to be expected"
42,Oppenheimer Holdings,Trader,2021-08-23,3.0,Sales Associate,"Benefits, interesting, culture, perks, exit","atmosphere, hours, vacation days, salary"
43,Oppenheimer Holdings,Visionless and short-sighted leadership from a bygone era.,2021-08-18,1.0,Senior Director,"Because no one will work for them with any talent, you can make a jump here and come off like a hero for being even a smidge competent. They're so outdated anything new or shiny either scares them or impresses them. It better impress, because you're only as good as your last dance.","The CEO is a skinflint tyrant who shocks his employees into Stockholm Syndrome rather than providing incentives. You only get two weeks vacation. Yes, seriously. Two weeks. It genuinely feels like the last time the HR manual was updated was 1986. It's a joke. No 401K match, no bonuses, no maternity leave. Their booking systems are ancient and in MSDOS. For the young folks, that's before even Windows 95. Google it. I lost 100 percent of my employees in one year because other shops would pay them double."
44,Oppenheimer Holdings,Not recommended if you're not a FA w/a book of business,2021-08-13,1.0,Anonymous Employee,"If you are a FA, they leave you alone for the most part and you can run your business. If you are a corporate employee and don't need any advancement or want to grow, it is a place you can sit and work and be secure in your job for 20 years.","Leadership is lacking from the top down, there is no company culture
The executive leaders do not reach out to the mid-level managers who do not reach out to the lower level managers
They do not believe in the client experience, or that the employee experience drives the client experience
The technology is old and no money is invested in updating
There is no workflow database programs in existence. They just fax and email paperwork to each other.
More importantly, there are no P&P publishings anywhere. They believe that individuals holding on to information increases that person's equity in the firm, so they won't codify any knowledge or proliferate because of fear of making themselves less useful. 
Takes 6 years for 401k match to become fully vested. Pay is low. Healthcare is horrible. No additional benefits (tuition, parking, etc.)"
45,Oppenheimer Holdings,N/A,2021-08-10,3.0,Registered Client Service Associate,"People, location, people, location, people in the place and building","pay, benefits, opportunities, pay, benefits aren't good relative to industry"
46,Oppenheimer Holdings,The Unicorn,2021-07-27,5.0,Senior Financial Analyst,"Incredible benefits, salary, unlimited time off, the people, management, transparency, and more","Depends on the person, longer work hours. However, you get what you put into your career."
47,Oppenheimer Holdings,Sales,2021-07-09,3.0,Sales Associate,"nice people, good hours, ok pay","lack of resources, not much growth"
48,Oppenheimer Holdings,"Great firm, highly recommend",2021-07-05,5.0,Anonymous Employee,"Great experience, plenty of opportunity to work with senior bankers, good culture, solid deal experience.",None - left for a career change.
49,Oppenheimer Holdings,Good place to get started good place to retire,2021-06-22,3.0,Director,Good place to get started good place to retire,No room for advancement or the future
50,Oppenheimer Holdings,Great place to start an investment banking career!,2021-06-21,5.0,Investment Banking Analyst,"Get a lot of hand's on experience, you may not get at larger firms. MD's are generally very open to answering questions and overall providing guidance.",Significant lack of diversity in front office roles.
51,Oppenheimer Holdings,great,2021-06-11,5.0,Financial Advisor,amazing work environment to work in and amazing company,none- everything is smooth and efficient
52,Oppenheimer Holdings,Worth the Experience,2021-06-04,5.0,Rotational Analyst,"Flat organizational structure, lots of room to grow, plenty of optionality in rotations",There are no cons other than preference in having longer rotations
53,Oppenheimer Holdings,Not a great place to be long term,2021-05-22,2.0,Senior Director,"Most people are nice, easy to work with",Compensation and benefits are horrible. Hard work is not rewarded. A lot of incompetent people.
54,Oppenheimer Holdings,Good company,2021-05-16,4.0,Registered Client Service Associate,Work environment is very good,Research department is somewhat lacking
55,Oppenheimer Holdings,Solid IB Shop,2021-05-06,5.0,Investment Banking Analyst,"- Newly hired high quality MDs winning exciting mandates
- Strong bankers across all levels who are easy to work with and team players
- Strong sense of culture driven by the group head (analyst retreats to Napa valley, bi-weekly meetings with high level of transparency, etc.)
- Firm is having record years due to renewed strength of its IB franchise",- Hire more mid-level bankers. You don't need anymore analysts.
56,Oppenheimer Holdings,"Long hours, ok experience",2021-05-06,2.0,Investment Banking Analyst,"Lean deal teams, good healthcare services and industrial rental groups","Low morale, unnecessarily long hours working on deals going nowhere"
57,Oppenheimer Holdings,Great place to work,2021-05-03,4.0,Anonymous Employee,Great place to work in,Very strict processes and not enough
58,Oppenheimer Holdings,Opco,2021-05-02,4.0,Operation Specialist,"Friendly people working, really just mind their own business","Low Lateral movement, could have alot of improvements"
59,Oppenheimer Holdings,Great company,2021-04-16,5.0,Anonymous Employee,"Great firm, good work life balance, great benefits.","company was sold, it was integrated into a new firm"
60,Oppenheimer Holdings,Started great lots of changes,2021-04-14,3.0,Registered Assistant,"atmosphere was wonderful but changed quickly. Sick time, Vacation time, maternity leave benefits were a huge plus",constant management changes and inconsistent back office operations.
61,Oppenheimer Holdings,ok place,2021-04-12,3.0,Investment Banking Associate,good co workers and managers,"Doesn't value experience, have to find competing offers to move up"
62,Oppenheimer Holdings,"Great company, decent comp",2021-04-12,5.0,Supervisory Analyst,"Work life balance, good leadership",Average comp package about the only clear negative
63,Oppenheimer Holdings,Good for some,2021-04-10,3.0,Investor Relations,"hours, people, location, time, independence","disorganized, confusing, siloed, unmotivated, advancement"
64,Oppenheimer Holdings,"Good Company, Not Much Growth",2021-04-07,3.0,Marketing Associate,"Great career starter, Friendly people",Not much growth here if you don't know people
65,Oppenheimer Holdings,Good,2021-03-30,4.0,Associate Director,Environment People Location Hours Experience,Salary Commute Position Training Rank
66,Oppenheimer Holdings,Decent,2021-03-26,3.0,Associate,you need to move positions a lot,you are under paid a lot.
67,Oppenheimer Holdings,Good place overall,2021-03-22,4.0,Analyst,"Team work
Good benefits
Relaxed environment
Good facilities
Employee Investment",Kept us in the dark
68,Oppenheimer Holdings,Portfolio Manager,2021-03-15,1.0,Portfolio Manager,Nothing good with the company,All bad. Nothing was good.
69,Oppenheimer Holdings,Great Company,2021-02-24,5.0,Investment Analyst,"Fair hours, lots of potential growth","Work becomes redundant, takes a few years to develop and gain more responsibility."
70,Oppenheimer Holdings,Great place to work,2021-02-23,5.0,Client Service Associate,-Best Manager i have ever had,"technology needs updating, hard to process request in a timely manner"
71,Oppenheimer Holdings,Solid company.  Depends on group you work with,2021-02-17,3.0,Registered Client Service Associate,"Good work life balance, not incredibly uptight environment","CEO doesn't really care about the little guys. They are pretty frugal with bonuses, etc.."
72,Oppenheimer Holdings,Great,2021-02-17,5.0,Analyst,"Great Team, Great Staff, Great Team",The company is great to work
