,company,headline,date,overall_rating,author_position,pros,cons
0,,Good Job,2022-05-17,5.0,Recruiter,Good job and company to work.,None that I can think of
1,,Good for a starting job,2022-04-20,4.0,Data Center Operator,"OT, shift allowance, dental, parking claims, holiday claims.","Graveyard shift, no increment, relocation of office."
2,,Software Engineer,2022-03-23,3.0,Software Engineer,Good working environment and friendly people.,Project schedule is tight and always need to work over time
3,,Good,2022-02-07,4.0,Business Analyst,Good for learning process as a team,Different project that you are involve having different management style. Just make yourself prepared
4,,Good salaries,2022-01-23,4.0,Software Developer,Good starting salary when first join,"Not much for overtime, around rm60"
5,,Stress level,2022-01-03,3.0,Assistant Manager,"Work life balance, high pay","No bonus , not challenging , micro management"
6,,yes,2021-12-27,2.0,Operations Executive,Nice benefit and do your own work,Less appreciation from the team
7,,Terrible,2021-12-26,1.0,Anonymous Employee,Easy going and some of the staff is amazing,Everything. From the top to the bottom of management
8,,Benefits,2021-10-28,3.0,Anonymous Employee,Can learn things related to banking,No bonus and no yearly increment
9,,good place,2021-09-27,5.0,Senior Accountant,good benefit and workplace to learn,increment not really high compare to market
10,,Good place to gain experience,2021-09-23,4.0,Anonymous Employee,"Good supervision/guidance 
Provide external training","Overloaded of Work
Some work stress"
11,,Pros/Cons,2021-08-09,4.0,Project Manager,"Lots of training, including SAP Training. Nice Employees and Manager",Learning SAP and ServiceMax software was difficult for me. It would be great if you already have SAP experience
12,,good,2021-07-25,3.0,Programmer,good place for fresh grade to learn IT banking system,medical benefits are very low compare to other IT company
13,,fun,2021-07-22,5.0,Server,good tip and great environment,only the drive to work
14,,Good career,2021-06-19,3.0,Project Manager,Good work life balance place,Nothing. All are good indeed
15,,Hard work,2021-04-16,5.0,Manager,I like and I love my job,Nothing im a hard worker
16,,great,2021-04-09,5.0,Analyst,love it verey much d,none none none none none
17,,Changing Reputation,2021-03-17,3.0,Investment Professional,You do a ton of deals and get exposure to a great number of opportunities even outside of technology. In-office gym and catering is nice as well.,The hires have changed -- the firm hires with a less and less rigorous process each year and has lost the more nerdy high IQ culture in the junior team.
18,,Great place to work,2021-03-09,4.0,Associate,"Smart, driven people. Good place to learn",Nothing of note -- not much work/life balance
19,,new company,2021-03-03,3.0,Metallurgist,great atmosphere at company and team,small cpmpany with limited career prospects
20,,PE,2021-02-09,4.0,Associate,Work on interesting transactions / structures,"People and culture can be difficult, many fiefdoms"
21,,Good,2020-12-22,3.0,Associate,Learn a lot while working hard,No work life balance and tough culture
22,,Best Company Ever,2020-12-04,5.0,Associate,Best private equity firm ever,No cons about Silver Lake
23,,Decent place,2020-09-05,4.0,Executive Assistant,"Good comps, work life balance","Always on call, no flexibility"
24,,Great job,2020-08-21,4.0,Charge Nurse,"Great place to work, nice coworkers",Can be a bit overwhelming
25,,good,2020-07-12,5.0,Economist,good times and just some good times,good times and bad times
26,,Good working environment,2020-06-16,3.0,Programmer,Able to get help from senior staff,Staff need to get more benefits in term of bonus and allowance
27,,Great place to work,2020-06-10,5.0,Associate Attorney,Great place to work. Helpful staff,I didn’t experience any cons
28,,Good working environment with nice people,2019-08-29,5.0,Associate,Good working environment with nice people,New things to be learned every day
29,,Executive Assistant,2019-04-26,4.0,Anonymous Employee,Excellent benefit package.  High compensation,Long hours.  Many hours of work from home.
