,company,headline,date,overall_rating,author_position,pros,cons
0,SoftBank,"Good people, not a great engineer",2022-04-22,2.0,Network Engineer,Good work life balance. Rarely get stressed out.,"Engineers are not technically skilled.
Mangers are not tech savvy either."
1,SoftBank,A lots fun,2022-04-11,5.0,Presales Engineer,"People working at SoftBank are smart, challenging, ambitious.",SoftBank is becoming a investing company. a profit we make by selling our IT products is a tiny profit compared to the investment. I feel ineffective for our work.
2,SoftBank,Japanese traditional company,2022-04-11,3.0,Devops Engineer,"Full flex
Full remote work
Some benefits","Agility of decision-making
Low motivation co-worker
There are few people who can understand software development."
3,SoftBank,Not so bad choice to work in Japan,2022-03-31,3.0,Systems Developer,Engineer of Softbank earn higher salary than other Japanese company ones.,Many people are always busy.
4,SoftBank,It is a conventional telecommunication company,2022-03-21,3.0,Financial Analyst,"・Stability of the business, COVID did not affect the business
・Good work-life-balance, 15~20 overtime on average for me
・Generous bonus, 5 months + base salary, depending on the company's performance","・Slow pay raise, if you are a fresh graduate, you get 600USD/year raise.
・Too few international interactions, your language ability is worthless in the accounting department.
・Too many in-company systems, we use five or more systems for day-to-day operation, and three more for HR-related things.
・Recent price-cut pressure from the Government makes worsens the financial.
・Conservative, not willing to step in outside of the border, trying to protect their pie."
5,SoftBank,SoftBank,2022-03-11,3.0,Sales,Everyone knows about this company,Everything depends on which department you belong
6,SoftBank,Nice environment but need some politics,2022-02-27,4.0,Marketing Manager,Working environment is great that it offers lots of options as work style,Hierarchical organization and lots of departments conflict due to the difference of the points of views
7,SoftBank,Ordinal company,2022-02-24,3.0,Data Scientist,"Work life balance, much information about the high tech area.","Slow grow pace, less investment in engineers."
8,SoftBank,Decent working space,2022-02-22,4.0,Product Manager,"- Good management
- Freedom to explore new things",Salary should be more competitive
9,SoftBank,Network,2022-02-14,3.0,Network Engineer,A pretty good environment to work in,It is difficult to improve technical capabilities
10,SoftBank,--,2022-02-13,2.0,Sales Planning Analyst,result driven culture and young compnay,the managemental system is not good
11,SoftBank,Good company,2022-02-03,3.0,Anonymous Employee,"It's a big company, so it's stable.",there is a lot of outsourced management and it's hard to develop technical skills.
12,SoftBank,typical japanese company,2022-01-04,3.0,Project Manager,a lot of opportintiy to get intouth with new companies,very sterotype in work process
13,SoftBank,Great place to learn about cutting edge tech driven businesses,2022-01-03,5.0,Finance Manager,"World class colleagues from different background
Relatively faster decision making process than other typical Japanese large companies",Working environment constantly and dynamically changes
14,SoftBank,Excellent,2021-12-23,4.0,Vice President Sales,SoftBank is one of the most excellent company in Japan.,SoftBank is aggressive too much sometimes.
15,SoftBank,Not too good for developers,2021-12-22,3.0,Front End Developer,"The pay is decent, working hours are not so bad. Colleagues are generally nice and easy to get along","Don't have a lot of development going on, mainy outsouring to vendors. Not a really good choicd for actual developers"
16,SoftBank,Investing,2021-12-01,4.0,Associate,Solid compensation within the role,Culture leaves something to be desired
17,SoftBank,good,2021-11-25,2.0,Global Business Services,"Very good, well work-life balance",it depends on people what they want
18,SoftBank,Work life balance,2021-11-24,4.0,Software Engineer,20 to 40 hours overtime work not that bad,Salary not completbal with us company
19,SoftBank,Great Company,2021-11-18,5.0,Anonymous Employee,Extremely dynamic and great company to work with,Fast pace & can cause confusion on priorities
20,SoftBank,A typical Japanese large corporation,2021-11-14,4.0,Anonymous Employee,Compliance with Laws and Regulations,Lack of diversity and closed-mindedness
21,SoftBank,SOftBank,2021-11-10,5.0,Manager,"Cafetaria, Free Lavish Buffet Breakfast, Buffet lunch , Evening Snacks,Work From HOme",Operations Approach was found to miss longer visions
22,SoftBank,Nice but very japanesss company,2021-11-04,3.0,Cs MANAGER,Great people and nice work condition,Too much micro management. Cost saving policy
23,SoftBank,Nice to work for junior,2021-10-23,4.0,Business Development Manager,Nice work and life balance,"Except cloud related team, others are just distribution based"
24,SoftBank,Corporate Sales,2021-10-16,4.0,Corporate Sales,"-Comfortable and flexible to work
-",-Too much dull work(as a corporate sales at least)
25,SoftBank,Exciting investment,2021-10-14,3.0,Analyst,We dealt with lots of investment cases which are quite interesting,So many people working on a team and each one has little to do
26,SoftBank,"Not satisfaction, but not bad",2021-10-04,3.0,Manager,"Diversity
Good colleagues
Not afraid to fail","Not good LWB
Compensation is fixed based on job level. (not to easy base up)"
27,SoftBank,Not competitive,2021-10-02,3.0,Investment Associate,"A lot of opportunities to get involved in projects, which mainly received from the parent company’s fund.","This company is basically telecommunication company, or a quasi public infrastructure company. Therefore the company has no will to pay enough for experienced investment experts within it."
28,SoftBank,Salary,2021-10-02,5.0,Associate,Standard salary with good flexibility,I wish there was more transparency
