,company,headline,date,overall_rating,author_position,pros,cons
0,The Blackstone Group,Good company to work,2022-04-22,5.0,Senior Manager,"Professional management
Timely salary every month","Hectic working hours, stress
Corporate politics"
1,The Blackstone Group,Great culture,2022-04-15,5.0,Analyst,"Great culture, interesting work and opportunity",Less flexible with working hours
2,The Blackstone Group,HL7 interface technical,2022-04-14,3.0,Integration Engineer,Nice benefits per yearly package,The culture inside is not that good
3,The Blackstone Group,Very flat organization,2022-04-14,5.0,Vice President,"- incredibly smart people
- market-leader in asset management
- very commercial
- management was always opened to new ideas and very reachable","- pay is below-market
- getting very big (more like a bank)"
4,The Blackstone Group,Work hard and innovate,2022-04-12,5.0,Associate Software Developer,Plenty of opportunities to innovate and bring your voice to the tech. Management appreciates new ideas and hard work,So many opportunities of additional work to take on can be overwhelming and there is a non spoken pressure to work close to 50 hours per week
5,The Blackstone Group,Great,2022-04-11,5.0,Senior Consultant,High pay (base and bonuses),"Long hours, lack of respect from senior management"
6,The Blackstone Group,Think twice,2022-04-08,1.0,Associate,"Respected firm, interesting business and lunch stipend.","Toxic culture, micromanagement and untrained leadership."
7,The Blackstone Group,Happy,2022-04-07,5.0,Investment Analyst,Great place to work - amazing leadership,Very hard work and long hours.
8,The Blackstone Group,Strong Group with Good Work Life Balance,2022-04-03,5.0,Analyst,BX does an incredible job with career growth through workshops and other programs.,Very little to note here
9,The Blackstone Group,Great Place to Learn,2022-03-31,5.0,Analyst,"Incredibly intelligent people, lots of training available, good comp, great learning opportunities","Long hours, many cooks in the kitchen for internal materials"
10,The Blackstone Group,Stay far away if you want a quality of life,2022-03-31,1.0,Finance Associate,"- Smart people
- You learn alot","- LONG hours 10-12 hour days not even during quarter closes
- Low pay considering industry and hours
- Bonuses are meh
- Very bureaucratic
- No raises until promoted"
11,The Blackstone Group,Great,2022-03-29,5.0,Anonymous Employee,Great place to be working,nothing to list in terms of cons
12,The Blackstone Group,Great Place to Learn,2022-03-22,5.0,Anonymous Employee,Steep learning curve - you learn a lot and get exposure to so much early in your career,"Hours are as expected, have to work weekends but it's what you sign up for"
13,The Blackstone Group,Review headline,2022-03-17,5.0,Private Equity,There are many pros to the company.,Can't think of any cons.
14,The Blackstone Group,Good level of worm,2022-03-14,5.0,Sales Management Trainee,"Team , manager , Timing , work culture , support",Nothing as such downside I've faced
15,The Blackstone Group,Job review,2022-03-11,5.0,Anonymous Employee,Great company to work for,Long hours a lot for sure
16,The Blackstone Group,Nice place to start a career,2022-03-09,4.0,Anonymous Employee,"Prestige, comp, exits, and culture",Increasingly run like a large corporation
17,The Blackstone Group,HR,2022-03-04,5.0,Human Resoruces,HR all good no issues,no issues to date to report
18,The Blackstone Group,Great environment,2022-03-02,5.0,Attorney,Great team and friendly clients,Work life balance is thin
19,The Blackstone Group,Excellence,2022-03-01,4.0,Principal,"High standards
Precision expected
Support offered
Fast growing","Hierarchical
Transactional
Varies by group
Little work-life consideration"
20,The Blackstone Group,Ok Place To work,2022-02-27,4.0,Associate,"Nice, great people who strive for excellence","Tough, hard to maintain work life balance"
21,The Blackstone Group,Best Place to work if you are driven,2022-02-25,5.0,Manging Director,"Meritocracy, lots of growth and high comp",Work life balance may be an issue
22,The Blackstone Group,Diverse,2022-02-24,3.0,Administrative Assistant,"Diverse, inclusive, nice perks, free lunch/breakfast/snacks/drinks, successful small company",Return to office (after COVID-19 pandemic) could've been more flexible; need to offer better hybrid schedule since it was proven that success can be done remotely. Medical insurance is high.
23,The Blackstone Group,Just fine,2022-02-20,3.0,Executive Assistant,"- Free Lunch
- Embrace of Tech
- Diverse Teams
- Exposure / Growth","- Culture
- Work life balance
- Benefits/Perks
- Exclusive at times"
24,The Blackstone Group,Great company,2022-02-16,5.0,Anonymous Employee,Liked working there while I was there,Long hours and tough work life balance
25,The Blackstone Group,Top experience as an investment professional,2022-02-15,5.0,Anonymous Employee,"Great colleagues, fascinating work, great atmosphere. Love it!",No cons come to mind
26,The Blackstone Group,Summer Analyst,2022-02-15,5.0,Summer Analyst,Good experience and an adequate amount of compensation. Great opportunity to enhance my skills in all-rounded ways,A great deal of workload and pressure
27,The Blackstone Group,Great place to learn,2022-02-14,5.0,Associate,"Culture, learning opportunities, and industry exposure",Can be long hours which is expected.
28,The Blackstone Group,Great Place,2022-02-14,5.0,Analyst,Great growth opportunities for young people,The hours can be long
29,The Blackstone Group,Would No Longer Recommend,2022-02-14,2.0,Executive Assistant,"401k matching, daily meal stipend, bonus (depending on department)","abusive managers, poor protocols re: COVID, bias/racism, poor pay structure"
30,The Blackstone Group,Innovative Organization,2022-02-12,4.0,Managing Director,"Always coming up with new business ideas 
Innovative environment",Feels like a cold place
31,The Blackstone Group,Amazing company,2022-02-07,5.0,Administrative Assistant,Honestly this place is fast paced but you have great co workers and a good work life balance,None at all - the blackstone group has really been on top of their game for all employees
32,The Blackstone Group,good on paper. bad in reality,2022-01-31,3.0,Associate,great reputation. cool to say you work there,bad culture. difficult to forge relationships and connections
33,The Blackstone Group,Love this Company,2022-01-25,5.0,Administrative Assistant,Incredibly smart and diverse group of people.,Unsure of how long hybrid working schedule will last.
34,The Blackstone Group,Analyst,2022-01-25,4.0,Analyst,"Great culture, atmosphere, benefits, salary","Lot of hours, not much feedback"
35,The Blackstone Group,Great Experience,2022-01-24,4.0,Associate Software Engineer,Tons of opportunities to explore new areas within Fintech and particularly the cloud space.,Hours can be intense and the finance side seems to be prioritized.
36,The Blackstone Group,Hard work but rewarding,2022-01-18,4.0,Anonymous Employee,Great exposure to top of industry work - preps you for your next role significantly beyond what you would expect,no work life balance - expectation is you live and breathe the firm
37,The Blackstone Group,Good Place to Get Experience,2022-01-15,4.0,Financial Analyst,"Good comp, interesting work, lots of perks in office (paid lunch/ dinner) and lots of chances to work with other teams","Culture varies by team, with some teams extremely overworked. Long hours, sometimes short staffed."
38,The Blackstone Group,Raises and bonuses not what they used to be,2022-01-14,4.0,Analyst,"excellent benefits packages - medical, dental, parental, vacation 401k, PTO,","Management ALWAYS changes their mind last minute after all work has been done. 
Comp and bonuses aren't what they used to be"
39,The Blackstone Group,Opportunities in a demanding environment,2022-01-12,4.0,Anonymous Employee,"- Junior staff are given opportunities to take on significant responsibilities
- Ability to work with very smart, driven professionals
- Great firm reputation","- Unrealistic expectations of staff
- Can be very political"
40,The Blackstone Group,Great company with booming stock; base leaves a lot to be desired,2022-01-10,4.0,Assistant Vice President,"-One of the best companies in the industry
-Impressive addition to the resume
-Stock bonuses on quickly increasing stock price
-Strong employees will rise faster than others","-Little company-wide camaraderie; very much just a place to work
-Very long hours
-Base salaries are infamously less than that of its competitors"
41,The Blackstone Group,Entrepreneur and great opporunties,2022-01-05,5.0,Commercial Real Estate,"Encourages entrepreneurship
Open environment where you can have straight forward convo with bosses and colleagues
Minimal politics 
Good platform to grow for strong acheivers","Intense working culture
Less work life balance"
42,The Blackstone Group,Awesome place to work for. (BXTI),2021-12-25,4.0,Associate,"Good work life balance
Get to work with smart people who are all willing to help out as needed.
No micro-management
Work given is somewhat organized usually.
Ability to work at your own pace. If you're happy with just doing the 2-3 tasks that you're given a sprint, you'll love this place. Clock in at 10, out at 5.","Red tape when trying to do anything new and requires involvement from multiple departments.
A lot of legacy stuff to migrate and restructure.
Some knowledge isn't written down so you have to figure out stuff on your own.
Limited ability to observe how some things are set up due to permissions so you're always left in the dark on how some processes are ran.
Been here for a few months now and I'm still lost on a lot of things. No hand-holding when you join so you'll have to be ready to learn by yourself."
43,The Blackstone Group,.,2021-12-20,3.0,Associate,"Big organization, you get the name on your resume","Would love to be an investor, not an employee"
44,The Blackstone Group,Admin,2021-12-18,4.0,Administrative Assistant,"Good salary, benefits and work towards inclusivity.",Generally few opportunities for growth or promotion at the administrative level.
45,The Blackstone Group,Awesome People here,2021-12-15,5.0,Software Engineer,Awesome people to work with,Sometimes the pressure is huge during busy seasons
46,The Blackstone Group,"All Brilliant ppl, traditional finance style",2021-12-07,4.0,Fall Intern,"People here are professional and brilliant, also hardworking",usually junior people will work over time
47,The Blackstone Group,Great culture,2021-12-07,5.0,Anonymous Employee,"Fantastic culture across teams globally, great learning and development opportunities","No major con's to report, a fair and fulfilling place to work."
48,The Blackstone Group,Good culture,2021-12-06,5.0,Anonymous Employee,Good culture and people. Loved it,Nothing bad about the company. IMO
49,The Blackstone Group,Unprofessional; Small Teams; Hard driving; No W/L Balance,2021-11-30,1.0,Analyst,"Mid to High Pay
Prestigious Company
Experience","Zero work life balance, always expected to be available.
Management can be hard-driving and teter the line between offensive and acceptable
Extremely small teams with a lot of work"
50,The Blackstone Group,Associate,2021-11-29,4.0,Associate,"Working with brightest professionals in the industry
Different line of business and internal mobility",Long working hours and rigid corporate culture
51,The Blackstone Group,Good,2021-11-29,1.0,Events Manager,Good place to work in,The people were a bit moody
52,The Blackstone Group,Good Company,2021-11-19,4.0,Vice President,Ability to have large impact,Bureaucratic at when trying to do new things
53,The Blackstone Group,Good reputation company,2021-11-14,4.0,Anonymous Employee,"Good reputation company, good location and international team","Super competitive environment, high demands not aligned with the salary offered"
54,The Blackstone Group,Not great,2021-11-12,1.0,Will Not Disclose,Prestige is good and why people go there,Awful culture and political rnvironment
55,The Blackstone Group,Analyst experience at Blackstone,2021-11-10,4.0,Analyst,Good salary. Smart people. Competitive environment.,Improve team cohesion. Invest in team development.
56,The Blackstone Group,Great people terrible HR,2021-11-10,3.0,Anonymous Employee,The team I worked with was wonderful. I enjoyed my time there and even some of the late nights and crazy OT.,HR couldn’t care less about you and is always willing to make you look at fault to cover their own bad behavior and make expectations and the experience seem better.
57,The Blackstone Group,Positive growth culture but hours are long.,2021-11-09,4.0,Anonymous Employee,"Coworkers are helpful/friendly 
Work is challenging 
Growth opportunities","Hours are long 
Weekend work expected 
Company is moving away from work from home/hybrid option and want everyone at the office"
58,The Blackstone Group,Horrible work culture,2021-10-31,3.0,Assistant Vice President Operations,pays well and is reputable firm,toxic work culture and work life balance not valued
59,The Blackstone Group,Ok,2021-10-26,3.0,Executive Assistant,"The pros are the people, depending on your department. Free lunch, holiday parties/social events, and brand recognition.","The cons are the workload, along with exponential personnel growth with limited HR infrastructure and or support/encouragement for staff."
60,The Blackstone Group,Great place to work in,2021-10-19,5.0,Analyst,Great place to work in,Nothing much. Really a great place
61,The Blackstone Group,Ok,2021-10-18,5.0,Sales Associate,Oklah can do but not so great,Can do better with working hrs
62,The Blackstone Group,Good Experience,2021-10-14,4.0,Analyst,"Good people, quick deal sourcing",A lot of hours on the clock. Really tiring
63,The Blackstone Group,BX,2021-10-12,5.0,Analyst,Great people and strong culture,Long hours and silo'd business units
64,The Blackstone Group,Research Associate,2021-10-11,5.0,Research Associate,"culture, salary, experience, company growth","longer hours, not many cons to working here"
65,The Blackstone Group,High turnover,2021-10-10,3.0,Senior Product Manager,Great people with lots of opportunities to learn,Total meat grinder. Most people last 1 -2 years
66,The Blackstone Group,Not great for parents,2021-10-08,1.0,Assistant Vice President,"Strong compensation, lunch provided in the office","You’ll hear the buzzword “integrity” very frequently but what that really means is dedicating your life to BX. Expect to work very late nights, almost every weekend and during your PTO. They don’t care about anyone’s wellbeing; it’s all about the bottom line. Everyone is trying to get ahead the rat race atmosphere they’ve created.
For a financial services leader very weak 401k match and vesting over 4 years. Astronomically expensive health benefits for a family.
BX hasn’t handled covid well. You will be required to work in the office where frequent covid cases turn up but kept quite. Zero transparency around this topic."
67,The Blackstone Group,Blackstone,2021-10-08,3.0,FM Assistant,"Dynamic, plenty of networking and job opportunities. A wealthy employer with plenty of contacts.","The main focus is always money, not employee development."
68,The Blackstone Group,Ok,2021-10-05,2.0,Associate,"Internal investment program
Good work life balance","Bureaucracy
Politics
Mid level management is generally fat that could be done away with. Analysts and associates do most of the heavy lifting and senior management brings in clients and has experience."
69,The Blackstone Group,Seeking new job,2021-10-05,3.0,Detailer,Environment will be able to adopt to working easier and the projects also increase day by day with different projects had taken and the employees also willing to learn.,Timing will be more hours .
70,The Blackstone Group,Integrity and excellence,2021-10-02,4.0,Administrative Assistant,The company does hold to its high standards for integrity and professionalism.,"It still lacks diversity, especially in the higher ranks."
71,The Blackstone Group,Good Company,2021-10-01,5.0,Analyst,Many learning opportunities; working with good people,long working hours and strong pressure
72,The Blackstone Group,Great,2021-09-21,5.0,Analyst,Really great boss and exit oops lived by time there,Pay could be more decent
73,The Blackstone Group,leading global investment business investing capital,2021-09-21,5.0,Marketing Executive,The team worked together and served as the best assistance in learning and growing together,The work was a bit tiring and had to do double shifts
74,The Blackstone Group,PMP Program,2021-09-20,5.0,Analyst,Good exposure to portfolio companies,Compensation is not the best
75,The Blackstone Group,Analyst at the Blackstone Group,2021-09-15,5.0,Analyst,"- Competitive pay
- Career opportunities
- Dynamic environment",- Long working hours ( 70 hrs per week)
76,The Blackstone Group,Great place to work,2021-09-14,3.0,Analyst,Strong senior leadership and growth opportunities.,Grueling hours and strict hierarchy.
77,The Blackstone Group,Good,2021-09-12,5.0,product manager private equity,Very Good Company to work at,Not so Great vacation times
78,The Blackstone Group,Do not support working mothers,2021-09-06,2.0,Executive Assistant,Great team & great salary but completely overshadowed...,"No understanding of the needs of new mothers after maternity leave. Hypocrisy and unfair, archaic rules across teams regarding flexible working and work/life balance."
79,The Blackstone Group,greate workplace,2021-09-01,5.0,Real Estate Analyst,"- supportive environment 
- great opportunities 
- amazing management team","- some travel involved 
- h j"
80,The Blackstone Group,Long Hours,2021-08-12,3.0,Analyst,"Good pay, hard working team members, highly motivated","long hours, conflicting personalitites, easy to burn out"
81,The Blackstone Group,Great company to work for!,2021-08-10,5.0,Managing Director,"Entrepreneurial, smart, accountable, collaborative, all-around great people",Always on (more my doing than a requirement)
82,The Blackstone Group,good experience,2021-08-09,4.0,Analyst,good culture and people are very nice,its a very demanding enviornemnt and lots of work
83,The Blackstone Group,Good Job,2021-08-09,5.0,UX-UI Designer,It's an amazing company that I really liked to work for and enjoyed it in every way,"they are not giving me all the dinner and meals that i wanted, also i can't work remotely as i want"
84,The Blackstone Group,Excellent company,2021-08-01,5.0,Managing Director,"Business performance is excellent.
A lot of high IQ, hard working individuals. 
Forward thinking firm with respect to diversity, technology,","Not much. Consistent with other high performing orgs, you can expect to work hard."
85,The Blackstone Group,do not work here,2021-07-27,1.0,Associate Consultant,"lunch is paid for everyday, that's about it. maybe prestige as well, if you're looking for that.","toxic environment. people are superficial, don't know what i expected, really. teams can vary, YMMV."
86,The Blackstone Group,Great company and great people. You should be prepared to push your limits,2021-07-23,5.0,Senior Vice-President,The culture and people are unparalleled. You won't find a group of people more passionate and devoted to their career and building others' careers,"The hours are long at times, but this is relative. The hours are probably 60 hours a week on average."
87,The Blackstone Group,Great Company,2021-07-16,5.0,FP&A Analyst,Great culture and learnings opportunities,"no cons so far, have had a great experience here"
88,The Blackstone Group,"Good firm, but the team you join matters",2021-07-15,4.0,Anonymous Employee,Definitely working with smart people. Great benefits. Culture depends on the team you join.,"If you join the wrong team, everyday can be a drag. Some middle management folks only look out for themselves"
89,The Blackstone Group,great,2021-07-14,5.0,Executive Chef,open mind open working environment,"nothing, they are good as management"
90,The Blackstone Group,Great company to work for,2021-07-13,5.0,Vice President Talent Acquisition,"Salary, People, Location, Bonus and culture",No cons that i can think of
91,The Blackstone Group,Good company long hours,2021-06-29,3.0,Financial Analyst,good company. long hours and hard work.,long hours. not formal training
