,company,headline,date,overall_rating,author_position,pros,cons
0,AST Fund Solutions,Pay and customers,2022-02-13,5.0,Customer Service Representative,Pay was good and got paid every Friday,Customers were a little difficult to handle
1,AST Fund Solutions,Decent,2021-11-29,3.0,Anonymous Employee,"Flexible Relaxed Helpful Work from home
Easy","Not many opportunities for growth
Pay is average"
2,AST Fund Solutions,Great job,2021-10-04,5.0,Costumer Service Representative,"Pay, day shift mon-friday at times a lot of optional over rime",No cons as of right now if you listen to managers you’ll succeed
3,AST Fund Solutions,Do not work here. RUN if you can from this place,2021-08-31,1.0,Customer Service Representative,"Work from home, relatively easy/mindless work","If your tech isn’t working they can end your shift, no respect from upper management, treated like “cattle” you’re only a body to them nothing more, cut your hours randomly, management is very nip-picky and will single you out, no benefits, gave us a “vacation” because they did not have any campaigns going on and this time off was UNPAID"
4,AST Fund Solutions,It was okay.,2021-05-31,3.0,Customer Service Representative,The pay was really good and it was convenient being remote.,Sometimes it became repetitive and there would be days where you wouldn't help anyone for hours. You get let go of very suddenly.
5,AST Fund Solutions,Great,2020-10-23,5.0,Customer Service Representative,Great easy work. Get them votes,None at all. Great job
6,AST Fund Solutions,csr,2019-04-17,4.0,Customer Service Representative,"fun place, good people, nice hours","part time, wasn't able to stay for long time"
7,AST Fund Solutions,👎🏼,2018-08-22,1.0,Anonymous Employee,None.  Not worth working here as your job will never be recognized.,Treated poorly & not appreciated
8,AST Fund Solutions,Floor Support,2017-11-27,1.0,Floor Support,I do not think there are man pros here,There are a million cons.  This probably applies to a great deal of the contractors or temps AST hires.  First off this place is infested with bed bugs.  The place is dirty and mgmnt does not care.   There was a fight on the floor the other night.  The just took this guy out the other day that had a bag of pot and was threatening people.  This is a ghetto environment very very bad.   This is a very unsafe environment.  I am a girl and I am not big and tough so I am scared.   I am working here four years I still make the sound crappy wage
9,AST Fund Solutions,Such a Boring Job,2017-09-14,1.0,Proxy Solicitor,Guaranteed weekly income. Temporary work,"Disorganized, staff is incompetent and pay is horrible. Training is pathetic."
10,AST Fund Solutions,Avoid at all costs,2017-08-04,1.0,Anonymous Employee,Money isn't bad for temp work,Can get laid off at any time. No appreciation for employees
11,AST Fund Solutions,cutomer service,2017-03-20,3.0,Anonymous Employee,"work on you own time, relatively good money , good summer job","Back to back calls no room to grow, teat their employees like objects, when they finished the task they lay you off, but they will call you back in case they need you in the future."
12,AST Fund Solutions,Proxy Associate,2017-03-17,2.0,Anonymous Employee,"Overtime usually available, decent starting salary. Good training, at least on pm shift.","Very disorganized, poorly run. Not much help from team leaders, sink or swim environment."
13,AST Fund Solutions,Decent,2017-02-02,3.0,Agent,"Nice office
very clean
excellent communication
strong team ethic
supportive managment","Temp for a very long time
favoritism"
14,AST Fund Solutions,Stay away,2017-01-03,1.0,Proxy Voting Specialist,Clean office and nice cafeteria. Convenient location near major highways. The managers are very friendly and helpful.,Nepotism is rampant and paychecks are bi-weekly.Layoffs are common for any reason or no reason at all. Training is mediocre.
15,AST Fund Solutions,Just be glad they moved out of NJ!,2016-12-17,1.0,Team Lead,"Friendly staff and simple job to perform. If you can read and speak proper English, then you're golden. Plenty of overtime when available.","Training is minimal (a few days at most) despite the lies on their website. A lot of favoritism when it comes to policy adherence, especially if you're an attractive and ""willing"" female. No background checks or drug testing, as is evident by the sheer number of employees stumbling in while high on something. No educational requirement, either, as evidenced by the majority of tin-foil dropouts that worked there."
16,AST Fund Solutions,Vice President,2016-10-17,4.0,Anonymous Employee,Great Clients and staff to work with.,Management is clueless as to what goes on and how work gets done..
17,AST Fund Solutions,Call Center Rep,2016-10-13,1.0,,On the job paid training,"Very high turnover rate. I was there for less than a month before they just let me, along with a whole other group of people go"
18,AST Fund Solutions,Quality Assurance,2016-09-22,1.0,Anonymous Employee,"Some people are nice, stable schedule most of the time.","The Quality Assurance team is just a clique. If you don't fit in with their ultra-libtard views, you will get canned, regardless of your work ethic. There are no full time opportunities, seeing as this company wants to cut all kinds of costs that would benefit the employee. Punching in and out to go to the bathroom, lunch, any kind of break, - the same bureaucratic setup as a sweat shop. No benefits."
19,AST Fund Solutions,Most of the people were nice,2016-08-31,3.0,,Coworkers and direct supervisors kind and willing to help.,Temporary position and some of the recent business moves have hurt many workers.
20,AST Fund Solutions,Proxy Agent,2016-08-10,4.0,,has been working well for me  the past 3+years.,call center closed at this location
21,AST Fund Solutions,Not the best place,2016-08-09,2.0,,This company allows many chances for overtime and to work either shift of the day.,A lot of favoritism and rules change day-to-day. It's inconsistent. No room for growth.
22,AST Fund Solutions,Lay off to much,2016-07-31,3.0,Customer Service Representative,"Good hours, and pay. Coworkers are friendly.",Get laid off anytime. They don't care about your financial situation AT ALL!
23,AST Fund Solutions,Call Center Agent,2016-07-26,3.0,,Great people to work with,No loyalty to loyal employees
24,AST Fund Solutions,Customer Service,2016-06-02,1.0,Customer Service Representative,weekly pay and immediate start,Horrible management payroll never correct
25,AST Fund Solutions,Calm center,2016-04-04,3.0,Anonymous Employee,Working at AST is good because it offers a good pay and over time to anyone. Also casual Friday's which were the best.,The cons of working at AST fu da solution were being laid off frequently and not able to fulfill a whole day of work.
26,AST Fund Solutions,Not the worst place in the world......,2016-02-16,2.0,Proxy Solicitor,Work is spotty. Relatively relaxed atmosphere.,"Not the best place, either. Because the work is spotty. ""Supervisors"" are no smarter than you, and you'll be able to rrealize that very quickly. And the HR people are frequently crude, always distant and unfriendly."
27,AST Fund Solutions,Call Center Agent,2016-02-09,3.0,Call Center Representative,"Fun people, when they give open overtime you can work as long as you want.",some supervisors are on power trips
28,AST Fund Solutions,DO NOT BELIEVE ANY POSITIVE REVIEWS. THEY WERE WRITTEN BY MANAGEMENT!,2016-02-04,1.0,,"Flexible, no other Pros about this place.","Everything, If you read a good review, someone in management wrote it. If you take this job DO NOT STOP looking for something else. Nine time out of ten if you don't kiss butt you won't be there long anyway."
29,AST Fund Solutions,Great place and people,2016-02-02,4.0,Call Center Representative,"My expiriece with this compay was great, from day one managers and staff were professional, knowledgeble and polite. Pay was good.",No job security no benefits
30,AST Fund Solutions,Agent,2016-01-15,2.0,Customer Service Agent,The hours where the most I can say I liked about working there.Overtime was also available.,Everyone wanted to be the boss. Having to answer to more than one person in a day was tedious.
31,AST Fund Solutions,Call Center Customer Service Rep,2016-01-14,1.0,Call Center Representative,The pay was good for night shift.,Long hours and no benefits.
32,AST Fund Solutions,Proxy bid,2016-01-07,4.0,Proxy Solicitor,"Easy work, and great environment",None to really speak of
33,AST Fund Solutions,good job while you look for a job,2015-12-06,2.0,Clerk,"they had unlimited overtime in the beginnning, pay was $13.00 am shift  / $14 p/h pm shift. Some people (permanents) were great. easy job, just practice those rebuttles. only work 8:45am-4pm (am shift)","EXTREMELY STRICK , be on time, a LOT ghetto people, 30 min lunches and the cafeteria sucks(looks nice though) Permanents stick to their own, theft is a problem; someone stole a girls phone, someones lunch, and someones water bottle all in the same week. People have attitudes in the work place despte dealing with the people that occasionally curse you out on the phones. team leads think they're gods among men sometimes. Let ALL of the temp/seasonals go without a warning. You only get paid 2 times a monthh ....on the 15th and the 30th. you only work 8:45am-4pm (am shift)  pm shift is 4pm-11pm.  so not a full time employee    also they get a real credit card swiper and not a smart phone with a cube"
