,company,headline,date,overall_rating,author_position,pros,cons
0,Abacus Federal Savings Bank,pass,2022-01-03,3.0,Loan Processor,"management is good if you follow rules, they listen. Willing to train.",need boost salary to stay
1,Abacus Federal Savings Bank,Okay place,2021-12-24,3.0,Bank Teller,Good coworkers and good hours,Old technology and poor management
2,Abacus Federal Savings Bank,Great Opportunities,2021-06-09,3.0,Credit Operations Manager,"Worked for the Bank for 2.5 years. Excellent staff, incredible opportunities for those who work hard. Management is highly supportive. Great working environment. All employees are friendly and knowledgeable. I highly recommend this employer.",There are no cons for the review.
3,Abacus Federal Savings Bank,Average,2021-01-18,2.0,Clerk,Very small amount of workflow,"Low pay, not much growth"
4,Abacus Federal Savings Bank,Salary,2020-09-29,2.0,Office Clerk,"At the time, great manager and willing to help.",Work environment was a bit depressing.
5,Abacus Federal Savings Bank,Poor Technology,2019-03-07,3.0,Anonymous Employee,"- Everyone is nice and willing to teach you
- Not many things to do during work","- Low growth
- Technology in the office is so backward."
6,Abacus Federal Savings Bank,bank teller,2019-01-22,4.0,Anonymous Employee,good working environment and friendly location,no increase in salary and long hour
7,Abacus Federal Savings Bank,Toxic,2017-07-20,1.0,Anonymous Employee,Short work hours and that's it,"Slimey managements, experts in shedding responsibilities"
8,Abacus Federal Savings Bank,retail sales manager,2017-03-24,1.0,Anonymous Employee,The is not one single Pro to working for this bank.,The owners of the bank
9,Abacus Federal Savings Bank,an okay company,2017-02-13,3.0,Anonymous Employee,no OT,low pay
