,company,headline,date,overall_rating,author_position,pros,cons
0,Alternative Asset Investment Management,Nothing to learn,2019-03-06,1.0,Intern,"Flexible hours and days, whenever you're free","It's unpaid, and they treat you as such; they can find another intern to do it. Very manual and unrelated work (was once assigned opening any mails and sorting them)
Also because they have so many interns (because they all pretty much get hired and taken advantage of), there's not enough computers to work on.
You're better off just saving money by not paying for a metrocard and stay at home; there's literally nothing to learn"
1,Alternative Asset Investment Management,Unpaid internship,2018-12-11,1.0,Anonymous Intern,"Flexible work schedule, not micro managed.",Didn't learn much about the finance field
2,Alternative Asset Investment Management,Unstructured - its what you make of it.,2018-10-15,3.0,Part Time,"Very knowledgeable and well networked group. 
they do weekly classes that are very insightful on the hedge fund industry.",Not much supervision or mentorship
3,Alternative Asset Investment Management,Manager,2017-11-10,4.0,Anonymous Employee,Good opportunity to learn and mix in the Wall St. financial services business areas.,"Pays, less opportunity than I expected to get."
4,Alternative Asset Investment Management,Intern,2017-08-14,5.0,Anonymous Intern,"Very smart people, laid back environment with fair hours, informal so it gives you the opportunity to be creative and offer any advice to the team while working very hands on in projects, Victor (CEO) is always more than willing to talk during lunch or downtime about any subjects and topics you may have questions on.  He also has great connections throughout the whole finance community.","Unpaid, but offer college credits"
5,Alternative Asset Investment Management,Intern,2016-09-06,1.0,,No supervision at all. You can come any time and go any time,Hectic work place. I have not learned anything besides wasting my time
6,Alternative Asset Investment Management,Intern,2016-06-06,3.0,Intern,Flexible schedule and friendly people,"Easy tasks, not too much to learn"
7,Alternative Asset Investment Management,hedge fund capital raiser,2015-12-01,2.0,Capital Raiser,Opportunity to attend alternative asset event each month to meet some expertise in hedge fund field.,"unpaid internship, small place, not too much to learn"
8,Alternative Asset Investment Management,Intern,2015-06-11,2.0,Intern,"Easy to access, flexible schedule","Limited learning, interns are not exposed to the business"
9,Alternative Asset Investment Management,intern,2013-08-27,1.0,Anonymous Intern,free working environment. bosses are nice and location is not bad,"nothing to learn related to finance area.
No technical requirement and nothing else to say."
