,company,headline,date,overall_rating,author_position,pros,cons
0,AmeriSave Mortgage,This Place Will Suck The Meat Off Your Bones And Toss You In The Trash Like A Chicken Wing,2022-04-04,1.0,Analyst,"Remote, but at what cost?","This company does not care at all about your wellbeing. I was given a big raise at my review and let go almost immediately after for the sake of outsourcing mine and my entire department’s job to a company in another country.

The employees here are in constant rotation with entire departments being cut or outsourced on a whim, and the new replacements brought in have absolutely no idea what they are doing and are terrible at trying to keep to regulation standards for a company giving mortgage loans to people. 

Everything is constantly backed up and full of errors, and any attempt to correct them is met with the heaviest pushback from other departments you can imagine. 

If you work here I promise you will bot be trained adequately, and even if you are you will log in to work one day just to find out you’re being cut in some mass downsizing effort to balance out the fact that this company is drowning because of it’s horrendous customer service and incapability of training its employees to do their job correctly and efficiently.

I fear for them in the event of an audit. I know they have been attempting to make thousands of old loans sitting dead in their system disappear so they don’t face hellish consequences for their negligence."
1,AmeriSave Mortgage,Not the best.,2022-04-03,2.0,Mortgage Loan Officer,"-Ignite program to quickly get you licensed.
-Easy to use tech.",-Bad leads and a poor payment program. Very limited commissions.
2,AmeriSave Mortgage,It’s was ok,2022-04-02,3.0,Information Technology,Can easily move up within the company,Notice that their is a lot of favoritism
3,AmeriSave Mortgage,BEWARE: They talk big and run you into the ground,2022-04-01,1.0,Junior Underwriter,"Work from home

Production bonuses

Limited customer interaction

Low threshold to entry.","Gaslighting (Changing rules very suddenly, and then berating you as though you should've known all along)

Last-minute ""mandatory overtime"", often times 10-15 hours a week

Sudden, unexpected layoffs (I was hired in a mass hire and then laid off 9 mos later, despite the fact they said that I was doing a great job)

EXTREMELY anal about ""productivity"", but half the work you do doesn't track on their broken productivity monitoring program."
4,AmeriSave Mortgage,walk away,2022-03-30,1.0,Mortgage Originator,not much pros to list,"be careful, they will change the source of the lead, to pay less."
5,AmeriSave Mortgage,Not great,2022-03-30,1.0,Remote Loan Officer,"Started in 2020 on the operations side of the business. Because they overhired they had about 1000-2000 randomly selected to move over to the sales side and then were provided an ultimatum take the position or be without a job. We were made to interview, take the NMLS test, and if at any point we didnt pass the last step we were let go from the company - keep in mind that this was all happening during the Thanksgiving and Christmas holidays and any vacation time we were suppose to be allotted or used up during that time was cancelled and lost. 

After passing and receiving our mortgage licenses, training on actual sales wass the next part. This is by far the most difficult thing to do especially when the majority of those transferred had never worked in sales in their lives. And managers selected had never been managers before and were really only chosen through nepotism since they knew or previously worked with those hiring or because they were number 1 in their former employer as a sales agent. But they had no ability or experience in training others how to do their work. 

Employees were constantly being let go or just burning out and quitting. Or were given a 3-6 month performance evaluation and told if they didn't produce more sales the following month they would be let go - but that didnt matter those who reached those goals were still let go. Even managers, some teams went through 2-3 managers within a 3 month period. Those managers who were once the peak of sales were now leaving or returning to their former position due to the additional stresses of learning to become managers.","Overall the sales side is not a great fit for those who have never worked in sales. But if it is your chosen profession, then go for it. 

Pay structure was ok - its fully commissioned now with draw, when we were there it was a base hourly + bonus + commissions. 

Benefits are decent but a bit pricey. 

Make sure to be in the top 10% otherwise be looking for other work."
6,AmeriSave Mortgage,Extremely High Turn-over/Volatile Environment,2022-03-29,2.0,Anonymous Employee,"- Excellent training to pass the NMLS Safe Exam
- Company continues to invest significantly in technology
- Supportive management/leadership","- AmeriSave is struggling to adapt to the current market and making the shift from a refinance lender to a purchase lender
- Sales Managers are stretched too thin and don't have the bandwidth to adequately support Loan Officers
- The lead system is very inconsistent...quality leads are few and far between
- The turnover is unlike anything I've ever experienced...at all levels"
7,AmeriSave Mortgage,Nice while it lasted,2022-03-29,1.0,Mortgage Loan Processor,"Great pay, good benefits, excellent manager","They will use you, then lose you without warning."
8,AmeriSave Mortgage,Don’t recommend,2022-03-29,2.0,Junior Underwriter,"Flexible schedule, lots of OT opportunities. My team leads were some of the kindest, most helpful people I’ve ever had the pleasure of working with.","Pretty much everything else. Management is very inexperienced and clearly in over their heads. 

Constant mass layoffs based on a metric system which they admit isn’t accurate whatsoever. Accrued PTO is not paid out once you are let go. Many positions are now being outsourced to India.

Promises for growth/promotion opportunities which never came.

The system is terrible, outdated and crashes multiple times per day, yet they refuse to invest money to update it."
9,AmeriSave Mortgage,Desktop Support Technician,2022-03-27,5.0,Desktop Support,Good company to work for,Can't think of any right now
