,company,headline,date,overall_rating,author_position,pros,cons
0,Amherst,Breakthrough,2022-04-01,3.0,Construction Specialist I,Learning new pieces to the puzzle everyday. Love it,"No execution, no consistency, Topsy turvey"
1,Amherst,Not recommended,2022-03-26,1.0,Senior Accountant,"Average health insurance, other standard benefits.","60 days in and I could not get outta of there fast enough. Zero technology, terrible training, lousy management skills, over critical and threatening, and no useful communication. Always, daily, getting negative comments, way too much workload for one person, mandatory overtime which washes out the decent pay. Burnout is rampant. All my coworkers were yes, and do what you are told. Mis-representing job description and unrealistic expectations. It was a miserable experience. In accounting you will spend 7-10 hours a day using Excel… a miserable data entry clerk! Why spend millions on Yardi and use Excel? 
Run!"
2,Amherst,Be prepared for long hours,2022-03-14,2.0,Analyst,"-free catered lunches everyday
-great office location looking out over the lake","-Depending on the team, the work culture can be pretty toxic. On some teams you have to be prepared for long hours and dinners in the office"
3,Amherst,Look for other opportunities,2022-02-25,1.0,Administrative Assistant,Small teams and growth opportunities.,"Upper management keep on changing, no recognition for hard work,"
4,Amherst,Amherst job,2022-01-07,3.0,Product Manager,Flexible work hours and fun co-workers,Too many changes in where the company is going. Causes stress with the employees
5,Amherst,Good luck,2021-12-29,2.0,Anonymous Employee,"Amherst can be a decent place to grow, you just have to battle poor attitudes, disrespect, lack of guidance, churning employees, ever changing direction, and contradiction. You have to fight and claw your way through anythy.","Poor attitudes, disrespect, lack of guidance, churning employees, ever changing direction, and contradiction. All starts from the top"
6,Amherst,Growing Company,2021-11-11,5.0,Finance,"Very capable coworkers 
Increasingly paying attention to company culture",historically has suffered from a lack of communication
7,Amherst,Systems not people,2021-11-11,5.0,Database Developer,"Flexible schedules, generous PTO, work from home stipend and other perks. Opportunity for growth and learning. Compensation is market competitive.","Steep learning curve, minimal training. Complicated business model. Sink or Swim."
8,Amherst,Mass Exodus Underway - Toxic Environment,2021-11-09,1.0,Director,"Pros:

1. Work from home option
2. Company provides work from home stipend","Cons:

1. Executives have Us vs. Them mentality regarding employees.
2. Processes are antiquated. 
3. Very hard to get your work done when there is a lack of support. For example, if you contact the Help Line for a computer issue they may email you back in 3-5 days. 
4. Chronic shortage of staff due to mass exodus. 
5. Executives have unrealistic expectations. They want you to produce but there aren't adequate support systems and processes in the company to allow you to do so. 
6. The benefits sound good but they are sub-par. For example, I've always had VSP (vision insurance) but at Amherst, it only pays for an exam the first year - not contacts, not glasses, just the exam. 
7. When you see 5 star reviews, please know that hiring managers have been asked to give the 5 star ratings to offset the bad employee reviews."
9,Amherst,Toxic. Look up 996 work culture that is banned in other countries to get an idea of what it is like,2021-09-28,1.0,Anonymous Employee,The friendships you build lasts a lifetime. Thats about it.,"Outside to investors looks great but inside, well...

This is a 996 work culture and/or black company. This was largely my and few others experience. Overworked, under-appreciated, underpaid, no respect. 

996 work culture: The 996 working hour system is a work schedule practiced by some companies. It derives its name from that employees work from 9:00 am to 9:00 pm, 6 days per week. By following the '996' work schedule, you are risking yourself getting sick and possibly into the ICU.

Black company (Japanese term): A typical practice at a black company is to hire a large number of young employees and then force them to work large amounts of overtime without overtime pay. Conditions are poor, and workers are subject to verbal abuse and ""power harassment"" (bullying) by their superiors. In order to make the employees stay, superiors of black companies would often threaten young employees with disrepute if they chose to quit.

Surveys every quarter get worse and worse and nothing is done except ""we're listening to you and you should say something"". Yet when you do say something, its suck it up and be a man/woman about it.

We've lost so many top talent people because of this poor culture and shift those responsibilities to others who are designed to fail because they don't have the support."
