,company,headline,date,overall_rating,author_position,pros,cons
0,Andrews Federal Credit Union,It’s ok,2022-02-19,2.0,Loan Service Representative,"Not much for pay, management is hit or miss. Typical corporate America company with high turn over",Health benefits and pay leave much to be desired. HR does not have employees backs
1,Andrews Federal Credit Union,Just Ok,2022-02-08,3.0,Accounting Clerk,"Great location, office hours, flexibility","No formal training, only training offered is from other employees"
2,Andrews Federal Credit Union,Growth Potential,2022-02-02,2.0,Member Service Representative,Benefits are good just high premiums,No real room for growth
3,Andrews Federal Credit Union,good place to work at,2022-01-14,4.0,Specialist,work life balance with very friendly employees. lots of diversity,the pay is not too good
4,Andrews Federal Credit Union,Great place,2021-12-17,5.0,Financial Service Representative (FSR),Everyone professional and friendly. Nice work/life balance,No cons I think about
5,Andrews Federal Credit Union,Most unprofessional and bias place to work,2021-10-29,1.0,Anonymous Employee,None honestly. They provide you with the fake “We are a family” narrative and then do the opposite of everything .,"The HR department is corrupt. Unfair treatment, never responds to employee concerns, favors management over any lower positions. Also the pay is like stretching pennies! They don’t value you as a person or a worker. The raises are extremely low and once again penny pinching! Management also has corrupt spirit as in they take favoritism over over certain coworkers... you will either get ignored, pushed to the side, unheard and most of all feel uncomfortable in a hostile work environment that tries to portray otherwise to lure in great employees with great potential. It’s unfortunate that this company has a bad reputation of having people come and go so go ahead and take the risk... you’ll find out why a lot of people don’t stay for long..."
6,Andrews Federal Credit Union,Not bad,2021-10-23,4.0,Relationship Banker,Benefits are not too bad,The salary is not the best
7,Andrews Federal Credit Union,Terrible Place to Work,2021-10-05,1.0,Assistant Branch Manager,"Some other employees were nice, but you can find that anywhere. The benefits were not bad","So much butt-kissing going on, management is condescending, the executives are so passive aggressive, and the HR department never responds to anything"
8,Andrews Federal Credit Union,Communication,2021-10-04,3.0,Teller,Fair pay and the employees support each other.,Not enough communication. Changes made don't always make sense.
9,Andrews Federal Credit Union,Terrible senior management,2021-09-23,1.0,Accountant,Fun co-workers and free lunch,"Toxic environment, overworked and under paid. No proper training. Upper management looks after only their pockets."
10,Andrews Federal Credit Union,"Went from, great Credit Union to terrible place to work. Former employee 10 years",2021-08-31,2.0,IT Specialist,Well since 1959 Andrews Federal had plenty money on hand to run it self and hopefully the now removed CEO didn't screw things up too bad you may have a chance to get back to respectable status with your peers.,You let the one guy that made the credit Union Michael Hale walk out the door or pushed him out the door!!!
11,Andrews Federal Credit Union,Manager,2021-07-24,4.0,Collections Manager,Good company to work for,"Long working hours, high work volume, a lot of manual processes"
12,Andrews Federal Credit Union,Toxic Work Environment,2021-07-02,1.0,Customer Service Representative,Benefits are pretty good overall.,Senior Management only interested in themselves.
13,Andrews Federal Credit Union,Good place to start a career in finance,2021-06-16,4.0,Anonymous Employee,"Good pay for entry-level employees with yearly bonuses. 
Good training programs.
Consistent hours.
401k","Outdated software.
Would occasionally hire externally instead of internal promotions.
Lackluster approach to the marketing of products and services.
Short-staffed."
14,Andrews Federal Credit Union,Amazing Transition,2021-05-12,3.0,DMS Support Specialist,"I love the fact that the team welcomed me with open arms , let me know they have my back on concerns/questions, want to see me excel",No cons . I love my job honestly
15,Andrews Federal Credit Union,Toxic,2021-04-29,1.0,Bank Teller,They feed you lunch constantly,Whew! Management is horrible. Staff is overworked . A lot of workplace harassment. Turnover rate is extremely high.
16,Andrews Federal Credit Union,"If you are a drone or mindless sheep, Andrews Federal is for you",2021-04-27,2.0,Anonymous Staff,Parking is plentiful; most staff are very friendly,"Long story short, Andrews Federal Credit Union is a medium-sized credit union with considerable potential ruined by small-minded, witless, unethical, self-aggrandizing, corrupt, feckless, dullard executive managers.

There are senior managers and C-level staff hired not for competence but because they are compromised in some way, and can be forced into compliance. 

Have a 520 credit score? You too can become a Chief Lending Officer. The irony being no loan would be given to a patron with such a score. 

Ostensibly in charge of corporate ethics? What if the employer knows about your testy and difficult divorce proceedings? Might that temper your resolve in handling ethics violations of senior staff? 

Do you want to steal $30k from your employer in credit card fraud and get away scot free? This is the place for you.

Make $200k - $450k/annum? Have the company buy your personal phone, laptop, and various electronic toys that have no business justification."
17,Andrews Federal Credit Union,Great place to work,2021-04-22,5.0,Digital Banking Representative I,"Wonderful coworkers, great benefits, competitive salary",No current opportunity for overtime
18,Andrews Federal Credit Union,Don't work here,2021-04-15,1.0,Business Development Manager,Your colleagues are all in the same boat as you,"They devalue their staff. Executives get bonuses upwards of $80,000 or more while staff tends to get less than $2,000. Lots of indiscretions at the top level that are swept under the rug."
19,Andrews Federal Credit Union,Great,2021-03-30,5.0,Bank Teller,great environment a great boss,pay can be low sometimes
20,Andrews Federal Credit Union,Terrible,2021-01-14,2.0,Telephone Sales and Service Representative,Extremely great training program through HR,Extremely toxic work environment with management
21,Andrews Federal Credit Union,Great Company,2020-12-04,5.0,Member Service Representative I (MSR I),Invests in employees and their growth,Pay could be better for long term
22,Andrews Federal Credit Union,Power over employee,2020-11-06,1.0,FSR1,Good pay and descent hours,"Will not work with you. Don’t care about your military family or if your a military spouse. Horrible HR And management at branches. They take advantage their position power and will cover themselves instead of helping one another. They never communicate, nor care if someone has discriminated you."
23,Andrews Federal Credit Union,Great place to work,2020-10-07,5.0,IT Director,"Great people, employee centric culture.",Needs to update HQ building
24,Andrews Federal Credit Union,Wonderful People - Confusing Management,2020-06-14,3.0,Telephone Sales and Service Representative,"Positive community, Path for promotion, amenities.","Low pay, higher pressure than necessary, lack of present management"
25,Andrews Federal Credit Union,Company review,2020-03-15,3.0,Anonymous Employee,"Good benefits, sometimes able to work remote",Favoritism is shown throughout the company
26,Andrews Federal Credit Union,Great Place to Work!!,2019-10-25,5.0,Anonymous Employee,"This isn’t just a great place to work, it’s the best place I’ve ever worked. I love working here, and everyone you pass is always smiling. I honestly feel like the day passes quickly because I really enjoy my job.",I’ll leave late because I get caught up in a task.. but that’s my own fault for wanting to finish something before I go
