,company,headline,date,overall_rating,author_position,pros,cons
0,Arbor Commercial,Great Leadership,2019-04-22,5.0,Vice President,"Strong leadership/decisions are made correctly and efficiently, great ceo, good benefits/pay","Culture is lacking, maybe because of multiple offices"
1,Arbor Commercial,Landscaper,2018-02-02,5.0,Anonymous Employee,Honest group of men. Made arduous work as fun as it could be. You are held accountable for your work and earn respect.,"Long, hard hours on hot sunny days. Coming from little experience, there was a learning curve. It is not rocket-science, but the owner is meticulous and takes great pride in quality no matter how small of a job."
2,Arbor Commercial,Professional,2016-11-11,3.0,,"Family oriented culture in the Uniondale location. The benefits are competitive.  One of the Arbor company became public, so they will stricter deadlines to meet.   The Uniondale location has a diner- type restaurant and gym in the building.",None major to discuss in this site.
3,Arbor Commercial,Servicing,2016-08-25,1.0,Anonymous Employee,"good question, still thinking of one","Team work only applies to those that are in a tight ""cliché"" otherwise look out. They are deceptive in their offer to help only to turn around and use it against you.  Don't dare ask a manager on what you can do to improve in your job, that sends up a red flag that you might have an actual brain in your head.  Don't be fooled into joining this company because the salary might be higher than a bank.......  everything comes at a price.  BEWARE"
4,Arbor Commercial,Director,2016-07-29,4.0,Director,Entrepreneurial spirit and good work/life balance and flexibility. Management is open to having people explore different opportunities within the company.,There is a bit of politics that can get in the way of growth opportunities.
5,Arbor Commercial,Analyst,2016-06-07,3.0,,Nice manager.  He pushed the members of my team to produce,The employees seem to filter in and out quickly.  More people need to stay
6,Arbor Commercial,Portfolio Manager,2016-05-19,4.0,Portfolio Manager,"Laid-back culture, friendly environment, Great place for entry levels.",More training needed for new employees.
7,Arbor Commercial,Ok,2016-02-23,3.0,,"work environment, opportunity for growth are not ideal in the very least but there is different treatment for different people","hours, pay, work life balance"
8,Arbor Commercial,Ok Place,2015-12-12,3.0,,Rapidly growing company where your knowledge and skills can be developed,Excessive individual work load with systems that do not aid in effective work flows
9,Arbor Commercial,Great place to work,2015-08-17,5.0,,Great team of people to work with. You will learn a lot.,"High turnover rate in Underwriting, which causes bigger work load for everyone who stays."
