,company,headline,date,overall_rating,author_position,pros,cons
0,Asta Funding,My best is best,2020-12-08,4.0,Making Car Parts,Get work in software engineer to get salary,I am happy with this company
1,Asta Funding,Engages in illegal activity,2018-11-01,1.0,Anonymous Employee,"None - its all bad, dont work here",Asks you to break the law; commits fraud against consumers; lies to regulatory agencies
2,Asta Funding,lots of changes decent pay,2017-11-15,3.0,,"decent pay, freedom to dress like you want, 401k match decent","office environment not the greatest, health care costs high"
3,Asta Funding,Software Engineer,2017-11-01,3.0,Anonymous Intern,"Flexible working time, good infrastructure and you have the opportunity to manage their data center",There isn't too much challenge
4,Asta Funding,Good company but lacks ethics,2017-03-15,3.0,Anonymous Employee,"very lenient, understanding, free food sometimes","stressful, compensation not good, too much work for little pay"
5,Asta Funding,High turnover - mass layoffs,2016-11-18,1.0,Anonymous Employee,I no longer work there.,"Indifferent, clueless managers.  Poor organization.  Ridiculously high caseloads.  People are hired then laid off a few months later."
6,Asta Funding,It's an OK company,2016-10-17,3.0,,As relaxed as a financial company can be.  Day goes by pretty quick.,"It's a small company so growth opportunities are very limited, if at all existent."
7,Asta Funding,Nice place to work,2016-06-28,5.0,Customer Service Representative,Nice place to work,lunch room too small
8,Asta Funding,Move On,2013-02-08,1.0,Anonymous Employee,There are really no pros in this company. Only benefit is for the officers and directors.,"Family run company too exclusive...no room for growth. Excessive turnover, very rigid in their approach. It very much like two worlds, the insiders and the outsiders. Outsiders never get a fair chance. Its a Public company but runs like a small family practice."
9,Asta Funding,Neutral,2011-08-27,2.0,,Good working environment and helpful people,"No growth for opportunity, rigid system"
