,company,headline,date,overall_rating,author_position,pros,cons
0,BCB Bank,Fine,2022-01-05,4.0,Universal Banker,"Good hours, yearly bonus, job security, most managers are pretty good and have your back","Certain branches severely overworked, constantly short staffed, promotions based off of favouritism, drastically change policies on a whim without consulting employees, horrible covid response"
1,BCB Bank,Searching,2021-12-08,3.0,Mortgage Officer,Work Life balance and work environment,Low salary range and very little training
2,BCB Bank,Good Place to gain some work experience.,2021-12-08,4.0,Bank Teller,"Very friendly work environment, all the co-workers are supernice and on the same page.","Not many cons, maybe the only one is the lack of upward mobility."
3,BCB Bank,Cool,2021-10-28,3.0,Loan Servicing Specialist,Small office provides close knit work environment.,No cons that I would like to mention.
4,BCB Bank,Overall an okay experience as I knew I was not staying here forever,2021-04-28,3.0,Part Time Teller,"Coworkers are generally nice
Flexibility with school schedule",Toxic environment (have heard this be a problem at many of the branches)
5,BCB Bank,Review,2021-02-16,4.0,N/A,Time Flexibility and movement opportunities within organization,Compensation not up to par
6,BCB Bank,Not the best culture,2020-12-08,3.0,Bank Teller,"Caring branch staff 
Solid growing bank","Take advantage of staff
Not enough pay
Too much reliance on staff"
7,BCB Bank,Teravision It’s a Great Place to Work,2020-12-04,5.0,Product Owner,"New Tech 
Team Work 
Great environment 
Trust 
New and Challenging Projects",Young Company that need Improve organizational structure!
8,BCB Bank,"Horrible, racist, SHUT THEM DOWN",2020-12-02,1.0,Personal Banker I,"Good Starting job
Potential for growth if you stay in you lane","Harrassment
Racism
Scandals
No proper Human Resources (Private Company)"
9,BCB Bank,Former Employee Review,2020-11-10,3.0,Commercial Loan Closer,Opportunity to gain experience and exposure,Lack of communication and cohesiveness
10,BCB Bank,Work life balance,2020-10-17,5.0,Community Support Worker,Very good work life balance,There are no cons I can think of
11,BCB Bank,Good,2020-02-14,3.0,Bank Teller,"Fun environment, not super strict","Poor pay, not too proactive on promoting anyone"
12,BCB Bank,Political,2019-10-10,2.0,Loan Servicing Specialist,"great people, laid back atmosphere, good work life balance","no room for growth unless you kiss up to management, politically charged"
13,BCB Bank,It’s not what you know it’s who you know,2019-08-11,1.0,Lead Teller,"9/10 the people you work with here have the same mindset, mangers are great and the people you meet here are genuine and sincere. If you’re in college second or first year this is a decent start for a business major.","Like the title says, it’s not your knowledge of the banking industry that’ll get you promoted, or your degree it’s getting into the click/group. You can be here for 5+ years and at most you’ll move up a once on merit alone if that."
14,BCB Bank,Okay Job,2019-05-02,3.0,Bank Teller,BCB Bank is a small bank and you can easily get to know everyone fairly quickly if you are social. The employees I work with are pretty cool. Management worked with my school schedule.,"If you have connections to upper management, that is how you will move up. It's more about whom you know than what you know. There is a high turnover rate because of poor management. Can turn into a toxic environment."
15,BCB Bank,Stay far far away,2018-10-10,1.0,Anonymous Employee,They will entice you with a higher pay but it is like cheese in a mouse trap,"Holidays - they do not recognize 4 federal holidays (even the govt is off)/ Nepotism - if you are related to the CEO / board member(s); you could kill someone and still be employed/ Senior Management - clueless, distasteful and surprising inept/ Lack of Communication / Hierarchy non-existent/ Medical Benefits - HORRIBLE/ Just stay far far away and do not fall for their gimmicks in the hiring process"
16,BCB Bank,Horrible place to work,2018-03-28,1.0,Universal Banker,"20 PTO Days, Med Ben ok, but keep changing & cost doubled","Everything else. hours, pay, very few holidays, extreme mean girl culture, acute favoritism, pitiful training, very, very poor management"
