,company,headline,date,overall_rating,author_position,pros,cons
0,Bank of China - New York,Too much workload,2022-04-04,2.0,Associate,The people working here are very nice.,"Too much workload, no work-life balance"
1,Bank of China - New York,Do not join.,2022-03-11,1.0,Legal and Compliance Department,Good health insurance. Nice fancy building in a convenient location.,"Long working hours, underpaid, under recognized. Credits go to VPs, SVPs and MD who has no idea what is going on. No career opportunities, they like to hire external candidates and give high positions. A lot of employees have been leaving or planning to leave."
2,Bank of China - New York,Ok but not for good low level employee to grow,2022-02-12,3.0,Associate,"The first job I got after graduation, they gave you the opportunity to be employed at a big bank","The department heads are mostly from China, they are not good at recognize your effort or gave you credit"
3,Bank of China - New York,Toxic Place with less respect (in one of the risk management department),2021-11-30,1.0,Anonymous Employee,"- They will organize the virtual departmental social gathering events and requires all employees to attend. 
- They will schedule so called ""career development catchup"" with you which is more like a brainwashing session. Instead of giving you the real career coaching, they try to make you believe you are good for nothing and here is the only place you can survive.","- They will give you work without reasonable timeline. They never care how long you need to spend on the work. They only care if you can finish the work by the date they committed which highly relates to their promotion. If you fail to complete it, you will get into trouble. On the other hand, you won't get any credit if you stay up late and complete the tasks, because it is still below their ""expectation""
- Most of the time, the manager does not fully understand their job, but I would say they are pretty good at playing office politics.
- They will give you a call or message you whenever they want (usually during lunch hour or after 6pm). If you don't respond, they will give you a hard time.
... (too many cons and cannot list them all here)"
4,Bank of China - New York,BOCNY Review,2021-10-31,3.0,Anonymous Employee,An easy-going and productive working environment,low salary expectations than the average in the industry
5,Bank of China - New York,Toxic Environment,2021-10-05,1.0,Associate,"Spacious cube
Internal Dinning 
Good office location","Below average pay
Toxic Management 
Chaotic Structure"
6,Bank of China - New York,Most unprofessional workplace,2021-10-01,1.0,Assistant Vice President,"The health benefits, transit benefits, and cafeteria food.","This is one of the most unprofessional work environments I’ve ever had the displeasure of being in. Employees can be really nasty and unprofessional to each other, whether they are in the same department or interdepartmental. Most people will throw you under the bus if it means saving their own skin. No one takes ownership of their work. No opportunity for growth. Avoid this bank if you can."
7,Bank of China - New York,Work life balance,2021-09-30,5.0,Associate III,"Friendly co-workers 
Work life balance
Allow work from home during Covid",Department head positions are prioritized for employee from China.
8,Bank of China - New York,Good company,2021-09-13,5.0,Analyst,Inclusive environment with a lot of perks,Could do with better incentives
9,Bank of China - New York,Stressful environment,2021-08-17,2.0,Associate,"Good benefits. Cheap cafeteria lunch, but hat's about it for the pros of working here.","The Bank would rather save money and work their employees to exhaustion than hire more staff. They also hire so many consultants to save money, but it would probably benefit for them to hire more full time employees to save time and resources on training and constantly having to replace them. Hierarchy here is toxic. Not enough training for newcomers. It is pretty normal for everyone to work well past 5pm because there is too much work to do and not enough people to do it. It also takes an average of 3 years to get promoted, sometimes more. It's a joke. Salary is low."
10,Bank of China - New York,Great place to start a career,2021-08-15,5.0,Research Associate,Friendly environment. Nice cafe area in the building. Great opportunity for those who have experience in China. Being bilingual is a plus.,The promotion path is relatively unclear. Pay is not as competitive as other commercial banks in the city. May have some tedious work depending on which department you are in.
11,Bank of China - New York,Do not even consider this place,2021-08-05,1.0,Assistant Vice Predient,"if you have family relationship/business relationship and needs H1b visa sponsorship, this might be the place for you. It is the only pros","This bank only values the expels -- employees from its HO/Chinese branches, but no value on local employees. Local employees are contributing the most to the bank, but are treated with unfairness (low pay, NO promotion, unreasonable responsibility). 

DO NOT COME OVER. You will be wasted here. Spending 6+ years, and you will still be an AVP, earning 80K - salary."
12,Bank of China - New York,Good job for Visa pending or retirement,2021-07-29,3.0,Credit Analyst,"free dinner, good location, good health insurance, cheap lunch. 
big-name bank, good overtime pay if you know how to get it","should not expect to learn skills transferable to any other U.S based employer. 
Sometimes can be stressful"
13,Bank of China - New York,Hard to describe,2021-07-29,4.0,Compliance Analyst,"Good meal, work-life balance, limited growth opportunities","Tough manager. Micromanage,  too many contractors"
14,Bank of China - New York,good if you want to lay down,2021-06-24,2.0,Associate,"they treat people in the senior level excellent
solid salary, comprehensive insurance package, little workloads","for entry levels, you will get paid with much lower than the market rate (half)
stressful work environment and heavy workloads
no learning opportunities"
15,Bank of China - New York,Working in China,2021-06-11,4.0,Anonymous Employee,"Good benefits - med, vision, dental, 401k. 
Friendly team and manager.
Good learning opportunity for junior.","Very, very hierarchical structure requires tons of signatures to get things done.
Low compensation compared to market level.
Lack of innovation - asks for things to be done in the prior way, not considering if they are the best way.
Technical difficulties, dated systems..."
16,Bank of China - New York,Overworked & under paid,2021-05-22,2.0,Associate,Lunch is affordable at the company,"Low salary, overloads of work in a understaffed team, does not like worker to OT."
