,company,headline,date,overall_rating,author_position,pros,cons
0,Canadian Payment Services,RUN AWAY,2022-01-19,1.0,Sales Associate,there are none horrible place to work,very bad management and working environment
1,Canadian Payment Services,Beware,2020-02-13,1.0,Sales,"Residual commissions can add up & provide a monthly income. 
Appointments are provided.","The company lied. 
The interviewer told me 10-15 prequalified appointments are provided per week. 
That sounded wonderful until I learned that most appointments are crap (the contact person doesn’t speak English,  the contact person isn’t interested, etc.). 
When I complained about the latter to a VP,  she said that most bizz owners will say anything to get off the phone. 
That was a complete contradiction to what the person whom hired me said. 

Also, numerous times, I had to argue at length, just to receive me Eaned-income. 
I left with them owing me money."
2,Canadian Payment Services,You get back what you put in,2019-07-29,5.0,Regional Account Executive,"Honeslty this company isnt pulling your leg when they tell you it's a lucrative business. The money is out there, you as a individual need to be motivated enough to go make it. I've seen it. I live it. I earn it. If you expect to make tons the first week your setting yourself up for failure. You need to learn, and use your management to build your self up. A snow ball always starts out small but if you keep pushing it it can grow to a monster ball. Remember that.",They don't provide the company shirts I was promised. I ended up getting my own made from a business I sold to.
3,Canadian Payment Services,Complete Scam,2019-05-31,1.0,Inside Sales Manager,This is a completely illegitimate company from top to bottom,This company is completely illegitimate.  From merchants getting tricked into $4500 leases for a $600 terminal to not paying employees.
4,Canadian Payment Services,Great company,2019-03-22,4.0,Sales Executive,Work on your own hours. No clock to punch in or punch out I do recommend working 8-5. Get under a good manager that makes sure you get paid what your told.,Accounting person sucks she always tries to take a couple bucks here and there
5,Canadian Payment Services,Misleading and false promises,2018-12-19,1.0,Anonymous Employee,"Flexible hours are available and you can block days off if you need to. Leads are provided however they are mostly garbage leads that are ""falsely pre-qualified"".","They do not pay you what they tell you they will.  There is very little training, just a pressure group call a couple of times a week to advise of the ""success stories"" of other sales people and then they tell you to go out and do the same without any proper training, marketing material, business cards or prepared  knowledge.  Basically fake it till you make it type of attitude. They start off offering $50 per statement that you can ""capture"" and send in, and guarantee 3 leads a day. After your first week, you will find out it's more like 2 leads a day, and a lot of driving to appointments that are no-shows or no statements, and then they retract the initial contract offer of $50  a ""captured statement"" after a couple of weeks and tell you it's only $50 if you generate your own lead. I worked for them for 3 weeks and was told I had a $100 coming to me for captured statements, then they changed that to $50 because they had provided the leads...which they had guaranteed in the beginning anyway...then they paid me nothing at all after 3 weeks of driving around to their set appointments. It's an absolute garbage company to work for unless you like working for nothing other than false promises of ""wealth in time"". They try to convince you that it's a lucrative commission after you become established, but if they can't even pay $50 then that leaves a lot of doubt about future earnings. I quit after 3 weeks of nonsense so didn't waste enough time to find out that they would find a way out of paying any commissions as well.  If a company will screw you for $50, then there is no doubt it's a bad place to work. There are much better companies to work for that have proper training, proper presentation materials and a solid commission and payment contract.  And they will actually PAY you, not find excuses not to.  Based out of the US, claiming to be ""Canadian"".  Such a bad experience with this company."
6,Canadian Payment Services,Good entry level job,2018-10-14,3.0,Anonymous Employee,Work is easy but management makes it more complicated that what it actually is.,No opportunity for growth
7,Canadian Payment Services,Regional Account Manager,2018-07-03,5.0,Regional Account Manager,"I have been with CPS over 5 years. They always pay on time, make great appointments and very easy to work with. 
I enjoy working with CPS, helping clients save money and get great satisfaction meeting a wide range of different people from around the world every day.",Some appointments that are made are not always the best but the good appointments make up for them.
8,Canadian Payment Services,Great team to work with,2018-04-11,5.0,Anonymous Employee,"1. Very professional management
2. Employees treated equally
3. Large commissions if you know how to do your job",1. Commission based (but not a problem if you know the business)
9,Canadian Payment Services,Regional Account Executive,2018-03-08,3.0,Anonymous Employee,Great support team in New York,Sometimes prebooked appointments are no-shows even if you've done the due diligence
10,Canadian Payment Services,AVOID! AVOID! AVOID! CHURN'n'BURN place!,2017-11-20,1.0,Sales Exe,A nice carpet and logo.,"Company is a dime a dozen high-interest cash-advance company. Predator-""advancing."" Training is one day, I was hired on the spot, and told the next day they didn't need me. Horrible culture, a lot of contempt and otherwise tension. I saw a fist-fight break out inside. ""Management"" are a bunch of frat boys who are all just friends of management. They flat-out say they're not managers, have no experience, and growing with the team."
11,Canadian Payment Services,Review,2017-02-27,3.0,Appointment Setter,It's  a full time position,No room for growth
12,Canadian Payment Services,Best Job or Business I have Ever had... And I have worked in 3 countries!,2016-12-07,5.0,Regional Sales Associate,"Flexible hours, no weekend work, huge income potential, the harder you work the more you earn, basically self employed so many legitimate business deductions. Dictate your own hours and time off.","The only cons apply if you are lazy or in this business for a quick buck, you must be genuine or people read right through you. We have the best product on the market, the biggest challenge is helping business owners get out of their own way."
13,Canadian Payment Services,Account Executive,2016-08-30,2.0,Edmonton AB,Generally great people to work with.,"Poor management. Too long to respond to issues. Too many mistakes made on commissions.
You never know what you are getting paid, from week to week."
14,Canadian Payment Services,consulatant,2016-05-09,1.0,Consultant Inside Sales,"Had a contract for 26k /year, signed ,  training was done in 2 weeks.  After training ended were told to sign another contract as a formality. The contract was an ""At Will"" clause. The next morning everyone in the training class I was in was told they were no longer needed.",I have said everything I needed to say
