,company,headline,date,overall_rating,author_position,pros,cons
0,Cash Store,Not as described,2022-03-18,1.0,Store Manager,"Small office environment, great pay.","Long hours, micromanaged, ridiculous script that must me repeated with every call, constantly being reviewed by district manager, never good reviews. They say you get off early but store managers work 11 hour shifts open to close . They have to be in the office all day. The company will give you the boot quickly while blaming you for their mistakes. Very big on unreachable goals."
1,Cash Store,Good busy work,2022-03-15,3.0,Assistant Manager,Days go by fast and you can usually stay busy.,Other co-workers can be rude.
2,Cash Store,No good,2022-01-13,1.0,Store Manager,"Good pay, good pay, good pay",Upper management suck! Very micromanage hate it their.. make a friend
3,Cash Store,Overwhelming at times,2021-12-30,3.0,District Manager,"Great pay. Paid mileage. DM’s usually only on call on Saturdays. With the newer upper management in the last 6 months, things have been going better then they have in the past.",Hours hours hours. And if you’re paid salary there’s absolutely no overtime and at times you can work 12 hours easily. Lots of tasks to complete and if you can’t at a store they expect you do do it from home.
4,Cash Store,Average,2021-12-18,1.0,Store Manager,"Training is efficient, micromanaging is an on overload so you’ll never forget anything.",You work everyday past normal business hours.
5,Cash Store,Dangerous and Obsessive,2021-12-09,1.0,Marketing Analyst,Decent pay. Not much else.,"Overbearing executives, micromanagement, archaic systems, bureaucracy, and office politics run rampant. Watch out who goes behind closed doors with who, is all I’m saying. 

Unhealth office culture of overwork and intensity, everyone is working the equivalent of two or three (or more) jobs."
6,Cash Store,Good not bad,2021-10-09,3.0,Customer Service Representative,"Independence 
Small environment
Travel to different stores","Management 
Hours
Procedures
No vacation time
Attitude
No time off or sick days
Health insurance"
7,Cash Store,It’s an amazing Business,2021-10-03,4.0,Store Clerk,I love the people there,The waiting is to long
8,Cash Store,"Easy job, horrible management",2021-07-27,1.0,Assistant Store Manager,Easy once taught. No education required. Free time.,Unappreciative bosses. Expected to travel far. Understaffed
9,Cash Store,Great place to work if you are people person,2021-07-07,4.0,Assistant Store Manager,"-Pays well. The first 2 years, there's a raise every six months and then a raise every year afterwards.
-They have benefits: Health insurance, dental, vision, 401k, 401 match, Life insurance, etc.
-Supervisor continues to train throughout the year, gaining and improving customer service skills
-Great support from Team leaders and co-workers","-I cannot vouch for every store or the company itself. But my over all experience has been enjoyable thanks to our District Manager. 
- Works on Saturdays but closes early at 3pm. 
-40+ hours every week"
10,Cash Store,Needs an overhaul,2021-07-07,3.0,District Manager,I have a great team,Underpaid for the amount of work expected
11,Cash Store,Illinois,2021-06-30,1.0,Branch Manager,"Good pay, great customer contact","Horrible upper management with the District and Regional Mangers. They would nit pick everything you did. Definitely a micro management company. Hours are horrible leaving you no time for family or having a life outside of work. Working 6 days a week with very little time off, almost impossible to get approved time off. This company does not appreciate your commitment or value a good employee. Horrible medical insurance does not offer major medical."
12,Cash Store,Avoidance is key,2021-06-25,1.0,Store Manager,Compensation that’s the only thing,Lack of flexibility and micromanagement
13,Cash Store,Compensation,2021-06-06,1.0,ASM- Assistant Store Manager,"Compensation, people you work with.","Let’s be honest all corporates will always see you as an asset. But it depends on you how you will do your every day! I had a blast working everyday with my co-workers. I never let the negativity get me, I assigned my self for the job and I gave my 100%. Besides the outcome I took this place as another job."
14,Cash Store,Worst management,2021-05-23,1.0,ASM- Assistant Store Manager,Automatic pay increase and 40 hours a week,"Horrible management, does not care about your health, polishes everything before entree and Impossible goals"
15,Cash Store,Worst,2021-05-17,2.0,ASM- Assistant Store Manager,Fun Easy compensation  People skills& Team work,"Micro management 
Strict rules
Uneducated staff"
16,Cash Store,Developer,2021-04-09,4.0,Software Developer,"Good team, effort, work life balance","Growth is limited, less technology"
17,Cash Store,Run,2021-03-30,1.0,Assistant Manager,Good at making it sound good..,Zero life and then no life when you no longer work there. Cause you thought you were making your life successful.
18,Cash Store,Save yourself,2021-03-09,1.0,Store Manager,Money. That's it. Nothing else.,Prepare to not matter and be micromanaged
19,Cash Store,Good,2021-03-05,5.0,District Manager,Good hours and nice employees,Not to bad at all
20,Cash Store,Fast turnarounds,2021-03-03,3.0,District Manager,"Decent pay, opportunity for growth within the company.","Not a stable work environment, micro-management, a lot of politics with COC, long hours-hard for work life balance, unrealistic expectations & timeframes for duties."
21,Cash Store,Great work environment,2021-03-02,5.0,District Manager,"Paid vacation and sick time, paid mileage and drive time, set raises, advancement opportunities, supportive coworkers.",None at this current time
22,Cash Store,Good Company bad training,2021-02-05,2.0,Assistant Manager,"Good pay, decent hours, bonus opportunities, & easy work","Sales position, collecting debts, & micromanagement"
23,Cash Store,Decent Job,2021-01-28,3.0,Store Manager,You move up the pay scale quickly and have seven hours of built-in over time per week as store manager. Good money if you live somewhere the cost of living isn't too high.,You have to work every Saturday and have to be employed for one calendar year to get any paid time off. Companies like this are predatory to older people on social security.
24,Cash Store,Keep Looking,2021-01-26,1.0,Store Manager,"Paycheck is good. You get non performance based raises every 3 months so it'll take you from $16 to $18 in about a year. Managers make decent money, about $19/hr plus 7hrs of over time each week. So comes out to about $2900/mo.","EXTREME Micro Management- they literally watch over your shoulder and write their observation. As soon as you get off a call you can expect to be asked ""how do you think that went?"" and then you'll be taken to the back to do a role play. This is SO frequent that you get numb to the constant picking. It's not a reflection of you, but nothing you do is going to be correct, so just expect to ""suck"". 
Absolutely Terrible DMs and AMs- they do not care about you or what you have going on in your life such as deaths in the family, medical problems etc. It's like they have a pool of the most awful people and stick them into a manager role. 
The turnover rate is awful. They will create a schedule and give you days off or approve days off then all of a sudden maybe 3 days before that day off, you'll have your AM just decide that that's no longer going to happen.  They did this at Thanksgiving and Christmas this year. 
They do not adjust their metric goals to reflect the current economy and continued to stick to numbers that were projected from the year before. So of course, you're never going to meet those goals or get a bonus. It's very hard to stay motivated. 
Overall, awful place to work. The best thing about it was my staff, they were awesome."
25,Cash Store,Don’t work here!!!!,2021-01-25,1.0,Assistant Manager,Pay was good and they were steadily raising it fo to cost of living.,"Horrible management, you had to lie or “omit” information to clients to give them outrageous loans that they could never pay back thus being in debt forever."
26,Cash Store,They suck,2021-01-12,1.0,District Manager,The pays is pretty good,Seriously this company sucks for customers and employees
27,Cash Store,Good for what it was,2021-01-12,3.0,Office Manager,The pay was great have to say that.,The schedule was alot not work life balance
28,Cash Store,Decent job,2021-01-08,3.0,Store Manager,"Friendly employees, decent hours except saturday","Work life balance,, pay rates"
29,Cash Store,Terrible,2020-12-20,1.0,Store Manager,There are no pros at all,Everything. Payday loans are terrible for the economy.
30,Cash Store,Decent but Clicky,2020-12-09,3.0,Assistant Store Manager,"Decent pay, Easy job requirements","Clicky atmosphere, Week of book training then thrown into doing loans"
31,Cash Store,Run!,2020-11-12,2.0,Store Manager,"paycheck, loan processing experience, great coworkers","deceptive loan practices, little to no flexibility"
32,Cash Store,Customer Service Driven Financing,2020-11-04,4.0,District Manager,"Pays well, Friendly Atmosphere at Store Level","Lack of community above store level, No Team-Building, Sub-Par Medical Benefits"
