,company,headline,date,overall_rating,author_position,pros,cons
0,Check Into Cash,Awful.,2022-03-31,1.0,Associate,There were no pros. The hours sucked and the pay did too.,"So many. Your incentive to reach bonus’ is to wear jeans. Like wtf lol poor pay, poor staff."
1,Check Into Cash,Run,2022-03-18,1.0,Customer Service Representative (CSR),It was so horrible here.,"Everything. Management, hours, attitude, insurance."
2,Check Into Cash,Yep,2022-03-18,2.0,Project Manager,Paycheck comes biweekly and a binus,The people are crazy as hexk
3,Check Into Cash,Heed my review.,2022-03-15,1.0,Anonymous Employee,The fellow employees of Check Into Cash. I respect them and would work with them again in a different environment.,"I initially thought Check Into Cash (CIC) was not that great of a place to work, but then we were merged with Community Choice Financial (CCFI) and I realized how great we had it. The ""merger"" as it was called which was a lie, was in fact an acquisition of the company. When this was announced there was no conversation or guidelines on how the company would proceed in any manner going forward. As such this led to a sizeable departure of employees from the start. Those that stayed around were still left in the dark and news of what to expect of the new company was non-existent. We condensed our several buildings down to two and of those two one was put up for lease, without telling the employees who worked in this building.

Next lets talk about the compensation, it is very poor compared to similar jobs and positions in the area. Not to mention the employees at CCFI make more than CIC even if they have the same title. There have not been pay raises in several years other than a promotion. No performance based pay raise, standard increases, cost of living increases, nothing that should merit a 
pay increase is done. Nevertheless the company wants its employees to work even harder now, due to the acquisition creating more work and most of the employees quitting. Not to mention they will take away most of your access to do your job without a warning and when you ask the people who did it they say make a ticket which will take up to an hour of your time on the phone to then be told they have to send it to someone else and you will get a call back in about another hour and then you are finally back to square one. Several talented people with ten, fifteen, even twenty plus years of experience
have walked out the door and the company has done nothing to stop it. To make matters even worse they have now updated their PTO policy to where if you quit or resign or are terminated in any way they will not pay out your remaining PTO balance like they used to. This is most likely due to so many employees quitting and CCFI not wanting to pay them out.

Upper management is inutile they are not qualified in any way to lead or manage employees. Most of them do what they will with no real consequences and there is nothing you can do about it. They act first without thinking, testing, or sending an email until weeks later or something breaks along the way. They do not listen to what you have to say or welcome any new ideas. Several complaints have been reported to human resources and managements bosses but it is not dealt with and just ignored. Management at CIC was respectable and listened and if not you could at least go up the chain of command and get an answer. Unfortunately there is no answer at CCFI and there is no chain of command or structured organization. 

All in all if you want to work here it should only be for a few months, this is solely a job now and no longer a career. There is no future at this company."
4,Check Into Cash,NA,2022-02-28,3.0,Recruiter,Loved the hiring manager in the field,Stressful place to work unless you know the industry
5,Check Into Cash,Get out!,2022-02-23,1.0,Manager,Good job but not a career.,Not enough pay for what all you have to do
6,Check Into Cash,used to love it,2022-02-22,3.0,Center Manager,I like being able to help people when they need it the most!,they used to be awesome at trading before they merged with another company and it has went way down hill
7,Check Into Cash,Employed and Under paid,2022-02-22,2.0,Title Clerk,good co workers.  flexible schedule,not paid enough. at all
8,Check Into Cash,Not Safe,2022-02-21,1.0,Management,"Steady paycheck, I liked the customers",Does not protect employees with a safe work environment. Money first/safety second.
9,Check Into Cash,Good,2022-02-21,3.0,Anonymous Employee,"Employees are friendly, training was detailed.",The pay isn’t great and your are forced to give out the max when you know from the conversation with the customer they are not going to pay back.
10,Check Into Cash,OK while it lasted...,2022-01-27,3.0,IT Support,Comfortable place to work with great co-workers.,Not a lot of momentum for fast growth.
11,Check Into Cash,Review,2022-01-18,1.0,Payroll Specialist,People worked with are great,Pay is not worth the drama
12,Check Into Cash,Bents Family Business,2022-01-17,4.0,Section Leader,"Development and support is available if you want to progress. 
Great colleagues and teamwork. 
Job satisfaction and sense of achievement.
Onsite parking and distance to travel. 
Training","Salaries are average for lower level leadership and could be aligned with the level of responsibilities. 
Minimum wage for most colleagues 
Lack of consistency across the business"
13,Check Into Cash,Learning experience,2022-01-14,3.0,Customer Service Representative,Learn how loans work how to cash a check,Hours suck pay rate is ok
14,Check Into Cash,Look elsewhere for your own benefit,2022-01-14,1.0,Center Manager,ABSOLUTELY NONE GIVEN FROM COMPANY!!!!,"Long hours.
Low wages.
No job security. 
No raises
No help with marketing 
Impossible weekly/monthly goals
Have to be trained to talk people into unnecessary high loans"
15,Check Into Cash,Not a great place to work any more,2022-01-06,1.0,Anonymous Employee,We used to get paid for the holidays,Everything about this company is now unworkable
16,Check Into Cash,Challenges or changes,2021-12-27,3.0,Center Manager,The customers. Being creative with helping customers repay their money back.,No work life balance. No coverage
17,Check Into Cash,Don't work here,2021-12-27,1.0,Management,"Flexible schedule, Pto holidays, no overtime","Micro management, favoritism, rude management and corporate"
18,Check Into Cash,Hostile Takeover,2021-12-22,1.0,Operations,"CIC was a family atmosphere, sure we had our dysfunction, but compared to the hostile takeover by CCFI, we were pure geniuses.","CCFI, CCFI, CCFI, CCFI, CCFI"
19,Check Into Cash,Okay pay,2021-12-20,3.0,Assistant Manager,"Desk job , confine work environment , get to know your regular customers","No up to date systems, allot of number crunching and filing , pay scales isn’t realistic for the amount of work needed and hrs dedicated to a job for such a large customers base; insurance crappy"
20,Check Into Cash,It’s ok,2021-12-18,3.0,Customer Service (CSR),It’s an alright company until you do everything right and get fired.,"Got fired for nothing
Bad company overall 
No work life balance 
No holiday pay 
Not paid well"
21,Check Into Cash,Getting better,2021-12-09,3.0,Customer Service Representative (CSR),Undergoing a lot of changes,Undergoing lots of changes recently
22,Check Into Cash,Great company!,2021-12-04,5.0,Accounts Payable Clerk,great company and great people to work with!,pay increase would be nice!
23,Check Into Cash,It’s okay,2021-12-03,3.0,Assistant Manager,Customer relationships that you build,Having to be pressured to market
