,company,headline,date,overall_rating,author_position,pros,cons
0,Comdata,it's ok to be bad at it,2022-03-31,3.0,Technical Support Specialist,it's hard to lose your job if you have good attendance. you don't have to be too bright to nail it,"frustrating line of business to support; if you suck, the job is harder because the person calling is expecting you to know what you're doing"
1,Comdata,"Good people, good work",2022-02-22,5.0,Dirextor,"Interesting work, smart and good people","Growing pains 
Office is loud"
2,Comdata,Don't Work Here,2022-02-18,1.0,Sales,Good co worker environment just because working there was awful.,Where to start: Management has no clue what they are doing/underqualified. You are seen as a number rather than a person to them. Their training strategy is to sit and shadow nothing further. And overall Management just wants you as a quick buck and don't care about turnover rate.
3,Comdata,Really enjoy my job,2022-01-31,5.0,Sales Representative,Great teamwork. Supported by management to be successful.,None. They even have supported my work life.
4,Comdata,I enjoyed my job,2022-01-27,5.0,Tech Support,Just depended on the shift on how the day went,"Worked 24/7, 365, no matter what. Just like the medical field."
5,Comdata,Sales,2022-01-27,3.0,Sales Representative,"Sales management has had issues in keeping the organization going in the right direction ie... pay, leads, process, implementation etc. Moral has been a constant work in progress. On paper the product is top notch and there is however issues in the implementation and client support.",A lot of turnover in all positions to include client implementation teams which is frustrating for new sale implementations.
6,Comdata,So far...So great!,2022-01-27,5.0,Outside Sales Representative,"I have been at Comdata (Corpay) for a little over two years, and it has been a pleasure. Not only do I have the best manager, but I am glad to be at a company where I am not micro-managed and I have nice work/life balance. If you are a salesperson with a balanced attack of prospecting, being strategic and showing value, the sky is the limit for commission.","I am not used to working at a company where there is internal competition within your territory, but this scenario has improved since I have been here."
7,Comdata,Have no words really,2022-01-22,1.0,Customer Service Representative,"Very stressful to work there, constant ringing. You will go through personal issues, three strikes and you are out.",When you leave you won’t get your holiday money.
8,Comdata,Don't pay much attention to the needs of employees,2021-12-05,1.0,Team Leader,"Multinational team, beautiful office with the views to Barcelona","No bonifications available, they don't really care if you decide to leave the job. Huge rotation"
9,Comdata,Nice place to work at,2021-10-15,4.0,Software Engineer,"Good people
Convenient location
Nice and experienced management","Low salaries, compared to the market"
10,Comdata,Don't believe a word they say,2021-10-11,1.0,Sales Development Representative (SDR),They take you out for food and beer,"Was there for almost a year before I went to a better company and a better opportunity. They start their lies at the interview process and continue throughout your career there. They're in the process of merging with another company. Past managers have left and it's just gone DOWNHILL since. A lot of people are leaving, really the best ones are, and management is lying that nobody is leaving even though everyone is. Everyone who has a working braincell has realized it's a sinking ship with a sexist pig captaining the ship into the bottom of the ocean. They will promise growth, territories, and anything else you want to hear to keep you but it will all be false promises. They already know who they're going to promote BEFORE they release the job posting, make everyone jump through hoop after hoop for no reason since they're going to promote whoever kisses their butt the most. The rules only apply for a select few. People who can't even do their jobs, but have their directors do their jobs for them get promoted because their lips are firmly attached to the managers butt. The ""managers"", I say that loosely, are either the laziest individuals I've ever met or simply should have never been promoted in the first place. As a past manager myself, I honestly can't fathom how they got their jobs in the first place and are able to keep them. Don't ask a manager a question, because they will just talk to get you off the phone and give you a non-answer or the company catch phrase: I'll look into it. Think you're going to have a territory to call on? Well guess what? So will three other people. Some SDRs have 2 directors, some have 1, and the unlucky few are floaters and call on ""open"" territories. Hint, they're open because everyone is jumping ship. You should too."
11,Comdata,Run!,2021-10-06,1.0,Sales,Insurance is good and thats about it,There are not enough words to tell you how horrible this company is and the goals less than 5% ever reach. This is from a long term employee.
12,Comdata,Not for me,2021-09-20,2.0,Full Time Employee,Challenging industry when attempting to represent new ways of doing business.,Not the company or industry for me.
13,Comdata,Stepping Stone Job,2021-09-17,2.0,Project Manager,"Gateway job for the resume otherwise you'll be stuck until you leave, will most likely only get up to Sr PM
Coworkers
Flexible
PM team was phenomenal, very under appreciated","-Snakey scapegoating sr leadership bullies
-They will fire or demote you if you don't constantly agree or do what they want even if it's wrong
-They will force you to be in positions you would never want to be in
- Low pay for job and responsibility, ignore standard raises by saying you're not a real PM despite professional consultations and case studies saying otherwise. They will lie to manipulate you into thinking you are not worth it, which is typical behavior.
-Dramatic politics
-You will be used and abused
-It doesn't matter how hard you work you will not get anything you deserve other than them reading client/coworker compliments in front of people with a tiny prize to instill a false sense of hope you'll get anything more"
14,Comdata,Marketing is under developed,2021-09-07,3.0,MarketingDirector,Flexible schedule and decent salary,Male driven culture. Lack of appreciation for marketing.
15,Comdata,Its okay!,2021-09-01,3.0,Vendor Specialist,"You have a lot of freedom 

Great immediate supervisor",Very demanding for the pay provided
16,Comdata,Good Company & Pay,2021-08-21,4.0,Anonymous Employee,Solid company that's constantly growing. Everyone I worked with got promoted or got advancement opportunities. The pay was good,Biggest con for me was antiquated software network that required a huge learning curve. Don't think they updated any software the whole time I was there.
17,Comdata,Great Company,2021-07-30,5.0,Strategic Sales,"Excellent Leadership, competitive pay, great teamwork",I cannot think of any.
18,Comdata,Great!,2021-07-27,5.0,Sales Associate,"Comdata is a great company and everyone loves working there, great culture and environment. I loved everything about them.",I have nothing wrong to say about Comdata it benefited my career working there and I am glad to say I did.
19,Comdata,Good People,2021-07-22,5.0,Sales,Good people and love my team.,Pay is a bit low.
20,Comdata,Project Manager Salary,2021-07-22,3.0,Project Manager,You will gain pm experience,They do not pay well
21,Comdata,Great place,2021-07-21,4.0,Sales Representative,Competitive pay and great culture,I dont really have any to say bad
22,Comdata,Good company,2021-07-17,4.0,SDR Team Lead,The Culture and management style,"Unfortunately growth opportunities are few and far between. There are so many people who work there that when a position opens, it’s usually full"
23,Comdata,Decent,2021-07-15,3.0,Inside Sales Representative,"You can make okay money.
Great co workers","They treat you like a number
Not invested in employees"
24,Comdata,So-so,2021-07-15,3.0,Regional Account Manager,Collaborating with the sister team.,Lack of management visibility and acknowledgement.
25,Comdata,Good guy,2021-07-15,1.0,Talent Acquisition Partner,Great people to work with on a daily basis.,Management was disorganized and very hard to work with
26,Comdata,Not great,2021-07-03,2.0,Inside Sales Representative,"PTO offered, company events on occasion","Worst commission structure I’ve ever come across in a sales role, lack of communication within company, toxic work environment"
27,Comdata,It was ok,2021-06-28,4.0,Anonymous Employee,"It was ok sales job. 
Better than other financial companies","High turnover rate
Cold calling for 7 hours"
28,Comdata,Employment at Comdata,2021-06-25,2.0,Anonymous Employee,Able to work from home,"Commission structure. 
Poor communication with organization"
29,Comdata,Account Manager,2021-06-24,4.0,Account Manager,"Supportive direct management 
Decent benefits","As the company as a whole grows, there is a bit of disorganized structure. The companies best resources are their longtime employees who know the nuances but they do not promote them."
30,Comdata,Responsibilities versus Pay,2021-06-15,1.0,National Account Manager,Good entry level positions available,Expectations of work load versus pay. Do not reward great employees and allow too much of the buddy club in promoting opportunities.
31,Comdata,Great Entry Level Job,2021-06-14,3.0,Account Executive,Will break you into the mold of daily sales processes and routine. Excellent grind for a freshly graduated and eager sales professional. This job will certainly teach you the fundamentals into sales.,"Low employee retention: representatives and leadership alike, at both the managerial and executive level. Leaders change frequently."
32,Comdata,Changing policies to get commission,2021-06-06,2.0,Sales Associate,"Basic benefits, laid back work day management, periodical work event","Low base pay, may not receive commission if not sole exactly how they want it"
33,Comdata,Great first sales job!,2021-06-02,4.0,Inside Sales Executive,Good sales experience. Effort = additional income.,Not something you'd want to do forever.
34,Comdata,Don't waste your time,2021-05-24,1.0,Account Executive,Maryland Farms has a lot of good restaurants for lunch and dinner.,"Where to start. Prior to Covid, not enough parking. Employees often had to park across the street. Cubicles are 3X3. One corner shelf with just enough room for two pictures. Average salary is $35,000.00. Turn over is 150%. In my time there, the average time for people on my team was 6 months. Management breaks there own policies."
35,Comdata,Good Company,2021-05-18,3.0,Financial Analyst,Good Benefits and Good Environment,Little chance for upward movement
36,Comdata,Good Employer,2021-05-16,4.0,Junior Angular Developer,"CEO is very kind and undestandable
HR is a very good person","Very formal work environment
Projects not well organised"
37,Comdata,Great Company,2021-05-14,5.0,Entry Level Sales,"Excellent training, PTO, Remote Work",gym shut down because of covid
38,Comdata,Great People - Terrible Retention Rate,2021-05-13,3.0,Inside Sales Representative,"Work from home, decent pay & benefits for entry level sales","Lack of training on products & procedures.
To much competition between products and segments"
39,Comdata,Bad leadership culture,2021-05-10,2.0,Sales,"Decent pay, work from home options, low pressure","Best leaders are scooped up by other companies, middle management is unprofessional and picked based on favoritism, leadership in Atlanta is disinterested and just come in every few weeks and provide a few buzzwords."
40,Comdata,keep looking,2021-05-05,1.0,Director of Strategic Sales,"Work from home, free trips to Nashville for training","Pay is less than advertised, sales manager was crazy"
41,Comdata,Comdata,2021-05-05,3.0,Project Manager,Job security and the benefits are good.,Inconsistent management and many internal changes.
42,Comdata,Good starting point,2021-04-21,4.0,Sales Development Representative (SDR),"Uncap commision, free labtop, coffee","Management, not great work/life balance"
43,Comdata,"Toxic! You know what you’re getting into, so stay away",2021-04-12,1.0,Account Manager,"They are always hiring. It was a revolving door before the pandemic, and still is.

You do some debilitating tasks assigned from a cartoon character of a bad boss. You then get a paycheck. Yippee!

Like doing hard work, not taking breaks, not having time to go the bathroom or even get a second cup of coffee? Look no further.

One big pro is it is very diverse. But there is a huge age discrimination.","Let’s be honest. You may have gotten contacted by a recruiter (I was) and are looking into this company. 

You see some good reviews. Those are well and good. But you see the bad reviews. And they are all true. 

80’s sales culture and technology stuck in the 21st century. By 80’s culture I mean every one of my coworkers were probably at this company in the 80’s, do not look here for innovation, conversation, or growth.
By 80’s technology, I mean the software we used was command based green text. Like what you see in Jurassic Park. No, I’m not kidding. They also just got Salesforce about 3 years ago.

Like Game of Thrones? Then you’ll fit right in. Everyone is related. The way you stay on/get promoted is have an aunt or uncle that works there. Plain and simple.

You do not have a say in what you do. There is no brainstorming, creative problem solving, or even effective training. You do what your boss tells you, and you are measured on whether you do that on time. Forget having an opinion."
44,Comdata,Great place to work,2021-04-05,3.0,Customer Service Representative,Work isn't stressful...fun place to work,HR department not very helpful
45,Comdata,Good Career Stepping Stone,2021-04-02,2.0,Operations Support Specialist,"Good PTO, benefits, the job isn't difficult.","Disorganized, low pay, hard to move up within the organization."
46,Comdata,customers ripped off and customer service reps take the blame,2021-03-31,1.0,Call Center Representative,a pay check that's it sadly too much discrimination,"micromanagement to the point that they cant retain employees. managers want to control everything you do. however, the systems are constantly broken, the euipment outdated, and the customers themselves are just as frustrated trying to get service."
47,Comdata,80's style sales culture with 21st century KPI requirements,2021-03-29,3.0,Anonymous Employee,"Ability to work in an ever changing grounded industry, that's close to recession proof","Significant lack of product/service training. Unreal expectations. Each level of management demands different types of criteria to be met, making the task of doing your job difficult."
48,Comdata,A good place to start your sales career,2021-03-21,3.0,Saled Associate,Awesome managers and co workers. Always willing to help each other.,Too much politics or drama in office.
49,Comdata,Good place to work,2021-03-17,4.0,Fleet Supervisor,Love it there with customers,Better retirement plans for us
50,Comdata,Comdata,2021-03-03,4.0,Account Manager,"Great environment, great management and room for growth",Tough goals to hit and a lot of old leads
51,Comdata,"Solid Organization, Great People",2021-03-01,4.0,"Director, Strategic Sales","Smart, dependable and passionate people","At the time, not much formalized culture"
52,Comdata,Financial Analyst,2021-02-26,4.0,Financial Analyst,"Good management, Diversity, and culture in the office",A lot of Sales Turnover
53,Comdata,"It's ok if you want a job, but don't expect fast upward mobility",2021-02-24,3.0,Customer Service Representative,Work from home (for now) - will move back to office after pandemic clears up,"Slow upward mobility, Dealing with uneducated truck drivers"
54,Comdata,great place to work,2021-02-21,4.0,Relationship Manager Corporate Payments,great potential to advance and grow with company,Annual changes to commission compensation
55,Comdata,great company,2021-02-19,4.0,Customer Service,I worked ther for a few months. I liked working there. great team. a lot of benifits,I can't say anything bad. I liked working there. management was great. trainig was very good.
56,Comdata,Awful,2021-02-17,2.0,SDS Associate,Your fellow employees that struggle through the mismanaged department,"Not one good manager
Turnover is unreal
Base pay isn't livable for the city you live in
Treat you like kids"
57,Comdata,Sales Representative,2021-02-15,3.0,Sales Representative,Flexible Hours. Good work life balance,A very male dominated environment
58,Comdata,Okay,2021-02-09,3.0,Vendor Enrollment Specialist,"Good environment, Great team, and creative manager","low pay, no bonus, not challenge"
59,Comdata,Inconsistent timetable,2021-01-30,1.0,Sales Agent,Good colleagues and fun atmosphere,"Bad pay, long hours, schedule keeps changing"
60,Comdata,Customer service agent.,2021-01-29,2.0,Customer Service Agent,"Fixed hours, regular income, ticket restos.",Everything expected within a customer service environment.
61,Comdata,Sales,2021-01-27,2.0,Sales,"Its a job.
Commission is nice.",High turnover. Bad work environment.
62,Comdata,Great independence,2021-01-27,3.0,Sales Associate,Opportunity to make good money based on sales goals and comp plan.,employee experience isn't amazing - very cut throat
63,Comdata,Project Manager,2021-01-26,3.0,Project Manager,Great People and laid back atmosphere,"Salary way under the norm for this position, overworked, too many changes"
64,Comdata,Active company  - many acquisitions,2021-01-11,4.0,Director,Always changing and growing; lots of room for career growth.,"Some big corporate bureaucracy, expected at a company this size."
65,Comdata,Go anywhere else,2021-01-08,1.0,Anonymous Employee,"Terrible company, no way to make money. Swinging door.",You’ll find another job somewhere else.
66,Comdata,Ok place to work,2020-12-09,4.0,Account Manager,"Decent benefits, PTO. Lower level management is great.",401k match could be better.
67,Comdata,Not worth it,2020-12-01,3.0,Retention Specialist,"Coworkers, food trucks honestly that all","everything else, pay, management, parking. supervisors were childish and very unprofessional"
68,Comdata,Stay Away,2020-11-30,1.0,Director of Strategic Sales,Work flexibility with the ability to manage your territory.,"Very little support from management in achieving goals. Operations staff is horrendous, which makes it difficult to actually receive your commissions. False advertising on earning capabilities. Leadership doesn't have a plan to deal with competition. Marketing support is non existent. No innovation, answer is just to prospect more."
69,Comdata,Easy job fair salary,2020-11-26,4.0,Customer Service Representative,Good for new comers in France,No cons at the moment
70,Comdata,Sales executive,2020-11-24,4.0,Anonymous Employee,They care about their employees,The business is unnecessarily disorganized
71,Comdata,Great training - great commission opportunities,2020-11-18,3.0,Client Relationship Manager,"Great training, you can make great commission at the company. The people are great at the company.","Outdated software, business environment changing constantly, comp plans changed often"
72,Comdata,Would not recommend,2020-11-16,1.0,SSE-1,Not much to say at all,You will have a wide selection to choose from.
73,Comdata,Poor Company,2020-11-11,1.0,Sales Representative,None.. unless you count this as a job.,mgt has no idea how to manage..good ole boy system from mgt down. Leads given to the guys they choose...others have to get themselves. If you are young..probably.. look else where..you will be much better off.
74,Comdata,Great company,2020-11-07,4.0,Management,"Solid benefits, very strong business 
model",Sr mgmt way too involved in day-to-day.
75,Comdata,Na,2020-11-04,5.0,Data Entry,It was great experience for me,The hours were late for me
76,Comdata,Great company,2020-11-02,3.0,Strategic Account Manager,Salary is ok for the job title,Health care is ok but would prefer HMO
77,Comdata,Comdata,2020-10-29,3.0,Customer Service Representative,Training was good quality and thourough,"Hours, work environment. Some supervisors do not give the one on one time they say they will"
78,Comdata,Great environment,2020-10-29,4.0,Inside Sales,"Decent pay, decent hours with flexibility, great office culture, good benefits",Hard to get commission starting out
79,Comdata,Stay Away,2020-10-23,1.0,Anonymous Employee,N/A - N/A - N/A - N/A - N/A,Work/Life Balance - Salary - Management - Expected Hours
80,Comdata,Comdata,2020-10-16,5.0,Accounting Clerk III,Great place to work at,No cons to mention currently
81,Comdata,Poor Management,2020-10-08,1.0,Customer Service Representative,"Overtime available, frequent company parties","Poor Management, strict attendance policy"
82,Comdata,Management has no idea how to streamline anything in this company.,2020-10-03,2.0,Sales Executive,Good work life balance in office atmosphere,Tons of turnover. There’s no money to be made. They gaslight you and tell you we can make so much more than you actually can.
83,Comdata,"Alright to break into sales, not great when it comes a level playing field",2020-09-28,3.0,Sales Development Representative,Boss was cool at the time,"There wasn't a level playing field. If you didn't just ""have it"" in sales, you were tossed out the door, very little patience with new hires from different industry backgrounds."
84,Comdata,Leadership Lacking,2020-08-17,1.0,Anonymous Employee,Not many... trying to think...,"Will throw you under the bus if there’s a chance. They say they will take feedback to heart and you never hear anything - those employee surveys- don’t get read. And you have to be a brown noser to get anywhere. If you’re looking to work there, they will low ball you as much as they can and lie straight to your face. 
No communication between people- much less between teams."
85,Comdata,Not bad,2020-08-14,4.0,Inside Sales Executive,Just hit your numbers and you’ll be fine,Upper management doesn’t care for you as much
86,Comdata,Started out good....,2020-06-25,1.0,Sales Management,Lots of decent lunch spots near the office,"Old outdated systems, horrible compensation plan (clawbacks), senior executives are comically clueless and out of touch. Tons of turnover! Customers are price gouged with hidden fees. Customer service dept doesn’t exist. Products are much more expensive than competitors and not any better, perhaps worse. Human Resources dept is non existent. They have a terrible reputation within the trucking industry."
87,Comdata,Good company,2020-06-22,5.0,Analyst,Pays well for a first time job,Communication Between depts is... it needs work
88,Comdata,Comdata and Fleetcor is not a good company to work for,2020-05-26,1.0,Program Manager,"some coworkers are enjoyable, flexibility in working remote","culture is horrible, known problems with management aren't addressed, training is non-existent"
89,Comdata,Toxic,2020-04-15,1.0,Sales Representative,They will hire almost anyone. Good location in Brentwood.,It’s as toxic of an environment as I’ve ever seen. The way leadership treats their reps is disgusting. I’ve heard many managers brag about how many people they have fired. There is no growth within this company. Leadership will also not accept any suggestion made by reps. It’s very much a “Our way or the Highway” type of scenario.
90,Comdata,"Used to be a great place to work, not after Fleetcor took over",2020-02-06,1.0,Anonymous Employee,They do offer good benefits.,"Headcount is consistently reduced to improve P & L while workloads increase, management doesn’t have your back- no matter what they say to your face."
91,Comdata,primarily cold calls,2019-12-19,3.0,Sales Development Representative,you can make a lot of money,same thing over and over again every day
92,Comdata,Awful,2019-12-16,1.0,Sales Executive,No good things at all,Everything was awful lies from the first day
93,Comdata,"Good company, bad Parent",2019-12-11,2.0,Strategic Sales Executive,"Great work life balance (you won't need to take your work home with you), decent health care offering, lots of smaller (no-commission) sales incentives every week/month","antiquated systems, little/no sales support. Sales rep is loses commission if a customer leaves before 3-6 months, but have no control to fix issues. Hidden fees you have to rationalize to your customer"
94,Comdata,Good Entry Level,2019-12-10,3.0,Inside Sales Representative,"Started in entry level sales. Good for learning how to cold call, learn the basics of selling, meet great people who can become friends. People are great.","Good people, toxic culture. Departments hate each other it seems like. Product has great potential but execution is off... because of that, the customer is usually the one that pays for it either via bad service or fees."
95,Comdata,Entry-Level Position at Comdata,2019-12-09,3.0,Sales Development Specialist,"Great earning potential for entry-level position. Laid back atmosphere and flexibility with hours. Great health insurance and tons of incentives throughout the year, including numerous company outings. Quota expectations are very reasonable. Overall happy work environment","Management is incredibly disorganized. SDS managers are nice, but seem to have no idea what they're doing. Shockingly poor communication between departments. The nature of the job itself is grueling and miserable."
96,Comdata,Read Before Accepting an Offer,2019-12-03,1.0,Internal Auditor,"Comdata offered me a decent bit of flexibility with my work schedule. I was able to work from home on days when I had personal appointments and I never had a request for time off denied.

Additionally, I developed a strong relationship with my manager (who is ironically serving his final two weeks as of the date of this review) and a few other bright individuals within the otherwise dull organization.","Management is unethical. I am aware of multiple instances where my VP as well as other VPs in the organization have made intentional efforts to hide known issues from external and internal stakeholders.

Management is unprofessional. As an auditor, I was placed in multiple situations where management openly rejected audit results after being provided with specific regulatory guidance and numerous examples of deficiencies. Management yelled at me and my manager without cause, insulted our intelligence, and pressured us to violate professional audit standards and could not comprehend why we refused to violate said standards.

Many VPs and managers are not qualified for the positions that they have and the company fails to recognize the individuals who ultimately drive value.

The vast majority of employees refuse to be held accountable for their professional responsibilities and management often assists with excuses instead of making simple process improvements.

To my knowledge, the Company does not have a mission, vision, or core values. In short, the Company has no direction.

The Company does not care about people. Customer concerns go ignored and in many cases the company deliberately attempts to take advantage of customers through the product fee structure. Additionally, employees are viewed as completely disposable. People are clearly disgruntled and management is either unable to help or does not care.

The pay and benefits are below average for the industry. The maximum retirement match of 1% is a complete joke.

The company recently renovated the office, but the seating arrangements are horrible. Departments do not sit together. My manager and I were forced to sit around a large group of collections people who were constantly on their phones yelling at our customers. It often was very difficult to focus on our complex and confidential tasks. Our requests to move were repeated denied and our VP legitimately lied to us concerning the status of our requests.

I felt undervalued, unappreciated, and unwelcome at Comdata."
97,Comdata,Not the best place to work,2019-12-03,1.0,Implementation Specialist,Collaborative environment. Involved with several fundraisers.,"Poor management, incredibly high turn over rate. Micro-management."
98,Comdata,Financial Analyst,2019-11-21,4.0,Financial Analyst,Enjoyed the leadership and atmosphere,I enjoyed working there - no cons
99,Comdata,Great experience,2019-11-13,5.0,Sales Development Representative,The people that I worked with became like family,I don't have anything bad to say
100,Comdata,Interesting Company,2019-11-09,2.0,Account Manager,"Benefits flexible hours, onsite fitness center",Management does not value associates
101,Comdata,Disconnect At Every Level,2019-10-23,2.0,Sales Executive (Small Fleet Sales),"Competitive pay, lots of good employees to work alongside, good benefits","Inefficient sales process creates headaches for every department, unrealistic sales expectations, strong favoritism among mid-level managers, lack or real change or innovation (i.e. does not invest in product development), lack of opportunities for career growth"
102,Comdata,Avoid like the plague,2019-10-17,1.0,Sales,"It pays rent. 
There are some decent people floating around.",The company will throw you under the bus in a second if it's the most convenient option.
103,Comdata,"Run, run fast!",2019-10-14,1.0,Account Manager,Salary is *ok*.  Glassdoor says I need to enter at least 5 words.,"Everything. Zero culture. I think you could walk off the street and get a job at Comdata. I worked there for almost a year and made zero friends, just a bizarre place. A lot of nepotism as well, I wouldn’t wish this on my worst enemy let alone a family member. Upper management plays favorites, it’s very obvious. I hate to use the word ghetto to describe the atmosphere but it’s SO ghetto. I know this company makes a ton of money, but it all goes to the ceo..."
104,Comdata,Sales Development Representative,2019-09-26,1.0,Sales Development Representative,"Good benefits, free coffee?, Cool swag at orientation",Run as far as you can.
105,Comdata,"You might be okay when you are healthy, but....",2019-09-12,2.0,Call Center Agent,They offered a decent pay.,"The reason why I resigned is that I had to fight three months as a physically disabled person to get my mobility scooter (three wheels) into the fully accessible building on the 5th floor. Three months they let me walk in the pitch dark (no lights at main entrance) after every evening shift to find my mobility aid, risking severe injuries by falling (I have CP and am completely blind in one eye and have low vision in my better eye). So a visually impaired woman who can hardly walk without falling. But they forbid me to use my scooter, which is the same as a power wheelchair, as I’m using it on the DLR to arrive at their company. 
No, if you are healthy, by all means take a call center job there but if you use a wheelchair or scooter, stay the hell out of there!
The only reason I did not take them to court for discrimination is because I was completely knackered every work day and I was not a member of any union at the time."
106,Comdata,Pas bon,2019-09-06,1.0,Anonymous Employee,French is not necessary,"Underpaid, easy to lose your bonus, understaffed, high turnover"
107,Comdata,Overall positive,2019-08-28,4.0,Sales Compensation Analyst,"Helpful benefits, good opportunities for growth",hours longer than were expected
108,Comdata,Great work space,2019-08-27,4.0,Customer Service Representative,"Lovely work place 
Bubbly staff members","Nothing, the company is perfect"
109,Comdata,I enjoy working at Comdat,2019-08-11,4.0,Marketing Manager,The people and flexibility are amazing,Work on lean teams which makes for heavy workloads.
110,Comdata,Nice Atmosphere,2019-08-08,3.0,Telesales Agent,cooperation among workers and good benefits,computers and equipment out of date
111,Comdata,the company to work for,2019-07-19,4.0,Team Leader,"people,  progression programme, bonus,","salary, hours, parking, positions available, being an outsourcer uncontrollable outcomes"
112,Comdata,Management needs some evaluation,2019-07-17,3.0,Account Manager,Coworkers are pleasant. Its a job with more than minimum wage pay.,"No growth opportunities, employees tend to be  under-valued for their skills,  really old systems, and management that make decisions to flex their power either from lack of knowledge or they are just to lazy to make improvements."
113,Comdata,Decent company but had been stuck in the past.,2019-07-09,3.0,Anonymous Employee,Really enjoyed the teams and working environments.,"Like banks, the systems are just patched together and built out in such a way only the oldest know the ins and outs."
114,Comdata,Great environment,2019-07-06,5.0,Data Integration Specialist,"- interesting work
- inspirational leadership
- relaxed work environment","- some clients view Comdata very negatively
- career path not perfectly defined"
115,Comdata,Bad job,2019-06-19,1.0,Sales Executive,Nothing what so ever other than building,Everything was lies and disorganised
116,Comdata,Sales,2019-06-14,2.0,Sales,There aren’t many. They have a long standing in their space with a good reputation.,The worst culture I’ve ever experienced. I’ve been at some great places and some that were okay. I never met to the two people I worked for the first 6 months I was there. Very little infrastructure and support. Corporate payments is the real focus of the org and the payroll card side is an after thought. They are not industry leading in their technology.
