,company,headline,date,overall_rating,author_position,pros,cons
0,Complete Cash Title Pawn,"Yeah, no.",2020-10-07,2.0,Store Manager,Weekly pay is about it.,"Management, termination practices, hours, pressure"
1,Complete Cash Title Pawn,RUN,2020-01-13,1.0,Store Manager,Nothing Great but you get paid every week.,Company only cares about their self not the employees. Their whole set up on how to run a organization when it comes to loaning money is crazy.  Then they like for us to harass customers if they are one day late. It's really sad. Glad to see some have closed. One thing i will say I'm glad i left.
2,Complete Cash Title Pawn,Dead End Job,2019-11-01,3.0,Store Manager,"Work-life balance, easy tasks, interaction with customers","Poor management, no upward mobility."
3,Complete Cash Title Pawn,DON't waste your time,2019-06-22,1.0,Manager,none none none none none,all they are worried about is hitting the goal numbers with is set at 100% every month. You have to collect 100% or you get fired
4,Complete Cash Title Pawn,Not worth the pressure,2018-08-08,1.0,Store Manager,"Paid weekly, mostly great customers","Upper Management, too much pressure to collect from people who are already struggling financially"
5,Complete Cash Title Pawn,Run run run,2018-03-16,1.0,Anonymous Employee,Pay that is it. Nothing else,"High turn over rate , long hours , unprofessional and shady."
6,Complete Cash Title Pawn,The Bad Outweighed The Good,2018-02-04,2.0,,Working in the office solo or with your Co-Manager. Marketing (meeting new people). Creating events to bond with the community.,"Low weekly pay. Long work hours (expect to stay over 10 hours at the end of the month). 6 day work week (Mon-Sat). No hour lunch breaks. No job security (exceed your monthly goals or get terminated). My former District Manager was so unprofessional and disrespectful (always kept up drama among his area). No family time...work and life balance, definitely a no!"
7,Complete Cash Title Pawn,Say no to the company,2017-10-26,1.0,,In store by yourself mostly.,Not worth your energy unless you just need a job at the time.
8,Complete Cash Title Pawn,Expect to Work 70+ Hours a week and get make below minimum wage,2017-06-12,1.0,Anonymous Employee,"Given a fair amount of responsibility with very little experience, not relevant in my case, but still a plus for a competent employee looking to get more experience","Your paid incredibly low given what your expected/What you WILL do.  After you factor in hours worked ""Marketing"" which means calling corporate and seeing what they will bankroll, mainly flyers and community events (Under 100) because none of the marketing materials save for the 3 week turnaround on business cards and company branded pens are usually available...you'll make about 7-10 bucks an hour, opportunity for bonuses, but you will need to expect to make lots of calls...come to think of it, in one person stores your like a call center operator because you wont get in store help until you reach a sales level...all the while threatened with firing or store closure (In my first 6 months I saw 20 people terminated and 3 stores closed)"
9,Complete Cash Title Pawn,Great if you love being set up for failure and treated as poorly as underdeveloped Cambodia,2017-01-25,1.0,Anonymous Employee,EATING AT YOUR DESK! GERMS ON YOUR PHONE. BATHROOM PHONE CALLS. SLAVERY HAS BEEN REBORN. YOU MAKE ENOUGH MONEY TO FEED THE FLIES AFTER YOU DIE OF OVER EXERTION. DONT WORRY ITS ALWAYS BECAUSE IT'S ALWAYS YOUR FAULT,DOES THE ENTIRE COMPANY AND OPERATIONS COUNT?
