,company,headline,date,overall_rating,author_position,pros,cons
0,Countrywide Financial,Good,2022-03-17,4.0,Consultant,Good to work with recommend,I cannot say any cons
1,Countrywide Financial,Good company to work for,2021-11-09,3.0,Team Leader,"Good support from managers
In-house promotion opportunities
Training",Could offer more contract perks
2,Countrywide Financial,Review from 2009,2021-06-21,3.0,"Manager, Loan Origination",The bank operations were solid and reputable,The brokerage side was kids playing with matches.
3,Countrywide Financial,Good technology and hard charging culture,2020-11-25,3.0,Managing Director,"Get it done culture, great at technology",Get it done at all costs
4,Countrywide Financial,Good/ok,2020-07-29,3.0,Mortgage Advisor,Great staff employed by the company,Hard to progresa. High employee turnover
5,Countrywide Financial,Cwide,2019-11-07,5.0,Senior Vice President,Smart co workers.  California weather,Long hours   Calabasas drive is not easy
6,Countrywide Financial,Account Executive,2017-07-30,4.0,Account Executive,"One day of the best places to work. If you don't like working long hours and weekend, this wouldn't be a place for you. Great family value and good salary.",Like to control your time when you want to work more hours.
7,Countrywide Financial,Nice place to work,2017-05-02,3.0,Senior Analyst,Nice place to work. Allows you to manage work life balance,Some supervisors are not connected with team members working from offices at other locations.
8,Countrywide Financial,Safety,2016-02-21,2.0,Anonymous Employee,"If you like the wild west, this was the perfect place to work.  You make your own luck, and to heck with the consequences.  Hence the downturn in the housing market and the financial industry as a whole","In the wild west its tough to find partnership, support or anyone who cares what the regulations say.  Therefore you might find yourself alone, in the middle of the wide open, wondering if the person coming your way was for you, or against you."
9,Countrywide Financial,Lies Lies Tell Me more Lies,2015-05-15,3.0,Vice President,It's was a great place to work before BofA,BofA they are the devil
10,Countrywide Financial,Document Procurement Tech,2015-05-01,3.0,Doc Proc Tech,"Low stress, good managers, the company tried to make the employees happy (entirely impossible with that many people), you knew what was expected and how to get it done.",The company got sloppy win the refi boom hit and things went downhill from there
11,Countrywide Financial,bankrupt,2013-01-29,1.0,Manager,good co workers good benefits,"sweat shop, bankrupt bankrupt bankrupt bankrupt bankrupt"
12,Countrywide Financial,Entrepreneurial culture,2012-09-28,4.0,Vice President,"Countrywide has a very entrepreneurial culture, with a strong build over buy preference. This is great for information technology resources.","Department practices are very different, need to make sure that the department you work in matches your style of development."
13,Countrywide Financial,The best first job I ever could have asked for,2012-06-19,5.0,Sales Manager,"people, atmosphere, pay, and PAY.  Some of the smartest and most driven people were my colleagues.  I met some of my best friends, made very good money and had a great time while doing it.  The company was very professional, yet there was a very team oriented brotherhood.","Long hours, lack of advanced training.  Of course there is going to be some bad apples.  In every company you work plenty of uneducated, bad employees walk through the doors, but they were weeded out quickly."
14,Countrywide Financial,Good experience for a first working job.,2012-05-15,3.0,,"Very supportive when it comes to working as a team, Management is very friendly, Appraisals are really good as they are discussed by both the team member & the manager.","Politics and corruption, expectations are very high as compared to the compensations provided, Social influence matters when it comes to promotions."
15,Countrywide Financial,It is done!,2011-12-01,3.0,,"Countrywide's stock has been described as the ""23,000% stock"" by Fortune magazine. Between 1982 and 2003

For year-ending Dec 31, 2007
Total Assets: $211,730,061","In 2008, Bank of America purchased the failing Countrywide Financial for $4.1 billion. In 2006 Countrywide financed 20% of all mortgages in the United States, at a value of about 3.5% of United States GDP, a proportion greater than any other single mortgage lender....."
16,Countrywide Financial,Good,2011-11-01,4.0,Financial Services Representative,"Location, Salary, People, on site cafeteria",Less opportunity for advancement than other companies
17,Countrywide Financial,"Strong management, visionary and focused on accomplishing goals",2011-10-17,4.0,Vice President,They had clarity regarding key initiatives and were very supportive to insure goals were attained.,Heavy volumes at times made it difficult to balance work/life.
18,Countrywide Financial,It was a decent experience,2011-01-11,3.0,Business Banking,Promotions were based on merit.,The bank went under and was acquired.
19,Countrywide Financial,Place for growth,2010-08-24,5.0,First Vice President,"Excellent professional environment, great exposure to industry and technology, endless opportunities to learn and grow. Countrywide has a variety of subsidiaries in the financial industry, mostly mortgage - and promotes employees to move and look for opportunties internally. They have excellent framework to promote new ideas, processes - both in technology and business. In the technology side, mostly home built solutions that are cutting edge and ahead of the industry. A great pool of talents, and outstanding team and professional atmosphere.",Stability due to economic downturn
