,company,headline,date,overall_rating,author_position,pros,cons
0,Eagle Home Mortgage,Company,2022-01-18,5.0,Mortgage Loan Processor,"Amazing, caring and excellent company.","Turnaround, pay, support, training, ownership."
1,Eagle Home Mortgage,It was an okay stepping stone job,2021-12-04,3.0,Administrative Assistant,I liked getting paid reliably and having 9-5 hours even if it was at minimum wage.,Not a lot of work to do and felt like I was a pretty face to warm up a seat. Was bored most of the time.
2,Eagle Home Mortgage,Great,2021-07-28,5.0,Regional Manager,They had a great culture that allowed you to be empowered. Decent pay. Good benefits. Able to build your own teams.,"Way upper management could be brutal. Harsh, heavy handed tactics, lead those teams by fear. It’s the builder world mostly."
3,Eagle Home Mortgage,Good employer,2021-05-25,2.0,Mortgage Loan Processor,"Flexible, easy going, busy and learn a lot",Not much structure or direction
4,Eagle Home Mortgage,Wouldn’t return,2021-02-11,2.0,Loan Processor,Worked with some great people,Management did not fight for employees
5,Eagle Home Mortgage,Very busy,2021-02-01,3.0,Loan Processor II,"Great training and management, lots of room for advancement","No work/life balance, below average pay"
6,Eagle Home Mortgage,Was a good company,2021-01-12,4.0,Loan Officer,The people I worked with were knowledgable and the structure of the company was good until the retail division ended,Owned by a big Builder Lennar Corporation and Hedge Funds decided to close the retail division and only support new construction
7,Eagle Home Mortgage,No Place Is Perfect,2020-09-25,4.0,Senior Underwriter,"Direct management is very clear and open and honest. 
Overall direct management seems to understand work/life valance and are genuinely appreciative for their employees.
Consistent meetings for the whole UW team that can result in good conversation and opportunities to give effective suggestions or voice concerns. 
Overalll this place has (like ALL others) it’s good and bad. No place is perfect and if you can be effective and efficient with your day & work you will find great success","There is some upper level pressure to work as many hours as not humanly possible
Some of the choices made to restructure appear to be made without long term thought to impact and effects
Wish there was an incentive plan for UW department which is fairly common at other companies"
8,Eagle Home Mortgage,Sweatshop,2020-08-18,1.0,Mortgage Underwriter,Work from home as remote employee,It’s a sweatshop. They don’t want you to take vacations and if you take a sick day they call you during the day and give you a hard time. You can’t go to the doctor’s office without going through management and they won’t let you use your sick time to take appointments. Only 2 weeks vacation that you can almost never request off and forced overtime every weekend. It’s awful.
9,Eagle Home Mortgage,Run!!,2020-08-11,1.0,Senior Loan Processor,Incentives can be rewarding IF you get loans that aren’t fires from the beginning,"No work life balance 
Below average pay 
Micromanaging 
Too many meetings"
10,Eagle Home Mortgage,Most stressful company I have ever worked for. Poor compensation.,2020-07-07,1.0,Mortgage Loan Processor,The office is centrally located between Clearwater and St Pete.,"80 plus loan pipeline, some loans are build outs meaning they will not close for possibly a year, commission ranges from $0 to $30 for a loan you have spent a year working on updating docs for. You are forced to wear multiple hats, micro managed to the max, treated as if you literally have a tag on with a number on it- you are nothing more. There is zero work/life balance. Management does not take accountability for anything and are not at all helpful, they merely pass the buck down and everything falls on the processor. You spend your whole day providing updates on loans that you have already answered to several times over. Customers are treated terribly because you do not have time to respond to them, as you are replying to 20 or so emails per day to your boss and their assistant. They do not bother to look in a file to see what is outstanding, they hide behind the computer and fire out requests all day, when you are already clearly overworked. Overtime is not required, but they will bully you into working late at night, on the weekend and even holidays. They will ask you for the hours you will be working on a weekend or a holiday up to a week in advance. They will tell you over and over again how ""everybody has plenty of work to do""- this is due to them not being able to keep their best people. Most people quit within a year of being hired. Training is non existent- you are given a booklet to read and a 3 day computer class on 1 of their many software programs."
11,Eagle Home Mortgage,Fun coworkers,2020-06-15,4.0,Funder,Really fun coworkers and great communication,poor management training and funded loans just to boost monthly reports
12,Eagle Home Mortgage,Good company to start mortgage lending career,2020-03-03,3.0,Loan Officer Assistant,"Good benefits, company issued laptop, decent pay to associates, will pay for you to get NMLS certified",I had a bad experience with my manager.
13,Eagle Home Mortgage,Layoffs kept me from retiring with Eagle Home Mortgage/Lennar Corp.,2020-02-19,4.0,Course Developer,"Training Dept. Former leadership, Eagle Home Mortgage former president, Jimmy Timmons. Once he retired there was a shift in the company's approach to success.","The new leadership, values the dollar more than their own employees."
14,Eagle Home Mortgage,I had to do multiple jobs,2020-02-04,4.0,Production Assistant,"The support staff was great. They offered benefits, which were pretty good.","Some of the Loan Officers that were hired were incompetent. As Production Assistant, I had to jobs of several different positions."
15,Eagle Home Mortgage,Processor,2020-01-30,1.0,Processor,"Stability, nice teammates and location.","Where do I begin!!!  Over worked, under paid!  Company under investigation by the Federal Government.  There is favoritism from management with a handful of employees; “COMPANY PETS”!  You can’t voice your opinions to management because you will become a target and the mistreatment worsens! You cannot leave if you have a file not cleared for closing if you do, you will be written up! 80% of the employees here are miserable, unhappy because the culture is horrible!  The morale is below the gutter!  STAY AWAY FROM HERE!"
16,Eagle Home Mortgage,"The company was perfect, competitive salary compensation.",2020-01-21,3.0,Customer Service Representative,The type of work was very intriguing and kept me interested and enjoyed coming to work.,The management was not appropriate. After voicing my concerns nothing changed. It could have been handled better.
17,Eagle Home Mortgage,Allows sexual harrassment and does not value employees,2020-01-16,1.0,Closer,Their process is so disorganized that you learn from your constant mistakes.,They laid a large portion of the company over a year period and outsourced those jobs to India.
18,Eagle Home Mortgage,Plenty of Opportunity for Growth and Development,2019-11-11,5.0,Loan Officer,Compared to other mortgage companies the volume is pretty consistent due to the company being part of the Lennar Corporation.  The company is willing to invest in the growth of associates who show interest in growing with the company.  The LOs you work with are experienced professionals and most management is very knowledgeable to help you work through issues.,"You are going to work a whole lot.  Work life balance is difficult to come by, but you're compensated accordingly."
19,Eagle Home Mortgage,Good Place to Work,2019-10-28,5.0,Anonymous Employee,"- The team is fantastic. We work hard, and have fun doing it
- Great people, who support each other
- Flexible work schedule
- I feel valued and appreciated","- Benefits are average
- Leadership needs to communicate to the company, as a whole, more often. The three large centers and headquarters get special treatment (picnics & holiday parties, town hall meetings with executives) and the other locations across the country don't get the opportunity to watch via webinar or listen to a recording. Therefore the same message is not consistently being delivered across the country."
20,Eagle Home Mortgage,Good entry level,2019-10-21,3.0,Administrative Assistant,Good people through out the organization. Big changes with little forethought to impact. Would recommend to a friend in the short term.,"Low pay, and minimum opportunities to advance"
21,Eagle Home Mortgage,"Great people, dull work",2019-10-17,4.0,LOA,Great coworkers and management. Good pay,"Repetitive work, but if you're in the mortgage industry then you're used to that."
22,Eagle Home Mortgage,Do your homework pays good management NO good,2019-10-09,1.0,Senior Loan Processor,Co workers are good people.,Management needs to be looked at.
