,company,headline,date,overall_rating,author_position,pros,cons
0,Econocaribe Consolidators,Good Company,2021-07-12,4.0,Administrative Assistant,The people at the company are amazing and all treat each other like family. Throughout the year they host many events for the employees. They also promote from within first and then give them opportunities to those outside the company.,"The freight industry is tough so you are constantly under tremendous pressure, which is more an issue outside of the company but the pay is not the best."
1,Econocaribe Consolidators,Great Place to Work,2019-07-29,4.0,Export Manager,"Opportunity for growth
Good environment
Open door policy",Health and overall benefits could be better
2,Econocaribe Consolidators,Import coordinator,2017-09-22,1.0,Anonymous Employee,"Experience
Flexibility using your PTO
Schedule
Birthday lunch
Cigarette break","-Bad pay
-It's like being in high school again
-Instead of team work it's every man for themselves
-Management only cares about flirting
-management don't have no clue on how to deal with conflict"
3,Econocaribe Consolidators,Very displeased with the company.,2017-01-16,1.0,Anonymous Employee,SOME of the co-workers there were great to work with. Not a bad location for the office.,This place went in the dumps when they got new management from LA to run Chicago.  Worst mistake ever.  Also now Ecu-Line  good luck all!
4,Econocaribe Consolidators,Was a great opportunity until Ecu-Line came aboard,2017-01-11,3.0,LCL Customer Service Representative,"Great product, full benefits, Tuition help","no support from management, no room to move."
5,Econocaribe Consolidators,Customer Service Rep,2016-06-14,3.0,Customer Service Representative,Great atmosphere. Family vibe and they provide a small holiday bonus at the end of the year,Low pay to work ratio
6,Econocaribe Consolidators,Decent place to work,2016-03-24,4.0,Logistics Account Manager,Relaxing atmosphere but sometimes fast paced,"Micro managing from supervisors at times, but most it is okay"
7,Econocaribe Consolidators,Sales representative,2016-02-23,3.0,Anonymous Employee,"Career advancement opportunities is good, the company was purchased by multinational corporation and have lots of opportunities.","Tons of rules, forces you to sale their product their way, even if you have a proven method."
8,Econocaribe Consolidators,Import coordinator,2016-01-21,4.0,,good company to work at,long commute to work place
9,Econocaribe Consolidators,Good Work Environment,2015-09-29,4.0,FLORIDA,"Good Work Environment, Stable company","Salary is not competitive, always want more of the employees for less"
