,company,headline,date,overall_rating,author_position,pros,cons
0,FISA,Company to work,2022-02-22,4.0,Data Analyst,Work life balance is good,slow growth due to age
1,FISA,Poor place to work,2021-10-22,1.0,Computer Systems Manager,No real work here. People come here to retire. This is an employer of last resort.,"Poor management 
No leadership
No growth
Poor pension plan
Below avg medical insurance"
2,FISA,Good place,2021-08-30,3.0,IT Manager,Good colleagues flexible works hours,a bit beaurectratic; older technology
3,FISA,Web developer,2021-04-16,3.0,Web Developer,"friendly coworkers, steady stream of work, not stressful, salary competitive with private sector",No work from home option for I.T titles (except during Covid)
4,FISA,Runaway!!!,2020-10-15,1.0,Computer Systems Engineer,"Lot of free time
Okay medical insurance","No career advancement
Racist peers
Poor Management 
People play candy crush all day long
Openly talk about women in derogatory manner
Openly use racial slurs at each other at work
Very poor/toxic culture"
5,FISA,editor,2017-02-20,5.0,Editor,it is a student association and great for networking and building experience while at school.,all the students were committed and worked well together.no complaints.
6,FISA,Qa analyst,2016-06-13,5.0,QA Analyst,Very good company to do consulting or work full time,Commute is bit long if you stay in Nj
7,FISA,DR Manager,2015-06-16,1.0,Disaster Recovery Analyst,Permanent positions you can retire on if you perform well.,Very poor Management to the top executives.
8,FISA,Consultant,2015-06-15,5.0,PSoft Upgrade Consultant,Great people and team. Work and life balance.,Not able to adopt newer technologies
9,FISA,FISA is not a good employer !!!,2015-02-14,1.0,Anonymous Employee,Good commute location in New York City,Very bad management in all level.
