,company,headline,date,overall_rating,author_position,pros,cons
0,FTN Financial,Very good,2022-02-10,3.0,Anonymous Contractor,Good company that is a good place to work for,Can improve in a few areas
1,FTN Financial,Great company to start career,2021-09-27,3.0,N/A,"a. Depending on the department work/life balance is welcomed.
b. Vacation time up to four weeks depending on salary grade coming in.
c. Camaraderie amongst colleagues. 
d. Remote work for many departments.","a. Growth & opportunity was a major concern, it may become difficult to 
 maneuver throughout the company even with higher education.

b. Salary isn't on par with other companies.

c. The company culture isn't adopted throughout the organization."
2,FTN Financial,great,2021-04-14,1.0,WAM,execellent people work here and great additude,process can be improve but that is every company
3,FTN Financial,Good People,2020-11-30,4.0,Director,The people were smart and hard working,Pay could be better but wasn't terrible
4,FTN Financial,Think more if you need to stay more than a month,2020-07-12,1.0,Designer,Average wages among the competitors,"A non-ethical company, not cooperative coworkers"
5,FTN Financial,business analyst,2018-07-23,4.0,Anonymous Employee,my job is related to my educations and interest.,sometimes it's full of stress and tension
6,FTN Financial,Undervalued,2017-12-15,2.0,Financial Operations Specialist,The potential of making a lot of money.,The culture at FTN Financial is laced with general pretension and arrogance.
7,FTN Financial,Life at FTN,2017-09-11,5.0,,Great company. Great co-workers. Relaxed environment.,Pay and benefits could be better.
8,FTN Financial,FTN,2015-09-17,2.0,Investment Professional,entrepreneurial environment and good compensation,"management has no people skills, good old boy environment"
9,FTN Financial,Good experience,2014-12-05,3.0,,"Good hours, fast paced, easy-going co-workers","Limited mobility, no training, limited resources"
