,company,headline,date,overall_rating,author_position,pros,cons
0,First Commerce Bank,Great place,2021-10-28,4.0,Bank Teller,"Good hours, welcoming people, not a stressful workplace",Lots of constant counting of money
1,First Commerce Bank,Terrible job over work employees,2021-10-11,1.0,Staff Accountant,The bank tellers are great,"Terrible management 
Overworked underpaid
Poor treatment of staff"
2,First Commerce Bank,Feedback,2021-09-12,5.0,Operations Associate,"Amazing, respectful, flexible, understanding, awesome learning",I do not have any cons
3,First Commerce Bank,Positive focused company that provides career minded employees the abilities to succeed and grow.,2021-08-23,5.0,Retail,"Working for First Commerce Bank for the past 3 years has given me opportunity to advance my career. As well as learn from experienced bankers with many proven years of service and work experience. The culture is to promote hard working employees and also promote a positive and friendly work atmosphere. Micromanagement doesn't exist here as well as well as a push for aggressive sales tactics. The bank believes in building customer relationships and helping our customers. It's true hometown community banking at First Commerce Bank and this comes from someone who has been in the industry for 20+years. First Commerce Bank is
Dedicated  to community and growing bank.",I have no negative experiences to share.
4,First Commerce Bank,Great place to build your career!,2021-08-20,5.0,Retail,"Positive and supportive environment, room for advancement and professional senior management who truly cares for employees.",Nothing really stands out negatively.  Some small things arise but would be the same in any company.
5,First Commerce Bank,Worst banking job I have ever had in my  banking career! Don’t apply-Run!,2020-02-20,1.0,,Nothing Nothing Nothing Nothing Nothing,Management sucks and treats staff like dirt! Tellers are scared to death to make a mistake. Customer’s are sneaky and rude!
6,First Commerce Bank,Your soul will die here.,2020-01-06,1.0,,Eh benefits. Holiday pay for all federal holidays.,"Management is like a headless chicken. Sorry, that's not fair to the chicken."
7,First Commerce Bank,Hostile Working Environment,2019-10-22,1.0,Operations,"It's a job. Literally, that's it.",Leadership promotes a hostile working environment. No one is happy.
8,First Commerce Bank,First Commerce Bank,2018-11-12,3.0,Part Time Teller,Flexible hours for college students,"A lot of tun around in staff, not good communication from corporate to retail."
9,First Commerce Bank,Great Place to Work,2018-08-12,5.0,Teller,"Always room for advancement and to learn new things. Senior Management really seems to care about their employees. Paid Holidays, and Banker's Hours.",Policies are a bit vague at times.
