,company,headline,date,overall_rating,author_position,pros,cons
0,First Investors Financial Services,Dealer Finance,2022-04-01,1.0,Loan Processor,Management staff is nice… no micromanaging,No work life balance and it’s work over people
1,First Investors Financial Services,Decent,2022-03-25,3.0,Title Manager,Culture and Environment are good.,Company is slow to change. Does not follow market trends
2,First Investors Financial Services,Not the family feel that it once had!,2022-02-21,1.0,Accounts Manager,The office building is really nice and aside from the traffic is a fun area to work near.,The bonuses are no longer attainable and on several occasions upper management took away the office bonus without any advance notice. 1 time it was gone for several months and nobody would tell us why it was removed and if it was ever coming back. Bonuses were set so high that it's common for less than 10% of the office to reach them.
3,First Investors Financial Services,"It was good, until it wasn’t.",2022-02-03,3.0,Collections Specialist,"Plenty over time, if you want it.",They find petty reasons to chip away at bonuses earned.
4,First Investors Financial Services,DONT do it,2021-11-11,1.0,Quality Assurance,"Benefits are great, they start right when you start.","Management here is the worst. They’ll let anyone be in management, and run off the team."
5,First Investors Financial Services,Need to offer more money to employees,2021-10-25,3.0,Customer Service Representative,I had flexibility with work schedule,Lower end of salary compared to other companies
6,First Investors Financial Services,Credit Dispute Specialist,2021-09-16,1.0,Credit Analyst,"Downtown, great schedule but that is all",The do not pay what your worth . Also this establish lament in houston is racist and judge-mental .
7,First Investors Financial Services,Great company and room for growth!,2021-09-13,5.0,Account Manager,"They focus on doing right and treating people fairly. Great pay, incentives and benefits. Impressive leadership too! I highly recommend this company if you are looking for a long term work family.",None the company was great!
8,First Investors Financial Services,Good Company..BUT RUN 🏃‍♂️from Collections Department!!,2021-08-23,3.0,Collector II,GREAT CEO. Nice Coworker.Nice Paid time off.,"Sr. Management of collections department. They are completely inept and always doing underhanded things. Currently they keep trying to minimize your bonus payout and put all kinds of stipulations in the way to keep you from getting it. Yet they ALWAYS want you to sacrifice and give more time when department numbers are behind, only to help THEM look good.  People are currently leaving in DROVES which is why they are currently hiring and offering $1500 sign on bonuses..it's just THAT bad. But DON'T FALL FOR THE OKIE-DOKE.. the $1500 isn't worth it!! Until the Collections Sr. Management changes or changes their ways, I would look elsewhere!!"
9,First Investors Financial Services,Be ready,2021-07-14,2.0,Anonymous Employee,I was with this company for well over 5 years. They were amazing when it came to helping you out when we had hurricane Harvey. Also when COVID hit the owner was concerned with the well being of all employees.,This place can be the best place to work but also the worst depending on management. Once management changed in our department we lost 3 employees in a lapse of 3-4 months. Nobody was happy.
10,First Investors Financial Services,Great company,2021-06-25,5.0,Loan Processor,"People you work with, benefits, truly caring of employees","Pay could be better, some people are lazy"
11,First Investors Financial Services,First Investors Financial Services=Run From,2021-05-22,1.0,Collections Specialist,Free covered parking throughout my time there,"Micro-managing and spy on you with cameras, look at the company reviews on google will tell u all need to know, Trash company, run from this company"
12,First Investors Financial Services,Don't work here,2021-03-30,1.0,Collector,"vacation, flex, and free lunch","Management does not care, Sr management is a joke"
13,First Investors Financial Services,Collector,2021-01-21,5.0,Collector,the bonus was the best part,Late hours every week depending on team
14,First Investors Financial Services,FIFS,2021-01-08,3.0,Customer Service Representative,Bonuses and paid time off,Tedious phone calls and monthly quota
15,First Investors Financial Services,Good Job,2021-01-01,4.0,Credit Disputes Representative,Great Pay and vacation time,Horrible management and messy coworkers
16,First Investors Financial Services,Work life at First Investors,2020-09-30,4.0,Loan Servicing Team Manager,Flexible schedule and the pay was good. The Mid leve management staff was great to work with.,Really a good place to work. I would say that trainging needs to be more developed and this would help reduce the high turnover.
17,First Investors Financial Services,Run,2020-08-26,1.0,Auto Loan Processor,"No pros, majority of management was selfish","food was cooked and given to us out of someone's fridge that was about to expire
low pay
long hours
medical benefits were horrible"
18,First Investors Financial Services,Growth opportunities,2020-08-14,4.0,Anonymous Employee,Great office environment. The team is very welcoming to new hires. Everyone is wiling to help.,A little far from my home.
19,First Investors Financial Services,Bad Company,2020-06-19,1.0,Anonymous Employee,"benefits, just making stuff up here","everything, stay away and do not ever work here"
20,First Investors Financial Services,The worst job ever,2020-04-13,3.0,Collector,"Bonuses, luncheons, and great prizes should you win contest","Micromanage, unprofessional and the collections dept is looked down upon the whole company. Also, If you were to put a two week notice in you get walked out the same day... It's best to keep your notice to yourself and give them notice on the last day..."
21,First Investors Financial Services,n/a,2020-01-29,3.0,Anonymous Employee,They work as a team and are hard working,The program is short and allowed only two strikes
22,First Investors Financial Services,Great Company,2019-11-13,5.0,Dealer Relationship Manager,Great people and company.  Would highly recommend.,None that I can think of.
23,First Investors Financial Services,Collections Team Manager,2019-09-02,1.0,Collections Team Manager,Not applicable. Keep looking for another job.,"Horrible hours (worked 2 weeks straight without an off day several times), management is very dishonest, and salary is low."
24,First Investors Financial Services,Ok,2019-08-26,3.0,Loan Processor,The company has a family  like environment,most positions are overworked and underpaid
25,First Investors Financial Services,What now?,2019-08-07,2.0,Collections,A paycheck every two weeks.,Bonus program is designed to punish not reward. Operations care about how they look to the CEO instead of taking blame for current situation.
26,First Investors Financial Services,"Not a bad place to receive licenses, but not great for long term",2019-06-01,2.0,Financial Representative,Paid study time and pay for your financial licensing.,0 leads.  Seemed to me your average employee works there for about 6 months during which they are convinced to take out life insurance policies on themselves and their family member's before ultimately quitting once no more sales are made.
27,First Investors Financial Services,Never,2019-05-03,1.0,Anonymous Employee,Incentives are great for the high performers,No clear communication from management
28,First Investors Financial Services,Don’t do it,2019-04-30,1.0,Funder,Cold cut sandwiches if you feel like that’s a pro,"Pay, hours, they make you skip lunch, which it’s illegal, upper management doesn’t care about any of the employees."
29,First Investors Financial Services,Worst job ever,2019-02-14,1.0,Bankruptcy Specialist,Coworkers were great to work with.,Management sucks. Human resource is anti employee
30,First Investors Financial Services,Client Services Administrator II,2018-08-10,3.0,Anonymous Employee,"Job security
Fixed salary
Good balance of work and life
Great benefits","No room to grow
Do not push head office employees to get any education
Not many positions locally to get ahead"
31,First Investors Financial Services,WFM Analyst role in the collections department and FIFS have been great to me.,2018-06-18,5.0,Workforce Analyst,"A great place to work, the people and environment there are much like a big family. No complaints about pay and while I was salaried the collectors there had plenty of OT and bonus incentives.  The people there are amazing and friendly folks.  The leadership in Atlanta and Houston... Blaise, Lamar the directors etc...were absolutely some of the greatest guys I’ve had a chance to work for.  Also I was impressed when the CEO and CFO came out to the floor, well done.",I think there are areas of communication which could be better.  Also look to get more help with the network and system related issues.
