,company,headline,date,overall_rating,author_position,pros,cons
0,Global Credit Services,Salesperson,2022-01-13,1.0,Account Manager/Sales Representative,Well known companies as clients,"Products and services obsolete
Non-functional service"
1,Global Credit Services,Great Work Environment,2019-04-01,5.0,Senior Systems Administrator,"Friendly people. 
Family Environment
Flexible management.
Working from home 1 day a week possible.
Company lunch once a month.
Company trips like bowling, archery or rifle shooting.",Stores on Park Ave are expansive.
2,Global Credit Services,Great for Interns,2018-08-29,4.0,Anonymous Employee,"Great for students
Friendly Environment
Very Flexible hours",Small company - Could be a Pro if its what you want
3,Global Credit Services,Great for learning,2018-08-03,4.0,Anonymous Intern,"This is a small company where you will get to know everyone working there. The internship was very flexible, with them working the hours around my school schedule. In addition, the supervisor is very willing to teach and pass on knowledge. There is a lot of opportunity to work and learn about financial analysis and statistics.",The company is pretty small and there is not much room to grow.
4,Global Credit Services,stay away,2017-04-30,1.0,,Can't think of any at the moment,"poor management, lots of turnover"
5,Global Credit Services,Anonymous,2016-05-27,3.0,Anonymous Employee,"Collegial work environment with generally collaborative, smart employees. Flat organization and no bureaucracy. Opportunities for good employees throughout the organization to take on significant responsibilities. Very knowledgeable analysts. Good work-life balance.","Typical small firm struggles. Tough to limit turnover among top performers, given compensation constraints. Difficult to establish and maintain talent depth. Competitive landscape that is overly saturated. Long sales cycles common, and new business can be tough to come by."
6,Global Credit Services,So so company headed in so so direction,2016-02-24,1.0,,things can always be worse,really a lot of problems
7,Global Credit Services,Simply horrendous!,2014-07-20,1.0,,"There's a Subway and Chipotle not to far from the office.  If you don't like teamwork and don't mind getting betrayed by upper management, it's a great place to work.","Unclear business strategy and goals, awful office morale, inept management, lack of transparency, low compensation, not sure how performance ties to compensation, CFO is HR and doesn't know how to do either function, lack of diversity, toxic work environment"
8,Global Credit Services,Absolutely as bad as it gets,2014-05-20,1.0,,Youre employed and not collecting welfare,Senior management worst i have seen. As a grad of an Ivy League school this place would make a great case study.
9,Global Credit Services,Great business model ruined by clueless management,2013-06-28,1.0,Senior Industry Analyst,A solid unique business model that has excellent potential with little competition.  The business model could be sold to multiple business functions and expanded across many industries.,Management that sits in offices all day and never communicates with either customers or employees.  New hires are given the start up story and later realize its all a lie.
