,company,headline,date,overall_rating,author_position,pros,cons
0,Intercontinental Capital Group,complete disaster of a company,2022-04-04,1.0,Loan Officer,"remote
base pay decent
3 weeks of PTO was actually the best thing about the company.","-management was useless
-no accountability
-benefits were a joke
-no chance for promotion unless you were friends with the big shots at old companies. If you were friends they would hire you with a manager or vp title with no experience.
-closing loans took months. for 2021 it was an average of 98 days to close a loan.
- so many meetings that were just the managers circle jerking each other saying how great they are but nothing got done.
-claims there were no overlays but constantly made them up and lied and said they were agency guidelines b/c they had no idea what was going on."
1,Intercontinental Capital Group,Look elsewhere,2022-04-04,1.0,Anonymous Employee,No pros for this company. Would never recommend them.,Little pay for a large amount of work- layoffs every 2-3 months.
2,Intercontinental Capital Group,Okay,2022-03-31,5.0,Mortgage Loan Officer,People and atmosphere was good,Everything else that came with it
3,Intercontinental Capital Group,ICG Review,2022-03-31,2.0,Sales Manager,"Culture is strong- focus on personal and professional well being. 
Compensation is lucrative if you grind and effective.
Middle management is supportive to ideas and creative thinking.","Operations is a disaster.
Communication from corporate to branch is muddy and at times misleading. 
Benefits are lack luster (no 401k match, high deductible plans, etc).
Upper leadership can come across as ""self serving"""
4,Intercontinental Capital Group,Admin,2022-03-30,5.0,Administrative Assistant,"Great PTO Accrual, Remote Position and great salary",They require to get vaccinated no matter what.
5,Intercontinental Capital Group,Loan processor,2022-03-23,1.0,Loan Processor,"Good coworkers, very friendly and easy to help out",Not enough work will lay off at the drop of a dime
6,Intercontinental Capital Group,Good Leaders,2022-03-09,4.0,Loan Officer,Great Leaders to be woring with,Not any cons i can think of
7,Intercontinental Capital Group,Work Life Balance,2022-03-07,5.0,Mortgage Banker (MLO),"This career is a grind at first but once you achieve your client base, you can control your own hours.",Very challenging for newcomers to the business.
8,Intercontinental Capital Group,Worst Comunication,2022-03-02,1.0,Anonymous Employee,Good company to set foot in the Mortgage industry,"No structure 
Bad Communication
No sense of work security"
9,Intercontinental Capital Group,"No training, expect to be laid off at any time",2022-02-23,1.0,Loan Processor,"Fully remote. Apparently the per loan bonuses are better than other places but this is the only lender I've worked for.

The individuals I've worked with have been wonderful. Even my direct leads and managers have been great people.","- No raises, no reviews -- I've been at the company for a year and a half and I have not had one performance review or even talk of a raise. We've been told for months that ""it's in the works"" but no progress has been made. Not even a cost of living increase. If you were promoted at some point and then demoted, you make more than people at your same level. 
- Loan volume is low and it's difficult to close loans -- the per loan bonus MIGHT be better than other companies but with the terrible quality of loans, the weird underwriting guidelines, and just lack of solid processes you won't make anywhere NEAR what they say is possible. I am making about about half the monthly bonus that was indicated.
- Could be laid off at any time : over the past 3 months they laid off probably 70% of the company. The best one was that they did a round of hiring then 1 month later did a huge cut. Then another month later they laid off those people they had just hired. Senior management is unable to provide any assurances about job security. 
- No training -- I was brought on during a hiring boom. The training was 3 days with a trainer who had no example material, and had been with the company only a week. The company brought in a group from another lender and they were fantastic, trying to institute reasonable changes, get the loan officers to actually follow procedures. Then they were let go and all of our loans suck again. So the processors don't have good training, the loan officers don't know what they're doing, and each underwriter has their own ideas about what's needed. It creates an extremely uncomfortable work environment where everyone thinks everyone else sucks at their jobs. 
- Leadership across the board is bad or overwhelmed -- the company is run like it's a high-school group project. No discernable direction, always starting or stopping projects or trainings. They want to start focusing on purchase loans but nobody in the company (sales, underwriting, processors, closers) has any idea what they're doing with them. Results in every purchase coming down to the last minute. It's nice not to be micromanaged but it's not so great when you can't get any help on questions that are vital to a customer's loan. 
- In summary: it's nice to be remote but there is ZERO career growth, no feedback, no training, and the benefits suck too. It is an amateur operation across the board and I would absolutely not recommend working here or being a customer. 

It's a joke of a company and the CEO is an absolute clown."
10,Intercontinental Capital Group,Bad management,2022-02-22,2.0,Mortgage Processor,Willing to train people with no experience.,Lack of standardization and communication between departments.
11,Intercontinental Capital Group,Great people,2022-02-21,5.0,Loan Processor II,"Great, genuine people to work with.",Massive reduction in workforce due to rate hikes.
12,Intercontinental Capital Group,"Easy pace, low stress environment",2022-02-21,4.0,Mortgage Loan Processor,"Work steady hours, not bombarded with too much work","Salary is kind of low, need more volume"
13,Intercontinental Capital Group,Better communication,2022-02-17,3.0,Mortgage Loan Closer,I was not micro-managed and was able to move up in the company quickly.,Communication was horrible. There was a massive layoff and we were let go the day we were notified.
14,Intercontinental Capital Group,Good place to get your foot in the door…,2022-02-16,3.0,Support Specialist,"Learn some basics, work life balance,","No advancement 
Management not transparent 
Tools to succeed"
15,Intercontinental Capital Group,Made a ton of money as a top producer but was laid off as part of a mass exodus.,2022-02-15,2.0,Anonymous Employee,Compensation package and remote work,Poor communication between departments. CEO was never involved in anything. Mass layoffs because the company is not able to adapt to market changes.
16,Intercontinental Capital Group,Do not work here,2022-02-12,1.0,Licensing Coordinator,"The licensing team. I worked with the best, most hard working, passionate people. I also learned a lot from my team members and can use my knowledge elsewhere.","This company will bleed you dry without a care. Was brought into a call with my entire team, apart from two, to be told we were all being let go. Effective immediately. They do not pay out PTO. No severance, for our department at least. If you’re “important”though, don’t worry you’ll get one. To put everything you have into your work and be treated like you didn’t even matter is a real downer. No one is safe, everyone is on the chopping block. There is 0 job security. Imagine having to take care of a family and being told out of nowhere that you don’t have a job anymore? Terrible people in high up positions that have 0 idea wtf is going on within other departments. The one star is there because it can’t be 0."
17,Intercontinental Capital Group,Good learning experience,2022-02-09,5.0,Loan Processor,"Training, great management, support tools",Difficult underwriting and lack of communication between departments
18,Intercontinental Capital Group,No Job Security,2022-02-03,1.0,Manager,Remote opportunity and that's about it,EVERYTHING ELSE IS A CON
19,Intercontinental Capital Group,Do not work here,2022-02-02,1.0,Anonymous Employee,Not really any pros other than they’re so unstructured you have a lot of down time.,They will fire you with no notice. They do not give a severance package. Management is structured whatsoever so you’re never really sure about what’s going on. Pretty sure the entire company is going to close because they have fired everyone except for three locations. Do yourself a favor and stay away!
