,company,headline,date,overall_rating,author_position,pros,cons
0,Landmark Dividend,Undefined workload,2022-02-04,3.0,Asset Manager,Growing company internally via personnel and best practices,Glass ceiling exists as annual cost-of-living raises are quite rare no matter how hard you work/perform unless you are in sales.
1,Landmark Dividend,"Fine place to work, bad company culture",2021-11-09,2.0,Anonymous Employee,Exciting industry and growing market,They do not value the employees like they should or treat people fairly. Think boiler room
2,Landmark Dividend,A Shady CEO and a spineless CFO,2021-10-25,1.0,Anonymous Employee,Tough to think of any. Direct coworkers were good people.,Management kept everyone in the dark. They only rewarded their senior VPs and “yes” men. Don’t expect to be acknowledged for doing the leg work. Gave out worthless LTIPs to try to retain people. At the end of they day they were worth zero so BEWARE.
3,Landmark Dividend,STAY AWAY!!!!!!!!!!,2021-10-08,1.0,Regional Vice President,"NONE, NONE, NONE, NONE, NONE!","Everything they say is a lie. The executive's are not leaders, and they will steal a dollar from their own mother. This company should be gutted, since they were just taken over recently."
4,Landmark Dividend,Women stay away.,2021-07-28,1.0,Administrative Assistant,"Flexible hours and remote work is available if you are one of the favorites, but especially if you are a guy","I want to warn all women that if you ever come to work for this place, you will be overworked and under paid in comparison to your male counterparts the CEO, Tim breezy, as an absolute cheapskate when it comes to women. You will be making half of your market value here, as a salary."
5,Landmark Dividend,Buying Ground Leases,2021-07-15,2.0,Acquisitions,great benefits. many good young people to work with,commission is based on getting the best price for Landmark and not the landlord. Tough to close transactions since much is not up to you yet you are still held accountable. Competitors pay more $ than Landmark so it's very tough to get deals done.
6,Landmark Dividend,Good overall,2021-07-09,4.0,Anonymous Employee,Nice people and good location and space.,Lots of busy work in my position.
7,Landmark Dividend,Interesting,2021-06-22,3.0,Anonymous Employee,"Cool company with some great employees. Great work-life balance and if you are making deals happen, management will stay off your back. Higher ups are patient and will look out for you if you put in the work","Unrealistic expectations that you should bring in a deal every other month. Over saturated market and old heads keep cards close to there chest. Don't like divulging to much information on how they have been successful. ""Old boys club"" feel. Not many POC or any women in higher up sales roles. Culture can be toxic"
8,Landmark Dividend,Good Team,2021-03-22,4.0,Vice President of Acquisitions,There is a mixed culture where you work on a team but also feel independent.,Saturated Market for sale of Cellular Assets.
9,Landmark Dividend,OK but.....,2021-03-18,3.0,V P,Free to run your job without overly managed,Never know when they will cut you loose for no reason. No annual review.
