,company,headline,date,overall_rating,author_position,pros,cons
0,Leverate,Awful,2022-03-23,1.0,Customer Success Manager,There are no pros to this place,Worst place I've ever worked at
1,Leverate,Used to be a great place to work at,2022-01-24,2.0,Customer Success Manager,"Good company events, good atmosphere
Lower management is friendly and easy to work with","Upper management is unstable- many many waves of firing people and then re-hiring over and over. No appreciation for people's lives.
Non-competitive compensation- much lower than the market average.
Client base is ""unpleasant""- basically thieves and scammers looking to make a quick $ using Leverate's technology. Many of my former clients were in prison.
Very rigid when it comes to remote working. One day a week."
2,Leverate,Leverate,2021-11-22,3.0,Sales Representative,"Fun and Great People
Open to new ideas from employees",Not advanced in tech and strict
3,Leverate,good company- bad management,2021-10-26,3.0,Sales Manager,good reputation - strong brand - good people,bad management decisions - don't read the market right
4,Leverate,Layers and losers!,2021-10-24,1.0,Operations,They make you feel good and then they stab you in the back and kick you away.,"Very low pay, very disconnected CEO,.
They believe we are stupid and will by any bs they say.. no more!"
5,Leverate,4 my best years working anywhere,2021-10-17,4.0,Marketing Designer,"The company employs many good people.

Great culture.

 Management is always open to listen to new ideas.

Friendly atmosphere.","Monthly pay could be better.

Little bit chaotic, ""israeli like"" type of management"
6,Leverate,Amazing place amazing people,2021-07-06,5.0,Marketing,I place to grow in,"Game of thorns, mainly because of the crazy dynamics"
7,Leverate,Amazing place to work at,2021-07-06,5.0,Vice President Sales,"Professional company, fantastic people and atmosphere",Still waiting for Playstation 5
8,Leverate,e,2021-06-30,3.0,Anonymous Employee,"good people, good vibes, close to home",not very good terms and salary
9,Leverate,Compliance,2021-06-17,4.0,Anonymous Employee,Friendly environment and smart people,Cannot really find any cons
10,Leverate,Choose another oke,2021-04-22,2.0,Administrator,Experience networking exposure paid on time,Bad management disrespectfull no values
11,Leverate,Great,2021-03-09,3.0,Digital Campaign Manager,Great Work life balance. Nice team,Not enough processes set to grow and learn more
12,Leverate,Horrible backstabbing culture,2021-03-02,1.0,Business Development Manager,Good place to start if you are new to the industry and market.,Horrible backstabbing culture where FEAR is pervasive. The vast opportunity to improve and learn is hindered by the system implemented. You don't get what you are promised from when you signed up and join them. Employees are becoming more aware of how bad the situation is at Levirate and are leaving at an astonishing high rate.
13,Leverate,Amazing company,2021-02-16,5.0,Head of Success Department,"Very friendly environment, great staff,great working condition",No gym in the building
14,Leverate,Part of my DNA,2021-02-16,5.0,Head of Knowledge and Empowerment,"People, personal growth, opportunities, strategy",Takes time to break the walls (but always find a window to break throughl
