,company,headline,date,overall_rating,author_position,pros,cons
0,MarkitSERV,Very Nice,2021-03-18,5.0,Associate,"Very Nice , Helpful , encouraging , growing technology","No Free food , working holidays , less compensation ,otherwise is good"
1,MarkitSERV,Great culture but stuck in its ways,2018-03-15,3.0,Operations,"WLB & culture great, people incredible, good market reach and variety of job roles","Senior management stale and lacking enthusiasm, good for early career progress (1-4 years) but ceiling exists where legacy staff have become comfortable. Under average  salary but better than average bonus"
2,MarkitSERV,Wost Company to work with,2016-08-01,1.0,Associate,Nothing is good in this company.... its a myth that its a good pay master.. most cheapest people m management in Gurgaon Markit serv,"If we have any worst word than worst then it is Markit serv. Clear slavery of an employee.you are boot licking then its a place for u .if you want to work n succeed with the help of your technical skill then there are numerous othera doors ooen for u ..but not Markit please.
If there is any negative rating, i am eager to give"
3,MarkitSERV,Nothing is alright except salary,2016-07-31,1.0,Assistant Vice President,"If your diplomatic and political skills are great then you are gem for this company, if you are not looking to groom yourself technically then this is the best place for you. You will get to work with best donkeys in the industry where you can spoil yourself. You will be surrounded with number of dumb and politically bright people. Your boot licking skills will well recognized here irrespective of your knowledge.","Your technical skills will get rusted over a period of time. worst company to work for, worst management and HR. The US and UK establishments are still better, They call it R&D center but its actually the cost cutting center managed and run by bunch of AH's. The India operations, HR and administration has completely ruined this company's image. There is hell lot of corruption and cost cutting for each and every possible thing for Indian employees, even for tissues and toilet rolls. Don't fall in the trap that they are pay masters, if you have skills then there are numerous better companies who are ready to give you much better pay scales. Don't join this company and regret for the worst mistake of your lifetime later."
4,MarkitSERV,Worst Management,2016-07-08,1.0,Assistant Vice President,"Good Salary Offer
Good work life balance","No Process
Worst HR policies
You need to be a yes man to survive"
5,MarkitSERV,Not good now to work with,2016-07-07,3.0,Assistant Vice President,"Good comp, good domain, good projects","Too much micro management, no work life balance, minimum onsite opportunities, bad HR"
6,MarkitSERV,Assistant Vice President,2016-07-07,1.0,Anonymous Employee,"1) Great environment
2) Lot of  opportunity to learn","1) Politics at all level, 
2) So called  leads does not have ample experience to handle a team 
3) Lot Micro management
4) Leads want their ex colleague to join their team at any cost, Specifically i was in a team were VP made all sort of  :tricks"" to make sure he had his buddy as his junior ,  and Management awarded him as  Best employee of the year 
5) HR is so pathetic, they dont know whom they are calling for interview. People get calls only if they come through ""specific"" Consultancy."
7,MarkitSERV,Average,2016-07-06,2.0,,"-Chilled out environment
-Flat heirarchy
-No dress code","-Too much politics
-Less facilities
-Less recognition"
8,MarkitSERV,Relaxed and Homely,2016-07-04,3.0,Vice President,Chilled ambiance and the perfect environment for bonding and creating lasting environments.,Somewhat political as you rise to the top.
9,MarkitSERV,Gone with the wind,2016-05-18,2.0,Assistant Vice President,- still a few smart people in the company,"- clique culture
- solf interest"
10,MarkitSERV,Associate,2016-04-10,3.0,Analyst,"Friendly people
Great hours
Opportunity to learn wide variety of functions
401k matching (5%)
Gym Subsidy","Poor management - Most managers (with certain exceptions) are either inexperienced at managing, do almost nothing on a D2D basis, and have no technical knowledge of the platforms.

Poor culture - No accountability for issue ownership.  Certain teams and employees will barely have a workload yet pass around an issue under their scope like hot potatoes.  This is widespread across processing and part of the company culture.

Politics - Certain employees that have solid technical knowledge, people, and leadership skills who have been around for years will not get promotions or recognition.  In contrast, certain employees who have almost no ability to manage or technical skills will be promoted to Director+ because they're focused on playing ""the game""

Lack of accountability and client focus"
11,MarkitSERV,Messed up Management + Full of Politics,2016-03-21,1.0,Assistant Vice President,Well i saw none. There were no pros i felt there.,"1. Managers are not qualified. Some managers are NIIT diploma holders with little or no team experience and no domain knowledge.
2. HR is just for the sake of it with no power. They do what the managers say.
3. Decisions are UK driven. An associate in London can pass bad reviews about a Director in India and the Director can be fired.
5. No retention policy. Project finish, you are in line of fire.
6. Too much micro management. Rules are meant for the subordinates and not the managers who make them or try to get them implemented.
7. Promises made during hiring never see the light of the day.
8. Too much internal politics.
9. Stupid leaves policy.
10. Employees are never given what they deserve. Non deserving candidates are promoted based on criteria upper management knows.
11. People at MD level do not know how to budget a simple/complex project and later they find out scapegoats to save themselves.
12. There is nothing that defines a healthy work culture. There is no culture at all."
12,MarkitSERV,Associate,2016-03-17,4.0,Associate,"Work Life balance, no restriction of dress code, no overtime concept","Middle manager is worthless, shady, judgemental Specially in MLO"
13,MarkitSERV,"Innovative, not great pay",2016-03-10,3.0,Anonymous Employee,Innovative place. Provides a number of outlets to contribute to the bottomline. New products and ideas are welcomed. Good comraderie.,"Pay isn't great, so while innovative there's no certainty that windfall flows to you. Sometimes office politics can get in the way of good outcomes. Can be difficult to move to different areas where employee has an ability to shine."
14,MarkitSERV,MarkitSERV,2016-03-05,2.0,Senior Developer,Fairly relaxed place with decent office environment. Company was growing very fast at the time and making many acquisitions.,Pay was lower than industry average as was the bonus. Large amount of acquisitions led to very fragmented culture with almost no communication with different groups. Technology infrastructure was very poor.
15,MarkitSERV,Ok place,2015-12-17,3.0,,Startup type work environment to work in,16 hours work days not so great pay
16,MarkitSERV,Bad company policies. Don't join now as company is at worst phase.,2015-12-14,2.0,Applications Support Analyst,Pros are now cons of company. Don't join now as company is at worst phase.,"Why you acquire companies when you can't afford it ?
Public company add benefits to employees but employees here are affected badly in increments."
17,MarkitSERV,AVP Engineer,2015-11-07,4.0,Assistant Vice President,10% y-o-y aggressive growth means opportunities,lack of structured (interpersonal/skill) training opportunities
18,MarkitSERV,What a mess,2015-08-25,1.0,,"Flexible working,  nice central
Offices,  used to be able to learn a lot but not sure that is true now.  Attempts have been made to make life more bearable through the social committee but benefits are minimal.","The management is terrible, politics are out of control,  sexist atmosphere.   They are employing cheap inexperienced staff rather than investing in good people with the result of poor quality and not getting things done.   Redundancies are rife as are resignations.   Not a happy place at the moment."
19,MarkitSERV,"ok benefits and relaxed working, but low pay",2015-07-30,2.0,C++ Programmer,"Working hours of 35 are amongst the lowest in the city.  Benefits are ok, people are nice to work with.","Not much chance to actually write in C++ and relatively low pay here.  Many programmers come here for a year or 2, once they have learned their trade, they move on to investment banks which pay market rates."
