,company,headline,date,overall_rating,author_position,pros,cons
0,Municipal Credit Union,The money may not be worth it,2022-03-31,1.0,Director,"Competive pay for senior leadership roles 
Decent benefits package","Nepotism
Constant verbal attacks for Executive Leadership Team to subordinates-Mainly CHRO
A work culture where everyone is so worried about being fired, they will throw each other “under the bus” to save themselves"
1,Municipal Credit Union,Making a come back,2022-03-15,3.0,Fraud Investigator,Coworkers are helpful and team oriented,The turnaround rate is high at times
2,Municipal Credit Union,Not bad,2022-03-15,3.0,Member Service Representative,Career advancement and good hours,"6 month probation where you can not call out.
micromanagement on time clock with no flexibility."
3,Municipal Credit Union,Great benefit but going through scrutiny,2022-03-14,3.0,Senior Auditor,"Coming from the consulting world, the Health benefits was amazing and it is a 9-5. Co-pay was $20-$40 and company had discountsfor employees.",NCUA took over the company due to bad mangement and they let go everyone within there 6 months probabtion in August of 2019. I was one of those people. Theres also no room for growth. You can only move up if someone above you leave or apply for another role with another deparment
4,Municipal Credit Union,Overworked and under paid,2022-03-13,3.0,Teller,7.5 workday with 35-hour workweek.,"Too much to list; micro-manage, management has favorites and they overwork you, and the pay and benefits do not compensate. Becareful the union seems to just be on paper. It feels like working at run of mill retail store."
5,Municipal Credit Union,Only a stepping stone,2022-02-27,1.0,Loan Processing and Verification Clerk,Coworkers came together like family,"Coworkers also fought like family.
Job descriptions changed weekly and your job was threatened daily.
Rare and tiny pay raises.
Pay was never fair because it depended on who you knew and how you got in the company. Lots of nepotism and extreme wage gaps backed by the union.
Lots of drama that ended up in the news and mass layoffs as a result."
6,Municipal Credit Union,No way,2022-02-13,1.0,Call Center Representative,"There are no best reasons. Sorry, there is.. Their medical plan is good",Everything but the medic plan
7,Municipal Credit Union,Stress,2022-02-05,3.0,Member Service Representative,Great leadership on the branch end.,Cliental can be too much.
8,Municipal Credit Union,Save yourself and work elsewhere,2022-01-28,1.0,,The ability to connect with a close community (Municipal workers) and help them with their financial needs,"deaf bean counter management

no employee appreciation

antiquated work expectations

toxic work culture filled with nepotism  and incompetence"
9,Municipal Credit Union,Horrible management Horrible members,2022-01-14,2.0,Member Service Representative,"Hour lunch breaks 
Every other Saturday off","Abuse from the members
Poor management across all departments 
Heavy work load
Low compensation"
