,company,headline,date,overall_rating,author_position,pros,cons
0,NEW YORK INTERNATIONAL CAPITAL,Not suggested,2021-05-17,1.0,Investment Banking Analyst,"some pitch book materials you can learnt, cross-regional groups",not what you expected as an investment bank
1,NEW YORK INTERNATIONAL CAPITAL,Good Experience,2021-05-13,5.0,Asset Manager,Opportunity to learn more about the industry,Very low amount of transactions
2,NEW YORK INTERNATIONAL CAPITAL,Scam!,2021-02-16,1.0,Investment Banking Analyst,Not sure if there were any,"This was the shadiest company I’ve ever worked for. 
Future employers will not look at your experience positively
You don’t do any real useful work except send emails"
3,NEW YORK INTERNATIONAL CAPITAL,good experience,2020-11-29,3.0,Analyst,"Good investment experience, many meetings","Remote work, boring daily work"
4,NEW YORK INTERNATIONAL CAPITAL,its a scam,2020-10-16,1.0,Intern,There are no pros because they are fishy,Its a scam and even all the ppl attached to it sound very sketchy and fishy.
5,NEW YORK INTERNATIONAL CAPITAL,be cautious,2020-08-24,2.0,Intern,tasks are easy (mostly just sending emails...),"flat learning curve, totally unpaid"
6,NEW YORK INTERNATIONAL CAPITAL,Good place,2020-07-28,4.0,Analyst,"Small team, easy access to management","Small deal size, completely online"
7,NEW YORK INTERNATIONAL CAPITAL,Investment Banking Analyst,2020-05-25,3.0,Investment Banking Analyst,flexible work schedule. friendly work environment. work life balance,remote. repetitive work .extensive database search
8,NEW YORK INTERNATIONAL CAPITAL,Avoid,2020-05-08,1.0,Investment Banking Summer Analyst,able to sit in during meetings,was a complete waste of time
9,NEW YORK INTERNATIONAL CAPITAL,sketchy place,2020-05-02,1.0,Intern,I have no pros to share.,horrible company culture with an egoistic leadership.
10,NEW YORK INTERNATIONAL CAPITAL,Not recommended,2020-03-17,2.0,Investment Banking Analyst,can give you the real glance for how professional deal with cases,"only ask interns to do email jobs, no pay. supervisor pushes
cannot learn anything except email many people with same time"
11,NEW YORK INTERNATIONAL CAPITAL,ONLINE INVESTMENT BANK,2020-03-09,1.0,Investment Banking Analyst Intern,Learned how deal origination works and how to find investors.,"Very Unclear on what you are doing, and what is actually happening as you are working off the google cloud apps."
12,NEW YORK INTERNATIONAL CAPITAL,Not recommend,2020-02-25,2.0,Investment Banking Analyst,"Flexible time, you can keep a good balance between work and life","Always boring work, nothing learned"
13,NEW YORK INTERNATIONAL CAPITAL,Sketchy,2020-02-21,1.0,IB Analyst,experience but not really lol,"sketchy, no one would allow me to call them or have their phone number, very unorganized"
14,NEW YORK INTERNATIONAL CAPITAL,Remote Internship,2020-02-03,3.0,Investment Banking Analyst,Know how the front desk in the Investment Banking industry work,Learn little about technical skills
15,NEW YORK INTERNATIONAL CAPITAL,"Unpaid internship, basically doing deal sourcing",2020-01-22,1.0,Investment Banking Analyst,Have access to some real-world cases.,"Pretty much deal sourcing work, no related to technical finance."
16,NEW YORK INTERNATIONAL CAPITAL,Good Opportunity to Learn About the Financial Industry,2019-12-19,4.0,Investment Banking Analyst,Learnt a lot about this industry and got good practices by attending meetings and communicating with lead bankers,Relatively low compensation and salary
17,NEW YORK INTERNATIONAL CAPITAL,An honest review,2019-12-15,3.0,Intern,The company allows each intern to work right from deal generation to deal execution rather than just generating and passing on the leads to the seniors.,The management does not encourage any formal or informal interaction between the co-workers.
18,NEW YORK INTERNATIONAL CAPITAL,Marketing Specialist,2019-12-09,5.0,Marketing Specialist,Technology based investment bank understanding.,I do not have any right now. They provide whatever we need in the company. Good standarts and better enviroment.
19,NEW YORK INTERNATIONAL CAPITAL,"I Interned their for 3 months, and it most definitely is NOT A SCAM!!!!",2019-10-30,5.0,Investment Banking Analyst,"Honestly a great learning opportunity. You will learn a lot about Investment Banking, M&A, and develop communication skills.  You get experience with financial valuation and modeling.  Job is mostly remote (had the opportunity to meet the CEO in New York a few times) which is nice. You can even get college credit, as well as OPT and CPT for international students.  The pay was commission base, with a bonus.",Work can get a little repetitive.
