,company,headline,date,overall_rating,author_position,pros,cons
0,National Debit Card Network,Not Good,2016-12-19,1.0,Sales Representative,None that I can think of.,"Was hired by VOLT Payments, then found out I was working for National Debit Card Network...bait and switch. Very little training and provided appointments never happened. Spent money on business cards and 6 hours in training with nothing to show for it.  Do your research on these guys and their other business connections. Be smarter than I was and look elsewhere for employment."
1,National Debit Card Network,The whole system is so unprofessional,2016-11-19,1.0,,You get about 10.50 a hour,You will get yelled at and threatened with the lost of your employment if you don't meet quota. The supervisors are so unprofessional . And it's not a happy place to work at all. This place is always hiring because people are always quitting
2,National Debit Card Network,waste of time and money,2016-09-06,1.0,Anonymous Employee,the preset appts was a plus,you burn up gas for $100 deals. lied about pay
3,National Debit Card Network,Regional Sales Executive,2016-09-02,5.0,Anonymous Employee,"Great Income Potential at this company, with the life time residual and upfront paid commissions its easy to grow financially quick. Also hours are great , M-F from 9-5. The 3-5 warm to hot a appoints is a huge perk as well.","Not to many here,  giving free equipment to customers can effect a larger commission sometimes ."
4,National Debit Card Network,"Good salary, generous commissions, reliable residual income",2016-09-02,5.0,,"Good Salary, generous residuals, reliable residual income. Safe and ethical work environment. Good 401K, benefits and discounts. Encouragement for growth and mentoring","without salary, your commissions are up to you. You choose how big your bonus/ commission/ residual income figure is"
5,National Debit Card Network,Terrible experience. Stay away!!,2016-08-06,1.0,Sales,The only Pros here are all the negative comments below. All negative comments or head on. Make sure you read all comments.,All of the positive comments on this company appears  to be internal. Definitely a burn churn company. The company comes across professional at first then disappears.
6,National Debit Card Network,Sales,2016-04-16,1.0,,"Pay on time
Initially work/support you, but then drop off","1. didn't send me a 1099.
2. Churn and burn operation
3. Say anything to get the deal
4. Couldn't handle big, major deals. 
5. Guaranteed appts, 90% of which were fish hooked by the gills - you show up and the merchant has no idea what you're doing there, or they were wackos pulling your chain
6. If you didn't go out and get/sell your own leads, you were cut off from appts.
7. Buy your own bus cards, support material."
7,National Debit Card Network,A good place to work (if you're willing to put in the effort),2016-03-25,5.0,Customer Service,"There is opportunity for growth and advancement which I have seen and taken advantage of.  I have always been well taken care of if I have ever needed time off or adjusting schedule to fit needs.  Good workers are recognized for their contributions.  I have seen many suggestions (some of my own as well as other people) implemented for the betterment of the company.  It is also a very friendly atmosphere, which sometimes even has a family feel to it.","The wages, while competitive, could always be higher.  However, that could be as much a function of the economy as anything else."
8,National Debit Card Network,Overall - A Great Company To Work For!!,2016-03-11,5.0,Floor Manager,"When all the gears from the top down run smoothly together, it makes for an efficient, well oiled machine. That's exactly what we have here. The TM's are well trained, knowledgeable about our services and work well with each other to constantly help when new hires are struggling. The management team goes above and beyond to ensure that each appointment we set is a solid sales opportunity for the field reps. We don't lie to or mislead merchants, and at the end of the day we do exactly what we say we do. The transparency between our office and the New York Corporate office are second to none. On any given day, our TM's can reach our corporate officers immediately if they have an issue that in-house management can't handle; which is rare if not non-existent. The office hours are a breeze too, which still allows plenty of time for families and outside activities. Besides all this, our TM's walk out the door every day with incentive cash in hand! What else can I say? National Debit Card Network is an awesome place to work for and I'm happy I put my application in almost four years ago. It's a great opportunity for anyone who can take the guidance given.","There are no cons, with the exception that former employees who couldn't produce and ultimately were either terminated or resigned can leave bad reviews."
9,National Debit Card Network,A Great Place To Work,2016-02-23,5.0,Anonymous Employee,"I have worked for the operations division for 8 years, and can genuinely say I have enjoyed the experience.

I also love their monthly pot lucks, and community involvement programs.   

I have worked at many companies over the years, and can truly say that National Debit Card Network does more for their employees and customers than most other companies.

The staff is friendly and always helpful, and I feel empowered to make decisions 

As an employee I am constantly learning (even after all of these years), and there is no shortage of mentors to learn from.   

The pay is competitive and the benefits package is robust.","In my experience, I have not identified any negatives to working at National Debit Card Network, so I don't really have anything to report here."
