,company,headline,date,overall_rating,author_position,pros,cons
0,Nationwide Credit,Great pay,2022-03-31,5.0,Brand Engagement Advocate,"Great pay, awesome management, wonderful team, amazing bonuses, great hours and lots of overtime.","None, the team was wonderful, the job was great to."
1,Nationwide Credit,Average job,2022-01-19,3.0,Collections Specialist,"Worked here a few years, was ran great. Then taken over by An Indian company. Pay was average",Management was horrible once taken over by the Indian Company
2,Nationwide Credit,Great place to be,2021-09-20,5.0,Senior Negotiator,The people!!! Benefits are great,The pay increases are terrible and bonus structure changes to the companies benefit
3,Nationwide Credit,Okay if you are really looking for starter job.,2021-08-18,2.0,Customer Service Representative (CSR),Workmates are great and knowledgeable trainers.,Some managers are not sure what they are doing. Less career advancement and pay is low.
4,Nationwide Credit,Working at NCI,2021-08-17,1.0,Collections Specialist,"Weekend off, no late nights, most holidays paid off. Bus stop and train in front of job. Downtown Tempe area.","Favoritism, last raise was over 2 years ago. Employees are treated like numbers. Covid safety is poor."
5,Nationwide Credit,Steer Clear if you want your sanity,2021-07-30,1.0,Collection Specialist,"-You meet some amazing people here (coworkers)
-Hour lunch
-Nice area to work
-Guaranteed salary","-Favoritism is HUGE here
-some of the managers are a complete joke
-The HR lady for Altisource that came in AFTER I started was completely rude and had no place there
-They wanted us to make over 200 outbound calls per day as a quota
-Do not follow certain policies put in place by THE CLIENT themselves"
6,Nationwide Credit,working as QA Automation Engineer,2021-07-30,5.0,QA Automation Engineer,"i am working with the client with good experience 
getting good salary","no cons, i learnt how to behave with client"
7,Nationwide Credit,Uncomfortable with job,2021-07-15,3.0,Debt Collector,Good hours good people to work with,Didn't like what was required for the job
8,Nationwide Credit,Excellent,2021-05-26,5.0,Debt Collector,I love my job very much,There are no cons as such
9,Nationwide Credit,workplace and environment,2021-05-17,2.0,Software Engineer,"nice and helpful team members
flexibility in working hours","no regular hikes, they give whenever they want in how much years they want
no bonus culture"
10,Nationwide Credit,"Inconsistent results, inconsistent commission policy",2021-04-03,3.0,Recovery Specialist,"full time, guaranteed hourly wage and benefits, set schedule","rolling the dice each month with your accounts, the commission policy was up and down over my two years"
11,Nationwide Credit,Bilingual Mixed Moves and Collections Rep,2021-02-17,4.0,Anonymous Employee,"There is additional compensation for bilinguals!!
I developed a good relationship with all the managers, 8/10 are very down to earth and personable. 
There are monthly incentives to make more money which isn’t too bad
During busy times of the year there’s options to do overtime and work holidays, which is great.","BREAKS & LUNCHES are micromanaged!
A 15 minute break twice a shift and a 30 min/1he lunch depending on your shift.. and not a minute over. 
Since it’s a vendor for national grid, inbound callers are not the happiest, so calls aren’t pleasant. As a result, the work environment is kind of “on edge” or crabby. 
Eating on the work floor is strictly enforced
Using cellphones on the floor, even if for an emergency is strictly enforced. 
Attendance is also strictly enforced... being late to your shift for ANY reason will be counted as a strike against you and a foot out of the door(5 min grace period ONLY)."
12,Nationwide Credit,Opportunities,2020-12-09,5.0,Team Leader,There are plenty of opportunities to grow.,The company's organization is lacking.
13,Nationwide Credit,Ok,2020-12-04,3.0,Anonymous Employee,Not much to say really,Fixed working hours is a myth.
14,Nationwide Credit,Okay place,2020-11-19,2.0,Customer Service (CSR),Cool people to work with,Management is crazy demanding for bad pay
15,Nationwide Credit,Very Disappointed,2020-11-02,2.0,Collections Specialist,Great trainer the first 4 weeks,The On Job Training on floor was awful
