,company,headline,date,overall_rating,author_position,pros,cons
0,New England Financial,good  company to work for,2021-09-28,4.0,Account Manager,"Fair salary, good benefits and retirement plan.",There were limited advancement opportunities in a sales office setting.
1,New England Financial,No,2021-06-29,4.0,Disbursements,I enjoyed it was good experience for career,It was interesting with the people and
2,New England Financial,Great Place to work!,2019-04-29,4.0,Intern,"Great environment to work in
Great co-workers","Heavily regulated industry/field
Forced compliance limits creativity"
3,New England Financial,Admin Assistant,2018-11-24,3.0,Anonymous Employee,"Great co workers, great managers.",Low pay.  Little advancement opportunity.
4,New England Financial,District Manager,2018-03-29,4.0,District Manager,Reputation in advanced markets was excellent,Acquired by Metlife changed culture
5,New England Financial,Well intentioned but difficult,2016-06-15,3.0,,Many smart people and well to-do people work here. There are many unnecessary meetings but for the first couple of months they can be insightful.  After the first couple of months they can be a nuisance if you are trying to sell but still a great refresher.,Any sales position is going to be difficult but the mandatory meetings that are very repetitive in content makes it annoying.  They make you travel sometimes on your own dime.
6,New England Financial,Financial Advisor,2016-03-10,2.0,Financial Advisor,"Open product platform, no pressure to sell proprietary products.  No micro management.",Is now fully integrated into MetLife.  Too many negative issues with this company.
7,New England Financial,Admin. Assistant,2015-08-29,3.0,,Good environment and efficient tools and training,"I work as a part time, so there is not a lot of benefit offering."
8,New England Financial,Nice Company to work for,2015-06-22,4.0,,The flexibility was nice & management was good at getting things scheduled,recruiting financial advisors is very difficult because it is a commission only job and people are very hesitant to move companies
9,New England Financial,Good training - fair long-term prospects,2015-04-13,4.0,Anonymous Employee,"NEF spent considerable time and energy ensuring all associates were well-trained, and financially knowledgeable.  The company provides extensive resources and tools for all planners. Young, energetic workforce.  Positive work atmosphere",Several layers of management - good ideas often got mired in bureaucratic quagmire.  Monthly redirection of corporate strategies and initiatives.  High employee turn-over rate made continuity and consistency problematic.
10,New England Financial,Registered Representative Selling Life Insurance and Retirement Investments to clients.,2014-11-15,4.0,Registered Representative,Met Life Insurance Company is a well establish company selling insurance and investment products in New England Financial as a part of MetLife. My Sales Manager and support staff used high standards of conduct to support all Sales Representatives and provided adequate training and satisfied customer accounts.,I encountered higher levels of management who aggressively demanded excessive time commitments and manipulated account assignments that were unacceptable. The offending parties has been discharged.
11,New England Financial,Good for experienced people,2014-07-07,3.0,Financial Representative,"Good people
Attractive office and conference room space
Free parking
Metlife connection helpful
Supported getting and keeping licenses","Needed more structure for those starting out in their career
Low name recognition
Incomplete information on compensation plan
Needed to pay E&O yourself"
12,New England Financial,"Good place to start, but get out when you can",2014-05-22,2.0,Financial Advisor,"Good place to start your career, they provide training and resources. If you have a good manager then you will learn a lot.","Proprietary, be prepared to sell only their products or have your commissions cut. Little to no investment knowledge in this place, only insurance."
13,New England Financial,Starved to death,2014-04-29,1.0,Registered Representative,"Great salespeople in the San Ramon office, training was decent",They promised leads that never materialized so it's 100% cold calling; very high turnover same as every other insurance company.
14,New England Financial,Workplace Review,2014-04-09,4.0,Anonymous Employee,Fast paced office with some really great people to work with.  Better than average to work for.  Representatives were very knowledgeable and helpful.  New their product well.,No assistance with continuing education (i.e. support or reimbursement) for staff.  New representative turn over was a little much. Company should look at their recruiting efforts.
15,New England Financial,Unstable and tough to make money,2014-03-25,2.0,Registered Representative,Freedom. You have all the time in the world to build your business how and when you want to.,"Pay. If you are okay spending more time in product meetings than trying to make sales, this is the place for you"
16,New England Financial,"NEF AKA MAFG, Metlife puppet co.",2014-02-27,3.0,New Business,"There are good benefits for salaried employees, as well as the rare part-timer. Very structured and politically correct.","Many levels of management cause many decisions to be made ""by the numbers"" and not by logic. People in Boston call the shots for offices all around the country, large and small. Some very unrealistic goals get set on sales people, and experiments with off-shore outsourcing of back-end processing are unfortunate but enduring. Sudden lay-offs happen more than they admit."
17,New England Financial,Fast pace office working with agents and management to complete & finalize all  applications into New Policy's.,2013-12-26,4.0,Administrative Assistant,"Some of the best reasons to work at New England Financial are: professional and friendly agents, regular updating & training, office manager positive attitude and great work ethic.",The only downside I came across was that there were a lot of agents who would quit the agency for better advancement potential.
18,New England Financial,"Lots of showing off, little accomplished",2013-12-06,2.0,Marketing Director,"Director trainings were interesting and fun...plus an excuse to stay in a nice hotel.
Lots of marketing resources.
Small agencies allow for greater growth opportunities.
Decent infrastructure.","New York City agency was like being in a bad sitcom. Office politics were crippling the agency when I left.
Too much bureaucracy.
Raises were a joke, while upper management ordered feasts to be delivered for themselves every day for lunch."
