,company,headline,date,overall_rating,author_position,pros,cons
0,Newedge,good,2022-02-18,3.0,Fraud Investigator,working flexibility and good staff relationship,my company has poor salary scale
1,Newedge,Difficult culture,2021-02-19,3.0,Vice President,Good opportunities if you can fit into their culture,There was no work life balance if you wanted to get ahead
2,Newedge,good,2020-04-13,3.0,Sales Broker,"Decent place to work, good pay","horrible atmosphere, too many over ambitious people going at each other's throat"
3,Newedge,Brokerage,2019-11-11,5.0,Anonymous Employee,"Good environment , culture and management",Role outsourced to vendor in India
4,Newedge,Appalling,2019-09-20,1.0,Trade Support,Location  and you get a salary,"Management are shocking, they bully and intimidate non stop . Systems are 20 years behind . Promotion is unheard of . Avoid like the plague."
5,Newedge,Work hard play hard,2019-05-23,3.0,Anonymous Employee,A lot to learn and a lot of fun,Very long hours and high pressure
6,Newedge,fine place - but changed by being part of SG,2018-11-29,4.0,Human Resources Manager,"pay ok ish, bonuses good if you get one . lots of high quality clients","big decisions all made in Paris, not very good training"
7,Newedge,Chaotic but could be fun,2018-08-13,3.0,Senior Director,"Ability to implement change quickly,  good people","Lack of control on change process,  definite advantage being French"
8,Newedge,Architect 3,2018-08-07,3.0,Anonymous Employee,Excellent learning place. Diverse culture.,It is kinda Pro French
9,Newedge,Desk Broker,2018-02-09,4.0,Anonymous Employee,"Newedge had a large world wide trading desk, Newedge was a member of practically all exchanges",Due to the size of the company individual costs where extremely high reducing considerably the brokers cut at the end of the day
10,Newedge,good working environment,2017-12-03,4.0,,Good working environments and benefits,Work some over time and overnight to make up for time
11,Newedge,Firefighting,2017-05-30,3.0,Associate,Newedge grew through the merger of many FCMs.  A lot of inefficiencies which allowed a lot of opportunities to make a difference and add value.,A lot of inefficiencies and lack of procedure sometimes made projects a lot harder than necessary to complete
12,Newedge,vice president,2017-05-04,3.0,Anonymous Employee,good pay and fun environment,long work hours and too many silos
13,Newedge,"Great people, poor leadership",2017-03-23,1.0,Anonymous Employee,None after the merger in 2008,"Terrible management, lack of teamwork, company direction poor"
14,Newedge,Great people,2017-03-07,5.0,,Great company with great people working in it.,Some tasks might be redundant if you're just starting out.
15,Newedge,Learned a lot,2017-03-05,1.0,Systems Administrator,"Very fast paced, the best tech",Treated workers like slaves.  I once called every night at 2 am for an issue I had already explained to the user was not inside my system and had directed them to who could help.
16,Newedge,business develeopment and sales/trading,2017-02-28,3.0,Anonymous Employee,good colleagues and working environment,industry changes and company cost structure causing staff changes
17,Newedge,Good company,2016-11-15,4.0,,Very fair environment.   Treat brokers with respect.  Commission payouts are good and they have a good balance sheet.,"There is no vision for the business.  Many mixed messages about what they want to be.  Business has been folded back into the parent company, soc gen."
18,Newedge,Executive Assistant to CEO,2016-11-08,4.0,,Great group of people to work with.  CEO was a pleasure to work with.,Management was not that great.  Huge desk turn over - not a stable environment - eventually bought by Soc Gen.
19,Newedge,Very good company,2016-09-29,5.0,Anonymous Employee,Nice and clear structure.  Warm culture,"After the merger, more complicated process"
20,Newedge,Worst place to work,2016-09-06,1.0,Technical Support Engineer,Nothing to mention .. Indian set up is very bad ..,Everything happening is bad .
