,company,headline,date,overall_rating,author_position,pros,cons
0,Nicholas Financial,Terrible program and some managers who are abusive,2022-04-03,3.0,Branch Manager,There are some really great executives working for the company. Culture is fair with some cross co-operation with other branches.,There are also a few there who have been with the company for way to long and are out of touch with todays markets. This is an east coast company and should stay there with some of their intolerant practices on valuation of automobiles.
1,Nicholas Financial,Nicholas Financial,2022-03-21,1.0,Data Entry/Customer Service,Work hours rotating Saturdays a plus.,The management is awful and unprofessional.
2,Nicholas Financial,Do Not Recommend,2021-12-19,2.0,Anonymous Employee,I cant think of anything positive to say,"Horrible Upper Management, Benefits are terrible, So much more. Just DONT."
3,Nicholas Financial,AMAZING COMPANY!!,2021-11-30,5.0,Corporate Recruiter,"Challenging, fast paced, great environment. Nicholas Financial is one of the best companies I've worked for. It's an environment built for people that want to be in the grind and make something of themselves. Great life/work balance.","There really are no cons. Management in branches is addressed quickly, upper management wants the best for the company. However, remember, this is a place to work and carve out a name for yourself. This is a place to make a career, not just a job."
4,Nicholas Financial,Absolutely the worst work environment,2021-11-28,1.0,Administrator,Stay away! There’s not anything good about this company.,"I worked at the Pensacola office for about 6 weeks. There is so much hostility, venom and disgruntlement in this office. This office is “anti-corporate” and then I became a direct target and management did nothing even after I asked for guidance and assistance. I tried to reach out the district manager and my call was not returned. I walked out in the middle of a Friday afternoon. Do not work here unless you are ok with a completely unprofessional work values."
5,Nicholas Financial,Just ok..,2021-11-16,3.0,Anonymous Employee,"Great employees, everyone is very helpful and nice","no matching 401k, health benefits are expensive and pay scale is low"
6,Nicholas Financial,Nicholas Financial,2021-10-17,3.0,AREA SALES MANAGER,Open and Flexible Work schedule,The training program could be better
7,Nicholas Financial,Good,2021-09-30,3.0,Customer Service Representative,"The company is stellar. They do try to hire and retain talent. Unfortunately, the branch leadership doesn't relay the same message.","Pay, communication from the manager level."
8,Nicholas Financial,Just don’t,2021-07-24,1.0,Nicholas Financial Inc,Great co-workers great to work with,Management horrible don’t help with anything
9,Nicholas Financial,Great Company,2021-06-29,5.0,Administrative,I've worked for Nicholas Financial for almost 10 years now. They've always taken care of me and my family. The staff in each branch is very close and dependable.,Their is only so much room for growth inside the branch.
10,Nicholas Financial,Hi it’s great,2021-04-10,3.0,Agent,Time off is hard to get,Management doesn’t communicate effectively with employees
11,Nicholas Financial,Run Far and Fast away from this company !!!,2021-03-07,1.0,Branch Manager,The Pros is their check cleared every 2 weeks !,To many to list !
12,Nicholas Financial,Awful company,2021-02-27,1.0,Second Assistant Manager,There are none...just an awful company and management.,The managers are terrible. There is no training nor consistency in application of policy. No work life balance.
13,Nicholas Financial,Unorganized,2021-02-05,2.0,Debt Collector,Flexibility is probably the only pro,"No advancement 
Co- workers and management are snobby and short
Doug the fool (CEO) does not care about feedback when you’re trying to help improve it."
14,Nicholas Financial,Horrible,2021-02-03,1.0,Assistant Branch Manager II,Run. Run. Run. Run. Run,"This company is one of the worst I have ever worked for. During covid one of my employees tested positive and the ceo made the Branch open the very next day, that's goes to show how much they could care less about their employees. I also had to fight for a raise, we agreed on the set number. After it was put into place they changed the raise amount without any notice to myself or my direct management,. When approached about this matter they said ""she gets what she gets tell her be happy"". The happiest money in working for this company was the day I quit. Good luck and RUN!!!"
15,Nicholas Financial,HR gives the 5 Star reviews,2021-01-28,1.0,Senior Vice President,None None None None None noneeeeeeeeeee none none none none none none none none none none none none none none none,CEO is a Slime Ball. That likes to blame anyone for a game plan not working except for himself. What a joke of a leader.
16,Nicholas Financial,Good place to work,2020-12-28,4.0,Managing Consultant,"Interesting job, challenging work, good colleagues","little opportunity for advancement, long hours."
17,Nicholas Financial,No autonomy,2020-12-17,1.0,Branch Manager,"None, absolutely none. Honestly zero.",No autonomy. 6 day work week for months on end. Lending program is long in the tooth.
18,Nicholas Financial,"I don't recommend the Grand Rapids, MI Locations",2020-08-23,1.0,Administrative/Customer Service,The pay rate was nice.,"Management, pettiness, lack of communication and favoritism."
19,Nicholas Financial,Amazing company! I always enjoy coming to work!,2020-07-22,5.0,Anonymous Employee,"Supportive environment, diverse and lots of very smart people accustomed to working in a collaborative team based mode!",I have no complaints in the several years that I have been at Nicholas
20,Nicholas Financial,"If you ain't with the ""CLIK"", find a better place",2020-07-21,1.0,Branch Manager,Liberty to be in the field,"Salary, CEO, HR is horrible, no proper training, each branch is individual and depending on how you are liked is the liberties that you are permited. Corporate office is a joke."
21,Nicholas Financial,nice change to a work day,2020-04-29,4.0,Collections Manager,multiple i like this company no reason to complain,minimal I have no reason to complain
