,company,headline,date,overall_rating,author_position,pros,cons
0,North Jersey Federal Credit Union,Good job for intro to banking,2022-02-15,3.0,Universal Banker,"Relaxed environment, no crazy goals","Non competitive pay, Employee benefits are bad, You have to wait too long for PTO, short lunch breaks"
1,North Jersey Federal Credit Union,Good Management,2022-01-03,2.0,Member Service Representative,Friendly staff and good management,Low pay and controlling manager
2,North Jersey Federal Credit Union,Don't do ut,2021-05-25,1.0,Anonymous Employee,There are few pros except the actual workers. Management is horrible.,"Poorly managed, New CEO is clueless, and the good managers have all been let go. The Board needs to wake up. Pay is horrible."
3,North Jersey Federal Credit Union,part-time teller,2021-04-15,4.0,Teller,"great co-workers overall, they make the job fun",nothing really in general i can say
4,North Jersey Federal Credit Union,Nice overall vibe,2021-04-01,4.0,Bank Teller,Nice people and good support system,Nothing much everyone is very nice
5,North Jersey Federal Credit Union,"Poor management, great coworkers and schedule flexibility",2021-03-27,3.0,Senior Loan Processor,Great coworkers and mostly friendly social environment. Great place to start your career.,"lack of accountability, disconnect between management and staff, understaffed, pay"
6,North Jersey Federal Credit Union,Not a bad company,2021-01-24,4.0,Software Engineer,"Office Culture
People
Good Coffee and Snacks","Cold AC in summer
Hot AC in winter"
7,North Jersey Federal Credit Union,horrible company,2021-01-13,1.0,Manager,nonthing good to say about this company,"entire company horrible, do not care about employees , horrible pay"
8,North Jersey Federal Credit Union,Run away.,2019-10-04,1.0,Former Employee,"SOME of the co-workers are nice. Don't trust anyone, specially management. 
The health insurance is great though!","The employees that remain working here are two kinds of people: desperate souls and people that can't find a job anywhere else. Management is very unprofessional. If you work here, you will be frustrated and drained all the time and afraid of losing your job. Sometimes you will question if you are the problem, but you'll soon figure out that management is the problem.  They will also pay you an insulting salary + adding more responsibilities to your workload."
9,North Jersey Federal Credit Union,Would not recommend working here,2019-08-26,1.0,Anonymous Employee,Nothing other than close to home.,Honestly I have never worked for a place like this before (not in a good way) this credit union is very dysfunctional very short staffed no communication  and no help managers are always too busy to help with anything and the system is always breaking down. Members are very rude to top it off.
10,North Jersey Federal Credit Union,This place is totally lost.,2018-09-09,1.0,,"It used to be the people, but I can't say that any more. It used to be location, but I cant'say that any more. It was always the money, I can say its still that. In other words. There are no pros to working here.","No staff, employees are hired, then leave before their probation period  is up. They lie to new employees, make promises to get them in, then say they didn't say that. No one knows what's going on, this is on any day you choose. President and CEO is never at work.  Upper management is completely clueless, and forever in the dark. This credit union is a joke, credit unions all over know about them. No respect for employees. Always pointing fingers, and throwing former  employees under the bus. We were constantly losing employees, that will not be replaced. So that work gets split amongst employees still there. They used to tell employees to write good reviews here. Seriously, every body knows its a lie. You will never find a good honest review here."
11,North Jersey Federal Credit Union,This place needs help.,2018-09-07,1.0,,Coworkers are very nice and helpful,"This has been the worst company I have ever worked for. The pay is terrible and does not compensate for what you do. The management is also impeccable. The turn over is at an all time high. Almost everyone is looking for another job (including long term employees). There are many errors with the member’s bank accounts/loans that are on behalf of the credit union and upper management continues to point fingers and blame employees for their mistakes. They do not care for their employees. If there is something wrong with your personal account there, you are called a liar and treated like a fraud. Loyal members are leaving and taking their money elsewhere. Upper management also complains about the wait time in the lobby and on the phone for customers but does not take into consideration how short staffed we are, however we are still blamed and they do nothing to help. They prioritize on the unimportant things and push important things to side. Unnecessary projects are continually being thrown on employees with short deadlines that causes them to be stressed and overwhelmed, but have no one to help with their required daily tasks which causes a delay. This place is corrupt and what’s even more sad is that change is nonexistent. So many hardworking/loyal employees have left and are continually to leave for the same exact reason. If you like mistreatment, corruption, and being overworked for a small pay... then this is the place for you ."
12,North Jersey Federal Credit Union,Manager,2018-05-17,1.0,Anonymous Employee,None whatever other than they do pay you.,"Way to many family members of Lourdes Cortez work at this credit union.  Do Not Apply at this company, stay far away."
13,North Jersey Federal Credit Union,Teller,2018-05-16,1.0,Member Service Representative,People with your exact job description are easy to get along with because there is a relatable struggle.,"Would you like me to begin with the pay? Or the broken promises? How about this. Ask the turn over rate? I don’t even think it exists literally this place will not thrive. Any good review up here is upper management pretending. I don’t know anyone who loves there jobs. The few ppl that have been there 10 years plus are the same miserable ppl still holding the same job title begging to make 35,000 a year. Vacation days? Lies! Days off? Lies the only ppl who thrive are senior level employees. So yes, they cut holiday parties and cry broke. As a teller you will never make over 11$ no matter how long you’re there. They do universal training but the pay doesn’t equate to work. You will NEVER move up. If you go for an interview ask someone the number of years they’ve been there and the different titles. Pay attention to how you will get hired Monday and Tuesday the person hiring you is packing for a new job. They leave out the part where if you’re kind you’ll work like a dog. Every day someone quits or stops showing up. But they lie to customers and say the person was fired. There’s so many corrupt things about this place but the BIGGEST ONE THERES KNOWN SNEAKY BUSINESS GOING KN WITHIN THIS CORP. but the little ppl are used and are disposable. RUNNN!! I would not recommend working here unless you have no motivation and enjoy ignorant atmosphere. Also work here if you want to be around a bunch of people who barely got a GED."
14,North Jersey Federal Credit Union,memeber Service Rep,2018-04-23,3.0,,amazing people to work with,"DONT PAY GOOD, management don't treat everyone equally"
15,North Jersey Federal Credit Union,its okay,2017-08-14,3.0,Teller,great people to work with,i have nothing bad to say
16,North Jersey Federal Credit Union,A new direction and a positive atmosphere,2016-12-06,5.0,Supervisor,"Approachable management, excellent communication with senior staff, easy access to work of major highways, feels like family, longevity, many employees have been working here a long time like me. I love the way this company is headed in 2017 it's really a great place to work.","Recent conversion, need a few more staff to support at busy times. 6 day work week would love to see a full day off rather than just four hours."
17,North Jersey Federal Credit Union,Wonderful people make it a great place to work,2016-11-20,5.0,Teller,"Excellent benefits, positive  co workers and senior management, small company environment with very approachable management.",Open on holidays when they should be closed like other financial institutions.
