,company,headline,date,overall_rating,author_position,pros,cons
0,Northfield Bank,Old school,2022-03-30,3.0,Anonymous Employee,Flexible hours and hybrid work schedule,Really old school mentality. Systems are extremely outdated. Not easy to move up in the company because management is questionable. Compensation is horrible.
1,Northfield Bank,Horrible company,2022-03-23,1.0,Security Analyst,Dont work here very bad management,Don't work here unless you want to hear your boss talk down to you and discourage your accomplishments
2,Northfield Bank,Don't work here,2022-03-20,1.0,IT Help Desk Technician,Small team - very close family feeling,"Overwhelming company, micro-managed, not great opportunity benefits, no growth; No diversity; no time off - have to work on weekends"
3,Northfield Bank,horrible company,2022-03-02,1.0,Customer Service Representative (CSR),none at all company horrible,very racist especially back office
4,Northfield Bank,Horrible place to work,2022-01-13,1.0,Bank Teller,"Some coworkers, if you get people in your dept that actually work","Lazy branch management, lazy upper management"
5,Northfield Bank,Decent Work,2021-09-22,3.0,Closing Administrator,"- Great team to work with
- no micro-management","- not much room for growth
- raises are not good"
6,Northfield Bank,My experience,2021-07-15,3.0,Teller,Pretty easy job. Same task every day,Not great pay. Expects a lot for little pay
7,Northfield Bank,Worst ever,2021-05-12,1.0,Anonymous Employee,No pros at all working this corporation,"Everything.
Low salary 
Low pto
Low work life balance 
Low management 
Low managers and supervisors"
8,Northfield Bank,Great Team!,2021-04-27,5.0,Loan Servicing Associate,"Northfield Bank is made up of a great community of people, starting off in loan servicing I was welcomed with open arms and was able to quickly learn the systems",Not much room for growth
9,Northfield Bank,"Good entry level job, but not for everybody",2021-04-07,3.0,Teller,"Customers are very friendly, a great effort is made to sanitize and clean the branch","30 minutes is not a long enough lunch break, and the computers and scanners always broke down. The amount of supervision is good for a new employee but is overbearing for a more experienced teller."
10,Northfield Bank,Good for college students,2021-03-23,4.0,Bank Teller,Days off follow national holidays which is good for students.,"The hours are often annoying, days are long, and job can be stressful."
11,Northfield Bank,Terrible company to work for,2021-03-17,1.0,Customer Service Representative/Teller,The only pros I can think of is having great co workers and meeting some really great people.,"Very low Pay, no room for advancement, and too many more to list."
12,Northfield Bank,"Unprofessional ""Management"", Hostile Workplace & Zero Diversity",2021-01-23,1.0,Back Office,"I cannot honestly think of one good thing that came out of working for this company. If I had to really pick something it would be the benefits they offered; 401K, PTO and medical/ dental.","Unfortunately this list is extremely long. What started out to be an exciting opportunity took a turn for the worse, within weeks. While the company holds pride in operating as a choose knit family, they all have mini groups filled with drama and talking behind each others' backs. The company employs managers, if you can even call them that, who create hostile workplace environments, have anger management issues and quite frankly do not understand what the word professionalism is. HR is all due respect, a joke. It was quite funny when managers talked badly about the HR team and told stories of this department never having the best interest of their employees, while enjoying the luxury of HR protecting them from poor behavior. I guess it makes sense now since they were once not people managers and experienced the same as us regularly employees. There are no set trainings, no SOPs in place, the technology is extremely outdated and creates difficulties in getting the job done in a timely manner. There is an ""HR handbook"" but new rules always magically appear out of thin air and cited as ""business needs"". This company does not follow rules, they make their own rules depening on the day and who it applies to. Managers rather talk to you about your personal life and the latest gossip in town than provide you feedback or help you with work. If you don't ""fit in"" with the department you are immediately criticized and get looks that something is wrong with you and you don't like your job. However, aside from all this, the biggest con is the lack of diversity of employees and leadership, particularly the back office. Representation is extremely important!"
13,Northfield Bank,It’s just okay,2021-01-22,3.0,Customer Service Representative,I can’t not think of one lol 😄 small gestures are nice.,"Benefits are expensive, slow upper management team. A lot of unethical individuals."
14,Northfield Bank,Pay is ok... strings attached,2021-01-05,3.0,CNC Machinist,"Hours are regular, pay is enough to “get by”","10 years of CNC experience, I know more than my supervisor, yet that’s a... problem? Pay is trash from what I should have gotten. Temporary, as anything is these days"
15,Northfield Bank,Great,2020-09-19,5.0,Teller,"Flexible, great work environment, great management",Minimum wage to start off
16,Northfield Bank,Average,2020-09-01,3.0,Manager,Average place to work with good people,Poor job security and decent management
17,Northfield Bank,No growth opportunity for existing employees.,2019-12-13,1.0,,Smaller bank which helps employees not feel like just a number.,No opportunities to advance within.
18,Northfield Bank,Great Company! Great Customer Service!,2019-10-09,5.0,Branch Manager,Northfield cares about their customers and employees. Employees work hard to build banking relationships and is involved with the community.,No cons for this company
19,Northfield Bank,Good working hours,2019-08-16,3.0,Assistant Manager,Good hours regionals don’t know their job,Not to much room for advancement
