,company,headline,date,overall_rating,author_position,pros,cons
0,Pegasus Capital Advisors,Assistant Manager,2019-06-26,4.0,Anonymous Employee,Consistent and Slow growth Exposure to work,Lot of favourtism and politics
1,Pegasus Capital Advisors,No Capital and Resources,2019-05-09,1.0,Partner,Pay is at market and office is nice.,Really hard time raising a new fund given performance.
2,Pegasus Capital Advisors,Dishonest,2018-07-17,2.0,Anonymous Employee,Beautiful location and quiet office.,"Management doesn't keep you informed. You can feel like you're the best employee, then one day you're no longer there. Definitely the definition of ""at will employment."" The position I held had high turn around. Not sure why I expected more and thought I was different. Employees are very gossipy."
3,Pegasus Capital Advisors,Investment Professional,2017-12-07,5.0,Anonymous Employee,Great culture.  Market compensation.  Overall a very team-oriented environment with clear communication at all levels.  I loved my colleagues at Pegasus and continue to stay in touch.,Not many cons here to speak of.  Somewhat long hours but no one seemed to mind since management was so accommodating.  A culture that was focused on goals versus face time.
4,Pegasus Capital Advisors,Avoid in all circumstances,2017-04-11,1.0,Anonymous Employee,Hard to think of anything. Maybe Snack selections and sport event tickets?,Terrible culture and bad rep. Middle level investment professionals are questionable.
5,Pegasus Capital Advisors,As terrible as it gets,2016-02-09,1.0,,"other then the Free lunch i can really think of anything almost everyone there is just a nightmare, upper management is  quick nasty. need and hr person asap.","A negative working environment with a miserable head of the company Limited interaction False advertisement of possible learning opportunity, lots back stabbing,"
6,Pegasus Capital Advisors,Like!,2015-09-29,5.0,Junior Human Resources,"There are friendly atmosphere, smart management and big opportunities.","Had no free time, but it doesn't matter"
7,Pegasus Capital Advisors,Intern,2015-06-18,2.0,Anonymous Employee,"Competitive Salary, paid lunches, full benefits, yearly bonuses.",Very negative environment. no room for growth. Employees are not treated equally across the board. overturn of staff is very frequent. Management can be condescending and very unapproachable
8,Pegasus Capital Advisors,Business Development Manager,2015-04-22,5.0,Business Development Manager,"An Challenging, innovative & cutting-edge Technology Consulting Company",Catching-up with fast paced Techo-Legal changes and constant changes in Market
9,Pegasus Capital Advisors,Not bad,2010-03-03,3.0,,Very collaborative.  Good energy from the office.  Everyone seems to be on the same page and wants you to succeed.,Opportunities are limited.  Management can sometimes be stifling.  Not the best place to work but not the worst either.  Decent.
