,company,headline,date,overall_rating,author_position,pros,cons
0,Progressive Financial Services,Company Closed,2021-09-09,4.0,Sales Executive,Good Company to work for when it was open.,Closed in 2019 which is a shame.
1,Progressive Financial Services,difficult place to work,2021-01-14,2.0,Collections Specialist,good training and good people at the staff level.,they play favorites with employees.
2,Progressive Financial Services,Great team rough company,2020-08-26,2.0,Senior Helpdesk Support Engineer,"Great team, learned a lot",Collectors did not stay long
3,Progressive Financial Services,terrible,2019-02-04,1.0,Collections Representative,high paying job with commission,"terrible, terrible, terrible management that plays favorites"
4,Progressive Financial Services,Great company,2017-09-19,5.0,Anonymous Employee,The VP really do right by there collectors,Insurance premiums are too high
5,Progressive Financial Services,Lost all Contracts,2017-07-19,1.0,Credit Cards,Bonus was great during tax time.,"Everything about this place was horrible. The director would yell across the floor, take managers into his office and scream at them, didn't care if you were on a call with a customer would still be standing right over you. DO not work here."
6,Progressive Financial Services,Hard to meet goals unless fav,2017-07-14,1.0,,Dress was very relaxed could where anything . Hourly was good on doe contract . Only 1/2 Saturday's a month for a half day .,"Unless you are a fav you won't get any good acts , managers are horrible . Very immature staff It's like one big highschool"
7,Progressive Financial Services,I loved working with the people at Progressive. The atmosphere was friendly and made you feel welcomed.,2017-06-19,4.0,,Not being micro managed is nice. You know what to do when you get there and you get it done.  The bonuses were good too.,Getting some of your bonus taken away for errors or quality mistakes was extremely disappointing.
8,Progressive Financial Services,ehh,2017-04-28,2.0,Collections Specialist,The hourly base pay was decent.,Ridiculous goals that leave you relying on other people to do what they are supposed to do in order for you to do your job.  Almost impossible to bonus.
9,Progressive Financial Services,Closed,2017-04-02,3.0,Anonymous Employee,"fast paced job format, good pay",poor and unethical management practices
10,Progressive Financial Services,employee,2016-11-21,4.0,Anonymous Employee,"Fast paced, rewarded for your hard work",need new items in vending
11,Progressive Financial Services,Ok company,2016-11-14,3.0,Customer Service Representative,Friendly people and they feed sometimes.,"The pay, the insurance, and the management."
12,Progressive Financial Services,collection specialist,2016-10-14,2.0,,"fellow employees were good people who were always willing to help you out.  also, the facility was easily accessable for public transportation.","supervisors were difficult to work for.  they seemed to favor certain people such as pretty young girls. they would allow them to take liberties that others were not allowed to take. 
management would not listen to your suggestions on anything. there seemed to be a lot of pilferage of commissions, you may have worked on an account and got close to a collection and someone would take the final collection call and get credit for it."
13,Progressive Financial Services,Was great while it lasted,2016-08-30,1.0,Debt Collector,"Big office
Money was good when we had the contract","No contract no bonus,"
14,Progressive Financial Services,Worse Place I Have Ever Worked,2016-07-07,1.0,Student Loan Collection Specialist,Opportunity to help people succeed.,Management was horrible. Fire them all!
15,Progressive Financial Services,NO JOB security,2016-04-30,3.0,Anonymous Employee,"it was a good place to work, got along with managers and good co workers.","when hired, was told looking for someone long term as a growing company. was told to pick them over 4 other good jobs because i would enjoy this the most. 1 month in, they proceed to lay off almost 100 people, including managers and directors. i would've taken another more secure job if i knew that would happen."
16,Progressive Financial Services,Okay if you don't mind Sales,2016-04-28,3.0,PPA Representative,"Steady Pay
Working Harder means more money.","Customers
Management
Schedule varies throughout the week."
17,Progressive Financial Services,Pros and Cons,2016-04-16,4.0,Customer Service Representative,40 hour week. Employees and Management  was always there if help was needed,"Was in the collection world, needed to bring in a certain amount each month to make a quota. Lost a major contract causing layoffs"
18,Progressive Financial Services,Collections Rep,2016-03-29,3.0,,People are great. if you work here you will make a lot of friends.,Job sucks. Stressful as hell. Lots of work to do to get a good bonus check
19,Progressive Financial Services,Customer service hire? Fired for being to nice.,2016-03-11,1.0,Collections Representative,"Great pay, however the stress from the management was soul sucking, I'm glad I got out when I did. Also the constant changing goals and work was difficult, not challenging in a good way.","Terrible management, training not representing floor, terrible work environment, hostile employees and management"
20,Progressive Financial Services,My manager Helped groomed me into a hard working individual. He showed me how to run a collection company.,2016-03-04,4.0,Assistant Dorector,"Great owners, senior management, and environment for collectors. Great commission structure for all levels of employment. One of the best if not the best in the valley with hourly. Bonus quarterly for most the clients on top of commission.","Benefits, not working 37.5 hours. This is a huge Disadvantage for us when we are competing for more business. Some upper management not being fair and looking for ways to get you out to save there own. Basically business 101 I guess."
21,Progressive Financial Services,Alright,2016-02-22,2.0,Anonymous Employee,"Benefits, easy going, learned a lot","No room for advancement, pay is low, dead end"
