,company,headline,date,overall_rating,author_position,pros,cons
0,Recovco Mortgage Management,"No work, no pay",2022-03-20,1.0,Compliance Analyst,No micromanaging and fully remote with decent benefits.,"No work, no pay. No proper training and inconsistent, outdated procedures. Why they continue to hire while there aren’t any projects is beyond me. During the interview process, upper management had confirmed that there should be consistent work available. At this point, we have gone several weeks without work - a majority of us have clocked in ~8-15 hours in the span of a week. This is not a sustainable job."
1,Recovco Mortgage Management,Never again,2022-01-19,1.0,Anonymous Employee,Flexibility. Remote. PAY. Quick hire,Communication is terrible. Lay offs are high
2,Recovco Mortgage Management,Inconsistent,2021-12-06,3.0,Loss Mitigation,Great insurance company pays most cost. Flexibility,"Inconsistent hours, no work no pay, unable to maintain a life without a consistent job"
3,Recovco Mortgage Management,Decent work,2021-09-20,3.0,Underwriter,Remote. Work from home. Ok pay.,Poor management and training. Micromanage at times.
4,Recovco Mortgage Management,mortgage underwriting,2021-05-05,4.0,Mortgage Underwriter,best company to build your career,salary is not as great
5,Recovco Mortgage Management,Recovco,2019-05-10,4.0,Forensic Analyst Manager,Gaines lots of great experience,Was contract based but now fulltime opportunites
6,Recovco Mortgage Management,Total Scam,2018-09-06,1.0,,I have none to speak of,"They misrepresented themselves in every way. In my opinion deficient training, management, and protocol. A total Wild West lawless environment."
7,Recovco Mortgage Management,Confusing,2018-08-15,1.0,,Nothing at this point. Haven't worked yet to find out if there's anything positive.,How do you hire someone then tell them there's no work and give no reason why? No phone calls are returned by recruiters - the only means of communication is by email and no useful information is given out to employees as to what is truly going on.
8,Recovco Mortgage Management,No work at Recovco,2018-07-31,1.0,Anonymous Employee,If you are in certain positions you have the ability to telecommute.,There have been multiple work slow downs over the last year but there has been no work at Recovco for most of their employees for three weeks and counting leaving employees with no income. These are not contract employees but directs. It appears Recovco is going to  close and divert all resources to Sprout Mortgage.
9,Recovco Mortgage Management,Crooks and Dishonesty,2018-04-11,1.0,Anonymous Employee,"Remote, so you don't have to shave before going to the ""office.""",Everything.  No support.  No oversight.  Back-stabbing loan officers who get to walk on water.  I could go on for days.  Rotten place to work.
10,Recovco Mortgage Management,Joke,2017-12-27,1.0,Underwriter,Pay was good while it lasted,"Don't try and call your trainer, she doesn't answer.  Guidelines are vague, and conditions vary by trainer."
11,Recovco Mortgage Management,Run Away,2017-11-09,1.0,Anonymous,There Are Absolutely Zero Pros,"Run fast from Recovco or ""Sprout"" same owner. Same politics, same unethical morale. You will be hired full time, but at misrepresentation- do not quit a job to work at sprout or recovco nor give up unemployment benefits to work here- you are better off on unemployment. W2 worker- with no PTO, benefits- do not believe any of the employers comments- they are false misrepresentations made by the recruiter. Believe the NEGATIVE reviews only - as they are from true employees anything else is made by the corporate recruiter. The fact that they say No Sprout underwriters are employed inNYS is FALSE- they work in East Meadow Long Island.  Former owner of AMERICAN HOME MORTGAGE."
12,Recovco Mortgage Management,Loan Processor,2017-11-06,3.0,,You work in the Texas office while your manager works in the Florida office. No one is over you monitoring your every move,There is no relationship between employee manager or human resources. You are all alone in the office. So the turn over rate is high because it makes it easier to get rid of you because they don't know you.
13,Recovco Mortgage Management,Not guarantees,2017-10-23,2.0,Anonymous Employee,The pay rate is good.,No other benefits offered after interview.
14,Recovco Mortgage Management,"Great experience, Short Term Position",2017-07-04,5.0,Mortgage Underwriter,"I worked on a short term project while searching for a DE UW position.  Robin Pugh is very easy to work with, no micro management.  Remote employment = flexibility!","If you cannot spell and write this is not the job for you.  Every conference call, they recommend using spell check.  This isn't difficult."
15,Recovco Mortgage Management,Save Yourself!  Stay away from this company.,2017-06-05,1.0,Senior Mortgage UW III,There are no good reasons to work for this company unless you are absolutely desperate.,"Do not work for Sprout Mortgage. Do you want to go to jail for disparate treatment, underwriting guidelines that are not followed, endless exceptions while being micromanaged to death?"
16,Recovco Mortgage Management,Sr Mortgage Underwriter,2017-04-27,4.0,Senior Mortgage Underwriter,Good level of independence. Good salary and overtime available,lots of people let go early on in contract and then contract ended abruptly with no notice.
