,company,headline,date,overall_rating,author_position,pros,cons
0,Religare Capital Markets,Good investment banking experience,2020-01-04,3.0,Investment Banking Associate,Small team - Opportunity to handle end to end work,Not too many big clients
1,Religare Capital Markets,Research at Hong Kong Office,2018-04-17,3.0,Research Analyst,"- Friendly environment
- Good paid for junior too","- Not too much deals and rely on secondary market which could be volatile 
- Support from the parent group is not much"
2,Religare Capital Markets,Investment Banking Intern,2017-10-15,3.0,Anonymous Intern,Niche team; can closely work with senior management,"if you want money, dont go for it"
3,Religare Capital Markets,Excellent,2017-08-30,3.0,Director,It is an enterprising environment.,It is not well capitalised.
4,Religare Capital Markets,Balanced,2017-02-26,3.0,,Work life balance is good,Lack of stability of the company and group
5,Religare Capital Markets,Vice President,2016-09-17,4.0,,"Extremely good culture,  working environment",Gap between top executives  and employès
6,Religare Capital Markets,Company bureaucracy,2015-08-03,2.0,,Friendly people to work with/.,Lots of big corporate processes that made correcting inefficiencies impossible.
7,Religare Capital Markets,"Very Entrepreneurial, a place for go-getters! Needs to evolve on L&D",2014-12-26,5.0,Anonymous Employee,"1. Recognises and rewards initiative in employees
2. Teams are close-knit and non hierarchical
3. Exposure to lots of projects in a very short span of time","1. Not enough training for new employees
2. Benefits are average to marginally better than street even for top talent
3. HR plays no to a negative role"
8,Religare Capital Markets,Rewarding Experience,2014-10-25,4.0,Summer Analyst,The teams are very small and friendly. The culture is to work hard and play hard. There is room for a lot of personal growth. You're treated with respect even as an analyst,"There is no training programme prior to joining, this is a huge disadvantage for people who have not studied finance in university. Also, the benefits need to improve"
9,Religare Capital Markets,Struggling firm,2014-10-22,2.0,Equity Sales,"Decent pay, if you are popular internally then reward and promotions are quick","Below market payer, I joined this firm as a Graduate and it was the worst career move leaving a firm like Standard Chartered for religare....lots of restructuring happened in the firm within one year, graduate program is not structured at all...there is no base business ...political environment..senior management had no vision"
